,,MEGHALAYA,MEGHALAYA,HIMACHAL PRADESH,NA,SIKKIM,HIMACHAL PRADESH,MEGHALAYA,NA,MEGHALAYA,HIMACHAL PRADESH,ANDHRA PRADESH,NA,UTTARAKHAND,MEGHALAYA,DELHI,NA,TAMIL NADU,NA,NA,GOA,NA,NA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,UTTAR PRADESH,MP,TAMIL NADU,
,,Meghalaya_Ben,Meghalaya_Ben,HP,Teesta_III,SIKKIM,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,ITCWIND,JPL,UTTARAKHAND,Meghalaya_Ben,BYPL,KAMENG,OPGPGPLU4TN,KAMENG,SOLAPUR_SOLAR,GOA_Beneficiary,SKS Raigarh,KAMENG,KAMENG,HP,ITCWIND,EDWPCL12,HP,GBHHPL,CHANJUII,PPGCL,JP BINA,OPGPGUNIT1TN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,Gujarat,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BYPL,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,BYPL,BRPL,ITCLH,BRPL,BYPL,BYPL,NPCL(UP),BRPL,BRPL,TPDDL,MES (Delhi),BRPL,NDMC,TPDDL,BRPL,BYPL,ITCLH,DEENDAYALPT,BRPL,DIAPL,TPDDL,BRPL,BRPL,BRPL,
,,North East-East-North,North East-East-North,North-North,East-North,East-North,North-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,West-North,North-North,North East-East-North,North-North,North East-East-North,South-East-North,North East-East-North,West-North,West-North,West-North,North East-East-North,North East-East-North,North-North,South-East-North,North-East-West,North-North,North-North,North-North,North-North,West-North,South-East-North,
28,06:45-07:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,0.58,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.450000,0.000000,50.030000,4.830000,1293.27

29,07:00-07:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,1.01,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.350000,0.000000,50.030000,4.830000,1293.6

30,07:15-07:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,1.48,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.350000,0.000000,50.030000,4.830000,1294.07

31,07:30-07:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,1.96,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.350000,0.000000,50.030000,4.830000,1294.55

32,07:45:08:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.680000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,2.52,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,6.050000,11.350000,0.000000,50.030000,4.830000,1295.11

33,08:00-08:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,3.05,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,5.050000,11.260000,0.000000,50.030000,4.830000,1294.84

34,08:15-08:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,3.59,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,5.050000,11.260000,0.000000,50.030000,4.830000,1295.38

35,08:30-08:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,3.78,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,5.050000,11.260000,0.000000,50.030000,4.830000,1295.57

36,08:45:09:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,4.3,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,5.050000,11.260000,0.000000,50.030000,4.830000,1296.09

37,09:00:09:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,5.42,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,8.070000,11.170000,0.000000,50.030000,4.830000,1300.14

38,09:15-09:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,5.9,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,8.070000,11.170000,0.000000,50.030000,4.830000,1300.62

39,09:30-09:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,6.21,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,8.070000,11.170000,0.000000,50.030000,4.830000,1300.93

40,09:45-10:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,6.57,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,8.070000,11.170000,0.000000,50.030000,4.830000,1301.29

41,10:00-10:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,7.02,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1303.67

42,10:15-10:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,7.16,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1303.81

43,10:30-10:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,7.33,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1303.98

44,10:45-11:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,0.000000,2.460000,67.670000,174.360000,5.55,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1302.2

45,11:00-11:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,4.55,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1331.2

46,11:15-11:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,6.12,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1332.77

47,11:30-11:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,5.26,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1331.91

48,11:45-12:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,5.62,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,11.080000,0.000000,50.030000,4.830000,1332.27

49,12:00-12:15,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,2.99,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,10.980000,0.000000,50.030000,4.830000,1329.54

50,12:15-12:30,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,6.19,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,10.980000,0.000000,50.030000,4.830000,1332.74

51,12:30-12:45,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,4.06,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,10.980000,0.000000,50.030000,4.830000,1330.61

52,12:45-13:00,0.000000,20.300000,0.000000,145.000000,0.000000,56.550000,19.610000,100.050000,63.030000,194.450000,0.970000,175.050000,48.340000,22.230000,30.000000,2.460000,67.670000,174.360000,5.16,24.170000,62.840000,18.980000,22.560000,0.000000,0.000000,2.000000,0.000000,10.090000,10.980000,0.000000,50.030000,4.830000,1331.71

