Column1,Block,GNA/WR/2025/01/01/8625,NR/2025/24882/A/54104,NR/2025/24992/A/54103,NR/2024/24418/A/54099,NR/2025/25070/A/54431,WR/2025/26047/A/54362,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/16/1676,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2143,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/16/1380,NR/2025/25267/A/54209,NR/2025/25266/A/54205,NR/2025/25265/A/54207,NR/2025/25330/C,NR/2025/25331/C,Total
56,13:45-14:00,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,0.72,0.53,14.42,38.45,299.25

57,14:00-14:15,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,0.72,0.53,14.42,38.45,299.25

58,14:15-14:30,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.37,0.75,0.61,14.42,38.45,299.25

59,14:30-14:45,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.37,0.75,0.61,14.42,38.45,299.25

60,14:45-15:00,0,3.84,5.77,0.87,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.42,0.93,0.68,14.42,38.45,299.55

61,15:00-15:15,0,3.84,5.77,0.67,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.77,14.42,38.45,299.63

62,15:15-15:30,0,3.84,5.77,0.67,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.48,1.06,0.67,14.42,38.45,299.53

63,15:30-15:45,0,3.84,5.77,0.67,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.38,0.96,0.67,14.42,38.45,299.33

64,15:45-16:00,0,3.84,5.77,0.67,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.38,0.87,0.58,14.42,38.45,299.15

65,16:00-16:15,0,3.84,5.77,0.53,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.27,0.71,0.54,14.42,38.45,298.7

66,16:15-16:30,0,3.84,5.77,0.53,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.22,0.51,0.37,21.15,31.72,298.28

67,16:30-16:45,0,3.84,5.77,0.53,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.12,0.29,0.23,25.66,25.09,295.69999999999993

68,16:45-17:00,0,3.84,5.77,0.53,17.3,0,23.07,8.65,0,26.99,75,1.38,26.99,23.07,0,0,0,8.65,23.07,0,0.08,0.15,0.12,20.95,18.84,284.45

69,17:00-17:15,0,4.81,9.61,0.53,17.3,0,31.72,8.65,0,26.99,75,1.38,26.99,31.72,0,0,0,8.65,31.72,0,0.04,0.06,0.04,0,0,275.2100000000001

70,17:15-17:30,0,4.81,9.61,0.53,17.3,0,31.72,8.65,0,26.99,75,1.38,26.99,31.72,0,0,0,8.65,31.72,0,0,0,0,0,0,275.07000000000005

71,17:30-17:45,0,4.81,9.61,0.53,17.3,0,31.72,8.65,0,26.99,75,1.38,26.99,31.72,0,0,0,8.65,31.72,0,0,0,0,0,0,275.07000000000005

72,17:45-18:00,0,4.81,9.61,0.53,17.3,0,31.72,8.65,0,22.49,75,1.38,22.49,31.72,0,0,0,8.65,31.72,0,0,0,0,0,0,266.07000000000005

73,18:00-18:15,0,4.81,9.61,0.53,0,38.45,36.53,13.46,0,32,75,1.75,3.58,36.53,200,50,0,13.46,43.25,0,0,0,0,0,0,558.96

74,18:15-18:30,0,4.81,9.61,0.53,0,38.45,36.53,13.46,0,32,75,1.75,3.58,36.53,200,50,0,13.46,43.25,0,0,0,0,0,0,558.96

75,18:30-18:45,0,4.81,9.61,0.53,0,38.45,36.53,13.46,0,31.61,75,1.75,0,36.53,200,50,50,13.46,43.25,0,0,0,0,0,0,604.99

76,18:45-19:00,0,4.81,9.61,0.53,0,38.45,36.53,13.46,0,31.61,75,1.75,0,36.53,200,50,50,13.46,43.25,0,0,0,0,0,0,604.99

77,19:00-19:15,0,4.81,9.61,0.62,0,38.45,36.53,13.46,0,31.61,75,1.65,31,36.53,200,50,50,13.46,43.25,0,0,0,0,0,0,635.98

78,19:15-19:30,0,4.81,9.61,0.62,0,38.45,36.53,13.46,0,31.61,75,1.65,31,36.53,200,50,50,13.46,43.25,0,0,0,0,0,0,635.98

79,19:30-19:45,0,4.81,9.61,0.62,0,38.45,36.53,13.46,0,31,75,1.65,31,36.53,200,50,50,13.46,43.25,0,0,0,0,0,0,635.3700000000001

80,19:45-20:00,0,4.81,9.61,0.62,0,38.45,36.53,13.46,0,31,75,1.65,31,36.53,200,50,50,13.46,43.25,0,0,0,0,0,0,635.3700000000001

81,20:00-20:15,0,3.84,5.77,0.62,0,38.45,23.07,8.65,0,18.15,75,1.65,32,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,511.98999999999995

82,20:15-20:30,0,3.84,5.77,0.62,0,38.45,23.07,8.65,0,25.87,75,1.65,32,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,519.71

83,20:30-20:45,0,3.84,5.77,0.62,0,38.45,23.07,8.65,0,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,515.82

84,20:45-21:00,0,3.84,5.77,0.62,0,38.45,23.07,8.65,0,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,515.82

85,21:00-21:15,0,3.84,5.77,0.58,0,38.45,23.07,8.65,0,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,515.7800000000001

86,21:15-21:30,0,3.84,5.77,0.58,0,38.45,23.07,8.65,0,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,515.7800000000001

87,21:30-21:45,0,3.84,5.77,0.58,0,38.45,23.07,8.65,0,26.99,75,1.65,32,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,520.7900000000001

88,21:45-22:00,0,3.84,5.77,0.58,0,38.45,23.07,8.65,0,26.99,75,1.65,32,23.07,150,50,50,8.65,23.07,0,0,0,0,0,0,520.7900000000001

89,22:00-22:15,0,3.84,5.77,0.53,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.44

90,22:15-22:30,0,3.84,5.77,0.53,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.44

91,22:30-22:45,0,3.84,5.77,0.53,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.44

92,22:45-23:00,0,3.84,5.77,0.53,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.44

93,23:00-23:15,0,3.84,5.77,0.48,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.3900000000001

94,23:15-23:30,0,3.84,5.77,0.48,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.3900000000001

95,23:30-23:45,0,3.84,5.77,0.48,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.3900000000001

96,23:45-24:00,0,3.84,5.77,0.48,0,38.45,23.07,8.65,23.78,26.99,75,1.65,26.99,23.07,150,50,50,8.65,23.07,7.93,0,0,0,0,0,547.3900000000001

