Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/64762,NR/2025/26022/C,NR/2025/25955/A/65155,NR/2025/25945/A/65158,NR/2025/25947/A/65157,NR/2025/25948/A/65156,NR/2025/25924/A/64893,WR/2025/27361/A/65164,WR/2025/27350/A/64903,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/16/2139,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/16/8132,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/7459,Total
3,00:30-00:45,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.63,14.58,52.5,9.62,1.92,19.25,2.89,9.62,900.22

4,00:45-01:00,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.63,14.58,52.5,9.62,1.92,19.25,2.89,9.62,900.22

5,01:00-01:15,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.44,14.58,52.5,9.62,1.92,19.25,2.89,9.62,900.0300000000001

6,01:15-01:30,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.44,14.58,52.5,9.62,1.92,19.25,2.89,9.62,900.0300000000001

7,01:30-01:45,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.44,14.58,52.5,9.62,1.92,19.25,2.89,9.62,900.0300000000001

8,01:45-02:00,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.44,14.58,52.5,9.62,1.92,19.25,2.89,9.62,900.0300000000001

9,02:00-02:15,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.26,14.58,0,9.62,1.92,19.25,2.89,9.62,943.5799999999999

10,02:15-02:30,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,30,30,13.26,14.58,0,9.62,1.92,19.25,2.89,9.62,943.5799999999999

11,02:30-02:45,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,25.4,30,13.26,14.58,0,9.62,1.92,19.25,2.89,9.62,938.9799999999999

12,02:45-03:00,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,25.4,30,13.26,14.58,0,9.62,1.92,19.25,2.89,9.62,938.9799999999999

13,03:00-03:15,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,25.4,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,938.8899999999999

14,03:15-03:30,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,25.4,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,938.8899999999999

15,03:30-03:45,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,939.9899999999999

16,03:45-04:00,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,939.9899999999999

17,04:00-04:15,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,939.9899999999999

18,04:15-04:30,0,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,939.9899999999999

19,04:30-04:45,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,920.74

20,04:45-05:00,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,13.17,14.58,0,9.62,1.92,19.25,2.89,9.62,920.74

21,05:00-05:15,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,12.98,14.58,0,9.62,1.92,19.25,2.89,9.62,920.5500000000001

22,05:15-05:30,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,12.98,14.58,0,9.62,1.92,19.25,2.89,9.62,920.5500000000001

23,05:30-05:45,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,12.98,14.58,0,9.62,1.92,19.25,2.89,9.62,920.5500000000001

24,05:45-06:00,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,12.98,14.58,0,9.62,1.92,19.25,2.89,9.62,920.5500000000001

25,06:00-06:15,0,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,12.89,14.58,0,9.62,1.92,19.25,2.89,9.62,920.46

26,06:15-06:30,0.3,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,30,12.89,14.58,0,9.62,1.92,19.25,2.89,9.62,920.76

27,06:30-06:45,0.86,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,0,12.89,14.58,0,9.62,1.92,19.25,2.89,9.62,864.8199999999999

28,06:45-07:00,2.92,0,213.63,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,0,12.89,14.58,0,9.62,1.92,19.25,2.89,9.62,866.8799999999999

29,07:00-07:15,6.21,0,232.88,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,0,12.71,14.58,0,9.62,1.92,19.25,2.89,9.62,889.24

30,07:15-07:30,10.52,0,0,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,0,12.71,14.58,0,9.62,1.92,19.25,2.89,9.62,660.6700000000001

31,07:30-07:45,16.23,0,0,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,0,11.79,14.58,0,9.62,1.92,19.25,2.89,9.62,665.4599999999999

32,07:45-08:00,23.3,0,0,17.49,26.24,26.24,8.75,3.85,24.06,96.23,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,0,11.79,14.58,0,9.62,1.92,19.25,2.89,9.62,672.53

33,08:00-08:15,30.93,3.85,0,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,26.5,11.61,14.58,0,9.62,1.92,19.25,2.89,9.62,614.1

34,08:15-08:30,38.77,3.85,120.29,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,0,26.5,11.61,14.58,0,9.62,1.92,19.25,2.89,9.62,742.23

35,08:30-08:45,46.88,3.85,120.29,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,26.5,11.61,14.58,0,9.62,1.92,19.25,2.89,9.62,776.84

36,08:45-09:00,54.8,3.85,120.29,17.49,26.24,26.24,8.75,3.85,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.5,26.5,11.61,14.58,0,9.62,1.92,19.25,2.89,9.62,784.7600000000001

37,09:00-09:15,62.43,6.74,120.29,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.42,14.58,0,9.62,1.92,19.25,2.89,9.62,796.27

38,09:15-09:30,69.4,6.74,211.71,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.42,14.58,0,9.62,1.92,19.25,2.89,9.62,894.66

39,09:30-09:45,76.04,6.74,211.71,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.42,14.58,0,9.62,1.92,19.25,2.89,9.62,901.3

40,09:45-10:00,83.78,6.74,211.71,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.42,14.58,0,9.62,1.92,19.25,2.89,9.62,909.04

41,10:00-10:15,95,8.66,211.71,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.24,14.58,0,9.62,1.92,19.25,2.89,9.62,922

42,10:15-10:30,96.67,8.66,211.71,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.24,14.58,0,9.62,1.92,19.25,2.89,9.62,923.67

43,10:30-10:45,98.33,8.66,211.71,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.24,14.58,0,9.62,1.92,19.25,2.89,9.62,925.3299999999999

44,10:45-11:00,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.24,14.58,0,9.62,1.92,19.25,2.89,9.62,946.24

45,11:00-11:15,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.05,14.58,0,9.62,1.92,19.25,2.89,9.62,946.05

46,11:15-11:30,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.05,14.58,0,9.62,1.92,19.25,2.89,9.62,946.05

47,11:30-11:45,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.05,14.58,0,9.62,1.92,19.25,2.89,9.62,946.05

48,11:45-12:00,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.61,26.61,11.05,14.58,0,9.62,1.92,19.25,2.89,9.62,946.05

49,12:00-12:15,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.86,14.58,0,9.62,1.92,19.25,2.89,9.62,946.0400000000001

50,12:15-12:30,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.86,14.58,0,9.62,1.92,19.25,2.89,9.62,946.0400000000001

51,12:30-12:45,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.86,14.58,0,9.62,1.92,19.25,2.89,9.62,946.0400000000001

52,12:45-13:00,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.86,14.58,0,9.62,1.92,19.25,2.89,9.62,946.0400000000001

53,13:00-13:15,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,945.86

54,13:15-13:30,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,945.86

55,13:30-13:45,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,945.86

56,13:45-14:00,100,8.66,230.95,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,945.86

57,14:00-14:15,100,7.7,230.95,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,945.68

58,14:15-14:30,100,7.7,230.95,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,945.68

59,14:30-14:45,93.98,7.7,230.95,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,939.66

60,14:45-15:00,90.02,7.7,211.71,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,916.46

61,15:00-15:15,86.22,6.74,211.71,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,911.7

62,15:15-15:30,81.81,6.74,211.71,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,907.29

63,15:30-15:45,70.75,6.74,163.59,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,848.11

64,15:45-16:00,65.65,6.74,163.59,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,0,26.7,26.7,10.5,14.58,0,9.62,1.92,19.25,2.89,9.62,843.0100000000001

65,16:00-16:15,60.24,3.85,163.59,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,885.86

66,16:15-16:30,54.51,3.85,163.59,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,880.13

67,16:30-16:45,48.42,3.85,163.59,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,874.0400000000001

68,16:45-17:00,41.91,3.85,57.74,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,26.7,26.7,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,761.6800000000001

69,17:00-17:15,28.52,0,57.74,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,26.7,26.7,10.96,14.58,0,9.62,1.92,19.25,2.89,9.62,744.7200000000001

70,17:15-17:30,23.3,0,57.74,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,26.7,26.7,10.96,14.58,0,9.62,1.92,19.25,2.89,9.62,739.5000000000001

71,17:30-17:45,17.78,0,57.74,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,13.68,13.68,10.96,14.58,0,9.62,1.92,19.25,2.89,9.62,707.9399999999999

72,17:45-18:00,12.94,0,0,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,13.68,13.68,10.96,14.58,0,9.62,1.92,19.25,2.89,9.62,645.36

73,18:00-18:15,8.87,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,13,13,11.33,14.58,0,9.62,1.92,19.25,2.89,9.62,882.8000000000001

74,18:15-18:30,5.54,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,13,13,11.33,14.58,0,9.62,1.92,19.25,2.89,9.62,879.47

75,18:30-18:45,3.66,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,11.33,14.58,0,9.62,1.92,19.25,2.89,9.62,881.09

76,18:45-19:00,0.74,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,11.33,14.58,0,9.62,1.92,19.25,2.89,9.62,878.1700000000001

77,19:00-19:15,0.01,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,11.79,14.58,0,9.62,1.92,19.25,2.89,9.62,877.9

78,19:15-19:30,0,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,11.79,14.58,0,9.62,1.92,19.25,2.89,9.62,877.89

79,19:30-19:45,0,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,11.79,14.58,0,9.62,1.92,19.25,2.89,9.62,877.89

80,19:45-20:00,0,0,242.5,17.49,26.24,26.24,8.75,6.74,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,11.79,14.58,0,9.62,1.92,19.25,2.89,9.62,877.89

81,20:00-20:15,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,12.25,14.58,0,9.62,1.92,19.25,2.89,9.62,877.38

82,20:15-20:30,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,0,29.5,12.25,14.58,0,9.62,1.92,19.25,2.89,9.62,877.38

83,20:30-20:45,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,5.92,5.92,10.86,14.58,0,9.62,1.92,19.25,2.89,9.62,858.3299999999999

84,20:45-21:00,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,5.92,5.92,10.86,14.58,0,9.62,1.92,19.25,2.89,9.62,858.3299999999999

85,21:00-21:15,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,5.92,5.92,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,858.1499999999999

86,21:15-21:30,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,5.92,5.92,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,858.1499999999999

87,21:30-21:45,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,5.92,5.92,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,858.1499999999999

88,21:45-22:00,0,0,242.5,17.49,26.24,26.24,8.75,5.77,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,5.92,5.92,10.68,14.58,0,9.62,1.92,19.25,2.89,9.62,858.1499999999999

89,22:00-22:15,0,0,242.5,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,13,13,10.59,14.58,0,9.62,1.92,19.25,2.89,9.62,871.26

90,22:15-22:30,0,0,242.5,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,13,13,10.59,14.58,0,9.62,1.92,19.25,2.89,9.62,871.26

91,22:30-22:45,0,0,242.5,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,25.39,25.39,10.59,14.58,0,9.62,1.92,19.25,2.89,9.62,896.04

92,22:45-23:00,0,0,223.25,17.49,26.24,26.24,8.75,4.81,24.06,0,43.74,2.89,48.12,2.89,9.62,72.17,28.87,72.17,96.23,50,25.39,25.39,10.59,14.58,0,9.62,1.92,19.25,2.89,9.62,876.79

