Time,Block,NR/2023/15216/C,NR/2023/15217/C,NR/2023/14688/F,NR/2023/11739/A,NR/2023/11654/A,NR/2023/15182/D,NR/2023/13859/A,NR/2023/15205/C,NR/2023/11203/A,NR/2023/14688/F/II,NR/2023/13983/F,NR/2023/15191/D,NR/2023/12646/A,NR/2023/15196/C,NR/2023/15213/C,ER/2023/9344/C,NR/2023/15203/C,NR/2023/13573/A,NR/2023/11470/A,ER/2023/9345/C,NR/2023/11328/A,NR/2023/13284/A,NR/2023/13283/A,NR/2023/11458/A,NR/2023/11954/A,NR/2023/15181/D,NR/2023/13983/F/II,NR/2023/15218/C,NR/2023/13858/A,NR/2023/11469/A,NR/2023/15187/D,NR/2023/15190/D,NR/2023/15204/C,NR/2023/11325/A,NR/2023/14187/F,NR/2023/11697/A,NR/2023/11315/A,Total

3,00:30-00:45,0.000000,48.300000,24.150000,42.490000,152.630000,193.200000,188.370000,38.640000,63.030000,0.000000,0.240000,0.000000,23.120000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.630000,6.760000,84.520000,84.990000,0.000000,0.000000,444.360000,24.150000,3.860000,35.070000,22.220000,1858.05

4,00:45-01:00,0.000000,48.300000,24.150000,42.490000,152.630000,193.200000,188.370000,38.640000,63.030000,0.000000,0.240000,0.000000,23.120000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.630000,6.760000,84.520000,84.990000,0.000000,0.000000,411.520000,24.150000,3.860000,35.070000,22.220000,1825.21

5,01:00-01:15,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.180000,0.000000,23.120000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.490000,6.760000,84.520000,84.990000,0.000000,0.000000,374.810000,24.150000,3.860000,35.070000,22.220000,1701.36

6,01:15-01:30,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.180000,0.000000,23.120000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.490000,6.760000,84.520000,84.990000,0.000000,0.000000,337.130000,24.150000,3.860000,35.070000,22.220000,1663.68

7,01:30-01:45,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.180000,0.000000,23.120000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.490000,6.760000,84.520000,84.990000,0.000000,0.000000,306.220000,24.150000,3.860000,35.070000,22.220000,1633.77

8,01:45-02:00,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.180000,0.000000,23.120000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.490000,6.760000,84.520000,84.990000,0.000000,0.000000,273.380000,24.150000,3.860000,35.070000,22.220000,1600.93

9,02:00-02:15,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.160000,0.000000,23.120000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.420000,6.760000,84.520000,84.990000,0.000000,0.000000,241.500000,24.150000,3.860000,35.070000,22.220000,1568.96

10,02:15-02:30,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.160000,0.000000,23.120000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.420000,6.760000,84.520000,84.990000,0.000000,0.000000,243.430000,24.150000,3.860000,35.070000,22.220000,1570.89

11,02:30-02:45,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.160000,0.000000,23.120000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.420000,6.760000,84.520000,84.990000,0.000000,0.000000,202.860000,24.150000,3.860000,35.070000,22.220000,1530.32

12,02:45-03:00,0.000000,0.000000,24.150000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,0.000000,0.160000,0.000000,23.120000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,36.450000,0,0.420000,6.760000,84.520000,84.990000,0.000000,0.000000,154.560000,24.150000,3.860000,35.070000,22.220000,1482.02

13,03:00-03:15,0.000000,0.000000,3.860000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,20.290000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,170.020000,24.150000,3.860000,35.070000,22.220000,1437.86

14,03:15-03:30,0.000000,0.000000,3.860000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,20.290000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,134.270000,24.150000,3.860000,35.070000,22.220000,1402.11

15,03:30-03:45,0.000000,0.000000,3.860000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,20.290000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,94.670000,24.150000,3.860000,35.070000,22.220000,1362.51

16,03:45-04:00,0.000000,0.000000,3.860000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,20.290000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,45.400000,24.150000,3.860000,35.070000,22.220000,1313.24

17,04:00-04:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,56.030000,24.150000,3.860000,35.070000,22.220000,1323.87

18,04:15-04:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1267.84

19,04:30-04:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1267.84

20,04:45-05:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,98.530000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1267.84

21,05:00-05:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,0.000000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1169.31

22,05:15-05:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,0.000000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1169.31

23,05:30-05:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,5.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,0.000000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1169.31

24,05:45-06:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,81.820000,24.150000,0.000000,0.000000,0,0.530000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,35.070000,22.220000,1168.31

25,06:00-06:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,0,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,0.000000,22.220000,1051.57

26,06:15-06:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,0,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,0.000000,22.220000,1051.57

27,06:30-06:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,0,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,0.000000,22.220000,1051.57

28,06:45-07:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,4.040000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,0.41,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,3.860000,0.000000,22.220000,1051.98

29,07:00-07:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,7.060000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,0.58,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1082.28

30,07:15-07:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,7.060000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,0.84,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1082.54

31,07:30-07:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,7.060000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,1.09,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1082.79

32,07:45:08:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,7.060000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,1.4,0.680000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1083.1

33,08:00-08:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,7.060000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,2.11,0.970000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1084.1

34,08:15-08:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,7.060000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,4.12,0.970000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1086.11

35,08:30-08:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,8.080000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,4.41,0.970000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1087.42

36,08:45:09:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,0.000000,0.000000,8.080000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,3.6,0.970000,6.760000,84.520000,84.990000,0.000000,0.000000,0.000000,24.150000,0.970000,0.000000,22.220000,1086.61

37,09:00:09:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,8.080000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,3.3,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1139.44

38,09:15-09:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,8.080000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,3.2,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1139.34

39,09:30-09:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,9.080000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,2.94,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1140.08

40,09:45-10:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,9.080000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,0.000000,0.000000,2.72,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1139.86

41,10:00-10:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,3.56,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.51

42,10:15-10:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,4.09,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1233.04

43,10:30-10:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,3.91,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.86

44,10:45-11:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,4.12,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1233.07

45,11:00-11:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,3.19,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.14

46,11:15-11:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,3.95,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.9

47,11:30-11:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,4.66,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1233.61

48,11:45-12:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,4.03,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.98

49,12:00-12:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,4.03,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.98

50,12:15-12:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,3.55,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1232.5

51,12:30-12:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,4.79,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1233.74

52,12:45-13:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,30.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,6.91,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1235.86

53,13:00-13:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,5.88,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1204.83

54,13:15-13:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,5.05,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1204

55,13:30-13:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,7.81,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1206.76

56,13:45-14:00,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,0.000000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,90.800000,0.000000,7.76,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1206.71

57,14:00-14:15,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,23.120000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,106.260000,0.000000,4.6,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1242.13

58,14:15-14:30,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,23.120000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,106.260000,0.000000,4.57,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1242.1

59,14:30-14:45,0.000000,0.000000,0.000000,42.490000,152.630000,193.200000,188.370000,0.000000,63.030000,24.150000,0.000000,8.210000,23.120000,10.090000,0.000000,0.000000,0.000000,62.790000,21.240000,0.000000,48.300000,0.000000,24.150000,106.260000,0.000000,4.12,0.970000,6.760000,84.520000,84.990000,28.980000,15.940000,0.000000,24.150000,0.970000,0.000000,22.220000,1241.65

