Column1,Block,GNA/SR/2025/02/01/7432,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/6460,NR/2024/24418/A/52303,NR/2025/24992/A/52310,NER/2025/2918/A/52590,NR/2025/24882/A/52311,ER/2025/15683/A/52588,NR/2025/25202/C,WR/2025/26047/A/52592,NR/2025/25070/A/52545,NR/2025/25203/C,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/5886,GNA/WR/2024/11/01/4200,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/8625,Total
40,09:45-10:00,0,1.29,75,0.87,9.62,9.18,4.81,7.34,14.43,0,28.85,38.47,34.62,8.66,34.62,34.62,8.66,0,26.12,0,32,0,369.16

41,10:00-10:15,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,31.74,8.66,31.74,31.74,8.66,0,26.99,0,26.99,0,351.57000000000005

42,10:15-10:30,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,31.74,8.66,31.74,31.74,8.66,0,26.99,0,26.99,0,351.57000000000005

43,10:30-10:45,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,31.74,8.66,31.74,31.74,8.66,0,26.99,0,26.99,0,351.57000000000005

44,10:45-11:00,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,31.74,8.66,31.74,31.74,8.66,0,26.99,0,26.99,0,351.57000000000005

45,11:00-11:15,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,25.97,8.66,25.97,25.97,8.66,0,26.99,0,26.99,0,334.35

46,11:15-11:30,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,25.97,8.66,25.97,25.97,8.66,0,26.99,0,26.99,0,334.35

47,11:30-11:45,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,25.97,8.66,25.97,25.97,8.66,0,26.99,0,26.99,0,334.35

48,11:45-12:00,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,25.97,8.66,25.97,25.97,8.66,0,26.99,0,26.99,0,334.35

49,12:00-12:15,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.68

50,12:15-12:30,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.68

51,12:30-12:45,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.68

52,12:45-13:00,0,1.38,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.68

53,13:00-13:15,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

54,13:15-13:30,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

55,13:30-13:45,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

56,13:45-14:00,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

57,14:00-14:15,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

58,14:15-14:30,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

59,14:30-14:45,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

60,14:45-15:00,0,1.29,75,0.87,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.59000000000003

61,15:00-15:15,0,1.29,75,0.67,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.39000000000004

62,15:15-15:30,0,1.29,75,0.67,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.39000000000004

63,15:30-15:45,0,1.29,75,0.67,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.39000000000004

64,15:45-16:00,0,1.29,75,0.67,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.39000000000004

65,16:00-16:15,0,1.38,75,0.53,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.34000000000003

66,16:15-16:30,0,1.38,75,0.53,5.77,9.18,3.85,7.34,14.43,0,28.85,38.47,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,325.34000000000003

67,16:30-16:45,0,1.38,75,0.53,5.77,9.18,3.85,7.34,17.12,0,28.85,32.7,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,322.26

68,16:45-17:00,0,1.38,75,0.53,5.77,9.18,3.85,7.34,17.02,0,28.85,23.66,23.08,8.66,23.08,23.08,8.66,0,26.99,0,26.99,0,313.12

69,17:00-17:15,0,1.38,75,0.53,9.62,9.18,4.81,7.34,0,0,28.85,0,31.74,8.66,31.74,31.74,8.66,0,26.99,0,26.99,0,303.23

70,17:15-17:30,0,1.38,75,0.53,9.62,9.18,4.81,7.34,0,0,28.85,0,31.74,8.66,31.74,31.74,8.66,0,26.99,0,26.99,0,303.23

71,17:30-17:45,0,1.38,75,0.53,9.62,9.18,4.81,7.34,0,0,28.85,0,34.62,8.66,34.62,34.62,8.66,0,26.12,0,32,0,316.01000000000005

72,17:45-18:00,0,1.38,75,0.53,9.62,9.18,4.81,7.34,0,0,28.85,0,36.55,8.66,36.55,43.28,8.66,0,12.6,0,32,0,315.01000000000005

73,18:00-18:15,0,1.38,75,0.53,9.62,9.18,4.81,7.34,0,38.47,28.85,0,36.55,13.47,36.55,43.28,13.47,50,31.41,200,31.41,0,631.32

74,18:15-18:30,0,1.38,75,0.53,9.62,9.18,4.81,7.34,0,38.47,28.85,0,36.55,13.47,36.55,43.28,13.47,50,31,200,31,0,630.5

75,18:30-18:45,50,1.38,75,0.53,9.62,9.18,4.81,7.34,0,38.47,28.85,0,36.55,13.47,36.55,43.28,13.47,50,31,200,31,0,680.5000000000001

76,18:45-19:00,50,1.38,75,0.53,9.62,9.18,4.81,7.34,0,38.47,28.85,0,36.55,13.47,36.55,43.28,13.47,50,31,200,31,0,680.5000000000001

77,19:00-19:15,50,1.38,75,0.63,9.62,9.18,4.81,7.34,0,38.47,28.85,0,36.55,13.47,36.55,43.28,13.47,50,31,200,31,0,680.6

78,19:15-19:30,50,1.38,75,0.63,9.62,9.18,4.81,7.34,0,38.47,28.85,0,36.55,13.47,36.55,43.28,13.47,50,31,200,31,0,680.6

79,19:30-19:45,50,1.38,75,0.63,9.62,9.18,4.81,7.34,0,38.47,28.85,0,33.66,13.47,33.66,33.66,13.47,50,32,200,32,0,667.2

80,19:45-20:00,50,1.38,75,0.63,9.62,9.18,4.81,7.34,0,38.47,28.85,0,33.66,13.47,33.66,33.66,13.47,50,32,200,32,0,667.2

81,20:00-20:15,50,1.38,75,0.63,5.77,9.18,3.85,7.34,0,38.47,28.85,0,28.85,8.66,28.85,28.85,8.66,50,32,150,32,0,588.3400000000001

82,20:15-20:30,50,1.38,75,0.63,5.77,9.18,3.85,7.34,0,38.47,28.85,0,28.85,8.66,28.85,28.85,8.66,50,32,150,32,0,588.3400000000001

83,20:30-20:45,50,1.38,75,0.63,5.77,9.18,3.85,7.34,0,38.47,28.85,0,25.97,8.66,25.97,25.97,8.66,50,32,150,32,0,579.7

84,20:45-21:00,50,1.38,75,0.63,5.77,9.18,3.85,7.34,0,38.47,28.85,0,25.97,8.66,25.97,25.97,8.66,50,32,150,32,0,579.7

85,21:00-21:15,50,1.38,75,0.58,5.77,9.18,3.85,7.34,0,38.47,28.85,0,25.97,8.66,25.97,25.97,8.66,50,32,150,26.12,0,573.7700000000001

86,21:15-21:30,50,1.38,75,0.58,5.77,9.18,3.85,7.34,0,38.47,28.85,0,25.97,8.66,25.97,25.97,8.66,50,32,150,26.12,0,573.7700000000001

87,21:30-21:45,50,1.38,75,0.58,5.77,9.18,3.85,7.34,0,38.47,28.85,0,25.97,8.66,25.97,25.97,8.66,50,32,150,26.12,0,573.7700000000001

88,21:45-22:00,50,1.38,75,0.58,5.77,9.18,3.85,7.34,0,38.47,28.85,0,23.08,8.66,23.08,23.08,8.66,50,32,150,26.12,0,565.1

89,22:00-22:15,50,1.29,75,0.53,5.77,9.18,3.85,7.34,0,38.47,17.31,0,23.08,8.66,23.08,23.08,8.66,50,26.99,150,26.99,0,549.28

90,22:15-22:30,50,1.29,75,0.53,5.77,9.18,3.85,7.34,0,38.47,17.31,0,23.08,8.66,23.08,23.08,8.66,50,26.99,150,26.99,0,549.28

91,22:30-22:45,50,1.29,75,0.53,5.77,9.18,3.85,7.34,0,38.47,17.31,0,26.93,8.66,26.93,26.93,8.66,50,26.99,150,26.99,0,560.83

92,22:45-23:00,50,1.29,75,0.53,5.77,9.18,3.85,7.34,0,38.47,17.31,0,26.93,8.66,26.93,26.93,8.66,50,26.99,150,26.99,0,560.83

93,23:00-23:15,50,1.29,75,0.48,5.77,9.18,3.85,7.34,0,38.47,17.31,0,26.93,8.66,26.93,26.93,8.66,50,26.99,150,26.99,0,560.78

94,23:15-23:30,50,1.29,75,0.48,5.77,9.18,3.85,7.34,0,38.47,17.31,0,26.93,8.66,26.93,26.93,8.66,50,26.99,150,26.99,0,560.78

95,23:30-23:45,50,1.29,75,0.48,5.77,9.18,3.85,7.34,0,38.47,17.31,0,26.93,8.66,26.93,26.93,8.66,50,26.99,150,26.99,0,560.78

96,23:45-24:00,50,1.29,75,0.48,5.77,9.18,3.85,7.34,0,38.47,17.31,0,26.93,8.66,26.93,26.93,8.66,50,26.99,150,26.99,0,560.78

