Column1,Block,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6452,NR/2025/31042/A/93816,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/32455/A/93870,GNA/NR/2025/08/01/6187,NR/2025/32822/C,GNA/NR/2025/08/01/3698,NR/2025/32598/A/93830,NR/2025/32833/C,NR/2025/32836/C,GNA/NR/2025/08/01/4125,NR/2025/32554/A/93808,NR/2025/31047/A/93820,NR/2025/32822/C/Alternate/1,NR/2025/32818/C,NR/2025/32834/C,NR/30092023/26122029/SH-06,NR/2025/29440/A/93409,NR/30092023/31122025/SH-07,NR/2025/31046/A/93818,NR/2025/32702/A/93781,NR/2025/32819/C,NR/2025/31041/A/93815,NR/2025/32610/A/93863,NR/2025/32535/A/93836,NR/2025/32785/C,NR/2025/29992/A/93485,NR/2025/32397/A/93425,NR/2025/32786/C,NR/2025/32556/A/93865,NR/2025/32535/A/93837,NR/2025/31421/A/93883,GNARE/NR/2024/12/20/3668,NR/2025/32262/A/93725,NR/2025/32599/A/93531,NR/2025/32532/A/93832,NR/2025/32770/C,NR/2025/32811/C,NR/2025/32532/A/93833,NR/2025/32534/A/93834,NR/2025/32004/A/93871,NR/2025/32375/A/93879,NR/2025/32534/A/93835,NR/2025/32733/C,NR/2025/32559/A/93864,NR/2025/32854/C,NR/2025/32652/A/93515,NR/2025/32653/A/93513,NR/2025/32837/C,Total
3,00:30-00:45,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.87,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1237.19

4,00:45-01:00,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.87,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1237.19

5,01:00-01:15,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.63,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1236.95

6,01:15-01:30,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.63,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1236.95

7,01:30-01:45,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.63,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1236.95

8,01:45-02:00,33.73,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,48.19,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,30,0.63,26.58,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1236.95

9,02:00-02:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,26.94,0.63,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1234.2500000000002

10,02:15-02:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,26.94,0.63,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1234.2500000000002

11,02:30-02:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,26.94,0.63,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1234.2500000000002

12,02:45-03:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,0,14.6,81.92,0,0,14.6,163.85,0,192.76,0,0,26.94,0.63,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,106.02,48.19,0,0,24.1,0,0,0,0,1234.2500000000002

13,03:00-03:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1204.8700000000001

14,03:15-03:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1204.8700000000001

15,03:30-03:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1204.8700000000001

16,03:45-04:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,54.21,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1204.8700000000001

17,04:00-04:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

18,04:15-04:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

19,04:30-04:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

20,04:45-05:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

21,05:00-05:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

22,05:15-05:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

23,05:30-05:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.66

24,05:45-06:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.53,26.94,0,0,0,0,24.1,0,0,44.33,8.67,0,24.1,0,48.19,0.28,0,0,0,0,0,0,0,76.74,48.19,0,0,24.1,0,0,0,0,1150.94

25,06:00-06:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.82,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0,48.19,2.11,0,1,0.02,0,0,0,0.02,76.74,48.19,0,0,24.1,0,0,0,0,1157.1000000000001

26,06:15-06:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.82,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.01,48.19,4,0,4,0.04,0,0,0.01,0.04,76.74,48.19,0.01,0,24.1,0,0,0,0,1162.0600000000002

27,06:30-06:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.82,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.02,48.19,6.01,0,7,0.12,0,0,0.04,0.06,76.74,48.19,0.02,0,24.1,0,0,0,0.84,1168.06

28,06:45-07:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.82,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.05,48.19,8.11,0,11,0.14,0,0,0.08,0.08,76.74,48.19,0.05,0,24.1,0,0,0,1.38,1174.8400000000004

29,07:00-07:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.87,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.07,48.19,12.02,0,14,0.15,0,0,0.12,0.08,76.74,48.19,0.1,0,24.1,0,0,0,1.98,1182.5200000000002

30,07:15-07:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.87,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.12,48.19,16.04,0,21,0.19,0,0,0.15,0.19,76.74,48.19,0.12,0,24.1,0,0,0,2.98,1194.7900000000004

31,07:30-07:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.87,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.15,48.19,16.94,0,28,0.19,0,0,0.19,0.19,76.74,48.19,0.15,0,24.1,0,0,0,3.86,1203.6700000000005

32,07:45-08:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.87,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.22,48.19,20.59,0,35,0.29,0,0,0.31,0.19,76.74,48.19,0.22,0,24.1,0,0,0,5.26,1216.0800000000002

33,08:00-08:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.96,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.27,48.19,24.89,0,53,0.29,0,0,0.38,0.19,76.74,48.19,0.27,0,24.1,1.16,1.64,0,6.2,1242.3800000000008

34,08:15-08:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.96,26.94,0,11.57,0,0,24.1,0.1,0,44.33,0,0,24.1,0.31,48.19,29.18,0,63,0.29,0,0,0.43,0.19,76.74,48.19,0.38,0,24.1,1.16,1.64,0,8.55,1259.2200000000007

35,08:30-08:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.96,26.94,0,13.49,0,0,24.1,0.1,0,44.33,0,0,24.1,0.37,48.19,33.63,0,77,0.29,0,0,0.51,0.19,76.74,48.19,0.44,0,24.1,1.16,1.64,0,5.89,1277.1300000000008

36,08:45-09:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,0,0,14.6,163.85,0,0,0,0,26.94,0.96,26.94,0,13.49,0,0,24.1,0.1,0,44.33,0,0,24.1,0.46,48.19,37.92,0,88,0.29,0,0,0.65,0.19,76.74,48.19,0.55,0,24.1,1.16,1.64,0,5.89,1292.7600000000007

37,09:00-09:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,13.49,48.19,0,0,0.1,0,0,0,0,0,0.48,0,48.23,0,102,0.39,163.85,76.74,0.67,0.19,0,0,0.58,44.33,0,1.16,1.64,0,5.89,1317.2600000000004

38,09:15-09:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,13.49,48.19,0,0,0.19,0,0,0,0,0,0.48,0,53.74,0,112,0.39,163.85,76.74,0.67,0.19,0,0,0.58,44.33,0,1.16,1.64,0,6.87,1333.8400000000004

39,09:30-09:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.48,0,59.09,0,133,0.39,163.85,76.74,0.67,0.19,0,0,0.58,44.33,0,1.16,1.64,0,6.87,1346.7000000000003

40,09:45-10:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.48,0,64.75,0,140,0.39,163.85,76.74,0.67,0.19,0,0,0.58,44.33,0,1.16,1.64,0,7.85,1360.3400000000004

41,10:00-10:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.1,0,0,0,0,0,0.48,0,76.83,0,161,0.39,163.85,76.74,0.67,0.19,0,0,0.58,44.33,0,1.16,1.64,1.45,7.85,1394.7800000000004

42,10:15-10:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.1,0,0,0,0,0,0.48,0,82.01,0,172,0.39,163.85,76.74,0.77,0.19,0,0,0.58,44.33,0,1.16,1.64,1.45,7.85,1411.0600000000002

43,10:30-10:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,86.98,0,182,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,11.56,1429.7300000000005

44,10:45-11:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,91.44,0,193,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,12.84,1446.4700000000003

45,11:00-11:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.2,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,14.11,1455.5000000000002

46,11:15-11:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,15.56,1457.4200000000003

47,11:30-11:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,16.93,1458.7900000000004

48,11:45-12:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.95,0.96,26.95,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,18.22,1460.0800000000004

49,12:00-12:15,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.96,0.96,26.96,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,19.4,1461.2800000000004

50,12:15-12:30,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.96,0.96,26.96,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,19.7,1461.5800000000004

51,12:30-12:45,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.96,0.96,26.96,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,19.96,1461.8400000000004

52,12:45-13:00,81.92,20.48,19.28,81.92,40.96,20.8,15.28,20.48,0,0,0,28.98,192.76,14.6,81.92,24.1,24.1,14.6,0,0,0,48.19,24.1,26.96,0.96,26.96,0,0,48.19,0,0,0.19,0,0,0,0,0,0.39,0,96.67,0,196,0.48,163.85,76.74,0.67,0.29,0,0,0.48,44.33,0,1.16,1.64,1.45,20.24,1462.1200000000003

