Column1,Time,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/L_NR_2019_05,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/31102037/L_NR_2019_11,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/9257,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7663,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/8964,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/2868,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,GNARE/NR/2024/12/20/3668,GNARE/SR/2025/01/13/4532,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791
7,01:30-01:45,0,0,0,0,0,0,0,0,10.8,90.44,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,23.13,9.75,23.13,130.85,29.2,0,6.29,87.26,29.27,0,16.39,100.78,7.16,21.5,7.17,7.33,0,0,0,0,0,0,0,22.01,48.37,24.18,11.92,62.88,11.93,15.33

8,01:45-02:00,0,0,0,0,0,0,0,0,10.8,70.53,15.72,48.37,-0,24.18,10.58,0,19.35,24.18,48.37,273.53,7.32,0,23.13,9.75,23.13,130.85,29.2,0,6.29,87.26,28.77,0,16.39,100.78,7.16,21.5,7.17,7.33,0,0,0,0,0,0,0,22.01,48.37,24.18,11.92,62.88,11.93,15.33

9,02:00-02:15,0,0,0,0,0,0,0,0,10.64,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,273.53,7.32,0,26.75,9.52,26.75,130.85,29.2,0,8.45,70.13,28.27,0,16.29,100.78,10.84,32.5,10.83,12.66,0,0,0,0,0,0,0,22.01,48.37,24.18,11.92,62.88,11.93,15.33

10,02:15-02:30,0,0,0,0,0,0,0,0,10.64,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,273.53,7.32,0,26.75,9.52,26.75,130.85,29.2,0,8.45,69.05,28.27,0,16.29,100.78,10.66,32,10.67,11.66,0,0,0,0,0,0,0,22.21,48.37,24.18,11.92,62.88,11.93,15.33

11,02:30-02:45,0,0,0,0,0,0,0,0,10.64,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,273.53,7.32,0,26.75,9.52,26.75,130.85,29.2,0,8.45,67.63,28.27,0,16.48,100.78,10.5,31.5,10.5,3.33,0,0,0,0,0,0,0,19.81,48.37,24.18,11.92,62.88,11.93,15.33

12,02:45-03:00,0,0,0,0,0,0,0,0,10.64,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,273.53,7.32,0,26.75,9.52,26.75,130.73,29.2,0,8.45,67.26,28.27,0,16.48,100.78,10.34,31,10.33,3.33,0,0,0,0,0,0,0,19.81,48.37,24.18,11.92,62.88,11.93,15.33

13,03:00-03:15,0,0,0,0,0,0,0,0,10.8,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,273.53,5.07,0,26.75,9.36,26.75,130.01,29.2,0,8.25,67.26,28.27,0,16.39,100.78,12.5,37.5,12.5,0.67,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

14,03:15-03:30,0,0,0,0,0,0,0,0,10.8,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,234.84,5.07,0,26.75,9.36,26.75,102.99,29.2,0,8.25,67.26,28.27,0,16.39,100.78,12.33,37.01,12.33,0.67,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

15,03:30-03:45,0,0,0,0,0,0,0,0,10.8,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,196.14,3.93,0,26.75,10.29,26.75,102.99,29.2,0,8.25,67.26,28.27,0,16.39,100.78,18.67,55.99,18.67,0.66,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

16,03:45-04:00,0,0,0,0,0,0,0,0,10.8,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,157.44,3.95,0,26.75,10.29,26.75,102.99,29.2,0,8.25,67.26,28.27,0,16.39,100.78,18.33,55.01,18.33,6.66,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

17,04:00-04:15,0,0,0,0,0,0,0,0,10.8,70.53,15.72,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,196.14,3.98,0,26.75,10.29,26.75,126.4,29.2,0,8.16,67.26,28.27,0,16.29,100.78,20,60,20,6.66,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

18,04:15-04:30,0,0,0,0,0,0,0,0,10.8,70.53,10.6,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,205.92,4.01,0,26.75,10.29,26.75,102.99,29.2,0,8.16,67.26,28.27,0,16.29,100.78,19.67,58.99,19.67,6.66,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

19,04:30-04:45,0,0,0,0,0,0,0,0,10.8,70.53,10.6,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,186.57,4.01,0,26.75,10.29,26.75,102.99,29.2,0,8.16,67.26,28.27,0,16.29,100.78,18.83,56.51,18.83,6.66,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

20,04:45-05:00,0,0,0,0,0,0,0,0,10.8,70.53,10.6,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,166.27,4.13,0,26.75,10.29,26.75,102.99,29.2,0,8.16,67.26,28.27,0,16.29,100.78,18.33,55.01,18.33,6.66,0,0,0,0,0,0,0,13.81,48.37,24.18,11.92,62.88,11.93,15.33

21,05:00-05:15,0,0,0,0,0,0,0,0,10.64,70.53,10.6,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,150.44,4.6,0,26.75,10.14,26.75,102.99,29.2,0,10.31,67.26,28.27,0,16.2,100.78,18,54,18,11,0,0,0,0,0,0,0,16.81,48.37,24.18,11.92,62.88,11.93,15.33

22,05:15-05:30,0,0,0,0,0,0,0,0,10.64,68.14,10.6,48.37,-0,24.18,10.58,193.48,19.35,24.18,48.37,189.14,5.07,0,26.75,10.14,26.75,130.85,29.2,0,10.31,87.26,27.75,0,16.2,100.78,17.5,52.5,17.5,11,0,0,0,0,0,0,0,16.81,48.37,24.18,11.92,62.88,11.93,15.33

23,05:30-05:45,0,0.38,0,0,0,1.1,0,0,10.64,79.21,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,227.83,5.07,0,26.75,10.14,26.75,130.85,29.2,0,10.31,87.26,28.76,0,16.2,100.78,16.5,49.5,16.5,10.67,0,0,0.08,0,0,0,0.2,16.81,48.37,24.18,11.92,62.88,11.93,15.33

24,05:45-06:00,0,0.67,0,0,0,4.18,0,1,10.64,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,266.53,5.07,0,26.75,10.14,26.75,100.75,29.2,0,10.31,56.81,28.76,0,16.2,100.78,16.17,48.49,16.17,10.33,0,0,0.14,0,0,0,0.47,16.81,48.37,24.18,11.92,62.88,11.93,15.33

25,06:00-06:15,0,5.43,4.56,1,14.41,6.87,0,1,10.41,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,273.53,5.07,0,26.75,9.83,26.75,100.66,29.2,0,10.13,49.25,28.76,0,16.11,100.78,19.17,57.49,19.17,14,0,0,1.09,1,0,1,1.8,21.81,48.37,24.18,11.92,62.88,11.93,15.33

26,06:15-06:30,0,10.97,12.56,2,21.64,10.05,0,1,10.41,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,255.54,5.07,1.1,26.75,9.83,26.75,72.88,29.2,1.1,10.13,49.25,28.76,0.85,16.11,100.78,18.67,55.99,18.67,13.67,0,0,2.2,2,1,2,3.73,22.21,48.37,24.18,11.92,62.88,11.93,15.33

27,06:30-06:45,0,17.16,28.22,3,30.15,14.14,0,3,10.41,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,216.84,5.07,1.17,26.75,9.83,26.75,72.88,29.2,1.17,10.13,38.7,28.26,0.92,16.11,100.78,18.33,55.01,18.33,15.33,0,3,3.43,3,2,3,5.46,22.21,48.37,24.18,11.92,62.88,11.93,15.33

28,06:45-07:00,0,23.98,33,6,33,19.29,0,4,10.41,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,178.15,5.07,1.57,26.75,9.83,26.75,72.88,29.2,1.57,10.13,38.7,28.76,1.21,16.11,100.78,17.5,52.5,17.5,15,0,6,4.8,7,3,4,8.86,22.61,48.37,24.18,11.92,62.88,11.93,15.33

29,07:00-07:15,0,35.17,33,9,33,25.34,0,6,10.64,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,150.44,5.07,1.83,26.75,9.67,26.75,72.88,29.2,1.83,9.94,38.7,28.76,1.42,16.02,100.78,16.67,49.99,16.67,14.67,0,10,7.04,13,7,5,12.98,22.61,48.37,24.18,11.92,62.88,11.93,15.33

30,07:15-07:30,0,46.88,33,13,33,32.33,0,9,10.64,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,150.44,5.07,2.21,26.75,9.67,26.75,72.88,29.2,2.21,9.94,38.7,28.76,1.71,16.02,100.78,15.83,47.51,15.83,14.33,0,16,9.38,17,8,6,17.83,23.21,48.37,24.18,11.92,62.88,11.93,15.33

31,07:30-07:45,0,58.85,33,19,33,40.06,0,12,10.64,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,150.44,5.07,2.6,26.75,10.61,26.75,72.88,29.2,2.6,9.94,38.7,29.26,2.01,18.33,100.78,12.5,37.5,12.5,14,0,24,11.77,17,8,7,23.19,28.61,48.37,24.18,11.92,62.88,11.93,15.33

32,07:45-08:00,0,71.07,32.6,23,32.6,48,0,16,10.64,70.53,10.6,48.37,-0,24.18,6.99,193.48,19.35,24.18,48.37,150.44,5.07,2.82,26.75,10.61,26.75,72.88,29.2,2.82,9.94,38.7,29.26,2.18,18.33,100.78,12,36,12,13.67,0,32.6,14.22,19,9,8,29.09,29.01,48.37,24.18,11.92,62.88,11.93,15.33

33,08:00-08:15,0,57.34,33,27,33,55.17,0,18,10.64,70.53,8.27,48.37,-0,24.18,4.49,193.48,19.35,24.18,48.37,150.44,3.98,3.28,26.75,10.61,26.75,72.88,17.41,3.28,9.75,38.7,29.27,2.53,18.15,100.78,11.33,34.01,11.33,6.67,0,33,11.47,21,11,13,21.6,29.41,48.37,24.18,11.92,62.88,11.93,15.33

34,08:15-08:30,0,69.77,33,33,33,61.89,0,22,10.64,70.53,8.27,48.37,-0,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,4.13,26.75,10.61,26.75,72.88,17.41,4.13,9.75,38.7,29.78,3.19,18.15,100.78,10.83,32.51,10.83,6.67,0,33,13.95,25,12,16,29,29.81,48.37,24.18,11.92,62.88,11.93,15.33

35,08:30-08:45,0,82.42,33,43,33,68.79,0,22,10.64,70.53,8.27,48.37,-0,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,4.98,26.75,10.61,26.75,54.17,17.41,4.98,9.75,38.7,29.27,3.85,18.15,100.78,13.33,40.01,13.33,6.67,0,33,16.49,25,12,21,36.36,30.01,48.37,24.18,11.92,62.88,11.93,15.33

36,08:45-09:00,0,94.79,33,47,33,75.31,0,25,10.64,70.53,8.27,48.37,-0,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,5.84,26.75,10.61,26.75,54.17,17.41,5.84,9.75,38.7,30.28,4.51,18.15,100.78,13.33,40.01,13.33,6.67,0,33,18.96,29,14,25,41.87,30.21,48.37,24.18,11.92,62.88,11.93,15.33

37,09:00-09:15,0,121.01,33,51,33,82.17,0,30,10.41,70.53,8.27,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,6.27,26.8,10.61,26.8,54.17,17.41,6.27,10.31,38.7,31.3,4.85,17.96,100.78,13.67,40.99,13.67,6.67,0,33,24.2,27,13,27,51.92,23.01,48.37,24.18,11.92,62.88,11.93,15.33

38,09:15-09:30,0,132.68,33,53,33,87.87,0,33,10.41,70.53,8.27,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,6.66,26.8,10.61,26.8,54.17,17.41,6.66,10.31,38.7,31.3,5.15,17.96,100.78,13.83,41.51,13.83,6.67,0,33,26.54,31,16,30,56.5,23.21,48.37,24.18,11.92,62.88,11.93,15.33

39,09:30-09:45,0,143.97,33,60,33,90.83,0,36,10.41,70.53,8.27,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,7.04,26.8,10.61,26.8,54.17,17.41,7.04,10.31,38.7,31.29,5.43,17.96,100.78,14,42,14,13.36,0,33,28.79,38,19,30,61.07,19.01,48.37,24.18,11.92,62.88,11.93,15.33

40,09:45-10:00,0,155.77,33,63,33,93.04,0,39,10.41,70.53,8.27,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,7.41,26.8,10.61,26.8,54.17,17.41,7.41,10.31,38.7,31.29,5.73,17.96,100.78,14.17,42.49,14.17,14.18,0,33,31.16,42,21,32,65.65,19.01,48.37,24.18,11.92,62.88,11.93,15.33

41,10:00-10:15,0,189.37,33,67,33,93.22,0,42,10.8,70.53,7.94,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,11.75,26.8,10.61,26.8,54.17,17.41,11.75,10.31,38.7,31.29,9.07,17.87,100.78,14.33,43.01,14.33,13.47,0,33,37.87,47,23,33,70.22,19.21,48.37,24.18,11.92,62.88,11.93,15.33

42,10:15-10:30,0,197.51,33,68,33,91,0,45,10.8,70.53,7.94,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,150.44,3.98,12.12,26.8,10.61,26.8,54.17,17.41,12.12,10.31,38.7,31.29,9.37,17.87,100.78,14.5,43.5,14.5,13.22,0,33,39.5,50,25,34,74.98,19.81,48.37,24.18,11.92,62.88,11.93,15.33

43,10:30-10:45,0,205.65,33,82,33,108.97,0,36,10.8,70.53,7.94,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,156.07,3.98,12.5,26.8,10.61,26.8,54.17,17.41,12.5,10.31,38.7,31.29,9.66,17.87,100.78,14.67,43.99,14.67,13.53,0,33,41.13,40,20,36,79.74,20.61,48.37,24.18,11.92,62.88,11.93,15.33

44,10:45-11:00,0,213.79,33,83,33,110.3,0,39,10.8,70.53,7.94,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,183.05,3.98,12.9,26.8,10.61,26.8,54.17,17.41,12.9,10.31,38.7,30.78,9.97,17.87,100.78,14.83,44.51,14.83,13.54,0,33,42.76,43,22,38,84.5,21.61,48.37,24.18,11.92,62.88,11.93,15.33

45,11:00-11:15,0,223.87,33,86,33,112.21,0,48,10.8,70.53,7.94,48.37,-77.39,24.18,4.49,193.48,19.35,24.18,48.37,210.57,3.98,13.48,26.8,10.61,26.8,54.17,17.41,13.48,8.45,38.7,30.78,10.41,17.87,72.56,15.33,46.01,15.33,16,0,33,44.78,50,25,34,89.26,29.01,48.37,24.18,11.92,62.88,11.93,15.33

46,11:15-11:30,0,223.87,33,86,33,114.61,0,54,10.8,70.53,7.94,48.37,-77.39,24.18,4.49,193.48,19.35,24.18,48.37,230.13,3.98,14.06,26.8,10.61,26.8,54.17,17.41,14.06,8.45,38.7,30.78,10.87,17.87,53.21,16.33,49.01,16.33,15.33,0,33,44.78,53,27,36,91.1,30.61,48.37,24.18,11.92,62.88,11.93,15.33

47,11:30-11:45,0,222.21,33,85,33,116.39,0,49,10.8,70.53,7.94,48.37,-77.39,24.18,4.49,193.48,19.35,24.18,48.37,193.48,3.98,14.66,26.8,10.61,26.8,54.17,17.41,14.66,8.45,38.7,30.78,11.33,14.63,53.21,19.33,58.01,19.33,17.67,0,33,44.44,57,28,36,92.52,32.01,48.37,24.18,11.92,62.88,11.93,15.33

48,11:45-12:00,0,220.45,33,85,33,123.93,0,51,10.8,70.53,7.94,48.37,-77.39,24.18,4.49,193.48,19.35,24.18,48.37,193.48,3.98,15.27,26.8,10.61,26.8,54.17,17.41,15.27,8.45,38.7,30.78,11.8,14.63,53.21,19,57,19,17.67,0,33,44.09,55,27,36,92.68,33.61,48.37,24.18,11.92,62.88,11.93,15.33

49,12:00-12:15,0,229.17,33,86,33,123.63,0,46,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,193.48,3.98,15.28,26.85,10.61,26.85,54.17,17.41,15.28,10.51,38.7,30.78,11.81,14.63,53.21,18.83,56.51,18.83,17.67,0,33,45.83,60,30,37,100,40.02,48.37,24.18,11.92,62.88,11.93,15.33

50,12:15-12:30,0,227.5,33,86,33,123.75,0,48,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,232.18,3.98,15.32,26.85,10.61,26.85,54.17,17.41,15.32,10.51,38.7,30.78,11.83,14.63,53.21,18.5,55.5,18.5,17.67,0,33,45.5,60,30,37,100,40.02,48.37,24.18,11.92,62.88,11.93,15.33

51,12:30-12:45,0,225,33,84,33,123.52,0,39,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,232.18,3.98,15.39,26.85,10.61,26.85,54.17,17.41,15.39,10.51,38.7,30.78,11.88,14.63,53.21,16.67,49.99,16.67,17.67,0,33,45,43,22,37,100,40.02,48.37,24.18,11.92,62.88,11.93,15.33

52,12:45-13:00,0,223.33,33,84,33,123.13,0,42,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,232.18,3.98,15.47,26.85,10.61,26.85,54.17,17.41,15.47,10.51,38.7,31.29,11.96,14.63,53.21,16,48,16,17.67,0,33,44.67,47,23,37,100,40.02,48.37,24.18,11.92,62.88,11.93,15.33

53,13:00-13:15,0,220.83,33,83,33,121.8,0,36,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,273.53,3.98,15.33,26.85,10.61,26.85,54.17,17.41,15.33,10.69,38.7,31.29,11.84,12.32,51.27,15.17,45.49,15.17,17.67,0,33,44.17,40,20,33,93.24,40.02,48.37,24.18,11.92,62.88,11.93,15.33

54,13:15-13:30,0,212.16,33,83,33,120.59,0,37,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,273.53,3.98,15.22,26.85,10.61,26.85,54.17,17.41,15.22,10.69,38.7,31.29,11.77,12.32,51.27,13.67,40.99,13.67,17.67,0,33,42.43,39,19,32,90.55,40.02,48.37,24.18,11.92,62.88,11.93,15.33

55,13:30-13:45,0,185.51,33,85,33,117.72,0,30,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,273.53,3.98,15.17,26.85,10.61,26.85,54.17,17.41,15.17,10.69,38.7,31.29,11.72,12.32,51.27,12.83,38.51,12.83,17.67,0,33,37.1,35,17,35,96.26,42.02,48.37,24.18,11.92,62.88,11.93,15.33

56,13:45-14:00,0,184.17,33,83,33,115.83,0,31,10.8,70.53,7.94,48.37,-77.39,24.18,2.46,193.48,19.35,24.18,48.37,273.53,3.98,15.17,26.85,10.61,26.85,54.17,17.41,15.17,10.69,38.7,31.29,11.72,12.32,51.27,13.67,40.99,13.67,17.67,0,33,36.83,33,17,34,95.42,42.02,48.37,24.18,11.92,62.88,11.93,15.33

57,14:00-14:15,0,176.02,33,70,33,101.92,0,31,10.8,70.53,8.99,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,234.84,3.98,15.02,26.85,10.61,26.85,54.17,17.41,15.02,10.88,38.7,31.29,11.6,12.32,51.27,13.67,40.99,13.67,16.33,0,33,35.2,40,20,34,94.86,42.02,48.37,24.18,11.92,62.88,11.93,15.33

58,14:15-14:30,0,166.22,33,70,33,99.59,0,33,10.8,70.53,8.99,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,205.76,3.98,14.92,26.85,10.61,26.85,54.17,17.41,14.92,10.88,38.7,31.29,11.53,12.32,51.27,13.67,40.99,13.67,16,0,33,33.25,43,22,34,92.94,42.02,48.37,24.18,11.92,62.88,11.93,15.33

59,14:30-14:45,0,179.17,33,63,33,94.63,0,27,10.8,70.53,8.99,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,228.13,4.19,14.86,26.85,10.61,26.85,78.36,17.41,14.86,10.88,62.88,30.78,11.49,12.32,80.29,15.17,45.49,15.17,16,0,33,35.83,52,26,32,89.66,42.02,48.37,24.18,11.92,62.88,11.93,15.33

60,14:45-15:00,0,170.83,33,60,33,90.23,0,27,10.8,70.53,8.99,48.37,-77.39,24.18,6.05,193.48,19.35,24.18,48.37,235.67,4.19,14.86,26.85,10.61,26.85,102.99,17.41,14.86,10.88,67.26,30.78,11.48,12.32,100.78,17.33,52.01,17.33,16,0,33,34.17,50,25,30,86.26,42.02,48.37,24.18,11.92,62.88,11.93,15.33

61,15:00-15:15,0,186.35,33,60,33,85.42,0,27,10.8,70.53,8.99,48.37,-0,24.18,6.05,193.48,19.35,24.18,48.37,235.67,4.19,14.47,26.85,10.61,26.85,102.99,17.41,14.47,11.58,67.26,30.78,11.18,12.32,100.78,18.67,55.99,18.67,16,0,33,37.27,47,23,30,82.74,42.02,48.37,24.18,11.92,62.88,11.93,15.33

62,15:15-15:30,0,169.2,33,58,33,57.88,0,27,10.8,70.53,8.99,48.37,-0,24.18,6.05,193.48,19.35,24.18,48.37,231.82,4.19,13.6,26.85,10.61,26.85,102.99,17.41,13.6,11.58,67.26,30.78,10.51,12.32,100.78,19.83,59.51,19.83,16.33,0,33,33.84,43,22,29,76.92,42.02,48.37,24.18,11.92,62.88,11.93,15.33

