Column1,Block,NR/2025/32375/A/94116,NR/2025/31041/A/94247,NR/2025/32598/A/94184,NR/2025/32559/A/94097,NR/2025/31042/A/94248,NR/2025/32262/A/93726,NR/2025/32554/A/94069,NR/2025/32887/C,NR/2025/32610/A/94096,NR/2025/32893/C,NR/2025/29992/A/93759,NR/2025/32004/A/94101,NR/2025/32702/A/93783,NR/2025/32894/C,NR/2025/31421/A/94120,NR/2025/32455/A/94090,NR/2025/32895/C,NR/2025/32556/A/94098,NR/2025/29440/A/93711,NR/2025/32397/A/93655,NR/2025/31046/A/94249,NR/2025/32884/C,NR/2025/32872/C,NR/2025/31047/A/94250,NR/2025/32911/C,NR/2025/32532/A/94052,NR/2025/32858/C,NR/2025/32880/C,NR/2025/32532/A/94053,NR/2025/32880/C/Alternate/1,NR/2025/32855/C,NR/2025/32534/A/94054,NR/2025/32534/A/94055,NR/2025/32652/A/93855,NR/2025/32535/A/94056,NR/2025/32653/A/93854,GNARE/NR/2024/12/20/3668,NR/2025/32535/A/94057,NR/2025/32599/A/94066,NR/2025/32889/C,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,Total
3,00:30-00:45,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.87,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1160.1200000000001

4,00:45-01:00,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.87,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1160.1200000000001

5,01:00-01:15,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1159.88

6,01:15-01:30,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1159.88

7,01:30-01:45,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1159.88

8,01:45-02:00,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,48.19,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,33.73,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1159.88

9,02:00-02:15,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,0,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1159.88

10,02:15-02:30,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,0,0,0,0,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1159.88

11,02:30-02:45,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,12.53,0,0,0,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1172.41

12,02:45-03:00,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,106.02,12.53,0,0,0,0,24.1,0.63,8.67,0,0,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1172.41

13,03:00-03:15,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1143.03

14,03:15-03:30,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1143.03

15,03:30-03:45,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1143.03

16,03:45-04:00,48.19,0,81.92,24.1,0,54.21,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1143.03

17,04:00-04:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1088.82

18,04:15-04:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1088.82

19,04:30-04:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1088.82

20,04:45-05:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1088.82

21,05:00-05:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1088.82

22,05:15-05:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,12.53,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1088.82

23,05:30-05:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1086.89

24,05:45-06:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.53,8.67,0,0,0,0,0,0,0,192.76,0,0,0,0,0,0,0,0,0.28,0,0,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1087.17

25,06:00-06:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.82,0,0,0,0,0,0,0.03,0,192.76,0.02,0,0,0.03,0.01,0,0.1,0,2.11,0.01,2,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1082.82

26,06:15-06:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.82,0,0,0,0,0,0,0.05,0,192.76,0.03,0,0,0.05,0.02,0,0.1,0,3.45,0.03,5,0,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1087.24

27,06:30-06:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.82,0,0,0,0,0,0,0.08,0,192.76,0.07,0,0,0.08,0.02,0,0.1,0,4.2,0.05,11,0.84,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1094.95

28,06:45-07:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.82,0,0,0,0,0,0,0.1,0,192.76,0.1,0,0,0.1,0.03,0,0.1,0,6.87,0.07,14,1.38,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1101.2600000000002

29,07:00-07:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.87,0,0,0,0,0,0,0.1,0,192.76,0.13,0,0,0.1,0.09,0,0.1,0,10.2,0.09,21,1.98,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1112.3500000000004

30,07:15-07:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,10.6,0,0,0,0,24.1,0.87,0,0,0,0,0,0,0.1,0,192.76,0.19,0,0,0.1,0.13,0,0.1,0,14.35,0.13,28,2.98,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1124.6400000000003

31,07:30-07:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,9.64,0,0,0,0,24.1,0.87,0,0,0,0,0,0,0.1,0,192.76,0.23,0,0,0.1,0.15,0,0.1,0,19.25,0.15,46,3.86,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1147.5400000000002

32,07:45-08:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,9.64,0,0,0,0,24.1,0.87,0,0,0,0,0,0,0.1,0,192.76,0.27,0,0,0.1,0.18,0,0.1,0,24.76,0.18,60,5.26,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1168.55

33,08:00-08:15,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,9.64,0,0,0,0,24.1,0.96,0,0,0,0,0,0,0.1,0,192.76,0.29,0,1.16,0.1,0.19,1.64,0.1,0,30.72,0.19,74,6.2,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1192.3800000000003

34,08:15-08:30,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,9.64,0,0,0,0,24.1,0.96,0,0,0,0,0,0,0.1,0,192.76,0.29,0,1.16,0.1,0.29,1.64,0.1,0,37.05,0.19,88,8.55,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1215.16

35,08:30-08:45,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,9.64,0,0,0,0,24.1,0.96,0,0,0,0,0,0,0.1,0,192.76,0.29,0,1.16,0.1,0.19,1.64,0.1,0,43.42,0.19,102,5.89,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1232.77

36,08:45-09:00,48.19,0,81.92,24.1,0,0,163.85,0,24.1,0,44.33,76.74,9.64,0,0,0,0,24.1,0.96,0,0,0,0,0,0,0.19,0,192.76,0.29,0,1.16,0.1,0.19,1.64,0.1,0,49.56,0.19,116,5.89,40.96,81.92,19.28,20.48,26.94,20.8,8.03,15.28,0,81.92,20.48,15.94,26.94,8.03,1253.0000000000002

37,09:00-09:15,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.19,163.85,192.76,0.39,0,1.16,0.1,0.29,1.64,0.1,0,55.39,0.19,126,5.89,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1270.01

38,09:15-09:30,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.48,0,1.16,0.1,0.29,1.64,0.1,0,61.08,0.19,140,6.87,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1290.8700000000001

39,09:30-09:45,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.48,0,1.16,0.1,0.29,1.64,0.1,0,68.46,0.19,151,6.87,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1309.2500000000002

40,09:45-10:00,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.19,163.85,192.76,0.48,0,1.16,0.1,0.29,1.64,0.1,0,73.65,0.19,161,7.85,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1325.3200000000002

41,10:00-10:15,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.19,163.85,192.76,0.48,0,1.16,0.1,0.29,1.64,0.1,1.45,78.49,0.29,172,7.85,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1342.71

42,10:15-10:30,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.19,163.85,192.76,0.48,0,1.16,0.1,0.39,1.64,0.1,1.45,83.05,0.29,182,7.85,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1357.3700000000001

43,10:30-10:45,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.46,0,1.16,0.1,0.38,1.64,0.1,1.45,87.13,0.29,193,11.56,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1376.23

44,10:45-11:00,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.56,0,1.16,0.1,0.38,1.64,0.1,1.45,90.67,0.29,200,12.84,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1388.15

45,11:00-11:15,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.46,0,1.16,0.1,0.38,1.64,0.1,1.45,98.33,0.29,200,14.11,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1396.9800000000002

46,11:15-11:30,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,192.76,0.46,0,1.16,0.1,0.37,1.64,0.1,1.45,98.33,0.29,200,15.56,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1398.42

47,11:30-11:45,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.44,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.29,200,16.93,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1371.0900000000001

48,11:45-12:00,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.29,200,18.22,40.96,81.92,19.28,20.48,26.95,20.8,8.03,15.28,0,81.92,20.48,15.94,26.95,8.03,1372.5200000000002

49,12:00-12:15,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.37,1.64,0.1,1.45,98.33,0.29,203,19.4,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1376.7300000000002

50,12:15-12:30,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.29,203,19.7,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1377.0200000000002

51,12:30-12:45,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.29,203,19.96,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1377.2800000000002

52,12:45-13:00,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.19,1.64,0.1,1.45,98.33,0.29,203,20.24,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1377.3900000000003

53,13:00-13:15,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.27,203,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1366.1300000000003

54,13:15-13:30,0,0,81.92,0,0,0,0,0,0,24.1,0,0,10.6,24.1,0,0,24.1,0,0.96,0,0,48.19,76.74,0,44.33,0.29,163.85,164.09,0.58,0,1.16,0.1,0.36,1.64,0.1,1.45,98.33,0.27,200,8.83,40.96,81.92,19.28,20.48,26.96,20.8,8.03,15.28,0,81.92,20.48,15.94,26.96,8.03,1363.1300000000003

