Time,Block,NR/2024/21150/A/29373,NR/2024/21158/A/29377,NR/2024/20931/A/29522,NR/2024/21141/A/29324,NR/2024/21113/A/29613,NR/2024/22038/C,NR/2024/21099/A/29322,NR/2024/21186/A/29624,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22031/C,NR/2024/21160/A/29374,NR/2024/21148/A/29372,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/22036/C,NR/2024/21153/A/29375,NR/2024/20966/A/29274,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21199/A/29342,NR/2024/22024/C,NR/2024/21173/A/29381,NR/2024/21072/A/29615,NR/2024/22023/C,NR/2024/21227/A/29590,NR/2024/21062/A/29570,NR/2024/22032/C,NR/2024/21339/A/29315,NR/2024/22029/C,NR/2024/21682/A/29600,NR/2024/21146/A/29371,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21567/A/29612,NR/2024/20688/A/29383,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/20573/A/29572,NR/2024/22030/C,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21142/A/29320,NR/2024/21156/A/29378,NR/2024/21108/A/29587,NR/2024/21238/A/29632,NR/2024/19779/A/29453,NR/2024/21023/A/29343,NR/2024/21159/A/29376,NR/2024/20574/A/29571,NR/2024/21210/A/29318,NR/2024/21144/A/29341,NR/2024/21103/A/29592,NR/2024/21075/A/29631,NR/2024/21152/A/29273,NR/2024/21076/A/29628,NR/2024/21087/A/29382,NR/29072024/29072024/DD20240729NR25886,NR/01102023/23072042/L_NR_2012_04,NR/30092023/31122025/SH-07,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21096/A/29596,NR/2024/20711/A/29601,NR/2024/21978/A/29503,NR/30092023/26122029/SH-06,NR/01072024/31072024/R2,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/29629,NR/2024/21089/A/29614,NR/2024/22025/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total

3,00:30-00:45,0.880000,0.670000,0.000000,47.640000,37.210000,14.080000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.630000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2360.61

4,00:45-01:00,0.880000,0.670000,0.000000,47.640000,37.210000,14.400000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,24.080000,0.000000,48.160000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,192.640000,96.320000,48.160000,0.610000,24.000000,2.890000,0.630000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,32.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2360.93

5,01:00-01:15,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,96.320000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,0.000000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2145.92

6,01:15-01:30,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,96.320000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,9.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2155.87

7,01:30-01:45,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,96.320000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,9.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2155.87

8,01:45-02:00,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,38.530000,0.970000,0.520000,96.320000,125.220000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,12.180000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,96.320000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,67.420000,0.000000,9.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,2155.87

9,02:00-02:15,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1820.2

10,02:15-02:30,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1820.2

11,02:30-02:45,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1820.2

12,02:45-03:00,0.880000,0.670000,0.000000,47.640000,37.210000,0.000000,24.080000,48.160000,38.530000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.580000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,9.630000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1820.2

13,03:00-03:15,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1733.02

14,03:15-03:30,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1733.02

15,03:30-03:45,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1733.02

16,03:45-04:00,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.610000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1733.02

17,04:00-04:15,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1732.56

18,04:15-04:30,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,8.670000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1732.56

19,04:30-04:45,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1731.6

20,04:45-05:00,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,67.420000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1731.6

21,05:00-05:15,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,24.080000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1688.26

22,05:15-05:30,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,24.080000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1688.26

23,05:30-05:45,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,24.080000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1688.26

24,05:45-06:00,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,36.120000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.530000,0.000000,0.880000,12.040000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,24.080000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1688.26

25,06:00-06:15,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.670000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,13.950000,14.720000,24.080000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1640.24

26,06:15-06:30,0.880000,0.670000,0.000000,0.000000,37.210000,0.000000,24.080000,48.160000,0.000000,0.000000,0.000000,0.970000,0.520000,96.320000,0.000000,1.590000,4.820000,0.000000,72.240000,0.000000,163.980000,24.080000,37.210000,27.930000,0.000000,0.000000,0.000000,0.000000,0.000000,240.800000,0.360000,12.410000,12.410000,66.640000,13.150000,0.000000,0.000000,96.320000,48.160000,0.610000,24.000000,2.890000,0.670000,0.000000,0.880000,0.000000,48.160000,0.480000,83.970000,11.700000,1.930000,90.540000,24.080000,0.000000,0.000000,1.350000,14.720000,24.080000,96.320000,7.710000,32.000000,24.080000,48.160000,21.190000,37.210000,0,0,0,1627.64

