Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30082/A/92244,NR/2025/30067/A/92232,NR/2025/32370/C,NR/2025/29440/A/91729,NR/2025/30086/A/92220,NR/2025/30083/A/92222,NR/2025/32371/C,NR/2025/30084/A/92221,NR/2025/29910/A/92225,NR/2025/29353/A/91950,NR/2025/32344/C,NR/2025/29992/A/91829,NR/2025/27975/A/92246,NR/2025/32345/C,NR/2025/27973/A/92247,NR/2025/32321/C,NR/2025/30105/A/92219,NR/2025/32367/C/Alternate/1,NR/2025/29352/A/92259,NR/2025/30121/A/91718,NR/2025/32373/C,NR/2025/32367/C,NR/2025/30101/A/92253,NR/2025/32374/C,NR/2025/32385/C,NR/2025/29915/A/91737,NR/2025/32325/C,NR/2025/32386/C,NR/2025/31780/A/92147,GNA/NR/2025/07/01/8139,NR/2025/32387/C,NR/2025/29167/A/91738,NR/2025/32389/C,NR/2025/32284/C,NR/2025/30217/A/92218,NR/2025/29628/A/92228,NR/2025/29439/A/91830,NR/2025/32343/C,NR/2025/32390/C,NR/2025/32318/C,NR/2025/30191/A/91699,NR/2025/27966/A/92249,NR/2025/28728/A/92161,NR/2025/31870/A/91791,NR/2025/32280/C,NR/2025/27978/A/92257,NR/2025/27965/A/92251,NR/2025/32379/C,NR/2025/31137/A/92187,NR/2025/31136/A/92182,NR/2025/31138/A/92189,NR/2025/29985/A/92149,NR/2025/31420/A/91922,NR/2025/31137/A/92186,NR/2025/31138/A/92188,NR/2025/31347/A/91698,NR/2025/31419/A/91924,NR/2025/31136/A/92183,GNA/NR/2025/07/01/8154,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,48.06,204.23,0,0.91,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,111.14,28.59,6.73,0,81.08,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,23.56,15.23,81.69,134.79,163.39,49.02,19.22,43.68,23.56,18.21,2021.0699999999997

4,00:45-01:00,0,48.06,204.23,0,0.91,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,110.81,28.59,6.73,0,81.41,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.21,2027.8100000000002

5,01:00-01:15,0,48.06,204.23,0,0.77,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,110.1,28.59,6.73,0,82.12,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.12,2027.5800000000002

6,01:15-01:30,0,48.06,204.23,0,0.77,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,109.81,28.59,6.73,0,82.41,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.12,2027.5799999999997

7,01:30-01:45,0,48.06,204.23,0,0.77,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,112.43,28.59,6.73,0,79.79,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.12,2027.5800000000002

8,01:45-02:00,0,48.06,204.23,0,0.77,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,112.83,28.59,6.73,0,79.39,48.06,0,0,20.42,0,0,96.11,0,0,54.06,0,0,7.69,105.72,25.07,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.12,2027.5800000000002

9,02:00-02:15,0,48.06,204.23,0,0.67,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,55.98,28.59,6.73,0,136.24,48.06,0,0,20.42,0,0,0,0,0,54.06,0,0,7.69,105.72,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.03,1906.21

10,02:15-02:30,0,48.06,204.23,0,0.67,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,55.62,28.59,6.73,0,136.6,48.06,0,0,20.42,0,0,0,0,0,54.06,0,0,7.69,105.72,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.03,1906.21

11,02:30-02:45,0,48.06,204.23,0,0.67,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,55.65,28.59,6.73,0,136.57,48.06,0,0,20.42,0,0,0,0,0,54.06,0,0,7.69,105.72,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.03,1906.21

12,02:45-03:00,0,48.06,204.23,0,0.67,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,56.1,28.59,6.73,0,136.12,48.06,0,0,20.42,0,0,0,0,0,54.06,0,0,7.69,105.72,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,49.02,19.22,43.68,26.93,18.03,1906.21

13,03:00-03:15,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,54.06,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.93,1603.1900000000005

14,03:15-03:30,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,54.06,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.93,1603.1900000000005

15,03:30-03:45,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,54.06,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.93,1603.1900000000005

16,03:45-04:00,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,67.28,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,54.06,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,67.28,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.93,1603.1900000000005

17,04:00-04:15,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.85,1414.49

18,04:15-04:30,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.85,1414.49

19,04:30-04:45,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.85,1414.49

20,04:45-05:00,0,48.06,0,0,0.62,24.03,8.01,0,24.03,19.22,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.85,1414.49

21,05:00-05:15,0,48.06,0,0,0.62,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1411.74

22,05:15-05:30,0,48.06,0,0,0.62,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,12.49,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1411.74

23,05:30-05:45,0,48.06,0,0,0.62,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,0,0,0,0,0,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1409.82

24,05:45-06:00,0.17,48.06,0,0,0.62,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,0,0,0,0,1,0,0,0,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1410.99

25,06:00-06:15,0.96,48.06,0,0,0.82,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,0,0,0.05,0,3,0,0.05,0.05,0,0,0,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1414.1299999999999

26,06:15-06:30,1.8,48.06,0,0,0.82,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,0,0.01,0.09,0.02,7,0,0.09,0.09,0,0,0.04,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1419.16

27,06:30-06:45,2.92,48.06,0,0,0.82,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,0.84,0.04,0.1,0.04,11,0,0.1,0.1,0,0,0.06,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1425.22

28,06:45-07:00,4.68,48.06,0,0,0.82,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,1.37,0.03,0.1,0.07,14,0,0.1,0.1,0,0,0.1,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.75,1430.5700000000004

29,07:00-07:15,6.18,48.06,0,0,0.86,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,1.97,0.04,0.1,0.08,21,0,0.1,0.1,0,0,0.12,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1439.6700000000003

30,07:15-07:30,7.67,48.06,0,0,0.86,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,10.57,0,96.11,0,2.97,0.07,0.1,0.13,28,0,0.1,0.1,0,0,0.2,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1449.3200000000004

31,07:30-07:45,9.17,48.06,0,0,0.86,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,9.61,0,96.11,0,3.85,0.13,0.1,0.13,35,0,0.1,0.1,0,0,0.21,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1457.8100000000002

32,07:45-08:00,10.67,48.06,0,0,0.86,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,9.61,0,96.11,0,5.25,0.14,0.1,0.14,46,0,0.1,0.1,0,0,0.21,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1471.7300000000002

33,08:00-08:15,14.58,48.06,0,0,0.96,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,9.61,0,96.11,0,6.18,0.16,0.1,0.16,56,1.63,0.1,0.1,9.61,0,0.24,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1497.9800000000002

34,08:15-08:30,18.49,48.06,0,0,0.96,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,9.61,0,96.11,0,8.52,0.17,0.1,0.17,67,1.63,0.1,0.1,9.61,0,0.26,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1515.2700000000002

35,08:30-08:45,22.4,48.06,0,0,0.96,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,9.61,0,96.11,0,5.87,0.19,0.19,0.19,74,1.63,0.1,0.1,9.61,0,0.29,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1523.6900000000003

36,08:45-09:00,26.31,48.06,0,0,0.96,24.03,8.01,0,24.03,16.57,81.69,0,44.21,0,0,0,0,16.02,0,28.59,6.73,0,192.22,48.06,0,0,0,0,0,0,0,0,0,0,0,7.69,76.52,0,0,0,0,48.06,0,81.69,9.61,0,96.11,0,5.87,0.19,0.19,0.19,84,1.63,0.1,0.1,9.61,0,0.29,20.73,26.93,15.23,81.69,134.79,163.39,0,19.22,43.68,26.93,17.67,1537.6000000000006

37,09:00-09:15,36.27,0,0,48.06,0,0,0,96.11,0,0,81.69,0,0,0,0,0,81.69,0,0,28.59,0,76.52,192.22,0,16.57,8.01,0,44.21,24.03,0,0,16.02,0,7.69,6.73,0,0,0,0.96,24.03,48.06,0,0,0,10.57,48.06,0,0,5.87,0.19,0.19,0.19,102,1.63,0.1,0.1,9.61,0,0.38,20.73,26.94,15.23,81.69,134.79,163.39,0,19.22,43.68,26.94,17.57,1566.5300000000004

38,09:15-09:30,41.22,0,0,48.06,0,0,0,96.11,0,0,81.69,0,0,0,0,0,81.69,0,0,28.59,0,76.52,192.22,0,16.57,8.01,0,44.21,24.03,0,0,16.02,0,7.69,6.73,0,0,0,0.96,24.03,48.06,0,0,0,10.57,48.06,0,0,6.85,0.19,0.29,0.19,112,1.63,0.1,0.1,9.61,0,0.48,20.73,26.94,15.23,81.69,134.79,163.39,0,19.22,43.68,26.94,17.57,1582.6600000000005

39,09:30-09:45,51.12,0,0,48.06,0,0,0,96.11,0,0,81.69,0,0,0,0,0,81.69,0,0,28.59,0,76.52,192.22,0,16.57,8.01,0,44.21,24.03,0,0,16.02,0,7.69,6.73,0,0,0,0.96,24.03,48.06,0,0,0,10.57,48.06,0,0,6.85,0.19,0.29,0.19,105,1.63,0.1,0.1,9.61,0,0.48,20.73,26.94,15.23,81.69,134.79,163.39,0,19.22,43.68,26.94,17.57,1585.5600000000002

40,09:45-10:00,57.08,0,0,48.06,0,0,0,96.11,0,0,81.69,0,0,0,0,0,81.69,0,0,28.59,0,76.52,192.22,0,16.57,8.01,0,44.21,24.03,0,0,16.02,0,7.69,6.73,0,0,0,0.96,24.03,48.06,0,0,0,10.57,48.06,0,0,7.82,0.29,0.19,0.19,116,1.63,0.1,0.1,9.61,0,0.48,20.73,26.94,15.23,81.69,134.79,163.39,0,19.22,43.68,26.94,17.57,1603.4900000000005

