Block,Time,CHAMERA3,KHSTPP-II,KUDGI,NLCEXP,PARBATI2,RIHAND2,SEWA2,SINGRAULI_HYDRO,AURY_CRF,AURY_LF,CHAMERA1,NAPP,SIMHST1,TEHRIPSP,VALLURNTECL,KOLDAM,NTPL,PARBATI3,SASAN,URI,ANTA_RF,DADRI_CRF,DHAULIGNGA,KGSU3AND4,KISHANGANGA,RAPPD,TALST2,TANDA2,TelanganaSTPP,UNCHAHAR1,AURY_GF,AURY_RF,BSIUL,KKNPPU2,MAPS,NLCTS2EXP,NNTPP,RAPPB,RAPPC,RSTPSU7,SALAL,TANAKPUR,UNCHAHAR2,UNCHAHAR4,DADRI_LF,DADRI_RF,DADRT2,FSTPP I & II,KGSU1AND2,KOTESHWR,RIHAND1,SINGRAULI,URI2,ANTA_CRF,ANTA_LF,DADRI_GF,BRBCL,CHAMERA2,DULHASTI,JHAJJAR,NJPC,NLCIIST1,NLCIIST2,RAMPUR,TALA,UNCHAHAR3,KHSTPP-I,KKNP,RIHAND3,RSTPSU1TO6,SIMHST2,TEHRI,ANTA_GF
11,02:30-02:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,59.06,0,10.65,0,59.18,345.94,36.43,51.93,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

12,02:45-03:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,51.93,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,85.41,12.17,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

13,03:00-03:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,52.32,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

14,03:15-03:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,52.32,0,43.85,0,8.76,25.64,0,5.8,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,18.76,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

15,03:30-03:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,20.79,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.99,27.99,45.53,0,132.37,0,0,31.61,0

16,03:45-04:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,20.79,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.93,27.99,45.53,0,132.37,0,0,31.61,0

17,04:00-04:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,20.79,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.81,27.99,45.53,0,132.37,0,0,31.61,0

18,04:15-04:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,36.43,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,20.79,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.75,27.99,45.53,0,132.37,0,0,31.61,0

19,04:30-04:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,20.79,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.64,27.99,45.53,0,132.37,0,0,31.61,0

20,04:45-05:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,590.85,20.79,0,10.44,93.3,155.58,32.18,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,29.52,27.99,45.53,0,132.37,0,0,31.61,0

21,05:00-05:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.81,27.99,45.53,0,132.37,0,0,31.61,0

22,05:15-05:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.58,27.99,45.53,0,132.37,0,0,31.61,0

23,05:30-05:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.4,27.99,45.53,0,132.37,0,0,31.61,0

24,05:45-06:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.22,27.99,45.53,0,132.37,0,0,31.61,0

25,06:00-06:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,52.36,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.01,27.99,45.53,0,132.37,0,0,31.61,0

26,06:15-06:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,52.36,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,81.92,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,27.93,27.99,45.53,0,132.37,0,0,31.61,0

27,06:30-06:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,80.76,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.37,27.99,45.53,0,132.37,0,0,21.08,0

28,06:45-07:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,52.32,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,80.76,11.91,45.62,3.98,0,76.68,690.85,20.79,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.37,27.99,45.53,0,132.37,0,0,10.53,0

29,07:00-07:15,35.09,148.3,0,0,58.05,124.3,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,51.93,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,150.88,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.69,27.99,45.53,0,129.57,0,0,0,0

30,07:15-07:30,35.09,148.3,0,0,58.05,124.3,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,51.93,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,13.04,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,150.88,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.67,27.99,45.53,0,129.57,0,0,0,0

31,07:30-07:45,35.09,148.3,0,0,58.05,124.3,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,51.93,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,150.88,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,28.64,27.99,45.53,0,129.57,0,0,0,0

32,07:45-08:00,35.09,148.3,0,0,58.05,124.3,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,345.94,37.53,51.93,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,150.88,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.16,27.99,45.53,0,129.57,0,0,0,0

33,08:00-08:15,35.09,148.3,0,0,58.05,124.3,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,52.36,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.16,27.99,45.53,0,129.57,0,0,0,0

34,08:15-08:30,35.09,148.3,0,0,58.05,124.3,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,52.36,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,150.85,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.14,27.99,45.53,0,129.57,0,0,0,0

35,08:30-08:45,35.09,148.3,0,0,58.05,124.26,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,52.36,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.14,27.99,45.53,0,129.56,0,0,0,0

36,08:45-09:00,35.09,148.3,0,0,58.05,124.26,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,52.36,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,91.36,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.11,27.99,45.53,0,129.56,0,0,0,0

37,09:00-09:15,35.09,148.3,0,0,58.05,124.26,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,39.75,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,91.36,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.79,27.99,45.53,0,129.56,0,0,0,0

38,09:15-09:30,35.09,148.3,0,0,58.05,124.26,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,39.75,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,91.36,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.79,27.99,45.53,0,129.56,0,0,0,0

39,09:30-09:45,35.09,148.3,0,0,43.73,124.26,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,39.75,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,91.36,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.75,27.99,45.53,0,129.56,0,0,0,0

40,09:45-10:00,35.09,148.3,0,0,43.73,124.26,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,39.75,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,91.36,155.58,28.96,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.75,27.99,45.53,0,129.56,0,0,0,0

41,10:00-10:15,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,39.75,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.87,27.99,45.53,0,132.37,0,0,0,0

42,10:15-10:30,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,39.75,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,80.18,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.87,27.99,45.53,0,132.37,0,0,0,0

43,10:30-10:45,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,42.15,24.62,0,0,0,10.65,0,59.18,348.98,44.16,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,79.01,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.87,27.99,45.53,0,132.37,0,0,0,0

44,10:45-11:00,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,51.27,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,79.01,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,30.87,27.99,45.53,0,132.37,0,0,0,0

45,11:00-11:15,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,50.62,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,79.01,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

46,11:15-11:30,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,50.62,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,79.01,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

47,11:30-11:45,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,50.62,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,32.2,27.99,45.53,0,132.37,0,0,0,0

48,11:45-12:00,35.09,148.3,0,0,43.73,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,50.62,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,40.23,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,32.2,27.99,45.53,0,132.37,0,0,0,0

49,12:00-12:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,49.95,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,33.8,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

50,12:15-12:30,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,49.95,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,33.8,0,0,0,24.99,48.9,58.17,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

51,12:30-12:45,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,49.95,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,33.8,0,0,0,24.99,48.9,39.74,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

52,12:45-13:00,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,49.95,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,33.8,0,0,0,24.99,48.9,39.74,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

53,13:00-13:15,35.09,148.3,0,0,58.05,126.8,0,1.16,0,0,40.29,24.62,0,0,0,10.65,0,59.18,348.98,44.16,49.95,0,43.85,0,8.76,25.64,0,7.07,0,21.83,0,80.92,6.52,0,0,0,0,0,68.56,0,53.45,11.91,45.62,3.98,0,76.68,690.85,20.8,0,10.44,93.3,155.58,33.8,0,0,0,24.99,48.9,39.74,670.85,181.16,0,0,7.04,31.75,27.99,45.53,0,132.37,0,0,0,0

