Block,Time,BRBCL,NJPC,SEWA2,SINGRAULI_HYDRO,UNCHAHAR1,DADRT2,JHAJJAR,KISHANGANGA,KUDGI,NTPL,RAPPB,RSTPSU7,TEHRIPSP,UNCHAHAR3,ANTA_RF,DADRI_CRF,CHAMERA1,KGSU1AND2,KHSTPP-I,KKNPPU2,KOLDAM,NLCIIST2,NLCTS2EXP,URI2,FSTPP I & II,KGSU3AND4,MAPS,NAPP,RAMPUR,UNCHAHAR4,VALLURNTECL,ANTA_CRF,AURY_LF,CHAMERA3,DHAULIGNGA,NNTPP,RSTPSU1TO6,SALAL,SINGRAULI,AURY_RF,DADRI_GF,BSIUL,CHAMERA2,DULHASTI,KOTESHWR,NLCIIST1,RAPPD,RIHAND1,RIHAND3,SIMHST2,TANDA2,UNCHAHAR2,URI,ANTA_GF,ANTA_LF,DADRI_LF,KHSTPP-II,PARBATI2,TEHRI,AURY_GF,DADRI_RF,KKNP,NLCEXP,PARBATI3,RAPPC,RIHAND2,SASAN,SIMHST1,TALA,TALST2,TANAKPUR,TelanganaSTPP,AURY_CRF
6,01:15-01:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.34,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,52.07,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.25,0,13.06,0,0

7,01:30-01:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.34,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,52.07,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.29,0,13.06,0,0

8,01:45-02:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.34,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,52.07,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.32,0,13.06,0,0

9,02:00-02:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,34.23,0,0,0,98.87,52.07,76.18,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.37,0,13.06,0,0

10,02:15-02:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,34.23,0,0,0,98.87,52.07,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.37,0,13.06,0,0

11,02:30-02:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,52.07,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.37,0,13.06,0,0

12,02:45-03:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,84.83,113.75,81.3,0,19.56,47.12,53.88,40.57,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,52.07,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.37,0,13.06,0,0

13,03:00-03:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,52.07,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.44,0,11.91,0,0

14,03:15-03:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,52.07,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.44,0,11.91,0,0

15,03:30-03:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.44,0,11.91,0,0

16,03:45-04:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.4,0,11.91,0,0

17,04:00-04:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,25.39,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.4,0,11.91,0,0

18,04:15-04:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,25.39,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.4,0,11.91,0,0

19,04:30-04:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,25.39,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.17,0,11.91,0,0

20,04:45-05:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,25.39,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,20.02,0,11.91,0,0

21,05:00-05:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.3,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,19.87,0,11.91,0,0

22,05:15-05:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,19.73,0,11.91,0,0

23,05:30-05:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,19.55,0,11.91,0,0

24,05:45-06:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.85,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,19.29,0,11.91,0,0

25,06:00-06:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,19.14,0,11.91,0,0

26,06:15-06:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

27,06:30-06:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,52.36,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.91,0,11.91,0,0

28,06:45-07:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,2.76,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,52.36,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

29,07:00-07:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,52.36,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

30,07:15-07:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

31,07:30-07:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

32,07:45-08:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.59,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,49.26,75.56,0,106.04,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

33,08:00-08:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,52.36,0,0,0,98.87,49.26,75.56,0,103.41,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

34,08:15-08:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,24.94,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,52.36,0,0,0,98.87,49.26,75.56,0,103.41,0,0,37.17,65.42,125.27,418.77,0,18.99,0,11.91,0,0

35,08:30-08:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,52.36,0,0,0,98.87,49.26,56.67,0,103.41,0,0,37.17,65.42,125.27,418.77,0,21.9,0,11.91,0,0

36,08:45-09:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,52.09,0,42.15,0,45.53,0,8.62,0,0,37.42,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,81.17,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,37.53,0,0,0,98.87,49.26,37.78,0,103.41,0,0,37.17,65.42,125.27,418.77,0,21.9,0,11.91,0,0

37,09:00-09:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,51.59,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,26.49,0,0,0,98.87,49.26,18.89,0,103.41,0,0,37.17,65.42,125.27,418.77,0,21.9,0,11.91,0,0

38,09:15-09:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,51.59,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,26.49,0,0,0,98.87,49.26,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,21.9,0,11.91,0,0

39,09:30-09:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,51.59,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,26.49,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.12,0,11.91,0,0

40,09:45-10:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,51.59,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,26.49,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.12,0,11.91,0,0

41,10:00-10:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.82,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.12,0,11.91,0,0

42,10:15-10:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.82,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.12,0,11.91,0,0

43,10:30-10:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.57,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,35.33,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.13,0,11.91,0,0

44,10:45-11:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.57,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,35.33,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.13,0,11.91,0,0

45,11:00-11:15,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.06,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.91,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,39.75,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.29,0,11.91,0,0

46,11:15-11:30,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.06,0,42.15,0,45.53,0,8.62,0,0,28.06,15.29,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,39.75,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.29,0,11.91,0,0

47,11:30-11:45,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.06,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,19.56,47.12,53.88,10.14,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.13,0,11.91,0,0

48,11:45-12:00,24.99,175.79,18.34,0,21.65,689.38,667.25,2.32,0,0,0,0,0,27.69,50.06,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,35.89,0,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.13,0,11.91,0,0

49,12:00-12:15,24.99,175.79,18.34,0,21.65,689.38,667.25,4.64,0,0,0,0,0,27.69,49.81,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,35.89,18.89,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.17,0,11.91,0,0

50,12:15-12:30,24.99,175.79,18.34,0,21.65,689.38,667.25,4.64,0,0,0,0,0,27.69,49.81,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,35.89,37.78,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.23,0,11.91,0,0

51,12:30-12:45,24.99,175.79,18.34,0,21.65,689.38,667.25,0,0,0,0,0,0,27.69,49.81,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,19.56,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,50.66,37.78,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.4,0,11.91,0,0

52,12:45-13:00,24.99,175.79,18.34,0,21.65,689.38,667.25,0,0,0,0,0,0,27.69,49.81,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,50.66,37.78,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.58,0,11.91,0,0

53,13:00-13:15,24.99,175.79,18.34,0,21.65,689.38,667.25,4.64,0,0,0,0,0,27.69,49.56,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.52,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,50.66,56.67,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.72,0,11.91,0,0

54,13:15-13:30,24.99,175.79,18.34,0,21.65,689.38,667.25,4.64,0,0,0,0,0,27.69,49.56,0,42.15,0,45.53,0,8.62,0,0,28.06,16.68,0,0,23.98,5.67,3.22,0,0,0,33.94,42.46,0,0,82.5,113.75,80.39,0,13.04,47.12,53.88,20.29,0,23.68,48.09,130.84,0,5.73,45,30.91,0,0,0,98.87,50.66,56.67,0,103.41,0,0,37.17,65.42,125.27,418.77,0,22.72,0,11.91,0,0

