Time,Block,NR/2023/16486/D,NR/2023/16494/C,NR/2023/15402/F,NR/2023/14898/A,NR/2023/16507/C,NR/2023/14745/A,NR/2023/16508/C,NR/2023/14737/A,NR/2023/16535/C,NR/2023/16190/F,NR/2023/12053/A,NR/2023/13635/A,NR/2023/16483/D,NR/2023/16515/C,NR/2023/15309/F,NR/2023/13862/A,NR/2023/14895/A,NR/2023/12167/A,NR/2023/12591/A,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12052/A,NR/2023/12431/A,NR/2023/12148/A,NR/2023/16502/C,NR/2023/16471/D,NR/2023/15057/F,NR/2023/12347/A,NR/2023/12422/A,NR/2023/16487/D,NR/2023/16476/D,NR/2023/14746/A,SR/2023/9052/C,NR/2023/16501/C,ER/2023/10267/C,SR/2023/9012/C,Total
5,01:00-01:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.680000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,150.000000,0.00,1590.25

6,01:15-01:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.680000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,150.000000,0.00,1590.25

7,01:30-01:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.680000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,150.000000,0.00,1590.25

8,01:45-02:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.620000,72.550000,0.680000,98.660000,38.010000,0,0.000000,88.700000,100.00,0,150.000000,0.00,1590.25

9,02:00-02:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.530000,72.550000,0.580000,98.660000,38.010000,0,0.000000,88.700000,200.00,0,150.000000,0.00,1690.06

10,02:15-02:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.530000,72.550000,0.580000,98.660000,38.010000,0,0.000000,88.700000,200.00,0,150.000000,0.00,1690.06

11,02:30-02:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.530000,72.550000,0.580000,98.660000,38.010000,0,0.000000,88.700000,200.00,0,150.000000,0.00,1690.06

12,02:45-03:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,36.500000,25.030000,0.000000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.530000,72.550000,0.580000,98.660000,38.010000,0,0.000000,88.700000,200.00,0,150.000000,0.00,1690.06

13,03:00-03:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.440000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,62.00,0,100.000000,200.00,1642.27

14,03:15-03:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.440000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,0.00,0,100.000000,200.00,1597.68

15,03:30-03:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.440000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,0.00,0,100.000000,200.00,1597.68

16,03:45-04:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.440000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,0.00,0,100.000000,200.00,1597.68

17,04:00-04:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.340000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,0.00,0,100.000000,200.00,1597.58

18,04:15-04:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.340000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,0.00,0,100.000000,200.00,1597.58

19,04:30-04:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.340000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,0.00,0,100.000000,200.00,1597.58

20,04:45-05:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.340000,72.550000,0.530000,98.660000,38.010000,0,0.000000,88.700000,62.00,0,100.000000,200.00,1642.17

21,05:00-05:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.250000,72.550000,0.530000,0.000000,38.010000,0,0.000000,88.700000,54.00,0,50.000000,100.00,1402.83

22,05:15-05:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.250000,72.550000,0.530000,0.000000,38.010000,0,0.000000,88.700000,172.00,0,50.000000,100.00,1503.42

23,05:30-05:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,125.110000,22.250000,13.250000,72.550000,0.530000,0.000000,38.010000,0,0.000000,88.700000,200.00,0,50.000000,100.00,1531.42

24,05:45-06:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.250000,72.550000,0.530000,0.000000,38.010000,0,0.000000,88.700000,200.00,0,50.000000,100.00,1506.73

25,06:00-06:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,0,0.000000,0.000000,200.00,0,50.000000,100.00,1380.08

26,06:15-06:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,0,0.000000,0.000000,200.00,0,50.000000,100.00,1380.08

27,06:30-06:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,0.1,0.000000,0.000000,200.00,0,50.000000,100.00,1380.18

28,06:45-07:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,0.46,0.000000,0.000000,200.00,0,50.000000,100.00,1380.54

29,07:00-07:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,0.82,0.000000,0.000000,200.00,0,50.000000,100.00,1380.9

30,07:15-07:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,1.43,0.000000,0.000000,200.00,0,50.000000,100.00,1381.51

31,07:30-07:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,2.04,0.000000,0.000000,200.00,0,50.000000,100.00,1382.12

32,07:45:08:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,0.000000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.680000,0.000000,0.000000,2.42,0.000000,0.000000,147.00,0,100.000000,100.00,1379.5

33,08:00-08:15,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,100.420000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,2.43,0.000000,0.000000,0.00,0,0.000000,200.00,1250.21

34,08:15-08:30,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,3.13,0.000000,0.000000,0.00,0,0.000000,200.00,1247.79

35,08:30-08:45,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,3.89,0.000000,0.000000,0.00,0,0.000000,200.00,1248.55

36,08:45:09:00,0.000000,5.040000,0.000000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,4.1,38.690000,0.000000,0.00,0,0.000000,200.00,1287.45

37,09:00:09:15,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,4.5,38.690000,0.000000,0.00,17.41,0.000000,200.00,1347.1

38,09:15-09:30,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,5.06,38.690000,0.000000,0.00,17.41,0.000000,200.00,1347.66

39,09:30-09:45,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,5.34,38.690000,0.000000,0.00,17.41,0.000000,200.00,1347.94

40,09:45-10:00,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,0.000000,0.000000,5.51,38.690000,0.000000,0.00,17.41,0.000000,200.00,1348.11

41,10:00-10:15,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,13.540000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,5.77,38.690000,0.000000,0.00,17.41,0.000000,200.00,1435.43

42,10:15-10:30,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,13.540000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6,38.690000,0.000000,0.00,17.41,0.000000,200.00,1435.66

43,10:30-10:45,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,13.540000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.19,38.690000,0.000000,0.00,17.41,0.000000,200.00,1435.85

44,10:45-11:00,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,13.540000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.38,38.690000,0.000000,0.00,17.41,0.000000,200.00,1436.04

45,11:00-11:15,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.59,38.690000,0.000000,0.00,17.41,0.000000,0.00,1255.12

46,11:15-11:30,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,97.300000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.67,38.690000,0.000000,0.00,17.41,0.000000,0.00,1255.2

47,11:30-11:45,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.050000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.77,38.690000,0.000000,0.00,17.41,0.000000,0.00,1256.05

48,11:45-12:00,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.050000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.87,38.690000,0.000000,0.00,17.41,0.000000,0.00,1256.15

49,12:00-12:15,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,6.96,38.690000,0.000000,0.00,17.41,0.000000,0.00,1256.39

50,12:15-12:30,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,7.06,38.690000,0.000000,0.00,17.41,0.000000,0.00,1256.49

51,12:30-12:45,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,7.25,38.690000,0.000000,0.00,17.41,0.000000,0.00,1256.68

52,12:45-13:00,29.020000,11.090000,6.770000,77.380000,15.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,7.45,38.690000,0.000000,0.00,17.41,0.000000,0.00,1256.88

53,13:00-13:15,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,7.84,38.690000,0.000000,0.00,17.41,0.000000,0.00,1242.27

54,13:15-13:30,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,8.61,38.690000,0.000000,0.00,17.41,0.000000,0.00,1243.04

55,13:30-13:45,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,98.200000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,7.74,38.690000,0.000000,0.00,17.41,0.000000,0.00,1242.17

56,13:45-14:00,29.020000,11.090000,6.770000,77.380000,0.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,0.000000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,93.080000,22.250000,13.160000,72.550000,0.970000,90.930000,0.000000,7.03,38.690000,0.000000,0.00,17.41,0.000000,0.00,1236.34

57,14:00-14:15,29.020000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,93.880000,22.250000,13.160000,72.550000,0.970000,106.400000,0.000000,6.67,38.690000,0.000000,0.00,17.41,0.000000,0.00,1295.4

58,14:15-14:30,29.020000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,93.930000,22.250000,13.160000,72.550000,0.970000,106.400000,0.000000,6.29,38.690000,0.000000,0.00,17.41,0.000000,0.00,1295.07

59,14:30-14:45,29.020000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,93.280000,22.250000,13.160000,72.550000,0.970000,106.400000,0.000000,6,38.690000,0.000000,0.00,17.41,0.000000,0.00,1294.13

60,14:45-15:00,29.020000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,93.750000,22.250000,13.160000,72.550000,0.970000,106.400000,0.000000,5.8,38.690000,0.000000,0.00,17.41,0.000000,0.00,1294.4

61,15:00-15:15,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,93.570000,22.250000,13.340000,72.550000,0.920000,106.400000,0.000000,5.71,0.000000,0.000000,0.00,0,0.000000,0.00,1209.14

62,15:15-15:30,0.000000,11.090000,6.770000,77.380000,20.000000,24.180000,0.000000,62.870000,0.000000,193.460000,0.000000,25.030000,17.410000,48.360000,4.840000,23.150000,95.760000,24.180000,50.060000,46.620000,100.120000,63.120000,94.790000,22.250000,13.340000,72.550000,0.920000,106.400000,0.000000,5.32,0.000000,0.000000,0.00,0,0.000000,0.00,1209.97

