Column1,Block,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,NR/2024/23115/A/37949,NR/2024/23116/A/37950,NR/2024/23185/C,NR/2024/22874/A/38184,NR/2024/23017/A/37956,NR/2024/23121/A/38178,NR/2024/22803/A/38185,NR/2024/23187/C,NR/2024/23038/A/37879,NR/2024/23189/C,NR/2024/21658/A/37894,NR/2024/23119/A/38177,NR/2024/23183/C,GNA/NR/2024/09/01/7908,NR/2024/22848/A/38151,NR/2024/23118/A/38176,NR/2024/22754/A/38121,NR/2024/22820/A/37885,NR/2024/22835/A/38195,GNA/NR/2024/09/01/6020,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7119,NR/2024/23122/A/38182,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,Total
9,02:00-02:15,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.48,17.52,26.43,0,2.13,992.8099999999998

10,02:15-02:30,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.48,17.52,26.43,0,2.13,992.8099999999998

11,02:30-02:45,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.48,17.52,26.43,0,2.13,992.8099999999998

12,02:45-03:00,145.38,8.81,32.95,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.48,17.52,26.43,0,2.13,992.8099999999998

13,03:00-03:15,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.63,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.38,17.52,26.43,0,2.13,959.7099999999999

14,03:15-03:30,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.63,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.38,17.52,26.43,0,2.13,959.7099999999999

15,03:30-03:45,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.63,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.38,17.52,26.43,0,2.13,959.7099999999999

16,03:45-04:00,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.63,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.38,17.52,26.43,0,2.13,959.7099999999999

17,04:00-04:15,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.29,17.52,26.43,0,2.13,959.5699999999999

18,04:15-04:30,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.29,17.52,26.43,0,2.13,959.5699999999999

19,04:30-04:45,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.29,17.52,26.43,0,2.13,959.5699999999999

20,04:45-05:00,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.29,17.52,26.43,0,2.13,959.5699999999999

21,05:00-05:15,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.19,17.52,26.43,0,2.13,959.47

22,05:15-05:30,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.19,17.52,26.43,0,2.13,959.47

23,05:30-05:45,145.38,8.81,0,20.6,0,0,0,0,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.19,17.52,26.43,0,2.13,959.47

24,05:45-06:00,145.38,8.81,0,20.6,0,0,0,0,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.58,26.43,0,18.51,84.49,8.81,48.46,4.85,91.1,82.38,11.19,17.52,26.43,0,2.13,958.5

25,06:00-06:15,0,8.81,0,20.6,0,0,0,0.05,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,764.7299999999999

26,06:15-06:30,0,8.81,0,20.6,0,0,0,0.05,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,764.7299999999999

27,06:30-06:45,0,8.81,0,20.6,0,0,0,0.21,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,764.89

28,06:45-07:00,0,8.81,0,20.6,0,0,0,0.72,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,765.4

29,07:00-07:15,0,8.81,0,20.6,0,0,0,1.17,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,765.8499999999999

30,07:15-07:30,0,8.81,0,20.6,0,0,0,1.66,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,766.3399999999999

31,07:30-07:45,0,8.81,0,20.6,0,0,0,2.3,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,766.9799999999999

32,07:45-08:00,0,8.81,0,20.6,0,0,0,2.99,32.44,7.75,26.43,96.92,163.36,3.88,30.05,0.68,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.11,17.52,26.43,0,2.13,767.67

33,08:00-08:15,0,8.81,0,20.6,0,0,0,3.68,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.97,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.01,17.52,26.43,0,2.13,769.52

34,08:15-08:30,0,8.81,0,20.6,0,0,0,4.38,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.97,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.01,17.52,26.43,0,2.13,770.2199999999999

35,08:30-08:45,0,8.81,0,20.6,0,0,0,5.07,32.44,8.72,26.43,96.92,163.36,3.88,30.05,0.97,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.01,17.52,26.43,0,2.13,770.91

36,08:45-09:00,0,8.81,0,20.6,0,0,0,5.77,32.44,9.69,26.43,96.92,163.36,3.88,30.05,0.97,26.43,0,18.51,84.49,8.81,0,4.85,91.1,82.38,11.01,17.52,26.43,0,2.13,772.5799999999999

37,09:00-09:15,0,12.48,0,20.6,0,42.64,10.66,6.35,48.46,9.69,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,890.1500000000002

38,09:15-09:30,0,12.48,0,20.6,0,42.64,10.66,6.88,48.46,11.63,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,892.6200000000002

39,09:30-09:45,0,12.48,0,20.6,0,42.64,10.66,7.41,48.46,11.63,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,893.1500000000002

40,09:45-10:00,0,12.48,0,20.6,0,42.64,10.66,7.85,48.46,11.63,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,893.5900000000003

41,10:00-10:15,0,12.48,0,20.6,0,42.64,10.66,8.26,48.46,11.63,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,894.0000000000001

42,10:15-10:30,0,12.48,0,20.6,0,42.64,10.66,8.6,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,895.3100000000001

43,10:30-10:45,0,12.48,0,20.6,0,42.64,10.66,8.88,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,895.5900000000003

44,10:45-11:00,0,12.48,0,20.6,0,42.64,10.66,9.1,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,895.8100000000001

45,11:00-11:15,0,12.48,0,20.6,0,42.64,10.66,9.18,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,895.7900000000001

46,11:15-11:30,0,12.48,0,20.6,0,42.64,10.66,9.22,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,895.83

47,11:30-11:45,0,12.48,0,20.6,0,42.64,10.66,9.25,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,895.86

48,11:45-12:00,0,12.48,0,20.6,0,42.64,10.66,9.24,48.46,12.6,37.44,96.92,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,895.85

49,12:00-12:15,0,12.48,0,20.6,0,42.64,10.66,9.23,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,862.9900000000001

50,12:15-12:30,0,12.48,0,20.6,0,42.64,10.66,9.22,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,862.9800000000001

51,12:30-12:45,0,12.48,0,20.6,0,42.64,10.66,9.21,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,862.9700000000001

52,12:45-13:00,0,12.48,0,20.6,0,42.64,10.66,9.21,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,862.9700000000001

53,13:00-13:15,0,12.48,0,20.6,0,42.64,10.66,9.2,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,862.7800000000001

54,13:15-13:30,0,12.48,0,20.6,0,42.64,10.66,9.19,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,862.7700000000001

55,13:30-13:45,0,12.48,0,20.6,0,42.64,10.66,9.2,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,862.7800000000001

56,13:45-14:00,0,12.48,0,20.6,0,42.64,10.66,9.11,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,862.6900000000002

57,14:00-14:15,0,12.48,0,20.6,0,42.64,10.66,8.65,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,862.2300000000001

58,14:15-14:30,0,12.48,0,20.6,0,42.64,10.66,7.16,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,860.7400000000001

59,14:30-14:45,0,12.48,0,20.6,0,42.64,10.66,7.94,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,861.5200000000001

60,14:45-15:00,0,12.48,0,20.6,0,42.64,10.66,7.72,48.46,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,861.3000000000001

61,15:00-15:15,0,12.48,0,20.6,0,42.64,10.66,7.28,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,844.84

62,15:15-15:30,0,12.48,0,20.6,0,42.64,10.66,7.36,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,844.9200000000002

63,15:30-15:45,0,12.48,0,20.6,0,42.64,10.66,5.57,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,843.1300000000002

64,15:45-16:00,0,12.48,0,20.6,0,42.64,10.66,4.72,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.97,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.73,24.82,37.44,0,2.13,842.2800000000001

65,16:00-16:15,0,12.48,0,20.6,0,42.64,10.66,4.46,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.87,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.83,24.82,37.44,0,2.13,842.0200000000001

66,16:15-16:30,0,12.48,0,20.6,0,42.64,10.66,4.13,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.87,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.83,24.82,37.44,0,2.13,841.6900000000002

67,16:30-16:45,0,12.48,0,20.6,0,35.86,10.66,4.11,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.87,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.83,24.82,37.44,0,2.13,834.8900000000002

68,16:45-17:00,0,12.48,0,20.6,0,28.69,10.66,3.41,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.87,37.44,0,18.51,84.49,12.48,0,4.85,91.1,82.38,10.83,24.82,37.44,0,2.13,827.0200000000001

69,17:00-17:15,0,12.48,0,20.6,0,0,0,2.44,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,825.5000000000001

70,17:15-17:30,0,12.48,0,20.6,0,0,0,1.56,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,824.62

71,17:30-17:45,0,12.48,0,20.6,0,0,0,1.03,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,824.09

72,17:45-18:00,0,12.48,0,20.6,0,0,0,0.62,32.44,12.6,37.44,64.07,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,823.68

73,18:00-18:15,0,12.48,0,20.6,4.94,0,0,0.32,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,860.3000000000001

74,18:15-18:30,0,12.48,0,20.6,9.49,0,0,0.05,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,864.58

75,18:30-18:45,0,12.48,0,20.6,11.31,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,866.35

76,18:45-19:00,0,12.48,0,20.6,17.66,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.01,24.82,37.44,0,2.13,872.7000000000002

77,19:00-19:15,0,12.48,0,20.6,28.01,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.11,24.82,37.44,0,2.13,883.1500000000002

78,19:15-19:30,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.11,24.82,37.44,0,2.13,885.1400000000002

79,19:30-19:45,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.11,24.82,37.44,0,2.13,885.1400000000002

80,19:45-20:00,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.82,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,11.11,24.82,37.44,0,2.13,885.1400000000002

81,20:00-20:15,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.78,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,884.9

82,20:15-20:30,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.78,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,884.9

83,20:30-20:45,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.78,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,884.9

84,20:45-21:00,0,12.48,0,20.6,30,0,0,0,32.44,11.63,37.44,96.92,163.36,3.88,30.05,0.78,37.44,38.77,18.51,84.49,12.48,0,4.85,91.1,82.38,10.91,24.82,37.44,0,2.13,884.9

85,21:00-21:15,0,8.81,0,20.6,30,0,0,0,32.44,11.63,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,0,4.85,91.1,82.38,10.73,17.52,26.43,0,2.13,837.0499999999998

86,21:15-21:30,0,8.81,0,20.6,30,0,0,0,32.44,11.63,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,0,4.85,91.1,82.38,10.73,17.52,26.43,0,2.13,837.0499999999998

87,21:30-21:45,0,8.81,0,20.6,30,0,0,0,32.44,11.63,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,0,4.85,91.1,82.38,10.73,17.52,26.43,0,2.13,837.0499999999998

88,21:45-22:00,0,8.81,0,20.6,30,0,0,0,32.44,11.63,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,0,4.85,91.1,82.38,10.73,17.52,26.43,0,2.13,837.0499999999998

89,22:00-22:15,145.38,8.81,0,20.6,30,0,0,0,32.44,10.66,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,91.1,82.38,10.64,17.52,26.43,0,2.13,1029.83

90,22:15-22:30,145.38,8.81,0,20.6,30,0,0,0,32.44,10.66,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,91.1,82.38,10.64,17.52,26.43,0,2.13,1029.83

91,22:30-22:45,145.38,8.81,0,20.6,30,0,0,0,32.44,9.69,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,91.1,82.38,10.64,17.52,26.43,0,2.13,1028.86

92,22:45-23:00,145.38,8.81,0,20.6,30,0,0,0,32.44,9.69,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,91.1,82.38,10.64,17.52,26.43,0,2.13,1028.86

93,23:00-23:15,145.38,8.81,0,20.6,30,0,0,0,32.44,9.69,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,94.4,82.38,10.54,17.52,26.43,0,2.13,1032.06

94,23:15-23:30,145.38,8.81,0,20.6,30,0,0,0,32.44,9.69,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,94.4,82.38,10.54,17.52,26.43,0,2.13,1032.06

95,23:30-23:45,145.38,8.81,0,20.6,30,0,0,0,32.44,9.69,26.43,96.92,163.36,3.88,30.05,0.78,26.43,38.77,18.51,84.49,8.81,48.46,4.85,94.4,82.38,10.54,17.52,26.43,0,2.13,1032.06

