Time,Block,NR/2024/18614/C,NR/2024/18436/A/4692,NR/2024/18615/C,NR/2024/18388/A/4678,NR/2024/18445/A/4866,WR/2024/21355/A/4864,WR/2024/21351/A/4850,NER/2024/1934/A/4846,NER/2024/1922/A/4847,NR/2024/18612/C,Total
59,14:30-14:45,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.55,193.1

60,14:45-15:00,0.000000,7.700000,0.000000,0.870000,132.980000,0.000000,0.000000,20.000000,25.000000,6.45,193

61,15:00-15:15,0.000000,7.700000,0.000000,0.670000,132.980000,0.000000,0.000000,20.000000,25.000000,5.78,192.13

62,15:15-15:30,0.000000,7.700000,0.000000,0.670000,132.980000,0.000000,0.000000,20.000000,25.000000,5.68,192.03

63,15:30-15:45,0.000000,7.700000,0.000000,0.670000,132.980000,0.000000,0.000000,20.000000,25.000000,5.58,191.93

64,15:45-16:00,0.000000,7.700000,0.000000,0.670000,132.980000,0.000000,0.000000,20.000000,25.000000,4.81,191.16

65,16:00-16:15,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,4.62,190.83

66,16:15-16:30,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,4.33,190.54

67,16:30-16:45,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,2.89,189.1

68,16:45-17:00,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,2.7,188.91

69,17:00-17:15,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,2.12,188.33

70,17:15-17:30,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,1.44,187.65

71,17:30-17:45,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,1.16,187.37

72,17:45-18:00,0.000000,7.700000,0.000000,0.530000,132.980000,0.000000,0.000000,20.000000,25.000000,0.35,186.56

73,18:00-18:15,0.000000,7.700000,0.000000,0.530000,132.980000,25.000000,55.000000,20.000000,25.000000,0.16,266.37

74,18:15-18:30,0.000000,7.700000,0.000000,0.530000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.21

75,18:30-18:45,0.000000,7.700000,0.000000,0.530000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.21

76,18:45-19:00,0.000000,7.700000,0.000000,0.530000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.21

77,19:00-19:15,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

78,19:15-19:30,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

79,19:30-19:45,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

80,19:45-20:00,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

81,20:00-20:15,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

82,20:15-20:30,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

83,20:30-20:45,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

84,20:45-21:00,0.000000,7.700000,0.000000,0.630000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.31

85,21:00-21:15,0.000000,7.700000,0.000000,0.580000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.26

86,21:15-21:30,0.000000,7.700000,0.000000,0.580000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.26

87,21:30-21:45,0.000000,7.700000,0.000000,0.580000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.26

88,21:45-22:00,0.000000,7.700000,0.000000,0.580000,132.980000,25.000000,55.000000,20.000000,25.000000,0,266.26

89,22:00-22:15,0.000000,7.700000,0.000000,0.530000,0.000000,0.000000,55.000000,20.000000,25.000000,0,108.23

90,22:15-22:30,0.000000,7.700000,0.000000,0.530000,0.000000,0.000000,55.000000,20.000000,25.000000,0,108.23

91,22:30-22:45,0.000000,7.700000,0.000000,0.530000,0.000000,0.000000,55.000000,20.000000,25.000000,0,108.23

92,22:45-23:00,0.000000,7.700000,0.000000,0.530000,0.000000,0.000000,55.000000,20.000000,25.000000,0,108.23

93,23:00-23:15,0.000000,7.700000,0.000000,0.480000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.18

94,23:15-23:30,0.000000,7.700000,0.000000,0.480000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.18

95,23:30-23:45,0.000000,7.700000,0.000000,0.480000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.18

96,23:45-24:00,0.000000,7.700000,0.000000,0.480000,0.000000,0.000000,0.000000,20.000000,25.000000,0,53.18

