Block,Time Block,JHAJJAR,KGSU1AND2,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,KGSU3AND4,KOTESHWR,KUDGI,MAPS,DHAULIGNGA,FSTPP I & II,DULHASTI,CHAMERA2,DADRT2,CHAMERA3,BRBCL,CHAMERA1,BSIUL,ANTA_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_GF,ANTA_CRF,ANTA_LF,URI2,UNCHAHAR3,TALST2,TANAKPUR,SINGRAULI_HYDRO,TelanganaSTPP,UNCHAHAR2,URI,TALA,TEHRI,SINGRAULI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TANDA2,SASAN,SIMHST1,SIMHST2,RSTPSU7,SALAL,SEWA2,NJPC,NAPP,NLCEXP,RAPPD,RSTPSU1TO6,NLCIIST1,RAMPUR,RIHAND3,NLCIIST2,RAPPC,NLCTS2EXP,NNTPP,RIHAND2,NTPL,PARBATI3,RIHAND1,RAPPB,PARBATI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
9,02:00-02:15,116.13,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,20.08,56.74,47.2,7.23,22.56,10.88,25.85,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,22.33,0,1.36,1.12,0,30.81,50.08,7.37,27.25,150.17,16.85,2.31,0,6.2,401.76,0,0,0,44.86,5.04,106.96,24.02,0,26.94,0,0,4.29,61.05,0,66.5,0,0,92.48,0,22.25,61.92,0,14.56,0,0,0,0,0

10,02:15-02:30,116.13,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,20.08,56.74,47.2,7.23,22.56,12.79,25.77,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,22.33,0,1.36,1.12,0,29.84,50.08,7.37,27.25,150.17,16.85,2.31,0,6.2,401.76,0,0,0,44.86,0,106.96,24.02,0,26.94,0,0,4.29,62.04,0,66.5,0,0,92.48,0,22.25,61.92,0,14.56,0,0,0,0,0

11,02:30-02:45,118.7,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,20.08,56.74,47.2,7.23,22.56,12.11,25.77,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,22.33,0,1.36,1.12,0,34.66,50.08,8.23,27.25,150.17,16.85,2.31,0,6.2,401.76,0,0,0,44.86,0,106.96,24.02,0,26.94,0,0,4.29,62.04,0,66.5,0,0,92.46,0,18.54,61.89,0,14.56,0,0,0,0,0

12,02:45-03:00,113.87,0,44.24,143.14,0,0,8.46,7.01,0,10.08,0,0,10.59,20.08,56.74,47.2,7.23,22.56,15.81,25.77,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,22.33,0,1.36,1.12,0,35.82,50.08,8.23,27.25,150.17,16.85,2.31,0,6.2,401.76,0,0,0,44.86,0,106.96,24.02,0,26.94,0,0,4.29,62.04,0,66.5,0,0,92.46,0,18.54,61.89,0,14.56,0,0,0,0,0

13,03:00-03:15,113.87,0,44.24,143.14,0,0,8.46,4.67,0,10.08,0,0,10.59,20.08,56.74,31.47,7.23,22.56,19.19,25.77,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,21.36,0,1.36,1.12,0,34.87,50.08,8.23,27.25,150.17,16.54,2.31,0,6.2,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,51.41,0,66.5,0,0,93.43,0,4.15,62.55,0,14.56,0,0,0,0,0

14,03:15-03:30,113.87,0,44.24,143.14,0,0,8.46,4.67,0,10.08,0,0,10.59,13.18,56.74,31.47,7.23,11.28,15.65,13.56,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,20.77,0,1.36,1.12,0,32.39,50.08,8.23,27.25,150.17,16.54,2.31,0,6.2,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,51.41,0,66.5,0,0,93.43,0,4.15,62.55,0,14.56,0,0,0,0,0

15,03:30-03:45,113.87,0,44.24,143.14,0,0,8.46,4.67,0,10.08,0,0,10.59,13.18,56.74,15.73,7.23,11.28,16.59,13.56,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.3,0,1.36,1.12,0,26.76,50.08,9.08,27.25,150.17,12.55,3,0,6.2,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,80.86,0,66.5,0,0,93.43,0,4.15,62.55,0,14.56,0,0,0,0,0

16,03:45-04:00,113.87,0,44.24,143.14,0,0,8.46,4.67,0,10.08,0,0,10.59,13.18,56.74,15.73,7.23,11.28,18.64,13.56,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.09,0,1.36,1.12,0,26.76,50.08,9.08,27.25,150.17,12.33,2.31,0,6.2,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,84.94,0,66.5,0,0,93.43,0,4.15,62.55,0,14.56,0,0,0,0,0

17,04:00-04:15,111.31,0,33.49,111.16,0,0,8.46,4.67,0,10.08,0,0,10.59,10.02,56.74,15.73,7.23,11.28,17.08,13.56,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,1.36,1.12,0,23.94,50.08,9.08,27.25,150.17,10.42,0.97,0,3.64,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,84.94,0,66.5,0,0,93.43,0,16.31,62.55,0,14.56,0,0,0,0,0

18,04:15-04:30,111.31,0,33.49,114.06,0,0,8.46,4.67,0,10.08,0,0,10.59,10.02,56.74,15.73,7.23,11.28,19.3,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.16,0,1.36,1.12,0,26.83,50.08,9.08,26.86,150.17,12.35,0.97,0,3.64,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,84.94,0,66.5,0,0,93.43,0,16.31,62.55,0,14.56,0,0,0,0,0

19,04:30-04:45,111.31,0,33.49,103.25,0,0,8.46,4.67,0,10.08,0,0,10.59,10.02,56.74,15.73,7.23,11.28,19.3,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.16,0,1.36,1.12,0,26.83,50.08,9.08,26.77,150.17,12.35,0.97,0,3.64,401.76,0,0,0,51.59,0,106.96,24.02,0,26.94,0,0,4.29,89.16,0,66.5,0,0,93.43,0,18.54,62.55,0,14.56,0,0,0,0,0

20,04:45-05:00,111.31,0,33.49,114.03,0,0,8.46,4.67,0,10.08,0,0,10.59,10.02,56.74,15.73,7.23,11.28,19.3,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.16,0,1.36,1.12,0,26.83,50.08,9.08,26.77,150.17,12.35,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,89.16,0,66.5,0,0,93.43,0,18.54,62.55,0,14.56,0,0,0,0,0

21,05:00-05:15,111.31,0,33.49,120.79,0,0,8.46,4.67,0,10.08,0,0,10.59,10.02,56.74,15.73,7.23,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.16,0,1.36,1.12,0,26.83,50.08,9.08,26.77,150.17,12.35,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,89.16,0,66.5,0,0,93.43,0,18.54,62.55,0,14.56,0,0,0,0,0

22,05:15-05:30,111.31,0,33.49,113.06,0,0,8.46,4.67,0,10.08,0,0,10.59,13.18,56.74,15.73,7.23,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,20.23,0,1.36,1.12,0,30.83,50.08,9.08,26.77,150.17,16.02,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,89.16,0,66.5,0,0,93.43,0,18.54,62.55,0,14.56,0,0,0,0,0

23,05:30-05:45,111.31,0,33.49,103.25,0,0,8.46,2.34,0,10.08,0,0,10.59,13.18,56.74,15.73,7.23,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,20.23,0,1.36,1.12,0,30.83,50.08,9.08,17.38,150.17,16.21,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,89.16,0,66.5,0,0,93.43,0,18.54,62.55,0,14.56,0,0,0,0,0

24,05:45-06:00,111.31,0,33.49,103.25,0,0,8.46,2.34,0,10.08,0,0,10.59,13.18,56.74,15.73,7.23,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,20.23,0,1.36,1.12,0,29.86,50.08,9.08,17.38,150.17,16.21,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,89.16,0,66.5,0,0,93.43,0,18.54,62.55,0,14.56,0,0,0,0,0

25,06:00-06:15,111.31,0,33.49,103.25,0,0,8.46,0,0,10.08,0,0,10.59,13.18,56.74,15.73,83.48,11.28,19.28,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,20.23,0,3.33,1.12,0,29.86,50.08,9.08,26.77,150.17,16.21,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,127.76,0,66.5,0,0,122.39,0,18.54,96.34,0,14.56,0,0,0,0,0

26,06:15-06:30,111.31,0,33.49,103.25,0,0,8.46,0,0,10.08,0,0,10.59,13.18,56.74,15.73,13.99,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,20.23,0,3.33,1.12,0,30.83,50.08,9.08,26.77,150.17,16.21,0.97,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,127.76,0,66.5,0,0,122.39,0,18.54,96.34,0,14.56,0,0,0,0,0

27,06:30-06:45,111.31,0,33.49,103.25,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,16.16,0,3.33,1.12,0,23.94,50.08,8.51,26.77,150.17,14.24,1.99,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,127.76,0,66.5,0,0,122.39,0,18.54,96.34,0,14.56,0,0,0,0,0

28,06:45-07:00,111.31,0,27.38,88.92,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.12,0,23.94,50.08,8.51,17.38,150.17,10.63,1.13,0,3.64,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,127.76,0,66.5,0,0,122.39,0,18.54,96.34,0,14.56,0,0,0,0,0

29,07:00-07:15,111.31,0,27.38,83.48,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.12,0,23.94,50.08,8.51,8.77,145.6,10.42,0.97,0,4.01,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

30,07:15-07:30,111.31,0,27.38,95.09,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.12,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

31,07:30-07:45,111.31,0,24.63,83.65,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.12,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,401.76,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

32,07:45-08:00,111.31,0,24.63,78.73,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,18.09,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.12,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

33,08:00-08:15,111.31,0,24.63,94.27,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

34,08:15-08:30,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

35,08:30-08:45,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

36,08:45-09:00,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,98.96,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

37,09:00-09:15,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.02,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

38,09:15-09:30,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,8.51,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

39,09:30-09:45,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,7.09,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

40,09:45-10:00,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.08,7.09,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,18.54,94.11,0,14.56,0,0,0,0,0

41,10:00-10:15,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.54,7.09,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,14.56,0,0,0,0,0

42,10:15-10:30,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,10.59,10.02,56.74,15.73,7.39,11.28,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.33,1.09,0,23.94,50.54,7.09,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,14.56,0,0,0,0,0

43,10:30-10:45,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,11.28,14.88,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,50.54,7.09,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,5.82,0,0,0,0,0

44,10:45-11:00,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,11.28,13.21,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,50.54,7.09,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,51.59,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,5.82,0,0,0,0,0

45,11:00-11:15,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,11.28,14.69,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,4.11,0,127.39,10.42,0.97,0,4.01,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,86.73,0,66.5,0,0,99.44,0,4.15,60.57,0,5.82,0,0,0,0,0

46,11:15-11:30,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,11.28,16.49,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,4.11,0,127.39,10.42,0.97,0,4.01,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,86.73,0,66.5,0,0,93.38,0,4.15,60.57,0,5.82,0,0,0,0,0

47,11:30-11:45,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,11.28,16.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,4.11,0,127.39,10.42,0.97,0,4.01,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,86.73,0,66.5,0,0,93.38,0,4.15,60.57,0,5.82,0,0,0,0,0

48,11:45-12:00,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,0,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,4.11,0,127.39,10.42,0.97,0,4.01,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,86.73,0,66.5,0,0,93.38,0,4.15,60.57,0,5.82,0,0,0,0,0

49,12:00-12:15,111.31,0,24.63,91.78,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,0,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,4.11,0,145.6,10.42,0.97,0,3.64,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,4.15,94.11,0,5.82,0,0,0,0,0

50,12:15-12:30,111.31,0,24.63,91.78,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,0,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,7.09,0,145.6,10.42,0.97,0,3.64,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,4.15,94.11,0,5.82,0,0,0,0,0

51,12:30-12:45,111.31,0,24.63,91.78,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,0,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,7.09,0,145.6,10.42,0.97,0,3.64,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,5.82,0,0,0,0,0

52,12:45-13:00,111.31,0,24.63,91.78,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,0,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,7.09,0,145.6,10.42,0.97,0,3.64,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,5.82,0,0,0,0,0

53,13:00-13:15,111.31,0,24.63,97,0,0,8.46,0,0,10.08,0,0,0,10.02,56.74,15.73,7.39,0,19.3,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,36.83,13.26,0,3.21,1.09,0,23.94,51.15,5.11,0,145.6,10.42,0.97,0,4.01,404.2,0,0,0,38.69,0,80.23,24.02,0,26.94,0,0,3.21,125.05,0,66.5,0,0,119.94,0,16.31,94.11,0,5.82,0,0,0,0,0

