Block,Time,KISHANGANGA,URI2,UNCHAHAR3,AURY_CRF,ANTA_RF,SINGRAULI_HYDRO,DADRI_LF,URI,DADRI_CRF,RIHAND3,TANDA2,CHAMERA1,UNCHAHAR4,ANTA_GF,NAPP,KOTESHWR,TEHRI,DULHASTI,SINGRAULI,TANAKPUR,DADRI_RF,RAPPB,DHAULIGNGA,RIHAND1,CHAMERA2,UNCHAHAR1,AURY_RF,JHAJJAR,ANTA_LF,UNCHAHAR2,BSIUL,RAMPUR,SEWA2,AURY_LF,AURY_GF,RAPPC,KOLDAM,ANTA_CRF,CHAMERA3,PARBATI3,DADRT2,BRBCL,KHSTPP-I,SASAN,SALAL,NJPC,TALA,KHSTPP-II,RIHAND2,FSTPP I & II,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
36,08:45:09:00,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,45.002412,31.771227,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,25.391837,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,45.097655,0.000000,141.959508,56.028451,17.487056,0.000000,0,0,0,0,0

37,09:00:09:15,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,45.002412,31.771227,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,12.695919,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,19.444940,0.000000,141.959508,56.927809,17.487056,0.000000,0,0,0,0,0

38,09:15-09:30,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,30.001608,15.885613,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,12.695919,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

39,09:30-09:45,0.000000,16.079983,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,30.001608,15.885613,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,12.695919,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

40,09:45-10:00,0.000000,16.079983,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,15.000804,15.885613,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

41,10:00-10:15,0.000000,16.079983,25.440056,0.000000,0.000000,0.700770,0.000000,2.554214,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,14.636412,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

42,10:15-10:30,0.000000,16.079983,25.440056,0.000000,0.000000,0.700770,0.000000,3.192768,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,13.968360,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

43,10:30-10:45,0.000000,16.079983,25.440056,0.000000,0.000000,0.700770,0.000000,34.056192,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

44,10:45-11:00,0.000000,16.079983,25.440056,0.000000,0.000000,0.700770,0.000000,34.056192,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

45,11:00-11:15,0.000000,6.483864,25.440056,0.000000,0.000000,0.700770,0.000000,3.192768,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

46,11:15-11:30,0.000000,4.538705,25.440056,0.000000,0.000000,0.700770,0.000000,2.660640,0.000000,119.213662,0.000000,0.000000,0.000000,0.000000,18.531936,8.554536,0.000000,0.000000,121.066350,0.000000,0.000000,0.000000,0.000000,88.688000,0.000000,10.182539,0.000000,629.636696,0.000000,40.864056,0.000000,0.000000,0.000000,0.000000,0.000000,52.480256,0.000000,0.000000,0.000000,0.000000,658.536478,14.459964,33.546535,403.694280,1.344202,0.000000,0.000000,141.959508,56.933840,17.487056,0.000000,0,0,0,0,0

