Block,Time Block,DHAULIGNGA,DADRT2,BSIUL,CHAMERA3,CHAMERA2,CHAMERA1,BRBCL,UNCHAHAR2,URI,TALST2,TANAKPUR,UNCHAHAR1,TEHRIPSP,UNCHAHAR4,VALLURNTECL,TALA,URI2,TEHRI,UNCHAHAR3,TelanganaSTPP,TANDA2,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,NAPP,NLCEXP,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NLCIIST1,NTPL,SIMHST1,RSTPSU1TO6,SIMHST2,RAPPD,RSTPSU7,SINGRAULI,SALAL,SEWA2,RAMPUR,RIHAND3,RAPPC,PARBATI3,RIHAND2,PARBATI2,SASAN,RIHAND1,RAPPB,SINGRAULI_HYDRO,DULHASTI,MAPS,KUDGI,KOTESHWR,KKNP,KGSU1AND2,KKNPPU2,KOLDAM,KGSU3AND4,KHSTPP-II,KISHANGANGA,KHSTPP-I,JHAJJAR,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,40.85,235.86,0,0,0,13.52,10.28,30.59,2.13,0,10.64,14.48,185.27,1.46,0,12.76,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,241.12,17.25,0,0,0,0,0

7,01:30-01:45,40.85,235.86,0,0,0,13.52,10.81,30.59,5.31,0,10.64,14.48,185.27,1.46,0,18.11,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,241.12,14.09,0,0,0,0,0

8,01:45-02:00,40.85,187.75,0,0,0,13.52,10.65,30.59,5.31,0,10.64,14.48,185.27,1.46,0,18.13,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,346.36,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,241.12,14.09,0,0,0,0,0

9,02:00-02:15,40.85,209.4,0,0,0,13.52,11.62,30.59,7.97,0,10.64,14.48,185.27,1.46,0,18.5,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,324.71,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,241.12,14.09,0,0,0,0,0

10,02:15-02:30,40.85,218.54,0,0,0,13.52,11.65,30.59,7.97,0,10.64,14.48,185.27,1.46,0,18.56,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,107.56,0,14.88,0,125.88,63.11,0,120.52,13.55,303.06,45.5,0,0,0,0,0,43.37,0,0,0,8.3,0,142.2,6.71,43.8,241.12,14.09,0,0,0,0,0

11,02:30-02:45,40.85,158.89,0,0,0,13.52,12.91,30.59,25.49,0,10.64,14.48,185.27,1.46,0,18.58,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.43,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,241.12,14.09,0,0,0,0,0

12,02:45-03:00,40.85,101.16,0,0,0,13.52,12.47,30.59,25.49,0,10.64,14.48,185.27,1.46,0,18.62,35.99,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,241.12,14.09,0,0,0,0,0

13,03:00-03:15,40.85,113.18,0,0,0,13.52,14.01,30.59,7.97,0,9.49,14.48,185.27,1.3,0,18.62,32.25,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,241.12,17.25,0,0,0,0,0

14,03:15-03:30,40.85,105.98,0,0,0,13.52,15.91,30.59,7.97,0,9.49,14.48,185.27,1.3,0,18.62,32.25,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,100.14,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,121.66,6.71,37.75,241.12,17.25,0,0,0,0,0

15,03:30-03:45,40.85,144.46,0,0,0,13.52,15.26,30.59,7.97,0,9.49,14.48,185.27,1.3,0,18.65,32.25,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,108.96,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,37.75,241.12,17.25,0,0,0,0,0

16,03:45-04:00,40.85,130.03,0,0,0,13.52,16.5,30.59,7.97,0,9.49,14.48,185.27,1.3,0,18.65,32.25,79.24,18.77,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,241.12,17.25,0,0,0,0,0

17,04:00-04:15,40.85,149.27,0,0,0,13.52,16.78,41.51,7.97,0,9.49,17.65,185.27,1.3,0,18.65,32.25,79.24,25.69,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,241.12,20.01,0,0,0,0,0

18,04:15-04:30,40.85,149.27,0,0,0,13.52,18.04,36.02,7.97,0,9.49,17.65,185.27,1.3,0,18.58,32.25,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,241.12,17.25,0,0,0,0,0

19,04:30-04:45,40.85,149.27,0,0,0,13.52,18.04,36.02,7.97,0,9.49,17.65,185.27,1.3,0,18.36,32.25,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,260.36,17.25,0,0,0,0,0

20,04:45-05:00,40.85,149.27,0,0,0,13.52,18.04,36.02,7.97,0,9.49,17.65,185.27,1.3,0,18.19,32.25,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,260.36,17.25,0,0,0,0,0

21,05:00-05:15,40.85,178.13,0,0,0,13.52,18.04,36.02,7.97,0,9.49,17.65,185.27,1.3,0,18.05,32.25,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,282.61,17.25,0,0,0,0,0

22,05:15-05:30,40.85,187.75,0,0,0,13.52,18.04,36.02,7.97,0,9.49,17.65,185.27,1.3,0,17.82,32.25,79.24,22.26,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,282.61,17.25,0,0,0,0,0

23,05:30-05:45,40.85,255.1,0,0,0,13.52,18.04,41.51,25.49,0,9.49,20.43,185.27,1.13,0,17.48,32.25,79.24,25.69,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,333.6,19.99,0,0,0,0,0

24,05:45-06:00,40.85,293.58,0,0,0,13.52,18.04,41.51,25.49,0,9.49,20.43,185.27,1.13,0,16.97,32.25,79.24,25.69,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,343.22,20.01,0,0,0,0,0

25,06:00-06:15,40.85,366.7,0,0,0,13.52,18.04,41.52,7.97,0,9.49,20.02,185.27,1.13,0,16.72,32.25,79.24,25.06,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,381.7,20.01,0,0,0,0,0

26,06:15-06:30,40.85,433.09,0,0,0,13.52,18.04,41.52,7.97,0,9.49,20.02,185.27,1.13,0,16.61,32.25,79.24,25.06,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,391.32,20.01,0,0,0,0,0

27,06:30-06:45,40.85,490.82,0,0,0,13.52,18.04,41.52,7.97,0,9.49,20.02,185.27,1.13,0,16.54,32.25,79.24,25.06,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,410.57,20.01,0,0,0,0,0

28,06:45-07:00,40.85,478.79,0,0,0,13.52,18.04,41.52,7.97,0,9.49,20.02,185.27,1.13,0,16.54,32.25,79.24,25.06,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.59,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,142.68,6.71,43.8,449.05,20.01,0,0,0,0,0

29,07:00-07:15,40.85,404.23,0,0,0,13.52,18.04,41.52,7.97,0,9.49,20.02,185.27,1.13,0,16.24,32.25,79.24,25.06,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,400.95,20.01,0,0,0,0,0

30,07:15-07:30,40.85,356.12,0,0,0,13.52,18.04,41.51,7.97,0,9.49,20.43,185.27,1.45,0,16.29,32.25,79.24,25.69,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,343.22,20.01,0,0,0,0,0

31,07:30-07:45,40.85,255.1,0,0,0,13.52,18.04,35.15,7.97,0,9.49,17.42,185.27,3.08,0,16.63,32.25,79.24,21.14,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,240.41,14.69,0,0,0,0,0

32,07:45-08:00,40.85,187.75,0,0,0,13.52,18.04,30.59,7.97,0,9.49,14.48,185.27,2.61,0,16.69,32.25,79.24,18.77,0,2.56,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,240.41,14.09,0,0,0,0,0

33,08:00-08:15,40.85,101.16,0,0,0,13.52,18.04,28.18,31.86,0,9.49,13.84,185.27,1.6,0,16.8,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,234.77,14.09,0,0,0,0,0

34,08:15-08:30,40.85,101.16,0,0,0,13.52,18.04,28.18,31.86,0,9.49,13.84,185.27,1.46,0,19.48,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,234.77,14.09,0,0,0,0,0

35,08:30-08:45,40.85,101.16,0,0,0,13.52,18.04,28.18,8.5,0,9.49,11.86,185.27,1.46,0,19.89,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,234.77,14.09,0,0,0,0,0

36,08:45-09:00,40.85,101.16,0,0,0,13.52,16.8,28.18,8.5,0,9.49,11.86,185.27,1.46,0,19.97,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,43.8,234.77,14.09,0,0,0,0,0

37,09:00-09:15,40.85,101.16,0,0,0,13.52,18.04,28.18,8.5,0,9.49,13.84,185.27,0.8,0,20.69,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,38.46,234.77,12.94,0,0,0,0,0

38,09:15-09:30,40.85,101.16,0,0,0,13.52,18.04,28.18,12.75,0,9.49,13.84,185.27,0.8,0,21.33,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,227.3,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,38.46,234.77,12.94,0,0,0,0,0

39,09:30-09:45,40.85,101.16,0,0,0,13.52,18.04,28.18,12.75,0,9.49,13.84,185.27,0.8,0,20.94,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,236.83,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,38.46,234.77,12.94,0,0,0,0,0

40,09:45-10:00,40.85,101.16,0,0,0,13.52,18.04,28.18,7.97,0,9.49,13.84,185.27,0.8,0,21.04,32.25,79.24,17.34,0,2.51,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,248.89,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,38.46,234.77,12.94,0,0,0,0,0

41,10:00-10:15,40.85,104.35,0,0,0,13.52,18.04,36.81,7.97,0,9.49,17.66,200.08,1.93,0,26.84,32.25,79.24,22.85,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,259.76,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,38.46,308.54,16.86,0,0,0,0,0

42,10:15-10:30,40.85,104.35,0,0,0,13.52,18.04,36.81,7.97,0,9.49,17.66,200.08,1.93,0,26.84,32.25,79.24,22.85,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,270.58,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,95.12,6.71,38.46,356.64,16.86,0,0,0,0,0

43,10:30-10:45,40.85,104.35,0,0,0,13.52,18.04,36.81,12.75,0,9.49,17.66,100.04,1.93,0,26.84,32.25,39.62,22.85,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,281.41,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,85.19,6.71,38.46,327.78,16.86,0,0,0,0,0

44,10:45-11:00,40.85,104.35,0,0,0,13.52,16.55,36.81,12.75,0,9.49,17.66,0,1.93,0,26.84,32.25,0,22.85,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,85.19,6.71,38.46,327.78,16.86,0,0,0,0,0

45,11:00-11:15,40.85,104.35,0,0,0,13.52,17.43,36.81,4.24,0,9.49,17.98,0,1.93,0,26.84,32.25,0,22.85,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,327.78,16.86,0,0,0,0,0

46,11:15-11:30,40.85,142.83,0,0,0,13.52,17.17,36.81,4.24,0,9.49,17.98,0,1.93,0,26.84,32.25,0,22.85,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,25.87,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,0.87,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,308.54,16.86,0,0,0,0,0

47,11:30-11:45,40.85,190.94,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,20.05,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,51.73,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,1.73,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

48,11:45-12:00,40.85,239.04,0,0,0,13.52,17.77,31.32,4.24,0,9.49,15.21,0,1.93,0,20.05,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,77.6,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,2.6,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

49,12:00-12:15,40.85,239.04,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,20.05,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,103.47,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,3.46,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

50,12:15-12:30,40.85,239.04,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,20.05,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,129.34,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,4.33,125.88,63.11,0,120.52,13.55,292.24,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

51,12:30-12:45,40.85,239.04,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,20.05,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,169.14,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,5.46,125.88,63.11,0,120.52,13.55,313.89,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

52,12:45-13:00,40.85,239.04,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,20.05,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,169.14,0,0,0,0,0,0,0,0,37.19,0,109.44,0,14.88,5.46,125.88,63.11,0,120.52,13.55,335.53,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

53,13:00-13:15,40.85,190.94,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,25.28,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,169.14,0,0,0,0,0,0,0,0,37.19,0,104.03,0,14.88,5.46,120.45,63.11,17.89,115.55,13.55,346.36,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

54,13:15-13:30,40.85,190.94,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,25.28,32.25,0,19.42,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,169.14,0,0,0,0,0,0,0,0,37.19,0,104.03,0,14.88,5.46,120.45,63.11,17.89,115.55,13.55,346.36,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

55,13:30-13:45,40.85,190.94,0,0,0,13.52,18.04,31.32,4.24,0,9.49,15.21,0,1.93,0,25.28,32.25,0,19.42,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,23.2,0,169.14,0,0,0,0,0,0,0,0,37.19,0,91.17,0,14.88,5.46,101.2,63.11,17.89,105.93,13.55,346.36,46.27,0,0,0,0,0,43.37,0,0,0,8.3,0,82.51,6.71,38.46,247.92,14.09,0,0,0,0,0

