,,NA,HIMACHAL PRADESH,NA,GOA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KERALA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MAHARASHTRA,MAHARASHTRA,NA,
,,SOLAPUR_SOLAR,HP-GOVT,KAMENG,GOA_Beneficiary,UTTARAKHAND,SHPPBPL,APL_Raipur TPP,SIMHAPURI,RKM_POWER,SHPPBPL,SHPPBPL,GBHHPL,RUVNL,SHPPBPL,A_A_Energy_MH_Bio,IEPLBELA2022,SHPPBPL,JPL-2,SEIL,HP-GOVT,JPL-2,TANGEDCO,GBHHPL,IND_BHARAT,JPL-2,JPL_DHULE,HP,SEILP2,PPGCL,NHCPL_HP,SHPPBPL,JP BINA,KSEB,ACBIL,SKS Raigarh,GBHHPL,AEML,HP,SHPPBPL,JSWEL,Nagaland_Ben,JHAJJAR,SHPPBPL,HP-GOVT,TANGEDCO,SHPPBPL,ITCWIND,RKM_POWER,JSWEL MSEB,JPL_DHULE,JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,TPDDL,BRPL,BYPL,BAL234,BRPL,BRPL,NDMC,DTCP,BAL184,DIAPL,BYPL,MSSH,MES (Delhi),BRPL,BAL224,BRPL,TPDDL,BRPL,NDMC,BRPL,DIAPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),JHPL-DL,TPDDL,BYPL,BRPL,NDMC,BRPL,BYPL,BYPL,MHIL,BRPL,BYPL,TPDDL,BMDRC,BRPL,BYPL,UHL,ITCLH,NDMC,BRPL,BRPL,TPDDL,
,,West-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,South-West-North,North-North,East-West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,North-North,North-North,South-East-West-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,
69,17:00-17:15,3.08,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1669.78

70,17:15-17:30,2.16,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1668.86

71,17:30-17:45,0.76,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1667.46

72,17:45-18:00,0.77,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1667.47

73,18:00-18:15,0.74,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1655.7

74,18:15-18:30,0.68,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1655.64

75,18:30-18:45,0.39,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1581.94

76,18:45-19:00,0.14,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,57.960000,1581.69

77,19:00-19:15,0,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,0.000000,1717.76

78,19:15-19:30,0,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,0.000000,1717.76

79,19:30-19:45,0,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,0.000000,1717.76

80,19:45-20:00,0,67.620000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,0.000000,0.000000,0.000000,1717.76

81,20:00-20:15,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

82,20:15-20:30,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

83,20:30-20:45,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

84,20:45-21:00,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

85,21:00-21:15,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

86,21:15-21:30,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

87,21:30-21:45,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

88,21:45-22:00,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,0.000000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.770000,32.930000,48.300000,0.000000,0.000000,1722.59

89,22:00-22:15,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.720000,32.930000,48.300000,0.000000,0.000000,1867.44

90,22:15-22:30,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,48.300000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.720000,32.930000,48.300000,0.000000,0.000000,1867.44

91,22:30-22:45,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.720000,32.930000,48.300000,0.000000,0.000000,2128.26

92,22:45-23:00,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,7.730000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.720000,32.930000,48.300000,0.000000,0.000000,2128.26

93,23:00-23:15,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.630000,32.930000,48.300000,0.000000,0.000000,2127.2

94,23:15-23:30,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.630000,32.930000,48.300000,0.000000,0.000000,2127.2

95,23:30-23:45,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.630000,32.930000,48.300000,0.000000,0.000000,2127.2

96,23:45-24:00,0,0.000000,168.810000,0.000000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,309.120000,0.000000,10.970000,19.320000,90.800000,36.220000,0.880000,28.980000,13.520000,241.500000,0.980000,135.240000,64.800000,0.610000,0.630000,32.930000,48.300000,0.000000,0.000000,2127.2

