Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/01102023/05012040/L_NR_2020_02,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,NR/01102023/15082037/GNA_NR_2012_01,NR/01032024/22032024/HP-59,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,WR/11032024/12032024/L_NR_2019_19,NR/30092023/31122025/SH-07,NR/01012024/31032024/ ChanjuII,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01032024/15032024/HP-62,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/22032024/HP-56,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01102023/22052037/LT-59,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/30042040/GNA_LT_36,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01032024/31032024/SJVN010324NR1588,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10
6,01:15-01:30,25.030000,0.000000,35.100000,96.26,148.890000,12.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,55.67,0,0.000000,24.900000,4.320000,24.900000,1.110000,98.190000,144.390000,13.66,0,76.520000,33.690000,0.000000,55.67,0,48.13,96.26,0.930000,13.67,14.34,41,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,25.030000,0.000000,35.100000,96.26,148.890000,10.41,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,55.33,0,0.000000,24.900000,4.320000,24.900000,1.110000,98.190000,144.390000,18.34,0,76.520000,33.690000,0.000000,55.33,0,48.13,96.26,0.930000,18.33,14,55,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,25.030000,0.000000,35.100000,96.26,148.890000,9.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,54.67,0,0.000000,24.900000,4.320000,24.900000,1.110000,98.190000,144.390000,18.34,0,76.520000,33.690000,0.000000,54.67,0,48.13,96.26,0.930000,18.33,13.66,55,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,25.030000,0.000000,35.100000,96.26,148.890000,8.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,53.67,0,0.000000,24.900000,4.230000,24.900000,1.110000,98.190000,144.390000,18.16,0,76.520000,33.690000,0.000000,53.67,0,48.13,96.26,0.930000,18.17,13.66,54.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,25.030000,0.000000,35.100000,96.26,148.890000,7.21,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,53.33,0,0.000000,24.900000,4.230000,24.900000,1.110000,98.190000,144.390000,18.16,0,76.520000,33.690000,0.000000,53.33,0,48.13,96.26,0.930000,18.17,13.34,54.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,53,0,0.000000,24.900000,4.230000,24.900000,1.110000,98.190000,144.390000,18.16,0,76.520000,33.690000,0.000000,53,0,48.13,96.26,0.930000,18.17,13.34,54.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,51.67,0,0.000000,24.900000,4.230000,24.900000,1.110000,98.190000,144.390000,18.16,0,76.520000,33.690000,0.000000,51.67,0,48.13,96.26,0.930000,18.17,13,54.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,44.67,0,0.000000,24.900000,4.230000,24.900000,1.070000,98.190000,144.390000,18.16,0,76.520000,33.690000,0.000000,44.67,0,48.13,96.26,1.010000,18.17,12.66,54.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,43.33,0,0.000000,24.900000,4.230000,24.900000,1.070000,98.190000,144.390000,18,0,76.520000,33.690000,0.000000,43.33,0,48.13,96.26,1.010000,18,12.34,54,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.340000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,45,0,0.000000,24.900000,4.230000,24.900000,1.070000,98.190000,144.390000,18,0,76.520000,33.690000,0.000000,45,0,48.13,96.26,1.010000,18,12,54,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.340000,48.130000,0.000000,117.440000,0,52.940000,32.760000,0,43.33,0,0.000000,24.900000,4.230000,24.900000,1.070000,98.190000,144.390000,17.84,0,76.520000,33.690000,0.000000,43.33,0,48.13,96.26,1.010000,17.83,11.66,53.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.300000,48.130000,0.000000,113.590000,0,52.940000,32.760000,0,42.67,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,16.84,0,76.520000,33.690000,0.000000,42.67,0,48.13,96.26,1.010000,16.83,11.34,50.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.300000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,41.67,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,16.66,0,76.520000,33.690000,0.000000,41.67,0,48.13,96.26,1.010000,16.67,9.66,50,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.300000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,40.67,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,16.5,0,76.520000,33.690000,0.000000,40.67,0,48.13,96.26,1.010000,16.5,9.34,49.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.300000,48.130000,0.000000,111.660000,0,52.940000,32.760000,0,39.33,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,16.34,0,76.520000,33.690000,0.000000,39.33,0,48.13,96.26,1.010000,16.33,9,49,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,25.030000,0.000000,35.100000,96.26,148.890000,7.01,1.300000,48.130000,0.000000,167.480000,0,52.940000,32.760000,0,33.33,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,16.16,0,76.520000,57.390000,0.000000,33.33,0,48.13,96.26,0.930000,16.17,7.66,48.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,25.030000,0.000000,35.100000,96.26,192.520000,7.01,1.300000,48.130000,0.000000,191.550000,0,52.940000,32.760000,0,31.67,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,16,0,76.520000,57.390000,0.000000,31.67,0,48.13,96.26,0.930000,16,7.34,48,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,25.030000,0.000000,35.100000,96.26,231.020000,7.01,1.300000,48.130000,0.000000,156.490000,0,52.940000,32.760000,0,30.67,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,13.66,0,76.520000,57.390000,0.000000,30.67,0,48.13,96.26,0.930000,13.67,7.34,41,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,25.030000,0.000000,35.100000,96.26,231.020000,7.01,1.300000,48.130000,0.000000,151.680000,0,52.940000,32.760000,0,30,0,0.000000,24.900000,4.140000,24.900000,1.070000,98.190000,144.390000,13.34,0,76.520000,57.390000,0.000000,30,0,48.13,96.26,0.930000,13.33,7.34,40,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,25.030000,0.000000,33.020000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,167.480000,0,52.940000,0.000000,0,28.33,0,0.000000,23.040000,4.040000,30.800000,1.070000,0.000000,144.390000,13,0,0.000000,57.390000,0.000000,28.33,0,48.13,96.26,0.930000,13,7,39,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,25.030000,0.000000,33.020000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,167.480000,0,52.940000,0.000000,2.04,27.33,0,0.000000,23.040000,4.040000,30.800000,1.070000,0.000000,144.390000,12.5,0,0.000000,57.390000,0.000000,27.33,0.33,48.13,96.26,0.930000,12.5,6.66,37.5,0,0.000000,0,0,0,0,0,0,0,0,0,0.01,0

27,06:30-06:45,24.060000,0.000000,33.020000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,167.480000,1.021965,52.940000,0.000000,5.85,26.67,0,0.000000,10.000000,4.040000,30.800000,1.070000,0.000000,144.390000,15,5,0.000000,57.390000,0.000000,26.67,5.27,48.13,96.26,0.930000,15,8.34,45,0,0.000000,0,0,0,0,0,0,0,0,0,0.01,0

28,06:45-07:00,23.100000,0.000000,37.260000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,196.360000,5.323951,99.740000,0.000000,13.04,25,0,0.000000,10.000000,4.040000,30.800000,1.070000,0.000000,144.390000,14.84,12,0.000000,57.390000,0.000000,25,14.33,48.13,96.26,0.930000,14.83,8.34,44.5,0,0.000000,0,0,0,0,0,1,0,0,0,0.01,1

29,07:00-07:15,22.140000,0.110000,41.510000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,207.920000,10.784164,99.740000,0.000000,22.31,30,0,0.000000,0.000000,4.040000,30.800000,1.070000,0.000000,144.390000,15.84,26,0.000000,86.830000,0.110000,30,27.6,48.13,96.26,0.930000,15.83,8.34,47.5,0,0.110000,0.11,2.6,0,2,0,4,1,1,0,0.54,1

30,07:15-07:30,22.140000,0.510000,57.740000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,207.920000,16.847823,99.740000,0.000000,29.22,29.33,0,0.000000,0.000000,4.040000,30.800000,1.070000,0.000000,144.390000,15.5,29.22,0.000000,86.830000,0.510000,29.33,29.21,48.13,96.26,0.930000,15.5,8.34,46.5,0,0.520000,1.11,6.82,0,6,0,11,2,3,0,5.53,4

31,07:30-07:45,21.180000,1.210000,57.740000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,207.920000,23.952913,99.740000,0.000000,30.72,28.33,0,0.000000,0.000000,4.040000,30.800000,1.070000,0.000000,144.390000,15,30.72,0.000000,86.830000,1.210000,28.33,30.71,48.13,96.26,0.930000,15,8,45,0,1.240000,3.76,11.82,0,11,0,14,5,6,0,18.78,6

32,07:45:08:00,21.180000,2.840000,57.740000,96.26,270.730000,7.01,1.300000,48.130000,0.000000,207.920000,32.60555,99.740000,0.000000,30.72,25.67,0,0.000000,0.000000,4.040000,30.800000,1.070000,0.000000,144.390000,14.66,30.72,0.000000,86.830000,2.840000,25.67,30.71,48.13,96.26,0.930000,14.67,8,44,0,2.910000,7.9,16.82,0,20,0,32,9,10,0,39.53,13

33,08:00-08:15,21.180000,4.120000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,42.036827,99.740000,0.000000,30.72,24.33,0,0.000000,0.000000,3.960000,30.800000,1.030000,0.000000,144.390000,15.66,30.72,0.000000,86.830000,4.120000,24.33,30.71,48.13,96.26,1.090000,15.67,7.66,47,0,4.220000,12.19,21.74,0,30,0,49,13.7,15,0,60.97,21

34,08:15-08:30,20.210000,5.700000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,51.545968,99.740000,0.000000,30.72,22.33,0,0.000000,0.000000,3.960000,30.800000,1.030000,0.000000,144.390000,14.66,30.72,0.000000,86.830000,5.700000,22.33,30.71,48.13,96.26,1.090000,14.67,7.66,44,0,5.840000,16.82,27.48,0,37,0,70,18.5,19,0,84.09,30

35,08:30-08:45,20.210000,7.210000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,60.665789,99.740000,0.000000,31.72,20.67,0,0.000000,23.040000,3.960000,30.800000,1.030000,0.000000,144.390000,13.16,31.72,0.000000,76.320000,7.210000,20.67,31.71,48.13,96.26,1.090000,13.17,7.34,39.5,0,7.390000,21.47,33.45,0,46,0,88,24.1,23,0,107.36,37

36,08:45:09:00,20.210000,8.280000,47.170000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,196.360000,69.766144,99.740000,0.000000,31.72,19.33,0,0.000000,23.040000,3.960000,30.800000,1.030000,0.000000,144.390000,12.5,31.72,0.000000,57.390000,8.280000,19.33,31.71,48.13,96.26,1.090000,12.5,7.34,37.5,0,8.490000,26.07,44.03,0,55,0,105,28.1,28,0,130.33,45

37,09:00:09:15,21.180000,9.690000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,80.316716,99.740000,0.000000,31.72,18.33,0,0.000000,23.040000,3.960000,30.800000,1.030000,0.000000,144.390000,11.5,31.72,0.000000,76.320000,9.690000,18.33,31.71,48.13,96.26,1.090000,11.5,7,34.5,14.73,9.930000,30.42,53.88,0,63,0,123,31.4,32,0,152.1,52

38,09:15-09:30,21.180000,11.130000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,88.774693,99.740000,0.000000,31.72,16.67,0,0.000000,30.800000,3.960000,30.800000,1.030000,0.000000,144.390000,11.16,31.72,0.000000,76.320000,11.130000,16.67,31.71,48.13,96.26,1.090000,11.17,7,33.5,14.73,11.400000,34.32,62.74,0,69,0,137,34.5,35,0,171.6,58

39,09:30-09:45,21.180000,12.040000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,96.473496,99.740000,0.000000,31.72,16,0,0.000000,30.800000,3.960000,30.800000,1.030000,0.000000,144.390000,10.66,31.72,0.000000,76.320000,12.040000,16,31.71,48.13,96.26,1.090000,10.67,6.66,32,14.73,12.340000,37.62,71,0,77,0,151,37.5,38,0,188.11,64

40,09:45-10:00,21.180000,13.240000,57.740000,96.26,270.730000,7.01,1.340000,48.130000,0.000000,207.920000,103.286596,99.740000,0.000000,32.05,15.33,0,0.000000,30.800000,3.960000,30.800000,1.030000,0.000000,144.390000,9.84,32.05,0.000000,85.950000,13.240000,15.33,32.05,48.13,96.26,1.090000,9.83,6.66,29.5,14.73,13.570000,41.02,78.65,0,83,0,165,40.5,42,0,205.13,70

41,10:00-10:15,21.180000,14.310000,57.740000,96.26,270.730000,7.01,1.390000,48.130000,0.000000,207.920000,109.622779,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.030000,0.000000,144.390000,9,32.05,0.000000,76.320000,14.310000,13.33,32.05,48.13,96.26,1.010000,9,6.66,27,14.73,14.660000,44.09,85.62,0,89,0,179,43.1,45,0,220.44,76

42,10:15-10:30,21.180000,15.230000,57.740000,96.26,270.730000,6.81,1.390000,48.130000,0.000000,207.920000,115.783768,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.030000,0.000000,144.390000,8.66,32.05,0.000000,76.320000,15.230000,13.33,32.05,48.13,96.26,1.010000,8.67,6.66,26,14.73,15.600000,46.94,91.93,0,93,0,189,45.2,47,0,234.68,81

43,10:30-10:45,20.210000,15.920000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,207.920000,129.964749,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.030000,0.000000,144.390000,7,32.05,0.000000,76.320000,15.920000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,14.73,16.320000,49.31,92.52,0,94,0,200,46.8,47,0,246.58,85

44,10:45-11:00,20.210000,16.610000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,207.920000,134.519793,57.760000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.030000,0.000000,144.390000,7,32.05,0.000000,76.320000,16.610000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,14.73,17.030000,49.31,92.33,0,94,0,203,48,47,0,246.58,87

45,11:00-11:15,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,207.920000,138.072338,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,76.320000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.29,0,94,24.07,210,48.2,47,28.88,246.58,90

46,11:15-11:30,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,207.920000,141.138233,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,76.320000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.41,0,94,24.07,210,48.2,47,28.88,246.58,90

47,11:30-11:45,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,244.200000,143.425488,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,76.320000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.52,0,94,24.07,210,48.2,47,28.88,246.58,90

48,11:45-12:00,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,244.200000,144.885438,62.570000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,76.320000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.34,0,94,24.07,210,48.2,47,28.88,246.58,90

49,12:00-12:15,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,196.070000,147.562013,52.940000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,52.630000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.63,0,94,24.07,210,48.2,47,28.88,246.58,90

50,12:15-12:30,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,166.540000,148.291988,52.940000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,52.630000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.52,0,94,24.07,210,48.2,47,28.88,246.58,90

51,12:30-12:45,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,153.060000,148.126527,52.940000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,52.630000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.52,0,94,24.07,210,48.2,47,28.88,246.58,90

52,12:45-13:00,22.140000,17.230000,57.740000,96.26,270.730000,6.41,1.390000,48.130000,0.000000,153.060000,147.84427,52.940000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.110000,0.000000,144.390000,7,32.05,0.000000,52.630000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.19,0,94,24.07,210,48.2,47,28.88,246.58,90

53,13:00-13:15,22.140000,17.230000,47.170000,96.26,231.020000,6.41,1.390000,48.130000,0.000000,141.500000,147.036431,52.940000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.150000,0.000000,144.390000,7,32.05,0.000000,33.690000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.41,0,94,24.07,210,48.2,47,28.88,246.58,90

54,13:15-13:30,22.140000,17.230000,33.020000,96.26,231.020000,6.41,1.390000,48.130000,0.000000,112.620000,145.148229,52.940000,0.000000,32.05,13.33,0,0.000000,23.040000,3.860000,30.800000,1.150000,0.000000,144.390000,7,32.05,0.000000,33.690000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.51,0,94,24.07,210,48.2,47,28.88,246.58,90

55,13:30-13:45,22.140000,17.230000,33.020000,96.26,251.240000,6.41,1.390000,48.130000,0.000000,112.620000,141.761145,52.940000,0.000000,32.05,13.33,0,0.000000,25.710000,3.860000,25.710000,1.150000,0.000000,144.390000,7,32.05,0.000000,33.690000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.63,0,94,24.07,210,48,47,28.88,246.58,90

56,13:45-14:00,22.140000,17.230000,33.020000,96.26,231.020000,6.81,1.390000,48.130000,0.000000,141.500000,138.461658,52.940000,0.000000,32.05,13.33,0,0.000000,25.710000,3.860000,25.710000,1.150000,0.000000,144.390000,7,32.05,0.000000,33.690000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.22,0,94,24.07,210,48,47,28.88,246.58,90

57,14:00-14:15,22.140000,17.230000,47.170000,96.26,211.770000,7.01,1.430000,48.130000,0.000000,168.160000,134.354332,52.940000,0.000000,32.05,13.33,0,0.000000,25.710000,3.860000,25.710000,1.150000,0.000000,144.390000,7,32.05,0.000000,52.630000,17.230000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.660000,49.31,92.15,0,94,24.07,210,48,47,28.88,246.58,90

58,14:15-14:30,22.140000,17.060000,57.740000,96.26,198.300000,7.21,1.430000,48.130000,0.000000,168.160000,129.955016,52.940000,0.000000,32.05,13.33,0,0.000000,25.710000,3.860000,25.710000,1.150000,0.000000,144.390000,7,32.05,0.000000,52.630000,17.060000,13.33,32.05,48.13,96.26,1.010000,7,6.66,21,0,17.480000,49.31,92.04,0,94,24.07,200,48,47,28.88,246.58,85

