Column1,Block,NR/2025/26199/A/68978,NR/2025/26433/C,NR/2025/26336/A/68661,NR/2025/26467/C,NR/2025/26265/A/68948,NR/2025/26289/A/68946,NR/2025/26435/C,NR/2025/26439/C,NR/2025/26431/C,NR/2025/26312/A/68486,NR/2025/26432/C,NR/2025/26202/A/69056,NR/2025/26191/A/68515,NR/2025/26201/A/68976,NR/2025/26232/A/68950,NR/2025/26233/A/68949,NR/2025/26153/A/68488,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/68487,NR/2025/26335/A/68663,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2474,NR/30092023/26122029/SH-06,NR/2025/26470/C,NR/2025/26291/A/68943,NR/2025/26002/A/68885,NR/2025/26434/C,GNA/NR/2025/05/01/9395,NR/2025/26197/A/68982,NR/30092023/31122025/SH-07,NR/2025/26471/C,NR/2025/26456/C,NR/2025/26200/A/68977,ER/2025/17329/C,NR/2025/26457/C,NR/2025/25858/A/68890,NR/2025/26198/A/68979,GNA/NR/2025/05/01/3877,NR/2025/25855/A/68891,NR/2025/26101/A/68578,NR/2025/26286/A/68596,NR/2025/26453/C,NR/2025/26085/A/68501,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6363,Total
3,00:30-00:45,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.58,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.77,0,14.45,1440.2500000000002

4,00:45-01:00,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.58,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.77,0,14.45,1440.2500000000002

5,01:00-01:15,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.5,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.67,0,14.45,1440.0700000000004

6,01:15-01:30,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.5,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.67,0,14.45,1440.0700000000004

7,01:30-01:45,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.5,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.67,0,14.45,1440.0700000000004

8,01:45-02:00,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.5,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.67,0,14.45,1440.0700000000004

9,02:00-02:15,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.4,14.45,0,0,122.82,10.6,0,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.63,0,0,1323.3700000000001

10,02:15-02:30,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.4,14.45,0,0,122.82,10.6,0,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.63,0,0,1323.3700000000001

11,02:30-02:45,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.4,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.63,0,0,1320.9700000000003

12,02:45-03:00,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.4,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.63,0,0,1320.9700000000003

13,03:00-03:15,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.22,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.6400000000003

14,03:15-03:30,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.22,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.6400000000003

15,03:30-03:45,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.22,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.6400000000003

16,03:45-04:00,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.22,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.6400000000003

17,04:00-04:15,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.04,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.4600000000003

18,04:15-04:30,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.04,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.4600000000003

19,04:30-04:45,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.04,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.4600000000003

20,04:45-05:00,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,9.04,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.4600000000003

21,05:00-05:15,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,8.94,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.3600000000004

22,05:15-05:30,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,8.94,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.3600000000004

23,05:30-05:45,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,8.94,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.3600000000004

24,05:45-06:00,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,8.94,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,0,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.48,0,0,1320.3600000000004

25,06:00-06:15,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,96.33,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,129.73,0.58,0,0,1321.71

26,06:15-06:30,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0.27,0,0,96.33,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,64.22,0.58,0,0,1256.47

27,06:30-06:45,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,4.06,0,1,96.33,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,64.22,0.58,0,0,1261.26

28,06:45-07:00,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,6.72,0,4,96.33,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,64.22,0.58,0,0,1266.9200000000003

29,07:00-07:15,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,10.14,0,14,96.33,163.76,13.49,8.57,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,64.22,0.67,0,0,1301.9200000000003

30,07:15-07:30,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,13.94,0,28,96.33,163.76,13.49,8.57,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,25.69,0.67,0,0,1281.1900000000005

31,07:30-07:45,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,18.18,0,42,96.33,163.76,13.49,8.57,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,25.69,0.67,0,0,1299.4300000000003

32,07:45-08:00,37.21,0,134.86,0,0,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,23.63,0,56,96.33,163.76,13.49,8.57,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,25.69,0.67,0,0,1318.8800000000006

33,08:00-08:15,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,29.48,7.71,70,0,163.76,13.49,8.48,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,51.37,0.96,0,0,1372.3200000000002

34,08:15-08:30,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,35.21,7.71,88,0,163.76,13.49,8.48,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,77.06,0.96,0,0,1421.7400000000002

35,08:30-08:45,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,40.74,7.71,81,0,163.76,13.49,8.48,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,77.06,0.96,0,0,1420.2700000000004

36,08:45-09:00,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,47.09,7.71,91,0,163.76,13.49,8.48,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.93,0,24.08,0,0,0,12.41,26.93,0,51.03,12.41,0,0,0,37.21,28.9,0,0,3.85,102.76,0.96,0,0,1462.3200000000004

37,09:00-09:15,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,53.35,10.6,123,0,163.76,13.49,8.39,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,102.76,0.96,0,0,1557.3500000000001

38,09:15-09:30,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,59.61,10.6,137,0,163.76,13.49,8.39,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,102.76,0.96,0,0,1577.6100000000001

39,09:30-09:45,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,63.14,7.8,151,0,163.76,13.49,8.39,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,128.44,0.96,0,0,1618.0200000000002

40,09:45-10:00,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,67.71,7.61,161,0,163.76,13.49,8.39,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,128.44,0.96,0,0,1632.4000000000003

41,10:00-10:15,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,71.81,8.86,172,0,163.76,13.49,8.29,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1649.0000000000002

42,10:15-10:30,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,75.29,8.48,182,0,163.76,13.49,8.29,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1662.1000000000001

43,10:30-10:45,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,78.05,12.33,193,0,163.76,13.49,9.04,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1680.46

44,10:45-11:00,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,80.11,12.52,196,0,163.76,13.49,9.04,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1685.71

45,11:00-11:15,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,85.19,13.49,196,0,163.76,13.49,8.85,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1691.5700000000002

46,11:15-11:30,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,88.52,13.49,196,0,163.76,13.49,8.85,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1694.9

47,11:30-11:45,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,92.76,13.49,196,0,163.76,13.49,8.85,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1699.14

48,11:45-12:00,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,93.44,13.49,196,0,163.76,13.49,8.85,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.94,0,0,0,24.08,0,12.41,26.94,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1699.82

49,12:00-12:15,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,94.04,13.49,196,0,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.95,0,0,0,24.08,0,12.41,26.95,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1700.35

50,12:15-12:30,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,94.55,13.49,196,0,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.95,0,0,0,24.08,0,12.41,26.95,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1700.86

51,12:30-12:45,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,94.85,13.49,196,0,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.95,0,0,0,24.08,0,12.41,26.95,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1701.16

52,12:45-13:00,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,95,13.49,196,0,163.76,13.49,8.76,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.95,0,0,0,24.08,0,12.41,26.95,0,0,12.41,0,38.53,0,37.21,28.9,0,0,4.82,141.29,0.96,0,0,1701.31

53,13:00-13:15,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,94.9,13.49,196,0,163.76,13.49,8.67,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.95,0,0,0,24.08,0,12.41,26.95,0,0,12.41,0,38.53,0,37.21,28.9,0,0,5.78,141.29,0.96,0,0,1702.08

54,13:15-13:30,37.21,4.82,134.86,0,0,0,96.33,52.98,48.16,0,4.82,0,48.16,37.21,0,0,62.61,94.56,13.49,196,0,163.76,13.49,8.67,14.45,0,0,122.82,10.6,0,163.76,0,17.51,26.95,0,0,0,24.08,0,12.41,26.95,0,0,12.41,0,38.53,0,37.21,28.9,0,0,5.78,128.44,0.96,0,0,1688.89

