Column1,Block,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9252,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,NR/2025/27681/C,NR/2025/27684/C,NR/2025/27670/C,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/76248,NR/2025/27699/C,NR/2025/27644/C,NR/2025/27680/C,NR/2025/27577/C,NR/2025/26005/A/76118,NR/2025/26828/A/76633,NR/2025/27721/C,NR/2025/26202/A/76599,NR/2025/27723/C,NR/2025/26153/A/76061,NR/2025/26191/A/76115,NR/2025/26879/A/76246,NR/2025/27580/C,NR/2025/26291/A/76569,NR/2025/27704/C,NR/2025/26233/A/76570,NR/2025/25967/A/76528,NR/2025/27579/C,NR/2025/26825/A/76635,NR/2025/27575/C,NR/2025/26004/A/76117,NR/2025/25861/A/76533,NR/2025/26082/A/76600,NR/2025/25860/A/76534,NR/2025/27722/C,NR/2025/27706/C,NR/2025/27703/C,NR/2025/26232/A/76571,NR/2025/26336/A/76247,NR/2025/26827/A/76634,NR/2025/27573/C,NR/2025/26829/A/76632,NR/2025/27574/C,NR/2025/27149/A/76191,NR/2025/26265/A/76567,NR/2025/26289/A/76568,NR/2025/26085/A/76040,GNA/NR/2025/05/01/4138,NR/2025/26959/A/76190,NR/2025/25859/A/76535,NR/2025/27702/C,NR/2025/26785/A/76057,NR/2025/26101/A/76169,NR/2025/26379/A/76527,NR/2025/26822/A/76636,NR/2025/27576/C,NR/2025/27626/C,NR/2025/26755/A/76054,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,Total
7,01:30-01:45,82.12,26.93,13.23,13.53,26.93,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.68,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2283.6500000000005

8,01:45-02:00,82.12,26.93,13.23,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.68,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2220.8500000000004

9,02:00-02:15,82.12,26.93,13.03,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.63,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,2103.7000000000003

10,02:15-02:30,82.12,26.93,13.03,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.63,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,2103.7000000000003

11,02:30-02:45,82.12,26.93,13.03,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.63,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,2103.7000000000003

12,02:45-03:00,82.12,26.93,13.03,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.63,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,2103.7000000000003

13,03:00-03:15,82.12,26.93,12.85,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1909.67

14,03:15-03:30,82.12,26.93,12.85,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1909.67

15,03:30-03:45,82.12,26.93,12.85,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1909.67

16,03:45-04:00,82.12,26.93,12.85,13.53,26.93,17.56,0,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1909.67

17,04:00-04:15,82.12,26.93,12.76,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1793.65

18,04:15-04:30,82.12,26.93,12.76,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1793.65

19,04:30-04:45,82.12,26.93,12.76,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1793.65

20,04:45-05:00,82.12,26.93,12.76,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,111.1,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1793.65

21,05:00-05:15,82.12,26.93,12.58,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1682.37

22,05:15-05:30,82.12,26.93,12.58,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.48,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1682.37

23,05:30-05:45,82.12,26.93,12.58,13.53,26.93,17.56,62.8,0,0,0,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.48,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1681.4099999999999

24,05:45-06:00,82.12,26.93,12.58,13.53,26.93,17.56,62.8,0,0,0.16,0,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.48,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1681.57

25,06:00-06:15,82.12,26.93,12.48,13.53,26.93,17.56,62.8,0,0,0.7,1,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.58,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1683.1099999999997

26,06:15-06:30,82.12,26.93,12.48,13.53,26.93,17.56,62.8,0,0,1.4,4,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.58,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1686.8099999999997

27,06:30-06:45,82.12,26.93,12.48,13.53,26.93,17.56,62.8,0,0,4.3,7,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.58,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1692.7099999999998

28,06:45-07:00,82.12,26.93,12.48,13.53,26.93,17.56,62.8,0,0,7.16,14,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.58,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1702.57

29,07:00-07:15,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,10.95,25,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.68,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1717.2800000000002

30,07:15-07:30,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,15.08,35,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.68,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1731.41

31,07:30-07:45,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,19.53,39,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.68,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1739.8600000000001

32,07:45-08:00,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,24.66,46,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,0,48.3,0.68,0,5.8,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,0,164.24,0,96.61,20.53,0,14.49,0,0,1751.9900000000002

33,08:00-08:15,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,30.07,53,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,96.61,48.3,0.97,0,5.8,96.61,0,0,0,164.24,14.64,0,0,7.73,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1772.42

34,08:15-08:30,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,35.62,67,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,96.61,48.3,0.97,0,5.8,96.61,0,0,0,164.24,14.64,0,0,7.73,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1791.97

35,08:30-08:45,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,41.26,81,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,96.61,48.3,0.97,0,5.8,96.61,0,0,0,164.24,14.64,0,0,7.73,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1811.61

36,08:45-09:00,82.12,26.93,12.3,13.53,26.93,17.56,62.8,0,0,46.86,95,0,0,108.55,0,48.3,14.64,0,96.61,0,62.8,48.3,0,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,0,0,0,0,4.83,0,43.91,0,25.13,0,1.93,96.61,48.3,0.97,0,5.8,96.61,0,0,0,164.24,14.64,0,0,7.73,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1831.21

37,09:00-09:15,82.12,26.94,12.2,13.53,26.94,17.56,62.8,96.61,0,52.3,119,14.64,164.24,108.55,4.83,48.3,0,0,0,0,9.95,0,0,52.85,0,14.64,0,164.24,53.14,0,24.15,48.3,0,47.34,0,0,25.13,43.91,0,0,0,96.61,0,48.3,2.9,0,0,0.97,0,6.76,96.61,29.55,0,0,0,0,4.83,48.3,10.63,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1918.5400000000002

38,09:15-09:30,82.12,26.94,12.2,13.53,26.94,17.56,62.8,96.61,0,57.23,130,14.64,164.24,108.55,4.83,48.3,0,0,0,0,9.95,0,0,52.85,0,14.64,0,164.24,53.14,0,24.15,48.3,0,47.34,0,0,25.13,43.91,0,0,0,96.61,0,48.3,2.9,0,0,0.97,0,6.76,96.61,29.55,0,0,0,0,4.83,48.3,10.63,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1934.4700000000003

39,09:30-09:45,82.12,26.94,12.2,13.53,26.94,17.56,62.8,96.61,0,62.03,144,14.64,164.24,108.55,4.83,48.3,0,0,0,0,9.95,0,0,52.85,0,14.64,0,164.24,53.14,0,24.15,48.3,0,47.34,0,0,25.13,43.91,0,0,0,96.61,0,48.3,2.9,0,0,0.97,0,6.76,96.61,29.55,0,0,0,0,4.83,48.3,10.63,10.63,0,28.98,0,164.24,0,0,20.53,0,14.49,0,0,1953.2700000000002

