Column1,Block,NR/2024/23907/C,GNA/NR/2024/11/01/4503,WR/2024/24788/A/42925,GNA/NR/2024/11/01/9061,NR/2024/23420/A/42801,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23769/A/42798,NR/2024/23809/A/42797,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/3646,NR/2024/23911/C,NR/2024/23906/C,NR/2024/23912/C,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/5444,Total
27,06:30-06:45,0,8.68,0,26.03,0.43,3.13,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,175.12

28,06:45-07:00,0,8.68,0,26.03,0.43,3.13,5.78,4.82,24.08,0,0,0,0.16,0,24.08,17.35,0,0,26.03,8.68,26.03,175.28

29,07:00-07:15,0,8.68,0,26.03,0.58,3.13,5.78,4.82,24.08,0,0,0,0.43,0,24.08,17.35,0,0,26.03,8.68,26.03,175.70000000000002

30,07:15-07:30,0,8.68,0,26.03,0.58,3.13,5.78,4.82,24.08,0,0,0,0.82,0,24.08,17.35,0,0,26.03,8.68,26.03,176.09

31,07:30-07:45,0,8.68,0,34.71,0.58,3.13,5.78,4.82,24.08,0,0,0,1.16,0,24.08,17.35,0,0,34.71,8.68,34.71,202.47000000000003

32,07:45-08:00,0,8.68,0,34.71,0.58,3.13,5.78,4.82,24.08,0,0,0,1.54,0,24.08,17.35,0,0,34.71,8.68,34.71,202.85000000000002

33,08:00-08:15,0,8.68,0,34.71,0.96,3.13,5.78,4.82,26.91,0,0,0,2.02,0,26.91,17.35,0,0,34.71,8.68,34.71,209.37000000000003

34,08:15-08:30,0,8.68,0,34.71,0.96,3.13,5.78,4.82,26.91,0,0,0,2.7,0,26.91,17.35,0,0,34.71,8.68,34.71,210.05000000000004

35,08:30-08:45,0,8.68,0,36.64,0.96,3.13,5.78,4.82,26.91,0,0,0,3.42,0,26.91,17.35,0,0,36.64,8.68,36.64,216.56

36,08:45-09:00,0,8.68,0,36.64,0.96,3.13,5.78,4.82,26.91,0,0,0,3.81,0,26.91,17.35,0,0,36.64,8.68,36.64,216.95

37,09:00-09:15,0,8.68,0,28.92,0.87,3.13,5.78,4.82,26.91,0,0,24.58,4.34,28.44,26.91,17.35,0,0,28.92,8.68,28.92,247.25

38,09:15-09:30,0,8.68,0,28.92,0.87,3.13,5.78,4.82,26.91,0,0,24.1,4.77,28.92,26.91,17.35,0,0,28.92,8.68,28.92,247.68

39,09:30-09:45,0,8.68,0,28.92,0.87,3.13,5.78,4.82,26.91,0,0,24.1,5.3,28.92,26.91,17.35,0,0,28.92,8.68,28.92,248.21000000000004

40,09:45-10:00,0,8.68,0,28.92,0.87,3.13,5.78,4.82,26.91,0,0,24.1,5.59,28.92,26.91,17.35,0,0,28.92,8.68,28.92,248.50000000000006

41,10:00-10:15,0,8.68,0,36.64,0.87,3.13,5.78,4.82,26.91,0,0,24.1,5.69,28.92,26.91,17.35,0,0,36.64,8.68,36.64,271.76

42,10:15-10:30,0,8.68,0,36.64,0.87,3.13,5.78,4.82,26.91,0,0,24.1,5.78,28.92,26.91,17.35,0,0,36.64,8.68,36.64,271.84999999999997

43,10:30-10:45,0,8.68,0,36.64,0.87,3.13,5.78,4.82,26.91,0,0,24.1,6.07,28.92,26.91,17.35,0,0,36.64,8.68,36.64,272.14

44,10:45-11:00,0,8.68,0,35.67,0.87,3.13,5.78,4.82,26.91,0,0,24.1,6.36,28.92,26.91,17.35,0,0,35.67,8.68,35.67,269.52000000000004

45,11:00-11:15,0,8.68,0,35.67,0.87,3.13,5.78,4.82,26.91,0,0,24.1,6.56,28.92,26.91,17.35,0,0,35.67,8.68,35.67,269.72

46,11:15-11:30,0,8.68,0,35.67,0.87,3.13,5.78,4.82,26.91,0,0,24.1,6.75,28.92,26.91,17.35,0,0,35.67,8.68,35.67,269.91

47,11:30-11:45,0,8.68,0,35.67,0.87,3.13,5.78,4.82,26.91,0,0,24.1,7.13,28.92,26.91,17.35,0,0,35.67,8.68,35.67,270.29

48,11:45-12:00,0,8.68,0,34.71,0.87,3.13,5.78,4.82,26.91,0,0,24.1,7.33,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.61

49,12:00-12:15,0,8.68,0,34.71,0.87,3.13,5.78,4.82,26.91,0,0,24.1,7.71,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.99

50,12:15-12:30,0,8.68,0,34.71,0.87,3.13,5.78,4.82,26.91,0,0,24.1,7.62,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.90000000000003

51,12:30-12:45,0,8.68,0,34.71,0.87,3.13,5.78,4.82,26.91,0,0,24.1,7.42,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.7

52,12:45-13:00,0,8.68,0,34.71,0.87,3.13,5.78,4.82,26.91,0,0,24.1,7.23,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.51

53,13:00-13:15,0,8.68,0,34.71,0.77,3.13,5.78,4.82,26.91,0,0,24.1,7.13,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.31

54,13:15-13:30,0,8.68,0,34.71,0.77,3.13,5.78,4.82,26.91,0,0,24.1,7.04,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.22

55,13:30-13:45,0,8.68,0,34.71,0.77,3.13,5.78,4.82,26.91,0,0,24.1,6.94,28.92,26.91,17.35,0,0,34.71,8.68,34.71,267.12

56,13:45-14:00,0,8.68,0,34.71,0.77,3.13,5.78,4.82,26.91,0,0,24.1,6.65,28.92,26.91,17.35,0,0,34.71,8.68,34.71,266.83000000000004

57,14:00-14:15,0,8.68,0,34.71,0.96,3.04,5.78,4.82,26.91,0,0,24.1,6.17,28.92,26.91,17.35,0,0,34.71,8.68,34.71,266.45

58,14:15-14:30,0,8.68,0,34.71,0.96,3.04,5.78,4.82,26.91,0,0,24.1,5.78,28.92,26.91,17.35,0,0,34.71,8.68,34.71,266.06

59,14:30-14:45,0,8.68,0,34.71,0.96,3.04,5.78,4.82,26.91,0,0,24.1,5.4,28.92,26.91,17.35,0,0,34.71,8.68,34.71,265.68

60,14:45-15:00,0,8.68,0,34.71,0.96,3.04,5.78,4.82,26.91,0,0,24.1,5.01,28.92,26.91,17.35,0,0,34.71,8.68,34.71,265.29

61,15:00-15:15,0,8.68,0,34.71,0.87,3.04,5.78,4.82,26.91,0,0,24.1,4.63,28.92,26.91,17.35,0,0,34.71,8.68,34.71,264.82

62,15:15-15:30,0,8.68,0,34.71,0.87,3.04,5.78,4.82,26.91,0,0,24.1,3.86,28.92,26.91,17.35,0,0,34.71,8.68,34.71,264.05

63,15:30-15:45,0,8.68,0,34.71,0.87,3.04,5.78,4.82,26.91,0,0,24.1,3.28,28.92,26.91,17.35,0,0,34.71,8.68,34.71,263.47

64,15:45-16:00,0,8.68,0,34.71,0.87,3.04,5.78,4.82,26.91,0,0,20.63,2.51,26.22,26.91,17.35,0,0,34.71,8.68,34.71,256.53000000000003

65,16:00-16:15,0.96,8.68,0,36.64,0.77,3.04,5.78,4.82,23.13,0,0,14.75,2.31,21.79,23.13,17.35,0,0,36.64,8.68,36.64,245.11

66,16:15-16:30,0.96,8.68,0,36.64,0.77,3.04,5.78,4.82,23.13,0,0,8.68,1.83,17.16,23.13,17.35,0,0,36.64,8.68,36.64,233.93

67,16:30-16:45,0.96,8.68,0,36.64,0.77,3.04,5.78,4.82,13.47,0,0,2.99,1.74,12.73,13.47,17.35,0,0,36.64,8.68,36.64,204.39999999999998

68,16:45-17:00,0.96,8.68,0,36.64,0.77,3.04,5.78,4.82,13.47,0,0,0.96,1.1,8.39,13.47,17.35,0,0,36.64,8.68,36.64,197.39

69,17:00-17:15,0.96,14.46,0,43.38,0.58,3.04,5.78,4.82,31.03,0,0,0,0.57,0,31.03,17.35,0,0,18.9,14.46,18.9,205.26000000000002

70,17:15-17:30,0.96,14.46,0,43.38,0.58,3.04,5.78,4.82,31.03,0,0,0,0.33,0,31.03,17.35,0,0,18.9,14.46,18.9,205.02000000000004

71,17:30-17:45,1.93,14.46,0,43.38,0.58,3.04,5.78,4.82,31.03,0,0,0,0.16,0,31.03,17.35,0,0,18.9,14.46,18.9,205.82000000000002

72,17:45-18:00,1.93,14.46,0,43.38,0.58,3.04,5.78,4.82,31.03,0,0,0,0,0,31.03,17.35,0,0,18.9,14.46,18.9,205.66000000000003

73,18:00-18:15,1.93,14.46,38.56,43.38,0.63,3.04,5.78,4.82,31.53,0,0,0,0,0,31.53,17.35,50,150,18.9,14.46,18.9,445.2699999999999

74,18:15-18:30,1.93,14.46,38.56,43.38,0.63,3.04,5.78,4.82,31.53,0,0,0,0,0,31.53,17.35,50,150,18.9,14.46,18.9,445.2699999999999

75,18:30-18:45,1.93,14.46,38.56,43.38,0.63,3.04,5.78,4.82,31.53,0,0,0,0,0,31.53,17.35,50,150,18.9,14.46,18.9,445.2699999999999

76,18:45-19:00,1.93,14.46,38.56,43.38,0.63,3.04,5.78,4.82,31.53,0,0,0,0,0,31.53,17.35,50,150,18.9,14.46,18.9,445.2699999999999

77,19:00-19:15,1.93,8.68,38.56,36.64,0.63,3.13,5.78,4.82,5.95,0,0,0,0,0,32,17.35,50,150,36.64,8.68,36.64,437.43

78,19:15-19:30,1.93,8.68,38.56,36.64,0.63,3.13,5.78,4.82,5.95,0,0,0,0,0,32,17.35,50,150,36.64,8.68,36.64,437.43

79,19:30-19:45,1.93,8.68,38.56,36.64,0.63,3.13,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,150,36.64,8.68,36.64,447.63999999999993

80,19:45-20:00,1.93,8.68,38.56,36.64,0.63,3.13,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,150,36.64,8.68,36.64,447.63999999999993

81,20:00-20:15,1.93,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,465.9

82,20:15-20:30,1.93,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,465.9

83,20:30-20:45,1.93,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,465.9

84,20:45-21:00,1.93,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,465.9

85,21:00-21:15,0.96,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,464.93000000000006

86,21:15-21:30,0.96,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,464.93000000000006

87,21:30-21:45,0.96,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,464.93000000000006

88,21:45-22:00,0.96,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,464.93000000000006

89,22:00-22:15,0.96,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,813.7399999999999

90,22:15-22:30,0.96,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,813.7399999999999

91,22:30-22:45,0,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,812.7799999999999

92,22:45-23:00,0,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,812.7799999999999

93,23:00-23:15,0,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,812.7799999999999

94,23:15-23:30,0,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,812.7799999999999

95,23:30-23:45,0,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,812.7799999999999

96,23:45-24:00,0,8.68,38.56,26.03,0.63,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,50,200,26.03,8.68,26.03,812.7799999999999

