Block,Time Block,RIHAND3,SALAL,RSTPSU7,RSTPSU1TO6,RIHAND2,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,DADRT2,FSTPP I & II,JHAJJAR,KGSU3AND4,KGSU1AND2,KHSTPP-II,KHSTPP-I,KKNP,KISHANGANGA,KOLDAM,KOTESHWR,KKNPPU2,SEWA2,SIMHST2,SINGRAULI,SIMHST1,SASAN,TANDA2,TALST2,TANAKPUR,TALA,KUDGI,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,PARBATI3,RAMPUR,NTPL,RAPPC,RAPPB,RIHAND1,SINGRAULI_HYDRO,TelanganaSTPP,TEHRI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,VALLURNTECL,URI,UNCHAHAR4,URI2,ANTA_GF,ANTA_CRF,ANTA_RF,AURY_CRF,ANTA_LF,DADRI_CRF,DADRI_LF,AURY_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,120.14,49.41,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,12.8,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,49.08,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,49.08,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,12.8,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,287.8,20.1,456.05,0,0,90.22,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,17.72,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,287.8,20.1,456.05,0,0,90.22,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,287.8,20.1,436.73,0,0,90.22,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,11.14,9.92,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,120.14,76.71,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,287.8,20.1,390.76,0,0,90.22,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,11.14,9.92,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,120.14,49.41,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,287.8,20.1,381.1,0,0,90.22,43.41,0,0,0,8.57,0,0,0,108.6,0,404.7,0,0,11.14,9.77,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,120.14,49.41,0,0,114.77,14.5,11.45,0,9.14,9.35,26.56,47.77,287.8,20.1,361.77,0,0,90.22,43.41,0,0,0,8.57,0,0,0,114.48,0,404.7,0,0,11.14,9.77,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,120.14,49.41,0,0,114.77,14.5,11.45,0,9.14,9.35,26.56,47.77,287.8,20.1,342.44,0,0,90.22,43.41,0,0,0,8.57,0,0,0,116.58,0,404.7,0,0,11.14,9.77,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,120.14,49.41,0,0,114.77,14.5,11.45,0,9.14,9.35,26.56,47.77,287.8,20.1,323.12,0,0,90.22,43.41,0,0,0,8.57,0,0,0,118.75,0,404.7,0,0,11.14,9.77,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,120.14,49.41,0,0,114.77,14.5,13.58,0,9.14,9.35,26.56,47.77,287.8,20.1,313.45,0,0,90.22,43.41,0,0,0,8.57,0,0,0,118.87,0,404.7,0,0,11.14,9.94,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,15.04,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,120.14,49.41,0,0,114.77,14.5,13.58,0,9.14,9.35,26.56,47.77,287.8,20.1,303.79,0,0,90.22,43.41,0,0,0,8.57,0,0,0,120.93,0,404.7,0,0,11.14,9.87,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,14.79,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,120.14,49.41,0,0,114.77,14.5,13.58,1.06,9.14,9.35,26.56,47.77,287.8,20.1,294.12,0,0,90.22,43.41,0,0,0,8.57,0,0,0,123.1,0,404.7,0,0,11.14,9.64,0,0,0,0,82.37,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,28.87,14.92,0,36.37,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,120.14,49.41,0,0,114.77,14.5,13.58,6.3,9.14,9.35,26.56,47.77,287.8,20.1,294.12,0,0,90.22,43.41,0,0,0,8.57,0,0,0,125.27,0,404.7,0,0,11.14,9.35,0,0,0,0,113.02,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,28.87,14.92,0,36.37,0,49.08,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,120.14,49.41,0,0,114.77,14.5,13.58,6.3,15.45,9.35,26.56,47.77,287.8,20.1,294.12,0,0,90.22,43.41,0,0,0,17.15,0,0,0,125.39,0,391.39,0,0,11.14,9,0,0,0,0,113.02,0,39.63,0,0,6.15,0,0,49.9,0,44.45,0,0,28.87,14.92,0,36.37,0,49.08,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,120.14,49.41,0,0,114.77,14.5,13.58,6.3,15.45,18.71,26.56,47.77,287.8,20.1,274.8,0,0,90.22,43.41,0,0,0,25.73,0,0,0,127.45,0,391.39,0,0,11.14,8.7,0,0,0,0,113.02,0,39.63,0,0,31.99,0,0,49.9,0,44.45,0,0,28.87,14.92,0,36.37,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,120.14,49.41,0,0,114.77,14.5,13.58,18.9,39.42,29.53,36.38,48.25,287.8,20.1,274.8,0,0,90.22,43.41,0,0,0,38.11,0,0,0,129.62,0,391.39,0,0,11.14,8.44,0,0,0,0,135.62,0,39.63,0,0,47.36,0,0,49.9,0,44.45,0,0,28.87,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,120.14,49.41,0,0,114.77,14.5,12.98,18.9,39.42,29.53,36.38,48.25,287.8,20.1,303.55,0,0,90.22,43.41,0,0,0,38.11,0,0,0,131.14,0,391.39,0,0,11.14,8.32,0,0,0,0,135.62,0,39.63,0,0,47.36,0,0,49.9,0,44.45,0,0,28.87,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,120.14,49.41,0,0,114.77,14.5,0,18.9,39.42,29.53,36.38,48.25,287.8,20.1,293.88,0,0,90.22,43.41,0,0,0,38.11,0,0,0,131.19,0,391.39,0,0,11.14,8.32,0,0,0,0,135.62,0,39.63,0,0,47.36,0,0,49.9,0,44.45,0,0,28.87,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,120.14,49.41,0,0,114.77,14.5,0,18.9,39.42,29.53,36.38,48.25,287.8,20.1,274.55,0,0,90.22,43.41,0,0,0,38.11,0,0,0,131.19,0,391.39,0,0,11.14,8.32,0,0,0,0,135.62,0,39.63,0,0,47.36,0,0,49.9,0,44.45,0,0,14.43,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,120.14,49.41,0,0,114.77,14.5,0,6.3,19.33,18.71,26.56,47.77,287.8,20.1,245.56,0,0,90.22,43.41,0,0,0,19.06,0,0,0,131.19,0,391.39,0,0,11.14,8.54,0,0,0,0,113.02,0,39.63,0,0,47.36,0,0,49.9,0,44.45,0,0,0,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,120.14,49.41,0,0,114.77,14.5,0,6.3,19.33,9.35,26.56,47.77,287.8,20.1,235.9,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,8.58,0,0,0,0,83.92,0,39.63,0,0,6.15,0,0,49.9,0,44.45,0,0,0,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,120.14,49.41,0,0,114.77,14.5,0,6.3,9.65,9.35,26.56,47.77,287.8,20.1,217.78,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,3.38,0,0,0,0,82.37,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,120.14,49.41,0,0,114.77,14.5,0,6.3,9.65,9.35,26.56,47.77,287.8,20.1,208.11,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,3.38,0,0,0,0,82.37,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,16,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,26.56,47.77,287.8,20.1,150.11,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,3.47,0,0,0,0,82.37,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,49.08,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,26.56,47.77,287.8,20.1,150.11,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,3.47,0,0,0,0,82.37,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,49.08,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,130.78,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,8.77,0,0,0,0,82.37,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,16,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,130.78,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,8.92,0,0,0,0,82.37,0,39.63,0,0,3.44,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,130.78,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,9.68,0,0,0,0,82.37,0,39.63,0,0,13.53,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,198.43,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,9.68,0,0,0,0,82.37,0,39.63,0,0,13.53,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,246.75,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,9.68,0,0,0,0,82.37,0,39.63,0,0,13.53,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,9.68,0,0,0,0,82.37,0,39.63,0,0,13.53,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,9.68,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,120.14,51.65,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,9.68,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,120.14,38.18,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,49.08,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,120.14,38.18,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,49.08,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,120.14,38.18,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,120.14,38.18,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,275.74,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,120.14,38.18,0,0,114.77,14.5,0,6.3,9.65,9.35,17.66,47.77,287.8,20.1,237.09,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,120.14,38.18,0,0,114.77,14.5,0,0,9.65,9.35,17.66,47.77,287.8,20.1,237.09,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,67.81,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,120.14,38.18,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,287.8,20.1,198.43,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,120.14,38.18,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,287.8,20.1,198.43,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,120.14,38.18,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,287.8,20.1,198.43,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,120.14,38.18,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,287.8,20.1,217.76,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.17,0,12.8,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,120.14,38.18,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,263.83,20.1,140.45,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,120.14,38.18,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,244.5,20.1,140.45,0,0,90.22,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,120.14,49.41,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,234.84,20.1,158.81,0,0,95.55,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,120.14,49.41,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,234.84,20.1,236.12,0,0,95.55,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.37,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

57,14:00-14:15,120.14,49.41,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,215.51,20.1,236.12,0,0,95.55,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.37,0,14.93,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

58,14:15-14:30,120.14,49.41,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,215.51,20.1,236.12,0,0,95.55,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.25,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,14.92,0,36.37,0,14.93,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

59,14:30-14:45,120.14,49.41,0,0,114.77,14.5,0,0,10.95,9.35,17.66,47.77,215.51,20.1,264.7,0,0,95.55,43.41,0,0,0,8.57,0,0,0,131.19,0,391.39,0,0,11.14,10.93,0,0,0,0,100.67,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,0,17.07,0,40.98,0,14.93,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

