Column1,Block,NR/2025/29985/A/87102,NR/2025/30334/A/86927,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/2025/27978/A/87459,GNA/NR/2025/07/01/2236,NR/2025/30105/A/87388,NR/2025/26975/A/87405,NR/2025/29628/A/87399,GNA/NR/2025/07/01/1192,NR/2025/29915/A/86987,GNA/NR/2025/07/01/8154,NR/2025/31113/C,NR/2025/29992/A/87060,NR/2025/31123/C,NR/2025/31145/C,NR/2025/31124/C,NR/2025/31203/C,NR/2025/30101/A/87455,NR/2025/31092/C,GNA/NR/2025/07/01/8139,NR/2025/30086/A/87389,NR/2025/31120/C,NR/2025/30822/A/87101,NR/2025/30084/A/87390,NR/2025/31122/C,NR/2025/29910/A/87395,NR/2025/30217/A/87386,NR/2025/27970/A/87362,NR/2025/29352/A/87106,NR/2025/31161/C,NR/2025/27968/A/87361,NR/2025/31162/C,NR/2025/31183/C,NR/2025/31180/C,NR/2025/29353/A/87104,SR/2025/18387/C,NR/2025/31177/C,NR/2025/31183/C/Alternate/1,NR/2025/27964/A/87360,NR/2025/27963/A/87359,NR/2025/31193/C,NR/2025/28725/A/87357,NR/2025/29439/A/87031,NR/2025/31190/C,NR/2025/31194/C,NR/2025/30191/A/86932,NR/2025/31192/C,NR/2025/31195/C,NR/2025/31070/C,NR/2025/30082/A/87427,NR/2025/30067/A/87522,NR/2025/30121/A/86931,NR/2025/30492/A/87083,NR/2025/30083/A/87391,NR/2025/29167/A/86988,NR/2025/29440/A/86985,NR/2025/27962/A/87358,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNARE/NR/2024/12/20/3668,NR/2025/31191/C,NR/2025/31130/C,NR/2025/31201/C,Total
24,05:45-06:00,1,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,165.73,0,81.75,0,0,26.63,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,1.26,0,0,0,1600.2900000000002

25,06:00-06:15,3,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,89.22,0,81.75,0,0,103.14,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.82,96.18,224.82,15.24,15,12.71,15,2.72,0,0,0,1603.94

26,06:15-06:30,7,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,135.03,0,81.75,0,0,57.33,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.82,96.18,224.82,15.24,15,12.71,15,5.63,0,0,0,1610.8500000000001

27,06:30-06:45,11,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.82,96.18,224.82,15.24,15,12.71,15,5.77,0.35,0,0,1615.34

28,06:45-07:00,16,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.82,96.18,224.82,15.24,15,12.71,15,9.54,0.57,0,0,1624.33

29,07:00-07:15,25,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.87,96.18,224.82,15.24,15,12.71,15,13.92,0.82,0,0,1638.01

30,07:15-07:30,32,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.87,96.18,224.82,15.24,15,12.71,15,18.58,1.23,0,0,1650.08

31,07:30-07:45,42,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.87,96.18,224.82,15.24,15,12.71,15,24.88,1.6,0,0,1666.75

32,07:45-08:00,56,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.87,96.18,224.82,15.24,15,12.71,15,30.48,2.17,0,0,1686.92

33,08:00-08:15,67,3.11,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.96,96.18,224.82,15.24,15,16.39,15,36.14,2.56,0,1.64,1712.4900000000002

34,08:15-08:30,77,3.63,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.96,96.18,224.82,15.24,15,16.39,15,41.92,3.53,0,1.64,1729.7600000000002

35,08:30-08:45,88,3.92,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,13.47,8.74,0,0.96,96.18,224.82,15.24,15,16.39,15,51.62,2.43,0,1.64,1751.5800000000002

36,08:45-09:00,98,4.44,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,13.47,8.74,0,0.96,96.18,224.82,15.24,15,16.39,15,58.37,2.43,0,1.64,1768.8500000000001

37,09:00-09:15,109,4.92,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,64.71,2.43,0,1.64,1825.6100000000006

38,09:15-09:30,119,5.29,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,70.75,2.84,0,1.64,1842.4300000000005

39,09:30-09:45,126,5.63,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,76.88,2.84,0,1.64,1855.9000000000005

