Column1,Block,NR/2024/23225/C,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/22/5523,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,NR/2024/23118/A/38456,NR/2024/22754/A/38435,NR/2024/23223/C,GNA/NR/2024/09/16/2535,NR/2024/23038/A/38157,NR/2024/23256/C,NR/2024/22874/A/38461,NR/2024/23226/C,NR/2024/22835/A/38496,NR/2024/23228/C,NR/2024/22803/A/38462,NR/2024/23242/C,GNA/NR/2024/09/01/8090,NR/2024/23122/A/38457,NR/2024/23119/A/38458,NR/2024/23121/A/38459,NR/2024/23017/A/38235,NR/2024/22848/A/38488,NR/30092023/31122025/SH-07,NR/2024/21658/A/38194,NR/2024/22820/A/38161,GNA/NR/2024/09/22/2364,GNARE/SR/2024/09/22/6595,Total
18,04:15-04:30,0,2.13,17.52,18.51,10.54,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.3299999999997

19,04:30-04:45,0,2.13,17.52,18.51,10.54,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.3299999999997

20,04:45-05:00,0,2.13,17.52,18.51,10.54,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.3299999999997

21,05:00-05:15,0,2.13,17.52,18.51,10.46,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.2499999999995

22,05:15-05:30,0,2.13,17.52,18.51,10.46,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.2499999999995

23,05:30-05:45,0,2.13,17.52,18.51,10.46,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.2499999999995

24,05:45-06:00,0,2.13,17.52,18.51,10.46,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,1.01,0.58,4.85,0,0,1055.2799999999995

25,06:00-06:15,0,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,0,0.68,4.85,0,0,891.5199999999998

26,06:15-06:30,0,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,0,0.68,4.85,0,0,891.5199999999998

27,06:30-06:45,0,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,0,0.68,4.85,0,0,891.5199999999998

28,06:45-07:00,0.22,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,0,0.68,4.85,0,0,891.7399999999998

29,07:00-07:15,0.41,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,0,0.68,4.85,0,0,763.9999999999998

30,07:15-07:30,0.54,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,0,0.68,4.85,0,0,764.1299999999998

31,07:30-07:45,0.75,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,0,0.68,4.85,0,0,763.3699999999998

32,07:45-08:00,1.51,2.13,17.52,18.51,10.46,0,32,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,0,0.68,4.85,0,0,764.1299999999998

33,08:00-08:15,3.75,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,770.5599999999998

34,08:15-08:30,3.84,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,770.6499999999999

35,08:30-08:45,4.35,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,771.1599999999999

36,08:45-09:00,5.04,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,771.8499999999998

37,09:00-09:15,5.6,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,772.4099999999999

38,09:15-09:30,5.98,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,772.7899999999998

39,09:30-09:45,6.5,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,773.3099999999998

40,09:45-10:00,6.91,2.13,17.52,18.51,10.36,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,773.7199999999998

41,10:00-10:15,7.28,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,773.9999999999999

42,10:15-10:30,7.68,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,774.3999999999999

43,10:30-10:45,8.24,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,774.9599999999998

44,10:45-11:00,8.3,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,775.0199999999999

45,11:00-11:15,7.64,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,774.3599999999998

46,11:15-11:30,8.07,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,774.7899999999998

47,11:30-11:45,7.9,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,774.6199999999999

48,11:45-12:00,4.39,2.13,17.52,18.51,10.27,0,18,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,18,0.97,4.85,0,0,771.1099999999998

49,12:00-12:15,7.09,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,773.5399999999998

50,12:15-12:30,4.24,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,770.6899999999998

51,12:30-12:45,6.25,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,772.6999999999998

52,12:45-13:00,6.95,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,773.3999999999999

53,13:00-13:15,8.81,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,775.2599999999998

54,13:15-13:30,6.45,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,772.8999999999999

55,13:30-13:45,7.51,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,773.9599999999998

56,13:45-14:00,7.32,2.13,17.52,18.51,10.18,0,17.91,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,17.91,0.97,4.85,0,0,773.7699999999999

57,14:00-14:15,6.92,2.13,17.52,18.51,10.27,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,16.88,0.97,4.85,0,0,771.3999999999999

58,14:15-14:30,6.64,2.13,17.52,18.51,10.27,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,16.88,0.97,4.85,0,0,771.1199999999998

59,14:30-14:45,4.24,2.13,17.52,18.51,10.27,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,16.88,0.97,4.85,0,0,768.7199999999998

60,14:45-15:00,2.32,2.13,17.52,18.51,10.27,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,16.88,0.97,4.85,0,0,766.7999999999998

61,15:00-15:15,1.6,2.13,17.52,18.51,10.36,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,16.88,0.97,4.85,0,0,766.1699999999998

62,15:15-15:30,2.36,2.13,17.52,18.51,10.36,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,6.78,84.49,16.88,0.97,4.85,0,0,766.9299999999998

63,15:30-15:45,2.47,2.13,17.52,18.51,10.36,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,7.75,84.49,16.88,0.97,4.85,0,0,768.0099999999999

64,15:45-16:00,3.43,2.13,17.52,18.51,10.36,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.97,4.85,0,0,770.91

65,16:00-16:15,1.48,2.13,17.52,18.51,10.54,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.87,4.85,0,0,769.0399999999998

66,16:15-16:30,0.36,2.13,17.52,18.51,10.54,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.87,4.85,0,0,767.9199999999998

67,16:30-16:45,0.17,2.13,17.52,18.51,10.54,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.87,4.85,0,0,767.7299999999999

68,16:45-17:00,0.1,2.13,17.52,18.51,10.54,0,16.88,20.6,82.38,0,8.81,0,0,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.87,4.85,0,0,767.6599999999999

69,17:00-17:15,0,2.13,17.52,18.51,10.73,0,16.88,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.82,4.85,0,0,944.0899999999999

70,17:15-17:30,0,2.13,17.52,18.51,10.73,0,16.88,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.82,4.85,0,0,944.0899999999999

71,17:30-17:45,0,2.13,17.52,18.51,10.73,0,16.88,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.82,4.85,0,0,944.0899999999999

72,17:45-18:00,0,2.13,17.52,18.51,10.73,0,16.88,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,9.69,84.49,16.88,0.82,4.85,0,0,944.0899999999999

73,18:00-18:15,0,2.13,17.52,18.51,11.01,0,17.16,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,10.66,84.49,17.16,0.82,4.85,0,0,945.8999999999999

74,18:15-18:30,0,2.13,17.52,18.51,11.01,0,17.16,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,10.66,84.49,17.16,0.82,4.85,0,0,945.8999999999999

75,18:30-18:45,0,2.13,17.52,18.51,11.01,0,0,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,10.66,84.49,17.16,0.82,4.85,0,0,928.7399999999998

76,18:45-19:00,0,2.13,17.52,18.51,11.01,0,0,20.6,82.38,0,8.81,0,176.39,0,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,10.66,84.49,17.16,0.82,4.85,0,0,928.7399999999998

77,19:00-19:15,0,2.13,17.52,18.51,11.11,98.86,0,20.6,82.38,0,8.81,0,176.39,0,3.88,48.46,48.46,163.36,91.1,30.05,48.46,19.21,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.82,4.85,42.06,25,1176.7399999999996

78,19:15-19:30,0,2.13,17.52,18.51,11.11,98.86,0,20.6,82.38,0,8.81,0,176.39,0,3.88,96.92,48.46,163.36,91.1,30.05,48.46,16.59,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.82,4.85,42.06,25,1222.5799999999997

79,19:30-19:45,0,2.13,17.52,18.51,11.11,99.83,30.5,20.6,82.38,0,8.81,0,176.39,0,3.88,145.38,48.46,163.36,91.1,30.05,48.46,16.3,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.82,4.85,42.06,25,1302.22

80,19:45-20:00,0,2.13,17.52,18.51,11.11,102.74,30.5,20.6,82.38,0,8.81,0,176.39,0,3.88,145.38,48.46,163.36,91.1,30.05,48.46,18.04,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.82,4.85,42.06,25,1306.8700000000001

81,20:00-20:15,0,2.13,17.52,18.51,11.11,69.78,30.5,20.6,82.38,0,8.81,0,176.39,0,3.88,145.38,48.46,163.36,91.1,30.05,48.46,17.97,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1273.8

82,20:15-20:30,0,2.13,17.52,18.51,11.11,72.69,30.5,20.6,82.38,0,8.81,0,176.39,0,3.88,145.38,48.46,163.36,91.1,30.05,48.46,17.7,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1276.44

83,20:30-20:45,0,2.13,17.52,18.51,11.11,80.44,30.5,20.6,82.38,0,8.81,0,127.93,0,3.88,145.38,48.46,163.36,91.1,30.05,48.46,20.73,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1238.7599999999998

84,20:45-21:00,0,2.13,17.52,18.51,11.11,85.29,30.5,20.6,82.38,0,8.81,0,127.93,0,3.88,145.38,48.46,163.36,91.1,30.05,48.46,24.74,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1247.62

85,21:00-21:15,0,2.13,17.52,18.51,10.91,64.94,30.5,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,25.45,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1082.3999999999999

86,21:15-21:30,0,2.13,17.52,18.51,10.91,58.15,30.5,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,25.41,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1075.5699999999997

87,21:30-21:45,0,2.13,17.52,18.51,10.91,64.94,30.5,20.6,82.38,0,8.81,0,127.93,0,3.88,0,48.46,163.36,91.1,30.05,48.46,25.68,8.81,26.43,26.43,26.43,11.63,84.49,30.5,0.78,4.85,42.06,25,1082.6299999999997

