Time,Block,WR/2023/19090/A,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17759/C,NR/2023/17165/A,NR/2023/17760/C,NR/2023/14875/A,NR/2023/17510/F,NR/2023/17263/F,NR/2023/17402/F,Total
11,02:30-02:45,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

12,02:45-03:00,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

13,03:00-03:15,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

14,03:15-03:30,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

15,03:30-03:45,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

16,03:45-04:00,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

17,04:00-04:15,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

18,04:15-04:30,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

19,04:30-04:45,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

20,04:45-05:00,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

21,05:00-05:15,0.000000,6.780000,0.530000,5.450000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.23

22,05:15-05:30,0.000000,6.780000,0.530000,5.450000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.23

23,05:30-05:45,0.000000,6.780000,0.530000,5.450000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.23

24,05:45-06:00,0.000000,6.780000,0.530000,5.450000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.23

25,06:00-06:15,0.000000,6.780000,0.580000,5.450000,62.910000,0,0.000000,1.010000,0.000000,161.300000,238.03

26,06:15-06:30,0.000000,6.780000,0.580000,5.450000,62.910000,0,0.000000,1.010000,0.000000,161.300000,238.03

27,06:30-06:45,0.000000,6.780000,0.580000,5.450000,62.910000,0,0.000000,1.010000,0.000000,161.300000,238.03

28,06:45-07:00,0.000000,6.780000,0.580000,5.450000,62.910000,0.49,0.000000,1.010000,0.000000,161.300000,238.52

29,07:00-07:15,0.000000,6.780000,0.680000,5.450000,62.910000,0.77,0.000000,1.010000,0.000000,161.300000,238.9

30,07:15-07:30,0.000000,6.780000,0.680000,5.450000,62.910000,1.14,0.000000,1.010000,0.000000,161.300000,239.27

31,07:30-07:45,0.000000,6.780000,0.680000,5.450000,62.910000,1.42,0.000000,1.010000,0.000000,161.300000,239.55

32,07:45:08:00,0.000000,6.780000,0.680000,5.450000,62.910000,1.72,0.000000,1.010000,0.000000,161.300000,239.85

33,08:00-08:15,0.000000,6.780000,0.970000,5.450000,62.910000,2.32,0.000000,1.010000,0.000000,161.300000,240.74

34,08:15-08:30,0.000000,6.780000,0.970000,5.450000,62.910000,2.79,0.000000,1.010000,0.000000,161.300000,241.21

35,08:30-08:45,0.000000,6.780000,0.970000,5.450000,62.910000,3.25,0.000000,1.010000,0.000000,161.300000,241.67

36,08:45:09:00,0.000000,6.780000,0.970000,5.450000,62.910000,3.74,0.000000,1.010000,0.000000,161.300000,242.16

37,09:00:09:15,0.000000,6.780000,0.970000,5.450000,62.910000,4.14,0.000000,1.010000,0.000000,161.300000,242.56

38,09:15-09:30,0.000000,6.780000,0.970000,5.450000,62.910000,4.55,0.000000,1.010000,0.000000,161.300000,242.97

39,09:30-09:45,0.000000,6.780000,0.970000,5.450000,62.910000,4.94,0.000000,1.010000,0.000000,161.300000,243.36

40,09:45-10:00,0.000000,6.780000,0.970000,5.450000,62.910000,5.28,0.000000,1.010000,0.000000,161.300000,243.7

41,10:00-10:15,0.000000,6.780000,0.970000,5.360000,62.910000,5.59,0.000000,1.010000,0.000000,161.300000,243.92

42,10:15-10:30,0.000000,6.780000,0.970000,5.360000,62.910000,5.9,0.000000,1.010000,0.000000,161.300000,244.23

43,10:30-10:45,0.000000,6.780000,0.970000,5.360000,62.910000,6.18,0.000000,1.010000,0.000000,161.300000,244.51

44,10:45-11:00,0.000000,6.780000,0.970000,5.360000,62.910000,6.12,0.000000,1.010000,0.000000,161.300000,244.45

45,11:00-11:15,0.000000,6.780000,0.970000,5.360000,62.910000,6.74,0.000000,1.010000,0.000000,161.300000,245.07

46,11:15-11:30,0.000000,6.780000,0.970000,5.360000,62.910000,4.23,0.000000,1.010000,0.000000,161.300000,242.56

47,11:30-11:45,0.000000,6.780000,0.970000,5.360000,62.910000,3.17,0.000000,1.010000,0.000000,161.300000,241.5

48,11:45-12:00,0.000000,6.780000,0.970000,5.360000,62.910000,7.5,0.000000,1.010000,0.000000,161.300000,245.83

49,12:00-12:15,0.000000,6.780000,0.970000,5.360000,62.910000,4.66,0.000000,1.010000,0.000000,161.300000,242.99

50,12:15-12:30,0.000000,6.780000,0.970000,5.360000,62.910000,4.26,0.000000,1.010000,0.000000,161.300000,242.59

51,12:30-12:45,0.000000,6.780000,0.970000,5.360000,62.910000,4.87,0.000000,1.010000,0.000000,161.300000,243.2

52,12:45-13:00,0.000000,6.780000,0.970000,5.360000,62.910000,6.52,0.000000,1.010000,0.000000,161.300000,244.85

53,13:00-13:15,0.000000,6.780000,0.970000,5.360000,62.910000,6.29,0.000000,1.010000,0.000000,161.300000,244.62

54,13:15-13:30,0.000000,6.780000,0.970000,5.360000,62.910000,6.5,0.000000,1.010000,0.000000,161.300000,244.83

55,13:30-13:45,0.000000,6.780000,0.970000,5.360000,62.910000,6.4,0.000000,1.010000,0.000000,161.300000,244.73

56,13:45-14:00,0.000000,6.780000,0.970000,5.360000,62.910000,5.86,0.000000,1.010000,0.000000,161.300000,244.19

57,14:00-14:15,0.000000,6.780000,0.970000,5.360000,62.910000,4.36,0.000000,1.010000,0.000000,161.300000,242.69

58,14:15-14:30,0.000000,6.780000,0.970000,5.360000,62.910000,2.36,0.000000,1.010000,0.000000,161.300000,240.69

59,14:30-14:45,0.000000,6.780000,0.970000,5.360000,62.910000,3.9,0.000000,1.010000,0.000000,161.300000,242.23

60,14:45-15:00,0.000000,6.780000,0.970000,5.360000,62.910000,1.88,0.000000,1.010000,0.000000,161.300000,240.21

61,15:00-15:15,0.000000,6.780000,0.970000,5.450000,62.910000,2.23,0.000000,1.010000,0.000000,161.300000,240.65

62,15:15-15:30,0.000000,6.780000,0.970000,5.450000,62.910000,3.52,0.000000,1.010000,0.000000,161.300000,241.94

63,15:30-15:45,0.000000,6.780000,0.970000,5.450000,62.910000,3.2,0.000000,1.010000,0.000000,161.300000,241.62

64,15:45-16:00,0.000000,6.780000,0.970000,5.450000,62.910000,2.81,0.000000,1.010000,0.000000,161.300000,241.23

65,16:00-16:15,0.000000,6.780000,0.870000,5.450000,62.910000,1.91,0.000000,1.010000,0.000000,161.300000,240.23

66,16:15-16:30,0.000000,6.780000,0.870000,5.450000,62.910000,1.94,0.000000,1.010000,0.000000,161.300000,240.26

67,16:30-16:45,0.000000,6.780000,0.870000,5.450000,62.910000,1.59,0.000000,1.010000,0.000000,161.300000,239.91

68,16:45-17:00,0.000000,6.780000,0.870000,5.450000,62.910000,1.16,0.000000,1.010000,0.000000,161.300000,239.48

69,17:00-17:15,0.000000,6.780000,0.770000,5.550000,62.910000,0.74,0.000000,1.010000,0.000000,161.300000,239.06

70,17:15-17:30,0.000000,6.780000,0.770000,5.550000,62.910000,0.46,0.000000,1.010000,0.000000,161.300000,238.78

71,17:30-17:45,0.000000,6.780000,0.770000,5.550000,62.910000,0.23,0.000000,1.010000,0.000000,161.300000,238.55

72,17:45-18:00,0.000000,6.780000,0.770000,5.550000,62.910000,0,0.000000,1.010000,0.000000,161.300000,238.32

73,18:00-18:15,100.000000,6.780000,0.730000,5.630000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.06

74,18:15-18:30,100.000000,6.780000,0.730000,5.630000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.06

75,18:30-18:45,100.000000,6.780000,0.730000,5.630000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.06

76,18:45-19:00,100.000000,6.780000,0.730000,5.630000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.06

77,19:00-19:15,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

78,19:15-19:30,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

79,19:30-19:45,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

80,19:45-20:00,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

81,20:00-20:15,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

82,20:15-20:30,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

83,20:30-20:45,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

84,20:45-21:00,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

85,21:00-21:15,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

86,21:15-21:30,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

87,21:30-21:45,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

88,21:45-22:00,100.000000,6.780000,0.730000,5.730000,62.910000,0,0.000000,1.010000,0.000000,0.000000,177.16

89,22:00-22:15,100.000000,6.780000,0.680000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.56

90,22:15-22:30,100.000000,6.780000,0.680000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.56

91,22:30-22:45,100.000000,6.780000,0.680000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.56

92,22:45-23:00,100.000000,6.780000,0.680000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.56

93,23:00-23:15,100.000000,6.780000,0.630000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.43

94,23:15-23:30,100.000000,6.780000,0.630000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.43

95,23:30-23:45,100.000000,6.780000,0.630000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.43

96,23:45-24:00,100.000000,6.780000,0.630000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,404.43

