Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21970/A/35059,NR/2024/21911/A/35005,NR/2024/22919/C,NR/2024/22010/A/35105,NR/2024/21974/A/35061,NR/2024/21860/A/34997,NR/2024/22920/C,NR/2024/21966/A/34841,NR/2024/21968/A/35058,NR/2024/22623/A/34843,NR/2024/22014/A/34775,NR/2024/21961/A/35022,NR/2024/21938/A/35024,NR/2024/21971/A/35060,NR/2024/21933/A/34824,NR/2024/21658/A/34778,NR/2024/21983/A/34822,NR/2024/22279/A/34768,NR/2024/21956/A/35056,NR/2024/21814/A/35062,NR/2024/22498/A/35106,NR/2024/22042/A/34773,NR/2024/21943/A/35050,NR/2024/21918/A/35103,NR/2024/21954/A/35052,NR/2024/21940/A/35055,NR/2024/22903/C,NR/2024/22611/A/34845,NR/2024/22610/A/34846,NR/2024/22918/C,Total
3,00:30-00:45,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.63,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1455.8899999999999

4,00:45-01:00,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.63,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1455.8899999999999

5,01:00-01:15,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1455.84

6,01:15-01:30,12.48,24.77,23.365,23.365,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1455.84

7,01:30-01:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1462.8516

8,01:45-02:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1462.8516

9,02:00-02:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1462.8516

10,02:15-02:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1462.8516

11,02:30-02:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1462.8516

12,02:45-03:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1462.8516

13,03:00-03:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1429.9116000000001

14,03:15-03:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1429.9116000000001

15,03:30-03:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1429.9116000000001

16,03:45-04:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.58,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1429.9116000000001

17,04:00-04:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1433.8516

18,04:15-04:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1433.8516

19,04:30-04:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1433.8516

20,04:45-05:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1433.8516

21,05:00-05:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1390.2516

22,05:15-05:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1390.2516

23,05:30-05:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.53,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1390.2516

24,05:45-06:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,98.1,32.7,31.88,0,0.53,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1389.2816

25,06:00-06:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.63,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1258.5816000000002

26,06:15-06:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.63,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1258.5816000000002

27,06:30-06:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.63,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1258.5816000000002

28,06:45-07:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.63,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0.25,1258.8316000000002

29,07:00-07:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.73,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0.84,1259.5216

30,07:15-07:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.73,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,1.36,1260.0416

31,07:30-07:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.73,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,1.72,1260.4016000000001

32,07:45-08:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,14.16,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,7.75,1.94,0,0,31.88,0,0.73,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,1.94,1260.6216000000002

33,08:00-08:15,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,13.87,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,0,0,31.88,0,0.97,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,2.48,1262.0816000000002

34,08:15-08:30,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,13.87,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,0,0,31.88,0,0.97,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,2.81,1262.4116000000001

35,08:30-08:45,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,13.87,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,0,0,31.88,0,0.97,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,4.08,1263.6816000000001

36,08:45-09:00,12.48,24.77,26.8708,26.8708,82.36,82.36,40.69,20.35,17.44,0,13.87,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,9.69,1.94,0,0,31.88,0,0.97,0,4.84,24.22,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,5.05,1265.6216000000002

37,09:00-09:15,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,9.69,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.23,1318.0916000000004

38,09:15-09:30,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,11.63,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.19,1319.9916000000003

39,09:30-09:45,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,11.63,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,5.19,1320.9916000000003

40,09:45-10:00,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,11.63,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,5.71,1321.5116000000003

41,10:00-10:15,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,11.63,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.45,1320.2516000000003

42,10:15-10:30,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,6.3,1323.0716000000002

43,10:30-10:45,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,6.57,1323.3416000000002

44,10:45-11:00,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.72,1321.4916000000003

45,11:00-11:15,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,7.51,1324.2816000000003

46,11:15-11:30,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.39,1321.1616000000004

47,11:30-11:45,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,3.89,1320.6616000000004

48,11:45-12:00,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,7.16,1323.9316000000003

49,12:00-12:15,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,7.26,1324.0316000000003

50,12:15-12:30,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,6.11,1322.8816000000002

51,12:30-12:45,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,6.38,1323.1516000000004

52,12:45-13:00,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,3.94,1320.7116000000003

53,13:00-13:15,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,2.75,1319.5216000000003

54,13:15-13:30,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,2.52,1319.2916000000002

55,13:30-13:45,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,3.6,1320.3716000000002

56,13:45-14:00,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.87,1321.6416000000002

57,14:00-14:15,12.48,24.77,26.8708,26.8708,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,5.96,1322.7316000000003

58,14:15-14:30,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,4.23,1313.9900000000002

59,14:30-14:45,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,6.05,1315.8100000000002

60,14:45-15:00,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,2.38,1312.1400000000003

61,15:00-15:15,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,1.31,1311.0700000000002

62,15:15-15:30,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,1.87,1311.63

63,15:30-15:45,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,1.43,1311.1900000000003

64,15:45-16:00,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.97,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,1.79,1311.5500000000002

65,16:00-16:15,12.48,24.77,23.365,23.365,0,0,0,0,0,0,13.87,12.48,82.36,164.96,11.78,31.88,33.91,28.1,82.36,37.43,12.6,1.94,0,0,31.88,20.35,0.82,40.69,4.84,24.22,33.91,17.44,3.88,38.76,91.08,24.11,84.47,242.22,10.66,42.63,2.68,1312.2900000000004

