Block,Time,KHSTPP-II,BRBCL,SASAN,FSTPP I & II,KHSTPP-I,TALA,RAMPUR,JHAJJAR,AURY_RF,TEHRI,CHAMERA1,SEWA2,BSIUL,DHAULIGNGA,ANTA_CRF,UNCHAHAR1,NAPP,CHAMERA3,ANTA_GF,RIHAND2,AURY_LF,ANTA_RF,ANTA_LF,TANDA2,DADRT2,NJPC,KISHANGANGA,DADRI_CRF,SINGRAULI,SINGRAULI_HYDRO,KOTESHWR,PARBATI3,CHAMERA2,RAPPB,URI2,RIHAND1,DULHASTI,URI,DADRI_RF,UNCHAHAR4,UNCHAHAR2,AURY_CRF,UNCHAHAR3,AURY_GF,DADRI_LF,TANAKPUR,RAPPC,DADRI_GF,KOLDAM,RIHAND3,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
36,08:45:09:00,104.213004,14.406011,335.155590,11.237256,26.632180,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,12.485200,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,24.010000,0.000000,14.886200,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

37,09:00:09:15,120.895152,14.406011,335.155590,11.237256,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,12.485200,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,24.010000,0.000000,14.886200,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

38,09:15-09:30,120.895152,14.406011,335.155590,13.126555,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,12.485200,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,24.010000,0.000000,14.886200,0.000000,0.000000,11.564561,65.298443,0.000000,6.680641,125.409128,76.232922,0,0,0,0,0

39,09:30-09:45,120.895152,14.406011,330.617700,13.126555,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,12.485200,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,24.010000,0.000000,14.886200,0.000000,0.000000,11.564561,65.298443,0.000000,6.680641,125.409128,76.232922,0,0,0,0,0

40,09:45-10:00,120.895152,14.406011,330.617700,13.126555,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,12.485200,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,24.010000,0.000000,14.886200,0.000000,0.000000,11.564561,65.298443,0.000000,3.711468,125.409128,76.232922,0,0,0,0,0

41,10:00-10:15,120.895152,14.406011,330.617700,13.126555,30.896164,9.317801,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,6.262576,41.812106,0.000000,13.288575,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,4.102917,46.579236,0.000000,36.390055,93.212528,56.832057,45.592109,0.000000,0.000000,28.235573,0.000000,17.400399,0.000000,0.000000,7.381634,65.298443,0.000000,1.799499,125.409128,76.232922,0,0,0,0,0

