Column1,Block,NR/2025/24839/A/49799,NR/2025/24837/A/49794,NR/2024/24434/A/49713,NR/2025/24838/A/49796,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/2024/24418/A/49661,NR/2024/24507/A/50024,NR/2024/24566/A/49704,SR/2024/15456/A/49703,NR/2025/24918/C,WR/2024/25501/A/49972,NER/2024/2820/A/49981,NR/2024/24614/A/50022,NR/2024/24435/A/49712,NR/2025/24921/C,NR/2024/24508/A/50023,NR/2025/24922/C,NR/2025/24930/C,NR/2025/24931/C,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3514,Total
9,02:00-02:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

10,02:15-02:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

11,02:30-02:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

12,02:45-03:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

13,03:00-03:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

14,03:15-03:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

15,03:30-03:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

16,03:45-04:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,371.81

17,04:00-04:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,371.71

18,04:15-04:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,371.71

19,04:30-04:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,371.71

20,04:45-05:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,371.71

21,05:00-05:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.43,17.29,5.76,0,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,417.01

22,05:15-05:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.43,17.29,5.76,0,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,417.01

23,05:30-05:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.43,17.29,5.76,0,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,417.01

24,05:45-06:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.43,17.29,5.76,0,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,417.01

25,06:00-06:15,0,0,0,0,20.17,0,0,0,0,25.94,8.65,43.23,0,25.94,48.04,48.04,0.38,17.29,5.76,326.64,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,758.01

26,06:15-06:30,0,0,0,0,20.17,0,0,0,0,25.94,8.65,43.23,0,25.94,48.04,48.04,0.38,17.29,5.76,326.64,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,758.01

27,06:30-06:45,0,0,0,0,20.17,0,0,0,0,33.62,8.65,43.23,0,33.62,48.04,48.04,0.38,17.29,5.76,326.64,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,773.37

28,06:45-07:00,0,0,0,0,20.17,0,0,0,0,33.62,8.65,43.23,0,33.62,48.04,48.04,0.38,17.29,5.76,326.64,0,0,38.43,0,16.33,0,8.73,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,773.37

29,07:00-07:15,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,124.89,19.21,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,910.1400000000001

30,07:15-07:30,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,124.89,19.21,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,910.1400000000001

31,07:30-07:45,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,124.89,57.64,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,948.5700000000002

32,07:45-08:00,0.01,0.01,0,0.01,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,124.89,57.64,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,948.6000000000001

33,08:00-08:15,0.02,0.04,0,0.03,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,0,96.07,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.47,0,0,9.61,0,7.69,19.21,862.3000000000001

34,08:15-08:30,0.03,0.05,0,0.04,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,0,96.07,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.47,0,0,9.61,0,7.69,19.21,862.33

35,08:30-08:45,0.03,0.05,0,0.04,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,0,96.07,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.47,0,0,9.61,0,7.69,19.21,862.33

36,08:45-09:00,0.03,0.05,0,0.04,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,28.82,5.76,0,96.07,0,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.47,0,0,9.61,0,7.69,19.21,862.33

37,09:00-09:15,0.05,0.1,3.84,0.08,20.17,0,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,0,5.76,0,124.89,0,0,0,16.33,28.82,0,14.41,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,806.5700000000002

38,09:15-09:30,0.06,0.12,3.84,0.09,20.17,0,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,0,5.76,0,124.89,0,0,0,16.33,28.82,0,14.41,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,806.6100000000001

39,09:30-09:45,0.08,0.16,3.84,0.11,20.17,0,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,0,5.76,0,124.89,0,0,0,16.33,28.82,0,14.41,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,806.69

40,09:45-10:00,0.07,0.86,3.84,0.1,20.17,0,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,48.04,0.86,0,5.76,0,124.89,0,0,0,16.33,28.82,0,14.41,0,0,26.9,28.82,96.07,48.04,1.37,0,0,9.61,0,7.69,19.21,807.3700000000001

41,10:00-10:15,0.08,0.86,4.8,0.12,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,153.71,0,0,6.54,16.33,0,7.87,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,597.1

42,10:15-10:30,0.11,0.86,4.8,0.16,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,153.71,0,0,6.54,16.33,0,7.87,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,597.1700000000001

43,10:30-10:45,0.29,0.86,4.8,0.35,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,6.54,16.33,0,7.87,0,38.43,2.88,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,485.14

44,10:45-11:00,0.43,0.86,4.8,0.52,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,6.54,16.33,0,7.87,0,38.43,3.36,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,485.93

45,11:00-11:15,0.46,0.86,6.72,0.56,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,3.36,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,487.91999999999996

46,11:15-11:30,0.48,0.86,6.72,0.58,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,5.09,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,489.68999999999994

47,11:30-11:45,0.48,0.86,6.72,0.58,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,12.97,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,497.57

48,11:45-12:00,0.38,0.86,6.72,0.58,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,498.71999999999997

49,12:00-12:15,0.38,0.86,6.72,0.67,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,498.71

50,12:15-12:30,0.38,0.86,6.72,0.67,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,498.71

51,12:30-12:45,0.38,0.86,6.72,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,480.47

52,12:45-13:00,0.38,0.96,6.72,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.86,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.37,0,0,0,0,0,19.21,480.57

53,13:00-13:15,0.38,0.96,5.76,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,479.62000000000006

54,13:15-13:30,0.38,0.96,5.76,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,479.62000000000006

55,13:30-13:45,0.38,0.86,5.76,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,479.52000000000004

56,13:45-14:00,0.38,0.86,5.76,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,479.52000000000004

57,14:00-14:15,0.38,0.85,4.8,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,478.55000000000007

58,14:15-14:30,0.38,0.84,4.8,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,478.5400000000001

59,14:30-14:45,0.38,0.82,4.8,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,478.52000000000004

60,14:45-15:00,0.38,0.81,4.8,0.67,20.17,0,0,0,0,34.59,8.65,34.59,0,34.59,48.04,48.04,0.77,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,478.51000000000005

61,15:00-15:15,0.38,0.8,4.8,0.62,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.67,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,466.81

62,15:15-15:30,0.38,0.88,4.8,0.62,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.67,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,466.89000000000004

63,15:30-15:45,0.38,0.88,4.8,0.62,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.67,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,38.43,14.22,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,466.89000000000004

64,15:45-16:00,0.36,0.88,4.8,0.62,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.67,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,34.3,18.35,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,466.87

65,16:00-16:15,0.32,0.71,2.88,0.56,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,33.05,19.5,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,464.39

66,16:15-16:30,0.27,0.61,2.88,0.48,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,27.19,24.11,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,462.90999999999997

67,16:30-16:45,0.23,0.52,2.88,0.4,20.17,0,0,0,0,28.82,8.65,34.59,0,28.82,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,20.66,19.5,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,451.56

68,16:45-17:00,0.18,0.41,2.88,0.32,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.47,0,0,0,0,0,19.21,440.93999999999994

69,17:00-17:15,0.12,0.26,0.96,0.2,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,438.7799999999999

70,17:15-17:30,0.07,0.16,0.96,0.12,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,438.54999999999995

71,17:30-17:45,0.03,0.06,0.96,0.04,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,48.04,0.48,28.82,5.76,0,0,0,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,438.3299999999999

72,17:45-18:00,0.02,0.06,0.96,0.04,20.17,0,0,0,0,36.51,14.41,43.23,0,36.51,48.04,14.41,0.48,28.82,5.76,0,28.82,0,0,0,16.33,0,14.41,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,433.50999999999993

73,18:00-18:15,0.03,0.06,0,0.04,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.48,28.82,5.76,134.5,28.82,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,1014.1

74,18:15-18:30,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.48,28.82,5.76,134.5,28.82,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,1013.9700000000001

75,18:30-18:45,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.48,28.82,5.76,134.5,28.82,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,1013.9700000000001

76,18:45-19:00,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.48,28.82,5.76,134.5,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,985.15

77,19:00-19:15,0,0,0,0,20.17,50,90.31,0,5.76,36.51,14.41,43.23,30.74,36.51,48.04,14.41,0.58,28.82,5.76,115.28,0,38.43,38.43,0,16.33,0,14.41,0,0,0,26.9,28.82,96.07,48.04,1.56,0,30,9.61,50,7.69,19.21,966.0299999999999

