Block,Time,NR/06012024/31012024/NVVN/OA/16855,NR/24012024/24012024/HPX-TAMCTG-230124-05893,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01012024/31012024/52,NR/20122023/29022024/IEX_LDC_231218_00502,NR/24012024/24012024/DD20240124NR22350,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/24012024/24012024/DD20240124NR22345,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/24012024/24012024/IEX_240123_06167,NR/24012024/24012024/DD20240124NR22343,NR/01012024/31012024/HP-28,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/HP-27,NR/24012024/24012024/IEX_240123_06164,NR/01012024/31012024/HP-26,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/24012024/24012024/DD20240124NR22346,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/24012024/24012024/HPX-TAMCTG-230124-05881,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/30092023/26122029/SH-06,NR/24012024/24012024/HPX-TAMCTG-230124-05882,NR/24012024/24012024/HPX-TAMCTG-230124-05883,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,NR/05012024/31012024/SJVN050124NR1341,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13
6,01:15-01:30,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,9.48,0,0,0,0,33.81,0,0,6.66,0,0,0,0,16.83,0,11.27,0,0,0,11.27,16.83,0,0

7,01:30-01:45,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,9.08,0,0,0,0,31.18,0,0,6.66,0,0,0,0,16.04,0,10.39,0,0,0,10.39,16.04,0,0

8,01:45-02:00,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,8.59,0,0,0,0,26.54,0,0,6.66,0,0,0,0,16.09,0,8.85,0,0,0,8.84,16.09,0,0

9,02:00-02:15,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.000000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,8.32,0,0,0,0,22,0,0,6.66,0,0,0,0,16.19,0,7.33,0,0,0,7.34,16.19,0,0

10,02:15-02:30,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.000000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,8.15,0,0,0,0,21.5,0,0,6.66,0,0,0,0,16.58,0,7.17,0,0,0,7.16,16.58,0,0

11,02:30-02:45,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.000000,0.000000,0.000000,24.500000,50.820000,109.580000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.76,0,0,0,0,21,0,0,6.66,0,0,0,0,16.82,0,7,0,0,0,7,16.82,0,0

12,02:45-03:00,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.000000,0.000000,0.000000,24.500000,50.820000,109.580000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.52,0,0,0,0,20,0,0,6.66,0,0,0,0,16.83,0,6.67,0,0,0,6.66,16.83,0,0

13,03:00-03:15,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,109.580000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,6.66,0,0,0,0,15.8,0,6.67,0,0,0,6.66,15.8,0,0

14,03:15-03:30,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,109.580000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,6.66,0,0,0,0,15.14,0,6.67,0,0,0,6.66,15.14,0,0

15,03:30-03:45,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,109.580000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,15.75,0,6.67,0,0,0,6.66,15.75,0,0

16,03:45-04:00,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,109.580000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,16.72,0,6.67,0,0,0,6.66,16.72,0,0

17,04:00-04:15,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,17.47,0,6.67,0,0,0,6.66,17.47,0,0

18,04:15-04:30,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,18.74,0,6.67,0,0,0,6.66,18.74,0,0

19,04:30-04:45,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,19.32,0,6.67,0,0,0,6.66,19.32,0,0

20,04:45-05:00,48.060000,67.280000,48.060000,65.930000,1.290000,0.000000,11.530000,0.000000,0.000000,25.870000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,18.71,0,6.67,0,0,0,6.66,18.71,0,0

21,05:00-05:15,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,30.760000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.340000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,192.240000,0.690000,56.670000,0.000000,8.170000,6.730000,25.310000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,18.4,0,6.67,0,0,0,6.66,18.4,0,0

22,05:15-05:30,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,30.760000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.340000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,230.690000,0.690000,56.670000,0.000000,8.170000,6.730000,25.310000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,18.37,0,6.67,0,0,0,6.66,18.37,0,0

23,05:30-05:45,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,30.760000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,81.180000,233.490000,1.340000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,270.340000,0.690000,56.670000,0.000000,8.170000,6.730000,25.310000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,17.47,0,6.67,0,0,0,6.66,17.47,0,0

24,05:45-06:00,48.060000,67.280000,48.060000,114.910000,1.370000,0.000000,11.530000,0.000000,0.000000,30.760000,23.070000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,81.180000,257.520000,1.340000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,0.000000,8.170000,6.730000,22.650000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,16.12,0,6.67,0,0,0,6.66,16.12,0,0

25,06:00-06:15,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.000000,30.760000,23.070000,144.180000,0.000000,0.950000,0.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.000000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,15.42,0,6.67,0,0,0,6.66,15.42,0,0

26,06:15-06:30,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.000000,30.760000,23.070000,144.180000,0.000000,0.950000,0.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.000000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,14.95,0,6.67,0,0,0,6.66,14.95,0,0

27,06:30-06:45,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.000000,30.760000,23.070000,144.180000,0.000000,0.950000,0.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.000000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,0.000000,0.000000,5.770000,7.21,0,0,0,0,20,0,0,5.66,0,0,0,0,14,0,6.67,0,0,0,6.66,14,0,0

28,06:45-07:00,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.000000,30.760000,22.110000,144.180000,0.000000,0.950000,0.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.000000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,0.000000,0.000000,5.770000,7.21,2,0.85,0,0,20,0,0,5.66,0,0,0,0,14,0,6.67,0,0,0,6.66,14,0,0

29,07:00-07:15,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.000000,30.760000,22.110000,144.180000,0.000000,0.950000,99.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.000000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,0.000000,0.000000,5.770000,7.21,7,3.28,0.02,0,20,0,0,5.66,0,0,0,0,13.33,0,6.67,0.379041,2.45,0,6.66,13.33,0,0

30,07:15-07:30,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.000000,30.760000,22.110000,144.180000,0.000000,0.950000,99.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.000000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,0.000000,0.000000,5.770000,7.21,14,9.9,0.13,0,20,1,0,5.66,0,0,0,0,12.67,0.33,6.67,3.722377,7.15,0,6.66,12.67,0,0.02

31,07:30-07:45,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.060000,30.760000,22.110000,144.180000,0.060000,0.950000,99.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.060000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,67.280000,0.000000,5.770000,7.21,20,17.57,2.06,2,20,3,1,5.66,0,0,0,0,12.67,1.78,6.67,9.262207,14.86,0,6.66,12.67,1,0.41

32,07:45:08:00,48.060000,67.280000,48.060000,114.910000,1.370000,96.120000,11.530000,0.000000,0.240000,30.760000,22.110000,144.180000,0.240000,0.950000,99.000000,0.000000,0.000000,81.180000,257.520000,1.340000,0.240000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,67.280000,0.000000,5.770000,7.21,27,24.22,8.24,7,20,5,3,5.66,0,0,0,0,12.67,3.33,6.67,14.860351,24.47,5,6.66,12.67,3,1.65

33,08:00-08:15,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,0.000000,2.870000,30.760000,22.110000,144.180000,2.870000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,2.940000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,30.94,30.94,25.47,11,20,7,4,5.66,0,0,0,0,12.67,5,6.67,21.265172,29.12,5,6.66,12.67,3,5.09

34,08:15-08:30,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,0.000000,2.870000,30.760000,22.110000,144.180000,2.870000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,2.940000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,30.33,30.34,43.53,14,20,9,6,5.66,0,0,0,0,12.67,6.67,6.67,29.74014,30.33,5,6.66,12.67,5,8.7

35,08:30-08:45,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,0.000000,2.870000,30.760000,23.070000,144.180000,2.870000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,2.940000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32,32,49.27,18,20,11,7,5.66,0,0,0,0,12.67,10,6.67,40.547668,32,5,6.66,12.67,5,9.85

36,08:45:09:00,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,0.000000,2.870000,30.760000,23.070000,144.180000,2.870000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,2.940000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32,32,54.81,21,20,13,9,5.66,0,0,0,0,12.67,13.33,6.67,52.919955,32,5,6.66,12.67,7,10.96

37,09:00:09:15,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,34.600000,3.280000,30.760000,0.000000,144.180000,3.280000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,3.360000,0.000000,0.000000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32,32,60.89,25,20,15,10,5.66,0,0,0,0,12.67,13.33,6.67,65.146457,32,5,6.66,12.67,8,12.18

38,09:15-09:30,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,34.600000,4.130000,30.760000,0.000000,144.180000,4.130000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,4.220000,0.000000,48.060000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32,32,67.83,28,20,17,12,5.66,0,0,0,0,12.67,15,6.67,77.489587,32,5,6.66,12.67,9,13.57

39,09:30-09:45,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,34.600000,4.890000,30.760000,0.000000,144.180000,4.890000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,5.010000,0.000000,144.180000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32,32,74.79,28,20,20,12,5.66,0,0,0,0,12.67,16.67,6.67,89.230139,32,5,6.66,12.67,10,14.96

40,09:45-10:00,48.060000,67.280000,48.060000,114.910000,1.370000,48.060000,11.530000,34.600000,5.700000,30.760000,0.000000,144.180000,5.700000,0.950000,99.000000,100.930000,0.000000,81.180000,257.520000,1.340000,5.840000,0.000000,144.180000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32.5,32.5,81.31,32,20,21,13,5.66,0,0,0,0,12.67,18.33,6.67,100.047386,32.5,6,6.66,12.67,11,16.26

41,10:00-10:15,48.060000,67.280000,48.060000,114.910000,1.290000,48.060000,11.530000,34.600000,5.300000,30.760000,0.000000,144.180000,5.300000,0.990000,99.000000,100.930000,0.000000,100.680000,257.520000,1.340000,5.430000,0.000000,144.180000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32.5,32.5,89.16,39,20,22,16,4,0,0,0,0,10,20,6.67,109.494254,32.5,7,6.66,10,11,17.83

42,10:15-10:30,48.060000,67.280000,48.060000,114.910000,1.290000,48.060000,11.530000,34.600000,5.990000,30.760000,0.000000,144.180000,5.990000,0.990000,99.000000,100.930000,0.000000,100.680000,257.520000,1.340000,6.140000,0.000000,144.180000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32.5,32.5,102.05,46,20,24,19,4,0,0,0,0,10,23.33,6.67,116.764066,32.5,8,6.66,10,12,20.41

43,10:30-10:45,48.060000,67.280000,48.060000,114.910000,1.290000,48.060000,11.530000,34.600000,6.700000,30.760000,0.000000,144.180000,6.700000,0.990000,99.000000,100.930000,0.000000,66.230000,257.520000,1.340000,6.880000,0.000000,144.180000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32.5,32.5,95.86,77,20,33,33,4,0,0,0,0,10,26.67,6.67,125.715265,32.5,9,6.66,10,17,19.17

44,10:45-11:00,48.060000,67.280000,48.060000,114.910000,1.290000,48.060000,11.530000,34.600000,7.420000,30.760000,0.000000,144.180000,7.420000,0.990000,99.000000,100.930000,0.000000,66.230000,257.520000,1.340000,7.610000,0.000000,144.180000,77.520000,0.000000,18.260000,0.000000,270.340000,0.690000,86.060000,176.860000,8.170000,6.730000,30.760000,163.400000,18.260000,5.770000,7.21,32.5,32.5,114.63,95,20,43,40,4,0,0,0,0,10,30,6.67,131.157905,32.5,10,6.66,10,22,22.93

