Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/89015,NR/2025/31137/A/89018,NR/2025/31136/A/89014,NR/2025/31347/A/88566,NR/2025/31138/A/89021,NR/2025/31138/A/89020,NR/2025/31137/A/89019,NR/2025/31571/C,NR/2025/31557/C,NR/2025/31515/C,NR/2025/31578/C,NR/2025/31563/C,NR/2025/31521/C,NR/2025/31579/C,NR/2025/31625/C,NR/2025/29985/A/88970,NR/2025/31419/A/89017,NR/2025/31420/A/89016,NR/2025/29353/A/89088,SR/2025/18628/C,NR/2025/30121/A/88570,NR/2025/30082/A/89081,NR/2025/29167/A/88629,NR/2025/30083/A/89070,NR/2025/30086/A/89067,NR/2025/30067/A/89153,NR/2025/27975/A/89062,NR/2025/29439/A/88691,NR/2025/30084/A/89068,NR/2025/27973/A/89061,NR/2025/30191/A/88567,NR/2025/31126/A/88683,NR/2025/30105/A/89066,NR/2025/27965/A/89059,NR/2025/29440/A/88552,NR/2025/26975/A/89078,NR/2025/27966/A/89060,NR/2025/28728/A/89048,NR/2025/31627/C,NR/2025/31631/C,NR/2025/29352/A/89089,NR/2025/31593/C,NR/2025/31622/C,NR/2025/31628/C,NR/2025/30101/A/89132,NR/2025/29628/A/89075,NR/2025/29915/A/88627,NR/2025/31622/C/Alternate/1,NR/2025/30217/A/89065,NR/2025/31339/A/88968,NR/2025/27978/A/89133,NR/2025/31632/C,NR/2025/31633/C,NR/2025/31618/C,NR/2025/31634/C,NR/2025/29910/A/89073,NR/2025/31619/C,NR/2025/31635/C,NR/2025/29992/A/88557,GNA/NR/2025/07/16/7255,GNA/SR/2025/07/16/9521,GNA/NR/2025/07/01/1192,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,120.18,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.91,26.44,0,81.72,0,0,28.6,0,5.44,0,48.07,105.75,20.43,186.84,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,30,134.84,43.7,26.26,81.72,15.24,19.23,20.74,14.54,2119.2

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,134.6,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.91,26.44,0,81.72,0,0,28.6,0,7.25,0,48.07,105.75,20.43,185.03,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,30,134.84,43.7,26.26,81.72,15.24,19.23,20.74,14.54,2133.62

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,163.44,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.77,26.44,0,81.72,0,0,28.6,0,7.44,0,48.07,105.75,20.43,184.84,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,14.54,2159.94

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,182.67,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.77,26.44,0,81.72,0,0,28.6,0,8.03,0,48.07,105.75,20.43,184.25,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,14.54,2179.17

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,96.14,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.77,26.44,0,81.72,0,0,28.6,0,7.85,0,48.07,105.75,20.43,184.43,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,14.54,2092.6400000000003

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,118.25,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.77,26.44,0,81.72,0,0,28.6,0,9.13,0,48.07,105.75,20.43,183.15,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,14.54,2114.75

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,179.78,6.73,48.07,54.08,8.74,26.22,204.3,0,0,26.22,0,48.07,12.5,17.48,0,0.67,26.44,0,81.72,0,0,28.6,0,75.61,0,48.07,105.75,20.43,116.67,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,14.54,2116.1100000000006

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,179.78,6.73,48.07,54.08,8.74,26.22,204.3,0,0,26.22,0,48.07,12.5,17.48,0,0.67,26.44,0,81.72,0,0,28.6,0,76.05,0,48.07,105.75,20.43,116.23,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,14.54,2116.11

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,179.78,6.73,48.07,54.08,8.74,26.22,204.3,0,0,26.22,0,48.07,12.5,17.48,0,0.67,26.44,0,81.72,0,0,28.6,0,77.94,0,48.07,105.75,20.43,114.34,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.38,2117.9500000000003

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,179.78,6.73,48.07,54.08,8.74,26.22,204.3,0,0,26.22,0,48.07,12.5,17.48,0,0.67,26.44,0,81.72,0,0,28.6,0,80.21,0,48.07,105.75,20.43,112.07,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,49.03,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.38,2117.9500000000003

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,247.08,6.73,48.07,54.08,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.38,1726.9700000000005

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,247.08,6.73,48.07,54.08,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.38,1726.9700000000005

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,247.08,6.73,48.07,54.08,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.38,1726.9700000000005

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,247.08,6.73,48.07,54.08,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.38,1726.9700000000005

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,255.73,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.19,1681.3500000000004

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,278.81,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.19,1704.4300000000005

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,288.42,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.19,1714.0400000000004

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,293.23,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,19.23,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.19,1718.8500000000006

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,83.64,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,15.92,1506.3300000000004

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,83.64,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,12.5,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,15.92,1506.3300000000004

23,05:30-05:45,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,72.1,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,15.92,1494.2100000000003

24,05:45-06:00,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81.72,142.29,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.62,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,15.92,1565.6900000000005

25,06:00-06:15,2.98,0,0.02,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,3,0,0,81.72,96.14,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.82,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,15.74,1523.9600000000003

26,06:15-06:30,5.29,0,0.02,0.1,0,0,0.02,0,0,0,0,0,0,0,0,0,7,0,0,81.72,123.06,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.82,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,15.74,1557.2400000000002

27,06:30-06:45,7.61,0,0.13,0.26,0,0,0.07,0,0,0,0,0,0,0,0,0.84,11,0,0,81.72,225.93,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.82,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.83,1668.6800000000003

28,06:45-07:00,9.92,0.06,0.17,0.35,0,0.04,0.09,0.04,0,0,0,0,0,0,0,1.37,14,0,0,81.72,225.93,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.82,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.83,1674.8100000000004

29,07:00-07:15,14.46,0.16,0.19,0.38,0,0.11,0.1,0.11,0,0,0,0,0,0,0,1.97,18,0,0,81.72,148.06,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.87,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.56,1606.1600000000003

30,07:15-07:30,19.01,0.27,0.19,0.38,0,0.16,0.19,0.16,0,0,0,0,0,0,0,2.97,21,0,0,81.72,120.18,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.87,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.56,1587.1300000000003

31,07:30-07:45,23.55,0.39,0.19,0.38,0,0.26,0.19,0.31,0,0,0,0,0,0,0,3.86,28,0,0,81.72,111.52,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.87,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.56,1591.2700000000002

32,07:45-08:00,28.1,0.54,0.29,0.38,0,0.33,0.19,0.37,0,0,0,0,0,0,0,5.25,35,0,0,81.72,0,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.87,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.56,1493.0700000000002

33,08:00-08:15,33.5,0.63,0.29,0.38,9.61,0.38,0.19,0.44,0,0,0,0,0,0,0,6.18,56,0,1.63,81.72,0,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.96,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.47,1531.8500000000001

34,08:15-08:30,38.9,0.69,0.29,0.38,9.61,0.41,0.19,0.56,0,0,0,0,0,0,0,8.53,63,0,1.63,81.72,0,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,11.54,17.48,0,0.96,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.47,1546.8100000000002

35,08:30-08:45,44.31,0.76,0.29,0.38,9.61,0.45,0.19,0.61,0,0,0,0,0,0,0,5.87,60,0,1.63,81.72,0,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,13.46,17.48,0,0.96,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.47,1548.6400000000003

36,08:45-09:00,49.71,0.79,0.29,0.48,9.61,0.55,0.19,0.62,0,0,0,0,0,0,0,5.87,70,0,1.63,81.72,0,6.73,48.07,0,8.74,26.22,0,0,0,26.22,0,48.07,13.46,17.48,0,0.96,5.77,0,81.72,0,0,28.6,0,192.28,0,48.07,76.55,0,0,7.69,0,96.14,0,0,0,0,16.57,0,0,44.22,163.44,0,0,26.94,134.84,43.7,26.94,81.72,15.24,19.23,20.74,16.47,1564.2800000000002

37,09:00-09:15,54.64,0.83,0.29,0.48,5.74,0.59,0.19,0.66,81.72,6.73,44.22,0,48.07,48.07,0,5.87,77,0,1.63,81.72,0,0,0,0,0,0,0,0,0,0,0,0,13.46,0,0,0,5.77,0,0,76.55,14.57,28.6,0.96,192.28,16.57,0,0,0,0,0,0,0,43.7,28.91,48.07,7.69,0,96.14,37.15,0,163.44,0,0,26.96,134.84,43.7,26.96,81.72,15.24,19.23,20.74,16.38,1618.0800000000006

38,09:15-09:30,59.57,0.87,0.29,0.48,6.41,0.61,0.19,0.69,81.72,6.73,44.22,0,48.07,48.07,0,6.85,84,0,1.63,81.72,0,0,0,0,0,0,0,0,0,0,0,0,13.46,0,0,0,5.77,0,0,76.55,14.57,28.6,0.96,192.28,16.57,0,0,0,0,0,0,0,43.7,28.91,48.07,7.69,0,96.14,37.15,0,163.44,0,0,26.96,134.84,43.7,26.96,81.72,15.24,19.23,20.74,16.38,1631.7500000000007

