Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21774/C,NR/2024/21567/A/28533,NR/2024/20574/A/28527,NR/2024/21694/A/28528,NR/2024/21076/A/28572,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21186/A/28558,NR/2024/21156/A/28289,NR/2024/21173/A/28309,NR/2024/21146/A/28288,NR/2024/21075/A/28575,NR/2024/21802/C,NR/2024/21715/A/28274,NR/23072024/23072024/IEX_240722_01671,NR/2024/21099/A/28250,NR/2024/21142/A/28252,NR/2024/21773/C,NR/2024/21682/A/28619,NR/30092023/31122025/SH-07,NR/2024/21210/A/28253,NR/2024/20931/A/28622,NR/2024/21158/A/28293,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20711/A/28620,NR/2024/21141/A/28251,NR/2024/21339/A/28255,NR/01072024/31072024/R2,NR/2024/21788/C,NR/2024/21159/A/28291,NR/2024/21096/A/28565,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/20688/A/28311,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21062/A/28525,NR/2024/21152/A/28235,NR/2024/21199/A/28269,NR/2024/21113/A/28534,NR/2024/21023/A/28270,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/28573,NR/2024/20573/A/28529,NR/2024/21153/A/28285,NR/2024/19779/A/28227,NR/2024/21227/A/28547,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21160/A/28290,NR/2024/21148/A/28287,NR/2024/21798/C,NR/2024/21108/A/28545,NR/2024/21087/A/28310,NR/2024/21103/A/28552,NR/2024/21150/A/28286,NR/2024/20966/A/28236,NR/2024/21238/A/28576,NR/2024/21072/A/28536,NR/2024/21089/A/28535,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,Total
8,01:45-02:00,0,0,0,7.230000,12.060000,1.910000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,47.990000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,67.180000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.880000,37.260000,37.260000,38.580000,1916.62

9,02:00-02:15,0,0,0,7.230000,12.060000,1.660000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,38.580000,1808.3

10,02:15-02:30,0,0,0,7.230000,12.060000,1.700000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,38.580000,1808.34

11,02:30-02:45,0,0,0,7.230000,12.060000,1.890000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,20.970000,48.230000,0.000000,0.680000,15.140000,20.970000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,38.580000,1786.47

12,02:45-03:00,0,0,0,7.230000,12.060000,1.910000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,20.970000,48.230000,0.000000,0.680000,15.140000,20.970000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,38.580000,1786.49

13,03:00-03:15,0,0,0,7.230000,12.060000,2.440000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,20.970000,48.230000,0.000000,0.680000,15.140000,20.970000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1699.71

14,03:15-03:30,0,0,0,7.230000,12.060000,2.610000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,20.970000,48.230000,0.000000,0.680000,15.140000,20.970000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1699.88

15,03:30-03:45,0,0,0,7.230000,12.060000,2.260000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,20.970000,48.230000,0.000000,0.680000,15.140000,20.970000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1699.53

16,03:45-04:00,0,0,0,7.230000,12.060000,2.410000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,20.970000,48.230000,0.000000,0.680000,15.140000,20.970000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1699.68

17,04:00-04:15,0,0,0,7.230000,12.060000,2.930000,90.670000,12.520000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1700.03

18,04:15-04:30,0,0,0,7.230000,12.060000,2.550000,90.670000,12.520000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1699.65

19,04:30-04:45,0,0,0,7.230000,12.060000,2.470000,90.670000,12.520000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1698.61

20,04:45-05:00,0,0,0,7.230000,12.060000,2.510000,90.670000,12.520000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1698.65

21,05:00-05:15,0,0,0,7.230000,12.060000,0.000000,90.670000,12.430000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1652.65

22,05:15-05:30,0,0,0,7.230000,12.060000,0.000000,90.670000,12.430000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1652.65

23,05:30-05:45,0,0,0,7.230000,12.060000,0.120000,90.670000,12.430000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1652.77

24,05:45-06:00,0,0,0,7.230000,12.060000,0.120000,90.670000,12.430000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.530000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1652.77

25,06:00-06:15,0,0,0,7.230000,0.000000,0.000000,90.670000,12.250000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.680000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1604.39

26,06:15-06:30,0,0,0,7.230000,0.000000,0.000000,90.670000,12.250000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,7.720000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.680000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1604.39

27,06:30-06:45,0,0,0,7.230000,0.000000,0.000000,90.670000,12.250000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.680000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1605.35

28,06:45-07:00,0,0,0.44,7.230000,0.000000,0.000000,90.670000,12.250000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,8.680000,0.000000,24.120000,48.230000,164.220000,241.150000,9.950000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,0.000000,0.000000,24.120000,0.000000,0.880000,24.120000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,0.000000,1.590000,0.680000,0.000000,72.340000,0.970000,0.520000,0.000000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,0.000000,1605.79

