Column1,Block,NR/2025/25791/A/63914,NR/2025/25794/A/63910,NR/2025/25792/A/63912,NR/2025/25962/C,NR/2025/25795/A/63909,NR/2025/25924/A/63610,WR/2025/27369/A/63999,WR/2025/27361/A/63928,NR/2025/25790/A/63915,WR/2025/27350/A/63623,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/63507,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/6216,Total
16,03:45-04:00,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

17,04:00-04:15,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

18,04:15-04:30,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

19,04:30-04:45,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

20,04:45-05:00,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

21,05:00-05:15,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.7900000000001

22,05:15-05:30,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.7900000000001

23,05:30-05:45,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.7900000000001

24,05:45-06:00,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.7900000000001

25,06:00-06:15,21.88,32.81,32.81,184.8,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,30,26.26,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,714.99

26,06:15-06:30,21.88,32.81,32.81,184.8,10.93,3.85,48.12,48.12,10.93,144.38,0.4,0,0,30,26.26,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,715.39

27,06:30-06:45,21.88,32.81,32.81,184.8,10.93,3.85,48.12,48.12,10.93,144.38,0.16,0,0,30,26.26,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,715.15

28,06:45-07:00,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,1.44,0,0,30,26.26,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,531.63

29,07:00-07:15,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,4.55,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,532.34

30,07:15-07:30,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,8.65,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,536.44

31,07:30-07:45,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,14.16,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,541.95

32,07:45-08:00,21.88,32.81,32.81,19.25,10.93,3.85,48.12,48.12,10.93,144.38,21.27,0,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,568.3100000000001

33,08:00-08:15,21.88,32.81,32.81,19.25,10.93,2.89,48.12,48.12,10.93,0,29.26,3.85,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,434.81000000000006

34,08:15-08:30,21.88,32.81,32.81,91.44,10.93,2.89,48.12,48.12,10.93,0,37.32,3.85,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,515.0600000000001

35,08:30-08:45,21.88,32.81,32.81,91.44,10.93,2.89,48.12,48.12,10.93,0,45.79,3.85,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,523.5300000000001

36,08:45-09:00,21.88,32.81,32.81,91.44,10.93,2.89,48.12,48.12,10.93,0,54.15,3.85,0,26.93,26.93,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,531.89

37,09:00-09:15,21.88,32.81,32.81,91.44,10.93,2.89,48.12,48.12,10.93,0,62.37,6.74,0,26.94,26.94,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,543.02

38,09:15-09:30,21.88,32.81,32.81,91.44,10.93,2.89,48.12,48.12,10.93,0,70.02,6.74,0,26.94,26.94,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,550.67

39,09:30-09:45,21.88,32.81,32.81,182.88,10.93,2.89,48.12,48.12,10.93,0,77.26,6.74,0,26.94,26.94,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,649.3499999999999

40,09:45-10:00,21.88,32.81,32.81,182.88,10.93,2.89,48.12,48.12,10.93,0,84.01,6.74,0,26.94,26.94,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,656.0999999999999

41,10:00-10:15,21.88,32.81,32.81,182.88,10.93,2.89,48.12,48.12,10.93,0,89.96,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,663.8800000000001

42,10:15-10:30,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,95.75,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,698.5400000000001

43,10:30-10:45,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.7900000000001

44,10:45-11:00,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.7900000000001

45,11:00-11:15,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.7900000000001

46,11:15-11:30,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.7900000000001

47,11:30-11:45,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.7900000000001

48,11:45-12:00,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.94,26.94,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.7900000000001

49,12:00-12:15,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.8100000000001

50,12:15-12:30,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.8100000000001

51,12:30-12:45,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,10.93,0,100,8.66,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,702.8100000000001

52,12:45-13:00,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,8.66,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.8800000000001

53,13:00-13:15,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,8.66,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.7800000000001

54,13:15-13:30,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,8.66,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.7800000000001

55,13:30-13:45,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,8.66,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.7800000000001

56,13:45-14:00,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,8.66,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.7800000000001

57,14:00-14:15,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,7.7,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,690.82

58,14:15-14:30,21.88,32.81,32.81,211.75,10.93,2.89,48.12,48.12,0,0,100,7.7,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,690.82

59,14:30-14:45,21.88,32.81,32.81,211.75,10.93,3.85,48.12,48.12,0,0,100,7.7,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.7800000000001

60,14:45-15:00,21.88,32.81,32.81,211.75,10.93,3.85,48.12,48.12,0,0,100,7.7,0,26.95,26.95,0,9.62,6.35,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,691.7800000000001

61,15:00-15:15,21.88,32.81,32.81,211.75,10.93,3.85,48.12,48.12,0,0,100,6.74,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,690.9200000000001

62,15:15-15:30,21.88,32.81,32.81,211.75,10.93,3.85,48.12,48.12,0,0,98.87,6.74,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,689.7900000000001

63,15:30-15:45,21.88,32.81,32.81,163.62,10.93,3.85,48.12,48.12,0,0,92.9,6.74,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,635.69

64,15:45-16:00,21.88,32.81,32.81,163.62,10.93,3.85,48.12,48.12,0,0,86.76,6.74,0,26.95,26.95,0,9.62,6.45,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,629.55

65,16:00-16:15,21.88,32.81,32.81,163.62,10.93,3.85,48.12,48.12,0,0,78.62,3.85,50,26.95,26.95,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,668.61

66,16:15-16:30,21.88,32.81,32.81,163.62,10.93,3.85,48.12,48.12,10.93,0,72.25,3.85,50,26.95,26.95,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,673.1700000000001

67,16:30-16:45,21.88,32.81,32.81,163.62,10.93,3.85,48.12,48.12,10.93,0,64.71,3.85,50,26.95,26.95,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,665.63

68,16:45-17:00,21.88,32.81,32.81,57.75,10.93,3.85,48.12,48.12,10.93,0,57.13,3.85,50,26.95,26.95,0,9.62,6.54,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,552.18

69,17:00-17:15,21.88,32.81,32.81,57.75,10.93,4.81,48.12,48.12,10.93,0,48.9,0,50,26.95,26.95,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,541.15

70,17:15-17:30,21.88,32.81,32.81,57.75,10.93,4.81,48.12,48.12,10.93,0,41.2,0,50,26.95,26.95,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,533.4499999999999

71,17:30-17:45,21.88,32.81,32.81,57.75,10.93,4.81,48.12,48.12,10.93,0,32.72,0,50,26.95,26.95,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,524.9699999999999

72,17:45-18:00,21.88,32.81,32.81,0,10.93,4.81,48.12,48.12,10.93,0,23.65,0,50,26.95,26.95,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,458.15000000000003

73,18:00-18:15,21.88,32.81,32.81,0,10.93,5.78,48.12,48.12,10.93,48.12,16.41,0,50,29.5,26.41,0,9.62,6.81,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,502.19000000000005

74,18:15-18:30,21.88,32.81,32.81,0,10.93,5.78,48.12,48.12,10.93,48.12,10.4,0,50,29.5,26.41,0,9.62,6.81,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,496.18

75,18:30-18:45,21.88,32.81,32.81,0,10.93,6.74,48.12,48.12,10.93,48.12,5.77,0,50,29.5,26.41,0,9.62,6.81,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,492.51

76,18:45-19:00,21.88,32.81,32.81,242.55,10.93,6.74,48.12,48.12,10.93,48.12,2.81,0,50,29.5,26.41,0,9.62,6.81,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,732.0999999999999

77,19:00-19:15,21.88,32.81,32.81,242.55,10.93,6.74,48.12,48.12,10.93,48.12,0,0,50,29.5,26.41,0,9.62,6.91,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,729.3899999999999

78,19:15-19:30,21.88,32.81,32.81,242.55,10.93,6.74,48.12,48.12,10.93,48.12,0,0,50,29.5,26.41,0,9.62,6.91,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,729.3899999999999

79,19:30-19:45,21.88,32.81,32.81,242.55,10.93,6.74,48.12,48.12,10.93,48.12,0,0,50,29.5,26.41,0,9.62,6.91,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,729.3899999999999

80,19:45-20:00,21.88,32.81,32.81,242.55,10.93,6.74,48.12,48.12,10.93,48.12,0,0,50,29.5,26.41,0,9.62,6.91,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,729.3899999999999

81,20:00-20:15,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,29.5,26.41,0,9.62,7.09,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,728.6099999999999

82,20:15-20:30,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,29.5,26.41,0,9.62,7.09,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,728.6099999999999

83,20:30-20:45,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.09,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,726.5699999999999

84,20:45-21:00,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.09,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,726.5699999999999

85,21:00-21:15,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,726.7599999999999

86,21:15-21:30,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,726.7599999999999

87,21:30-21:45,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,726.7599999999999

88,21:45-22:00,21.88,32.81,32.81,242.55,10.93,5.78,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,726.7599999999999

89,22:00-22:15,21.88,32.81,32.81,242.55,10.93,4.81,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,725.79

90,22:15-22:30,21.88,32.81,32.81,242.55,10.93,4.81,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,725.79

91,22:30-22:45,21.88,32.81,32.81,242.55,10.93,4.81,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,725.79

92,22:45-23:00,21.88,32.81,32.81,242.55,10.93,4.81,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,725.79

93,23:00-23:15,21.88,32.81,32.81,242.55,10.93,3.85,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,724.83

94,23:15-23:30,21.88,32.81,32.81,242.55,10.93,3.85,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,724.83

95,23:30-23:45,21.88,32.81,32.81,242.55,10.93,3.85,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,724.83

96,23:45-24:00,21.88,32.81,32.81,242.55,10.93,3.85,48.12,48.12,10.93,48.12,0,0,50,26.94,26.93,0,9.62,7.28,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,724.83

