Time,Block,NR/2024/20037/A/18839,NR/2024/20229/C,NR/2024/20144/A/18868,NR/2024/20109/A/18955,NR/2024/20050/A/18931,NR/2024/20082/A/18920,NR/2024/19779/A/18597,NR/2024/19355/A/18958,NR/2024/20233/C,NR/2024/19637/A/18697,NR/2024/20090/A/18582,NR/2024/20052/A/18506,NR/2024/20226/C,NR/2024/20237/C,NR/2024/20232/C,NR/2024/20228/C,NR/2024/19432/A/18942,NR/2024/20048/A/18932,NR/2024/20227/C,NR/2024/19760/A/18840,NR/2024/19588/A/18707,NR/2024/20040/A/18919,NR/2024/20041/A/18934,NR/2024/19966/A/18667,NR/2024/20034/A/18933,NR/2024/20142/A/18864,NR/2024/19683/A/18450,NR/2024/19475/A/18892,NR/2024/20130/A/18700,NR/2024/19699/A/18940,NR/2024/20234/C,NR/2024/20141/A/18866,NR/2024/19918/A/18921,NR/2024/20031/A/18936,NR/2024/20033/A/18937,NR/2024/20240/C,Total

3,00:30-00:45,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,44.430000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,115.900000,0.350000,13.520000,43.900000,14.630000,193.160000,1813.88

4,00:45-01:00,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,44.430000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,115.900000,0.350000,13.520000,43.900000,14.630000,193.160000,1813.88

5,01:00-01:15,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,96.580000,1556.97

6,01:15-01:30,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,96.580000,1556.97

7,01:30-01:45,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,96.580000,1556.97

8,01:45-02:00,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,96.580000,1556.97

9,02:00-02:15,72.440000,0.000000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1213.23

10,02:15-02:30,72.440000,0.000000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1213.23

11,02:30-02:45,72.440000,0.000000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1213.23

12,02:45-03:00,72.440000,0.000000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1213.23

13,03:00-03:15,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

14,03:15-03:30,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

15,03:30-03:45,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

16,03:45-04:00,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

17,04:00-04:15,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

18,04:15-04:30,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

19,04:30-04:45,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

20,04:45-05:00,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1155.18

21,05:00-05:15,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1164.84

22,05:15-05:30,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1164.84

23,05:30-05:45,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1164.84

24,05:45-06:00,72.440000,0.000000,0.880000,183.500000,162.980000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,37.310000,12.440000,0.000000,1164.84

25,06:00-06:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,934.01

26,06:15-06:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,934.01

27,06:30-06:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0.41,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,934.42

28,06:45-07:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.530000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,0.87,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,934.88

29,07:00-07:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.680000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,1.25,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,935.41

30,07:15-07:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.680000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,1.63,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,935.79

31,07:30-07:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.680000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,2.12,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,936.28

32,07:45:08:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.680000,96.580000,0.000000,0.000000,1.930000,8.690000,19.320000,0.000000,0.000000,2.7,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,936.86

33,08:00-08:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,0.000000,1.930000,9.660000,19.320000,0.000000,0.000000,3.34,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,938.76

34,08:15-08:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,0.000000,1.930000,9.660000,19.320000,0.000000,0.000000,3.95,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,939.37

35,08:30-08:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,0.000000,1.930000,9.660000,19.320000,0.000000,0.000000,4.65,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,940.07

36,08:45:09:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,0.000000,1.930000,9.660000,19.320000,0.000000,0.000000,5.12,24.140000,0.000000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,37.310000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,37.310000,12.440000,0.000000,940.54

37,09:00:09:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,9.660000,19.320000,0.000000,0.000000,5.76,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1115.9

38,09:15-09:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,9.660000,19.320000,0.000000,0.000000,6.16,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1116.3

39,09:30-09:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,9.660000,19.320000,0.000000,0.000000,6.42,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1116.56

40,09:45-10:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,9.660000,19.320000,0.000000,0.000000,6.75,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1116.89

41,10:00-10:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1121

42,10:15-10:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.26,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1121.26

43,10:30-10:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.53,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1121.53

44,10:45-11:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.74,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1121.74

45,11:00-11:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,8.1,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1122.1

46,11:15-11:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,8.28,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1122.28

47,11:30-11:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.72,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1121.72

48,11:45-12:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,8.15,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,0.000000,43.900000,14.630000,0.000000,1122.15

49,12:00-12:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,8.39,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1135.91

50,12:15-12:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,8.68,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1136.2

51,12:30-12:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.63,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1135.15

52,12:45-13:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,4.84,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1132.36

53,13:00-13:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,5.68,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1133.2

54,13:15-13:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,8.24,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1135.76

55,13:30-13:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.77,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1135.29

56,13:45-14:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,7.96,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1135.48

57,14:00-14:15,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,5.42,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1132.94

58,14:15-14:30,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,6.83,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1134.35

59,14:30-14:45,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,5.22,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1132.74

60,14:45-15:00,72.440000,0.000000,0.880000,183.500000,0.000000,11.590000,0.970000,96.580000,0.000000,24.140000,1.930000,13.520000,19.320000,0.000000,0.000000,3.67,24.140000,0.000000,101.310000,48.290000,66.820000,14.490000,48.290000,38.630000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,0.000000,0.350000,13.520000,43.900000,14.630000,0.000000,1131.19

