Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25844/C,NR/2025/25752/A/61344,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,WR/2025/27350/A/61473,NR/2025/25791/A/61762,GNA/NR/2025/04/01/7960,WR/2025/27369/A/61857,WR/2025/27361/A/61775,NR/2025/25790/A/61763,NR/30092023/26122029/SH-06,NR/2025/25792/A/61761,NR/30092023/31122025/SH-07,NR/2025/25795/A/61759,NR/2025/25794/A/61760,NR/2025/25828/A/61710,Total
86,21:15-21:30,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.9,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.2699999999999

87,21:30-21:45,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.9,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.2699999999999

88,21:45-22:00,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.9,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.2699999999999

89,22:00-22:15,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.17,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,728.6199999999999

90,22:15-22:30,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.17,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,728.6199999999999

91,22:30-22:45,0,189.49,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.17,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,9.34,32.79,30.5,10.93,32.79,0,669.9399999999999

92,22:45-23:00,0,189.49,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.17,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,9.34,32.79,30.5,10.93,32.79,0,669.9399999999999

93,23:00-23:15,0,189.49,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.35,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,9.34,32.79,30.5,10.93,32.79,0,670.1199999999999

94,23:15-23:30,0,154.87,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.35,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,9.34,32.79,30.5,10.93,32.79,0,635.5

95,23:30-23:45,0,154.87,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.35,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,9.34,32.79,30.5,10.93,32.79,0,635.5

96,23:45-24:00,0,154.87,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,6.35,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,9.34,32.79,30.5,10.93,32.79,0,635.5

