Block,Time,L_NR_2020_02,L_NR_2019_11,L_NR_2012_07,LT-31,L_NR_2012_02,LT-35,L_NR_2012_04,LT-36,L_NR_2012_01,LT-05,L_NR_2023_04,LT-59,SH-07,SH-06,L_NR_2019_19,L_NR_2018_61,L_NR_2023_10,L_NR_2022_10,L_NR_2021_17,L_NR_2021_12,L_NR_2022_09,L_NR_2022_08,L_NR_2020_07,L_NR_2021_13,L_NR_2019_05,L_NR_2021_16,L_NR_2020_06,L_NR_2019_06,L_NR_2019_07,L_NR_2023_07,L_NR_2020_05,L_NR_2021_14,L_NR_2021_15
26,06:15-06:30,5.630000,6.720000,73.590000,0.010000,257.110000,0.010000,269.920000,0.010000,74.660000,115.160000,30.460000,6.790000,30.710000,0.000000,4.754096,7.2,0.07,28.55,2,0,28.55,15.21,10.85,0,8.75,3,10.84,23.76,3,0.17,32.53,3.79,0

27,06:30-06:45,5.630000,6.720000,73.590000,0.150000,257.110000,0.150000,269.920000,0.160000,74.660000,115.160000,30.520000,6.790000,30.710000,0.000000,12.138532,7.2,0.75,27.88,3,1.13,27.88,15.44,11.85,0.23,15.49,5,11.85,33,8,1.74,35.56,0.33,1

28,06:45-07:00,5.630000,6.720000,73.590000,0.510000,257.110000,0.510000,269.920000,0.520000,74.660000,115.160000,30.520000,6.790000,30.710000,0.000000,18.928706,7.2,2.52,27.22,4,5.65,27.22,15.07,12.17,1.13,25.45,9,12.18,33,15,5.87,36.53,1.67,2

29,07:00-07:15,5.540000,6.560000,73.590000,1.030000,257.110000,1.030000,269.920000,1.050000,74.660000,115.160000,30.520000,6.640000,30.710000,0.000000,25.387652,7.2,5.36,27.88,6,12.75,27.88,14.49,12.56,2.55,31.23,11,12.57,31.22,22,12.52,37.71,3.33,4

30,07:15-07:30,5.540000,6.560000,73.590000,1.670000,257.110000,1.670000,269.920000,1.720000,74.660000,115.160000,30.520000,6.640000,30.710000,0.000000,32.207052,7.2,9.01,28.55,8,21.68,28.55,14.35,13.01,4.34,28.65,17,13.01,28.65,28.65,21.01,39.03,6.67,7

31,07:30-07:45,5.540000,6.560000,73.590000,2.530000,257.110000,2.530000,269.920000,2.600000,74.660000,115.160000,29.560000,6.640000,30.710000,0.000000,38.909548,7.2,19,29.12,11,41.68,29.12,14.82,13.51,8.33,30.17,21,13.52,30.16,30.17,46,40.55,10,7

32,07:45:08:00,5.540000,6.560000,73.590000,3.450000,257.110000,3.450000,269.920000,3.530000,74.660000,115.160000,29.560000,6.640000,30.710000,0.000000,45.44643,7.2,24,30.72,13,57.73,30.72,14.56,14.01,11.55,30.67,25,14.02,30.66,30.67,56,42.05,13.03,10

33,08:00-08:15,5.540000,6.560000,73.590000,4.520000,257.110000,4.520000,269.920000,4.630000,74.660000,32.930000,29.560000,6.640000,30.710000,17.800000,52.665252,7.32,28,31.06,14,74.63,31.06,12.17,13.66,14.92,31.83,29,13.66,31.84,31.83,67,40.98,20.07,13.89

34,08:15-08:30,5.540000,6.560000,73.590000,5.530000,257.110000,5.530000,269.920000,5.670000,74.660000,32.930000,29.560000,6.640000,30.710000,17.800000,60.663434,7.32,34,32.73,18,94.55,32.73,11.84,13.88,18.91,32.17,36,13.89,32.16,32.17,81,41.67,27.49,17.54

35,08:30-08:45,5.540000,6.560000,73.590000,6.530000,257.110000,6.530000,269.920000,6.690000,74.660000,94.090000,29.500000,6.640000,30.710000,25.270000,68.232968,7.32,37,34.44,22,115.46,34.44,11.17,13.91,23.09,32.17,44,13.91,32.16,32.17,88,41.72,34.88,20.94

36,08:45:09:00,5.540000,6.560000,73.590000,7.510000,257.110000,7.510000,269.920000,7.690000,74.660000,94.090000,29.500000,6.640000,30.710000,25.270000,75.071852,7.32,43,36.17,24,134.53,36.17,10.84,13.87,26.91,32.17,49,13.87,32.16,32.17,102,41.61,42.08,23.97

37,09:00:09:15,5.440000,6.560000,73.590000,8.410000,257.110000,8.410000,269.920000,8.620000,74.660000,94.090000,29.450000,6.640000,30.710000,25.270000,80.585824,7.32,48,39.26,27,152.66,39.26,10.51,13.88,30.53,32.33,54,13.89,32.34,32.33,112,41.66,57.2,26.84

38,09:15-09:30,5.440000,6.560000,73.590000,9.490000,257.110000,9.490000,269.920000,9.720000,74.660000,94.090000,29.450000,6.640000,30.710000,25.270000,84.872304,7.32,54,41.75,31,171.27,41.75,10.17,13.92,34.25,32.33,63,13.92,32.34,32.33,126,41.76,63.69,29.62

39,09:30-09:45,5.440000,6.560000,73.590000,10.280000,257.110000,10.280000,269.920000,10.530000,74.660000,94.090000,29.450000,6.640000,25.830000,25.830000,88.525554,7.32,60,38.51,34,177.23,38.51,15.84,17.51,35.44,32.33,69,17.51,32.34,32.33,140,52.54,69.83,35

40,09:45-10:00,5.440000,6.560000,73.590000,10.980000,257.110000,10.980000,269.920000,11.260000,74.660000,115.160000,29.410000,6.640000,25.830000,25.830000,91.52609,7.32,64,38.84,44,190.65,38.84,15.96,18.06,38.13,32.33,89,18.06,32.34,32.33,151,54.19,75.23,37

41,10:00-10:15,5.440000,6.560000,73.590000,11.580000,257.110000,11.580000,269.920000,11.870000,74.660000,115.160000,29.410000,6.640000,25.830000,25.830000,94.331786,4.47,70,39.17,46,203.09,39.17,16.17,18.62,40.62,32.33,91,18.61,32.34,32.33,165,55.83,80.23,39

42,10:15-10:30,5.440000,6.560000,73.590000,13.130000,257.110000,13.130000,269.920000,13.460000,74.660000,115.160000,29.410000,6.640000,25.830000,25.830000,96.660124,4.47,73,39.51,48,227.38,39.51,16.51,18.97,45.48,32.33,95,18.98,32.34,32.33,172,56.94,84.59,41

43,10:30-10:45,5.440000,6.560000,73.590000,13.580000,257.110000,13.580000,269.920000,13.920000,74.660000,115.160000,29.410000,6.640000,25.830000,25.830000,97.85839,4.47,76,39.93,50,229.17,39.93,16.67,19.34,45.83,32.33,100,19.35,32.34,32.33,179,58.03,86.49,42

44,10:45-11:00,5.440000,6.560000,73.590000,13.950000,257.110000,13.950000,269.920000,14.310000,74.660000,115.160000,29.410000,6.640000,25.830000,25.830000,97.829164,4.47,78,26.98,50,229.17,26.98,14.17,15.72,45.83,32.67,100,15.7,32.66,32.67,182,47.11,88.57,42.5

45,11:00-11:15,5.440000,6.870000,73.590000,14.400000,257.110000,14.400000,269.920000,14.760000,74.660000,115.160000,24.460000,6.640000,30.710000,17.800000,97.770712,4.47,79,27.19,50,229.17,27.19,14.55,15.81,45.83,32.67,100,15.81,32.66,32.67,186,47.43,89.45,43.5

46,11:15-11:30,5.440000,6.870000,73.590000,14.610000,257.110000,14.610000,269.920000,14.970000,74.660000,115.160000,24.460000,6.640000,30.710000,17.800000,97.634324,4.47,79,27.41,48,229.17,27.41,14.84,15.96,45.83,32.67,97,15.95,32.66,32.67,186,47.85,91.13,44.5

47,11:30-11:45,5.440000,6.870000,73.590000,14.690000,257.110000,14.690000,269.920000,15.050000,74.660000,115.160000,24.460000,6.180000,30.710000,17.800000,96.971868,4.47,79,27.62,46,229.17,27.62,15.03,16,45.83,32.67,93,15.99,32.66,32.67,186,47.97,91.33,44.5

48,11:45-12:00,5.440000,6.870000,73.590000,14.760000,257.110000,14.760000,269.920000,15.140000,74.660000,115.160000,24.460000,6.490000,30.710000,17.800000,97.653808,4.47,79,27.89,45,229.17,27.89,15.28,16.31,45.83,32.67,89,16.3,32.66,32.67,186,48.9,91.32,44.5

49,12:00-12:15,5.540000,7.030000,73.590000,14.770000,257.110000,14.770000,269.920000,15.150000,74.660000,115.160000,24.460000,6.490000,30.710000,17.800000,104.512176,4.47,79,21.67,44,229.17,21.67,15.35,16.37,45.83,32.67,87,16.36,32.66,32.67,186,49.09,91.33,44.5

50,12:15-12:30,5.540000,7.030000,73.590000,14.730000,257.110000,14.730000,269.920000,15.090000,74.660000,115.160000,24.460000,6.490000,30.710000,17.800000,101.667512,4.47,79,22.01,44,229.17,22.01,16.03,16.6,45.83,32.67,87,16.61,32.66,32.67,186,49.83,91.35,43

51,12:30-12:45,5.540000,7.030000,73.590000,14.730000,257.110000,14.730000,269.920000,15.100000,74.660000,115.160000,24.460000,6.640000,30.710000,17.800000,100.8297,4.47,78,22.34,42,229.17,22.34,16.98,12.83,45.83,32.67,84,12.84,32.66,32.67,182,38.51,91.38,43

52,12:45-13:00,5.540000,7.030000,73.590000,14.720000,257.110000,14.720000,269.920000,15.090000,74.660000,115.160000,26.380000,6.640000,30.710000,17.800000,93.308876,4.47,78,22.67,42,229.17,22.67,17.54,13.47,45.83,32.67,85,13.47,32.66,32.67,182,40.41,91.32,43

53,13:00-13:15,5.540000,7.410000,73.590000,14.680000,257.110000,14.680000,269.920000,15.050000,74.660000,115.160000,26.380000,6.870000,30.710000,17.800000,86.518702,4.47,78,23.33,43,229.17,23.33,17,13.63,45.83,32.67,85,13.64,32.66,32.67,182,40.91,91.32,43

54,13:15-13:30,5.540000,7.410000,73.590000,14.660000,257.110000,14.660000,269.920000,15.020000,74.660000,115.160000,26.380000,6.870000,30.710000,17.800000,83.820168,4.47,78,24.31,43,229.17,24.31,16.5,13.81,45.83,32.67,86,13.8,32.66,32.67,182,41.41,91.31,43

55,13:30-13:45,5.540000,7.410000,73.590000,13.480000,257.110000,13.480000,269.920000,13.810000,74.660000,115.160000,26.380000,7.180000,30.710000,17.800000,100.8297,4.47,78,18.66,43,229.17,18.66,22.78,14.2,45.83,32.67,87,14.22,32.66,32.67,182,42.65,91.13,35

56,13:45-14:00,5.540000,7.410000,73.590000,13.240000,257.110000,13.240000,269.920000,13.560000,74.660000,115.160000,26.380000,7.180000,30.710000,17.800000,97.653808,4.47,76,18.91,44,229.17,18.91,22.62,14.22,45.83,32.67,87,14.22,32.66,32.67,179,42.67,89.99,34

57,14:00-14:15,5.670000,7.860000,73.590000,12.930000,257.110000,12.930000,269.920000,13.250000,74.660000,115.160000,27.340000,6.180000,30.710000,17.800000,93.055584,12.88,75,19.17,42,216.67,19.17,22.52,17.17,43.33,32.67,83,17.17,32.66,32.67,175,51.51,89.26,33

58,14:15-14:30,5.670000,7.860000,73.590000,12.600000,257.110000,12.600000,269.920000,12.910000,74.660000,115.160000,27.340000,6.410000,30.710000,0.000000,87.570838,13.08,73,19.47,42,216.67,19.47,22.44,17.51,43.33,32.67,84,17.5,32.66,32.67,172,52.51,86.31,32

59,14:30-14:45,5.670000,7.860000,73.590000,12.100000,257.110000,12.100000,269.920000,12.410000,74.660000,115.160000,27.340000,7.180000,30.710000,30.710000,81.15086,13.46,70,19.72,41,216.67,19.72,22.37,17.67,43.33,32.67,81,17.67,32.66,32.67,165,53.01,82.93,31

60,14:45-15:00,5.670000,7.860000,73.590000,11.600000,257.110000,11.600000,269.920000,11.890000,74.660000,115.160000,27.340000,7.180000,30.710000,30.710000,74.438622,13.72,67,34.48,41,212.66,34.48,22.28,18.17,42.53,32.67,81,18.17,32.66,32.67,158,54.51,84.02,27

61,15:00-15:15,5.540000,8.170000,73.590000,11.160000,257.110000,11.160000,269.920000,11.440000,74.660000,115.160000,27.340000,7.560000,30.710000,30.710000,57.945416,14.08,66,34.08,39,201.47,34.08,21.51,18.33,40.29,32.67,78,18.34,32.66,32.67,154,55.01,79.72,26

62,15:15-15:30,5.540000,8.170000,73.590000,10.700000,257.110000,10.700000,269.920000,10.960000,74.660000,115.160000,27.340000,7.560000,30.710000,30.710000,49.73291,17.06,63,33.65,39,189.5,33.65,21.43,17.01,37.9,32.67,79,17,32.66,32.67,147,51.01,74.93,25

63,15:30-15:45,5.540000,7.260000,73.590000,10.020000,257.110000,10.020000,269.920000,10.270000,74.660000,115.160000,27.340000,7.560000,30.710000,30.710000,41.120982,16.66,58,33.22,36,176.48,33.22,21.4,17.01,35.29,32.67,73,17,32.66,32.67,137,51.01,69.69,23.5

64,15:45-16:00,5.540000,7.260000,73.590000,9.240000,257.110000,9.240000,269.920000,9.480000,74.660000,115.160000,27.340000,7.560000,30.710000,30.710000,35.421912,16.11,55,32.87,34,162.43,32.87,20.72,16.87,32.48,32.67,69,16.88,32.66,32.67,130,50.62,63.77,22.5

65,16:00-16:15,5.860000,7.260000,73.590000,8.330000,257.110000,8.330000,269.920000,8.540000,74.660000,115.160000,28.300000,6.950000,30.710000,30.710000,30.472976,15.46,49,32.51,32,148.7,32.51,19.24,16.78,29.74,32.67,63,16.79,32.66,32.67,116,50.36,57.71,19.5

66,16:15-16:30,5.860000,7.260000,73.590000,7.360000,257.110000,7.360000,269.920000,7.540000,74.660000,115.160000,28.300000,6.950000,30.710000,30.710000,26.030624,15.06,43,43.51,29,133.83,43.51,18.51,16.73,26.77,32.67,59,16.74,32.66,32.67,102,50.21,51.33,18.5

67,16:30-16:45,5.860000,7.260000,73.590000,6.420000,257.110000,6.420000,269.920000,6.580000,74.660000,115.160000,28.300000,6.950000,30.710000,30.710000,19.211224,13.66,37,42.84,26,119.12,42.84,17.92,16.61,23.82,32.67,53,16.6,32.66,32.67,88,49.81,44.8,16.5

68,16:45-17:00,5.860000,7.260000,73.590000,5.410000,257.110000,5.410000,269.920000,5.560000,74.660000,115.160000,28.300000,6.950000,30.710000,30.710000,17.087468,13.06,31,41.51,24,103.32,41.51,17.02,16.57,20.66,33,47,16.58,33,25,74,49.74,37.92,13.5

69,17:00-17:15,5.360000,7.480000,73.590000,4.420000,257.110000,4.420000,269.920000,4.540000,74.660000,115.160000,28.300000,6.950000,29.920000,29.920000,11.49556,17.11,27,40.51,21,86.94,40.51,19.58,15.48,17.39,30.48,43,15.49,22.31,20,63,46.46,30.86,11.5

70,17:15-17:30,5.360000,7.480000,73.590000,3.400000,257.110000,3.400000,269.920000,3.490000,74.660000,115.160000,28.300000,6.950000,29.920000,29.920000,8.300184,15.73,21,39.51,19,69.29,39.51,18.84,15.08,13.86,20.15,38,15.09,13.9,15,49,45.26,23.99,8.29

71,17:30-17:45,5.360000,7.480000,73.590000,2.550000,257.110000,2.550000,269.920000,2.610000,74.660000,115.160000,28.300000,6.950000,29.920000,29.920000,3.857832,14.53,15,38.51,16,51.3,38.51,18.26,14.73,10.26,14.3,32,14.72,7.81,8.74,35,44.16,17.15,7

72,17:45-18:00,5.360000,7.480000,73.590000,1.740000,257.110000,1.740000,269.920000,1.780000,74.660000,115.160000,28.300000,6.950000,29.920000,29.920000,2.09453,13.33,10,37.17,11,36.82,37.17,17.36,14.44,7.36,5.88,23,14.44,3.27,2.7,25,43.31,11.05,5.17

73,18:00-18:15,5.540000,7.630000,73.590000,1.050000,257.110000,1.050000,269.920000,1.080000,74.660000,115.160000,28.300000,7.330000,30.410000,30.410000,0.53581,11.85,6,35.51,7,25.63,35.51,16.25,14.27,5.13,0,15,14.28,0,0,14,42.83,1.01,2.96

74,18:15-18:30,5.540000,7.630000,73.590000,0.530000,257.110000,0.530000,269.920000,0.530000,74.660000,115.160000,28.300000,7.330000,30.410000,30.410000,0,12.31,3,34.17,5,16.41,34.17,16.05,13.98,3.28,0,9,13.98,0,0,7,41.94,0.33,1.35

75,18:30-18:45,5.540000,7.630000,73.590000,0.130000,257.110000,0.130000,269.920000,0.130000,74.660000,115.160000,28.300000,7.330000,30.410000,30.410000,0,9.67,1,36.84,2,9.57,36.84,15.42,13.61,1.91,0,3,13.61,0,0,4,40.83,0,0.32

76,18:45-19:00,5.540000,7.630000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.330000,30.410000,30.410000,0,9.77,0,35.17,0,4.42,35.17,14.41,13.31,0.88,0,0,13.32,0,0,1,39.96,0,0

77,19:00-19:15,5.720000,7.630000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.870000,30.410000,30.410000,0,9.51,0,32.51,0,2.59,32.51,13.79,13.15,0.52,0,0,13.14,0,0,0,39.42,0,0

78,19:15-19:30,5.720000,7.630000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.870000,30.410000,30.410000,0,9.5,0,31.88,0,1.29,31.88,12.99,11.93,0.26,0,0,11.92,0,0,0,35.77,0,0

79,19:30-19:45,5.720000,7.260000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.870000,30.410000,30.410000,0,9.33,0,30.21,0,0.18,30.21,12.25,10.61,0.03,0,0,10.62,0,0,0,31.85,0,0

80,19:45-20:00,5.720000,7.260000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.870000,30.410000,30.410000,0,14.48,0,28.55,0,0.02,28.55,11.56,9.84,0,0,0,9.84,0,0,0,29.52,0,0

81,20:00-20:15,5.720000,7.030000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.720000,29.270000,29.270000,0,13.59,0,20.55,0,0,20.55,10.49,9.48,0,0,0,9.48,0,0,0,28.44,0,0

82,20:15-20:30,5.720000,7.030000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,7.720000,29.270000,29.270000,0,13.53,0,20.41,0,0,20.41,9.33,9.42,0,0,0,9.43,0,0,0,28.27,0,0

83,20:30-20:45,6.090000,7.030000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,6.950000,29.750000,29.750000,0,13.75,0,20.23,0,0,20.23,8.84,9.22,0,0,0,9.21,0,0,0,27.64,0,0

84,20:45-21:00,6.090000,7.030000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,28.300000,6.950000,29.750000,29.750000,0,14.19,0,19.84,0,0,19.84,8.84,8.63,0,0,0,8.62,0,0,0,25.87,0,0

85,21:00-21:15,6.180000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,27.340000,6.950000,29.750000,29.750000,0,14.51,0,19.21,0,0,19.21,8.84,8.2,0,0,0,8.21,0,0,0,24.62,0,0

86,21:15-21:30,6.180000,6.870000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,27.340000,6.950000,29.750000,29.750000,0,14.32,0,27.64,0,0,27.64,11.21,10.51,0,0,0,10.51,0,0,0,31.53,0,0

87,21:30-21:45,6.180000,6.640000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,27.340000,6.950000,29.750000,29.750000,0,16.33,0,27.22,0,0,27.22,11.55,11.02,0,0,0,11.02,0,0,0,33.06,0,0

88,21:45-22:00,6.180000,6.640000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,27.340000,6.950000,29.750000,29.750000,0,16.42,0,27.01,0,0,27.01,11.75,11.71,0,0,0,11.7,0,0,0,35.11,0,0

89,22:00-22:15,6.090000,6.490000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.410000,6.720000,29.750000,29.750000,0,16.84,0,26.21,0,0,26.21,12.29,11.93,0,0,0,11.92,0,0,0,35.76,0,0

90,22:15-22:30,6.090000,6.490000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.410000,6.720000,29.750000,29.750000,0,12.54,0,25.83,0,0,25.83,12.55,12.28,0,0,0,12.26,0,0,0,36.79,0,0

91,22:30-22:45,6.090000,6.490000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.410000,6.720000,29.940000,29.940000,0,11.74,0,25.76,0,0,25.76,12.95,12.53,0,0,0,12.52,0,0,0,37.58,0,0

92,22:45-23:00,6.090000,6.490000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.410000,6.720000,29.940000,29.940000,0,10.94,0,38.54,0,0,38.54,8.48,9.63,0,0,0,9.62,0,0,0,28.88,0,0

93,23:00-23:15,6.000000,6.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,6.560000,29.940000,29.940000,0,10.14,0,37.55,0,0,37.55,8.63,9.63,0,0,0,9.63,0,0,0,28.89,0,0

94,23:15-23:30,6.000000,6.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,6.560000,29.940000,29.940000,0,7.4,0,36.54,0,0,36.54,8.87,9.62,0,0,0,9.61,0,0,0,28.84,0,0

95,23:30-23:45,6.000000,6.330000,73.590000,0.000000,257.110000,0.000000,269.920000,0.000000,74.660000,115.160000,29.450000,6.560000,29.940000,29.940000,0,7.4,0,35.22,0,0,35.22,8.97,9.6,0,0,0,9.61,0,0,0,28.82,0,0

