,,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,TELANGANA,NA,MANIPUR,NAGALAND,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,NA,
,,B_S_ISPAT_MH,JSPL_DCPP,GBHHPL,SHPPBPL,SKS Raigarh,SHPPBPL,SHPPBPL,Arunachal_Ben,SHPPBPL,SHPPBPL,JPNIGRIE_JNSTPP,Meghalaya_Ben,HP,HP,CHANJUII,KAMENG,SEIL,SHPPBPL,HP,Teesta_III,SHPPBPL,SHPPBPL,HP,NAVABHARAT,APNRL,Manipur_Ben,Nagaland_Ben,ACBIL,Meghalaya_Ben,SHPPBPL,ILFS,TS1PL_BKN,TS1PL_BKN,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,DIAPL,MHIL,NDMC,JHPL-DL,BMDRC,BYPL,BAL184,MAX-HPTL,BRPL,BYPL,BRPL,BYPL,TPDDL,TPDDL,TPDDL,BAL224,BRPL,BRPL,BAL234,AISHER,BRPL,BRPL,TPDDL,STT,BYPL,BRPL,BYPL,UHL,BRPL,BRPL,BYPL,MES (Delhi),
,,West-North,West-North,North-North,North-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,North East-East-North,North-North,North-North,North-North,North East-East-North,South-West-North,North-North,North-North,East-North,North-North,North-North,North-North,South-West-North,East-North,North East-East-North,North East-East-North,West-North,North East-East-North,North-North,South-West-North,North-North,North-North,West-North,
16,03:45-04:00,6.740000,48.180000,28.540000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.970000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,811

17,04:00-04:15,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,809.89

18,04:15-04:30,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,809.89

19,04:30-04:45,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,809.89

20,04:45-05:00,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,12.620000,0.000000,0.000000,0.460000,213.720000,0,0,0,809.89

21,05:00-05:15,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,0,0,0,797.27

22,05:15-05:30,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,0,0,0,797.27

23,05:30-05:45,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,0,0,0,797.27

24,05:45-06:00,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,53.960000,23.120000,12.880000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,0,0,0,797.27

25,06:00-06:15,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.790000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,0,0,0,720.1

26,06:15-06:30,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.790000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,3.5,1.5,0,725.1

27,06:30-06:45,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.790000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,7,3,0,730.1

28,06:45-07:00,6.740000,48.180000,27.520000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.790000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,14,6,0,740.1

29,07:00-07:15,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.690000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,24.5,10.5,0,752.95

30,07:15-07:30,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.690000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,36.4,15.6,0.1,770.05

31,07:30-07:45,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.690000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,51.8,22.2,0.42,792.37

32,07:45:08:00,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.710000,9.920000,0.360000,0.710000,42.740000,12.210000,0.000000,0.000000,12.690000,66.870000,24.090000,0.400000,13.010000,0.000000,0.780000,0.640000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,66.5,28.5,0.42,813.37

33,08:00-08:15,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.600000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,78.4,33.6,0.42,830.29

34,08:15-08:30,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.600000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,93.8,40.2,0.96,852.83

35,08:30-08:45,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.600000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,106.4,45.6,1.54,871.41

36,08:45:09:00,6.740000,48.180000,25.470000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.600000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,117.6,50.4,2.51,888.38

37,09:00:09:15,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,127.4,54.6,3.47,904.28

38,09:15-09:30,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,145.6,62.4,3.47,930.28

39,09:30-09:45,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,155.4,66.6,3.76,944.57

40,09:45-10:00,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.510000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,166.6,71.4,4.05,960.86

41,10:00-10:15,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,175,75,4.2,972.92

42,10:15-10:30,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,180.6,77.4,5.69,982.41

43,10:30-10:45,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,182,78,5.69,984.41

44,10:45-11:00,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.420000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.1,78.9,6.17,987.89

45,11:00-11:15,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.1,78.9,6.94,988.56

46,11:15-11:30,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,182.7,78.3,7.14,986.76

47,11:30-11:45,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.23,989.85

48,11:45-12:00,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.320000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.81,990.43

49,12:00-12:15,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.91,990.45

50,12:15-12:30,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,8.01,990.55

51,12:30-12:45,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,8.29,990.83

52,12:45-13:00,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.240000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.72,990.26

53,13:00-13:15,6.740000,48.180000,26.500000,0.460000,62.630000,0.770000,0.730000,9.920000,0.360000,0.730000,42.740000,12.210000,0.000000,0.000000,12.140000,66.870000,24.090000,0.400000,13.010000,0.000000,0.770000,0.620000,14.450000,115.620000,41.430000,2.890000,0.000000,0.000000,0.000000,0.460000,213.720000,184.8,79.2,7.72,990.16

