Block,Time,LT-31,LT-36,LT-59,L_NR_2020_02,L_NR_2019_19,L_NR_2012_01,LT-05,L_NR_2012_02,L_NR_2012_07,LT-35,LT_MEJA_Delhi,SH-07,L_NR_2012_04,SH-06,L_NR_2019_11,L_NR_2020_07,L_NR_2021_14,L_NR_2019_06,L_NR_2020_06,L_NR_2022_10,L_NR_2021_16,L_NR_2021_12,L_NR_2021_15,L_NR_2019_05,L_NR_2021_13,L_NR_2021_17,L_NR_2022_09,L_NR_2022_08,L_NR_2019_07,L_NR_2018_61,L_NR_2020_05
26,06:15-06:30,0.130000,0.130000,3.580000,4.090000,10.230000,53.160000,70.540000,95.680000,47.560000,0.130000,8.000000,0.000000,193.300000,0.000000,3.610000,1.99,1.25,12.96,1.99,10.25,3.87,2.6,0.8,7.45,0.52,1.93,10.25,2.62,3.71,5.53,5.97

27,06:30-06:45,0.450000,0.460000,3.580000,4.090000,15.190000,53.160000,70.540000,95.680000,47.560000,0.450000,8.000000,0.000000,149.500000,0.000000,3.610000,1.76,3.69,21.36,1.77,10.13,7.54,7.5,1.9,14.45,1.5,3.77,10.13,2.55,10.73,5.5,5.3

28,06:45-07:00,0.940000,0.960000,3.580000,4.090000,21.220000,53.160000,70.540000,95.680000,47.560000,0.940000,8.000000,0.000000,149.500000,0.000000,3.610000,1.68,7.23,33,1.67,10.19,11.98,14.13,3.7,25.48,2.82,5.99,10.19,2.55,16.6,5.52,5.01

29,07:00-07:15,1.630000,1.660000,3.500000,4.090000,28.330000,53.160000,70.540000,95.680000,47.560000,1.630000,8.000000,0.000000,149.500000,0.000000,3.610000,1.45,12.05,33,1.45,10.33,17.13,25.73,6.26,33,5.14,8.57,10.33,2.53,24.9,5.53,4.35

30,07:15-07:30,2.490000,2.550000,3.500000,4.090000,36.530000,53.160000,70.540000,95.680000,47.560000,2.490000,8.000000,0.000000,149.500000,0.000000,3.610000,1.26,18.01,31,1.25,10.25,23.47,43.31,9.5,31,8.66,11.74,10.25,2.53,31,5.56,3.76

31,07:30-07:45,3.620000,3.700000,3.500000,4.090000,43.200000,53.160000,70.540000,95.680000,47.560000,3.620000,8.000000,0.000000,149.500000,0.000000,3.610000,1.18,24.79,31,1.19,10.33,30.85,62.23,12.92,31,12.44,15.42,10.33,2.53,31,5.53,3.56

32,07:45:08:00,4.720000,4.850000,3.500000,4.090000,51.700000,53.160000,70.540000,95.680000,47.560000,4.720000,8.000000,0.000000,149.500000,0.000000,3.610000,0.99,32.3,31,1.01,10.2,38.71,82.5,16.5,31,16.5,19.35,10.2,2.53,31,5.52,3.02

33,08:00-08:15,5.790000,5.940000,3.500000,4.370000,60.120000,53.160000,70.540000,95.680000,47.560000,5.790000,11.460000,0.000000,149.500000,0.000000,3.610000,0.97,42.63,31.33,0.96,10.18,49.34,105.03,25.34,31.34,21.01,24.66,10.18,2.53,31.33,5.49,2.88

34,08:15-08:30,6.870000,7.030000,3.500000,4.370000,68.760000,53.160000,70.540000,95.680000,47.560000,6.870000,11.460000,0.000000,149.500000,0.000000,3.610000,0.83,48.94,31.33,0.84,10.1,56.67,127.8,29.91,31.34,25.56,28.33,10.1,2.53,31.33,5.53,2.51

35,08:30-08:45,7.790000,7.980000,3.500000,4.370000,77.320000,53.160000,70.540000,95.680000,47.560000,7.790000,11.460000,0.000000,149.500000,0.000000,3.610000,0.83,56.51,31.33,0.82,10,68.67,148.78,34.13,31.34,29.76,34.33,10,2.53,31.33,5.5,2.47

36,08:45:09:00,8.910000,9.130000,3.500000,4.370000,85.690000,53.160000,70.540000,95.680000,47.560000,8.910000,11.460000,0.000000,149.500000,0.000000,3.610000,0.82,62.63,31.33,0.81,10.03,72,168.71,37.75,31.34,33.74,36,10.03,2.53,31.33,5.52,2.43

37,09:00:09:15,9.850000,10.100000,3.420000,4.370000,92.650000,53.160000,70.540000,95.680000,47.560000,9.850000,11.460000,2.320000,149.500000,2.320000,3.610000,0.76,69.11,31.33,0.78,10.23,74.67,188.68,40.48,31.34,37.73,37.33,10.23,2.53,31.33,5.53,2.33

38,09:15-09:30,10.530000,10.790000,3.420000,4.370000,96.850000,53.160000,70.540000,95.680000,47.560000,10.530000,11.460000,2.320000,149.500000,2.320000,3.610000,0.75,74.87,31.33,0.76,10.07,75.34,206.66,42.58,31.34,41.33,37.66,10.07,2.53,31.33,5.56,2.28

39,09:30-09:45,11.290000,11.570000,3.420000,4.370000,99.060000,53.160000,70.540000,95.680000,31.890000,11.290000,11.460000,2.320000,193.300000,2.320000,3.610000,0.76,79.88,31.33,0.75,10.3,76,222.07,49.13,31.34,44.41,38,10.3,2.53,31.33,5.53,2.26

40,09:45-10:00,12.040000,12.350000,3.420000,4.370000,100.440000,53.160000,70.540000,95.680000,31.890000,12.040000,11.460000,2.320000,231.960000,2.320000,3.610000,0.76,84.73,31.33,0.75,10.2,76.67,229.38,50,31.34,45.87,38.33,10.2,2.53,31.33,5.52,2.26

41,10:00-10:15,12.730000,13.040000,3.420000,4.270000,102.460000,53.160000,70.540000,95.680000,31.890000,12.730000,11.460000,2.320000,271.830000,2.320000,3.610000,0.76,89.26,31.33,0.75,10.13,76.67,229.38,50,31.34,45.87,38.33,10.13,2.53,31.33,5.49,2.26

42,10:15-10:30,13.300000,13.640000,3.420000,4.270000,105.260000,53.160000,70.540000,95.680000,31.890000,13.300000,11.460000,2.320000,271.830000,2.320000,3.610000,0.76,92.35,31.33,0.75,10.32,77.34,229.38,50,31.34,45.87,38.66,10.32,2.53,31.33,5.53,2.26

43,10:30-10:45,13.800000,14.140000,3.580000,4.270000,107.500000,53.160000,70.540000,95.680000,31.890000,13.800000,11.460000,2.320000,271.830000,2.320000,3.610000,0.76,93.87,31.33,0.75,10.07,78,229.38,50,31.34,45.87,39,10.07,2.53,31.33,5.5,2.26

44,10:45-11:00,14.230000,14.580000,3.580000,4.270000,108.250000,53.160000,70.540000,119.850000,31.890000,14.230000,11.460000,2.320000,271.830000,2.320000,3.610000,0.76,94.95,31.33,0.75,10.03,77.34,229.38,50,31.34,45.87,38.66,10.03,2.53,31.33,5.5,2.26

45,11:00-11:15,16.350000,16.770000,3.580000,4.270000,107.260000,53.160000,70.540000,119.850000,31.890000,16.350000,11.460000,2.320000,271.830000,2.320000,3.540000,0.76,95.51,31.33,0.75,10.26,78.67,229.38,50,31.34,45.87,39.33,10.26,2.53,31.33,5.45,2.26

46,11:15-11:30,16.690000,17.100000,3.580000,4.270000,104.470000,53.160000,70.540000,135.310000,31.890000,16.690000,11.460000,2.320000,271.830000,2.320000,3.540000,0.76,95.58,31.33,0.75,10.2,80.67,229.38,50,31.34,45.87,40.33,10.2,2.53,31.33,5.55,2.26

47,11:30-11:45,16.910000,17.340000,3.580000,4.270000,99.860000,53.160000,70.540000,140.140000,31.890000,16.910000,11.460000,2.320000,271.830000,2.320000,3.540000,1.08,95.56,31.33,1.09,10.33,86.67,229.38,50,31.34,45.87,43.33,10.33,2.53,31.33,5.41,3.26

48,11:45-12:00,17.270000,17.700000,3.580000,4.270000,95.270000,53.160000,70.540000,135.310000,31.890000,17.270000,11.460000,2.320000,271.830000,2.320000,3.540000,1.46,95.55,31.33,1.48,10.13,86,229.38,50,31.34,45.87,43,10.13,2.53,31.33,5.41,4.43

49,12:00-12:15,17.310000,17.740000,3.500000,4.270000,94.640000,53.160000,70.540000,114.200000,31.890000,17.310000,6.390000,2.320000,271.830000,2.320000,3.540000,1.92,95.58,31.33,1.92,10.26,86,229.38,50,31.34,45.87,43,10.26,2.56,31.33,5.46,5.76

50,12:15-12:30,17.340000,17.770000,3.500000,4.270000,94.890000,53.160000,70.540000,114.200000,31.890000,17.340000,6.390000,2.320000,271.830000,2.320000,3.540000,2.29,95.56,31.33,2.27,10.13,85.34,229.38,50,31.34,45.87,42.66,10.13,2.6,31.33,5.6,6.82

51,12:30-12:45,18.350000,18.820000,3.500000,4.270000,97.270000,53.160000,70.540000,100.190000,31.890000,18.350000,6.390000,2.320000,212.630000,2.320000,3.540000,6.78,95.53,31.33,6.78,11.17,82,229.38,50,31.34,45.87,41,11.17,4.41,31.33,5.5,20.33

52,12:45-13:00,18.400000,18.860000,3.500000,4.270000,100.540000,53.160000,70.540000,94.580000,31.890000,18.400000,6.390000,2.320000,193.300000,2.320000,3.540000,6.82,95.43,31.33,6.81,11.22,78.67,229.38,50,31.34,45.87,39.33,11.22,4.41,31.33,6.05,20.43

53,13:00-13:15,18.320000,18.780000,3.500000,4.270000,101.190000,53.160000,70.540000,94.720000,31.890000,18.320000,6.390000,2.320000,151.430000,2.320000,3.690000,6.79,95.38,31.33,6.8,11.25,75.34,229.38,50,31.34,45.87,37.66,11.25,4.41,31.33,6.65,20.39

54,13:15-13:30,18.200000,18.660000,3.500000,4.270000,97.790000,53.160000,70.540000,94.720000,31.890000,18.200000,6.390000,2.320000,151.430000,2.320000,3.690000,6.96,95.42,31.33,6.97,11.84,81.92,229.38,50,31.34,45.87,40.96,11.84,4.41,31.33,7.04,20.91

55,13:30-13:45,17.990000,18.440000,3.500000,4.270000,88.410000,53.160000,70.540000,94.720000,31.890000,17.990000,6.390000,2.320000,151.430000,2.320000,3.690000,6.81,95.18,31.33,6.81,12.32,44,229.38,50,31.34,45.87,22,12.32,4.41,31.33,12.07,20.42

56,13:45-14:00,17.540000,17.980000,3.500000,4.270000,81.770000,53.160000,70.540000,94.720000,31.890000,17.540000,6.390000,2.320000,151.430000,2.320000,3.690000,6.74,94.23,31.33,6.72,12.51,44,226.88,50,31.34,45.37,22,12.51,4.62,31.33,11.78,20.17

57,14:00-14:15,17.250000,17.680000,3.500000,4.370000,75.560000,53.160000,70.540000,94.720000,31.890000,17.250000,6.390000,2.320000,193.300000,2.320000,3.850000,6.78,93.65,31.33,6.78,12.96,48,229.38,50,31.34,45.87,24,12.96,4.76,31.33,11.52,20.33

58,14:15-14:30,16.930000,17.350000,3.500000,4.370000,69.510000,53.160000,70.540000,94.720000,31.890000,16.930000,6.390000,2.320000,231.960000,2.320000,3.850000,6.82,92.52,31.33,6.81,14.01,45.34,229.38,50,31.34,45.87,22.66,14.01,5.57,31.33,11.23,20.43

59,14:30-14:45,16.150000,16.560000,3.500000,4.370000,61.660000,53.160000,70.540000,94.720000,31.890000,16.150000,6.390000,2.320000,231.960000,2.320000,3.850000,6.79,90.64,31.33,6.8,14.98,42.67,229.38,50,31.34,45.87,21.33,14.98,5.89,31.33,10.62,20.39

60,14:45-15:00,15.580000,15.980000,3.500000,4.370000,52.430000,53.160000,70.540000,94.720000,31.890000,15.580000,6.390000,2.320000,231.960000,2.320000,3.850000,6.96,86.34,31.33,6.97,16.07,44,229.38,46.6,31.34,45.87,22,16.07,6.47,31.33,9.99,20.91

61,15:00-15:15,14.890000,15.260000,3.580000,4.650000,60.430000,53.160000,70.540000,94.720000,31.890000,14.890000,6.390000,2.320000,231.960000,2.320000,3.850000,6.81,81.39,31.33,6.81,17.19,42.67,229.38,42.31,31.34,45.87,21.33,17.19,7.37,31.33,9.26,20.42

62,15:15-15:30,14.010000,14.350000,3.580000,4.650000,54.610000,53.160000,70.540000,94.720000,31.890000,14.010000,6.390000,2.320000,231.960000,2.320000,3.850000,6.74,76.8,31.33,6.72,17.89,44.67,144.43,37.92,31.34,28.89,22.33,17.89,8.46,31.33,8.83,20.17

63,15:30-15:45,13.290000,13.620000,3.580000,4.650000,48.370000,53.160000,70.540000,94.720000,31.890000,13.290000,6.390000,2.320000,231.960000,2.320000,3.850000,7.26,70.84,31.33,7.25,15.72,41.34,135.73,38.41,31.34,27.15,20.66,15.72,7.99,31.33,11.43,21.76

64,15:45-16:00,12.330000,12.640000,3.580000,4.650000,42.720000,53.160000,70.540000,94.720000,31.890000,12.330000,6.390000,2.320000,231.960000,2.320000,3.850000,7.27,64.85,31.33,7.26,16.31,42.67,123.18,34.87,31.34,24.64,21.33,16.31,8.19,31.33,11.37,21.79

65,16:00-16:15,9.810000,10.060000,3.580000,4.830000,38.230000,53.160000,70.540000,94.720000,31.890000,9.810000,6.390000,2.320000,231.960000,2.320000,4.000000,7.3,58.83,31.33,7.3,16.91,60.67,62.71,30.76,31.34,12.54,30.33,16.91,8.83,31.33,11.56,21.9

66,16:15-16:30,9.110000,9.330000,3.580000,4.830000,34.580000,53.160000,70.540000,94.720000,31.890000,9.110000,6.390000,2.320000,231.960000,2.320000,4.000000,16.22,52.2,31.33,16.22,18.22,56,58.54,26.62,31.34,11.71,28,18.22,9.3,31.33,19.76,48.65

67,16:30-16:45,7.920000,8.110000,3.730000,4.830000,30.090000,53.160000,70.540000,94.720000,31.890000,7.920000,6.390000,2.320000,231.960000,2.320000,4.000000,15.6,45.05,31.33,15.61,19.59,50,54.38,24.45,31.34,10.87,25,19.59,9.77,31.33,19.76,46.83

68,16:45-17:00,6.830000,7.000000,3.730000,4.830000,26.620000,53.160000,70.540000,94.720000,31.890000,6.830000,6.390000,2.320000,231.960000,2.320000,4.000000,14.91,37.57,31.33,14.91,21.11,46.67,50.21,21.83,31.34,10.04,23.33,21.11,10.19,31.33,19.68,44.72

69,17:00-17:15,5.740000,5.890000,3.730000,4.500000,21.840000,53.160000,70.540000,94.720000,31.890000,5.740000,6.390000,2.320000,193.300000,2.320000,3.770000,14.25,24.12,33,14.24,22.62,40.67,46.04,23.54,33,9.21,20.33,22.62,10.4,23.05,19.59,42.72

70,17:15-17:30,4.660000,4.770000,3.730000,4.500000,16.710000,53.160000,70.540000,94.720000,31.890000,4.660000,6.390000,2.320000,193.300000,2.320000,3.770000,13.41,19.55,33,13.41,23.15,36,41.88,20.04,21.59,8.37,18,23.15,10.5,13.83,19.65,40.22

71,17:30-17:45,3.600000,3.690000,3.730000,4.500000,12.350000,53.160000,70.540000,104.380000,31.890000,3.600000,6.390000,2.320000,149.500000,2.320000,3.770000,12.59,14.69,18.97,12.57,23.63,26.67,37.71,15.21,9.51,7.54,13.33,23.63,10.5,8.06,19.45,37.72

72,17:45-18:00,2.660000,2.710000,3.730000,4.500000,8.280000,53.160000,70.540000,104.380000,31.890000,2.660000,6.390000,2.320000,149.500000,2.320000,3.770000,11.76,9.42,12.03,11.78,24.17,20,33.54,10.81,4.76,6.71,10,24.17,10.62,2.49,19.28,35.33

73,18:00-18:15,1.780000,1.820000,3.730000,4.500000,4.540000,51.380000,70.540000,101.480000,31.570000,1.780000,11.460000,2.320000,149.500000,2.320000,3.770000,10.94,5.44,0,10.94,30.09,13.33,29.38,7.16,0,5.87,6.67,30.09,10.24,0,17.57,32.83

74,18:15-18:30,1.250000,1.290000,3.730000,4.500000,2.130000,51.380000,70.540000,101.480000,31.570000,1.250000,11.460000,2.320000,149.500000,2.320000,3.770000,15.93,2.71,0,15.94,28.42,6.67,25.21,4.28,0,5.04,3.33,28.42,7.22,0,6.62,47.81

75,18:30-18:45,0.000000,0.000000,3.420000,4.500000,0.790000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,2.320000,149.500000,2.320000,3.770000,15.38,0.83,0,15.38,25.21,3.33,17.78,1.73,0,3.56,1.67,25.21,7.29,0,6.6,46.15

76,18:45-19:00,0.000000,0.000000,3.420000,4.500000,0.050000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,2.320000,149.500000,2.320000,3.770000,15.04,0.03,0,15.05,23.43,1.33,4.98,0.33,0,1,0.67,23.43,7.58,0,6.63,45.15

77,19:00-19:15,0.000000,0.000000,3.420000,4.500000,0.000000,51.380000,70.540000,161.630000,31.570000,0.000000,5.810000,2.320000,193.300000,2.320000,3.770000,13.88,0.03,0,13.88,40.37,0.22,1.33,0,0,0.27,0.11,40.37,7.57,0,6.78,41.65

78,19:15-19:30,0.000000,0.000000,3.420000,4.500000,0.000000,51.380000,70.540000,161.630000,31.570000,0.000000,5.810000,2.320000,231.960000,2.320000,3.770000,12.2,0.03,0,12.22,39.16,0,0.09,0,0,0.02,0,39.16,9.59,0,6.7,36.65

79,19:30-19:45,0.000000,0.000000,3.580000,4.500000,0.000000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.770000,10.88,0,0,10.88,37.07,0,0,0,0,0,0,37.07,9.83,0,6.66,32.65

80,19:45-20:00,0.000000,0.000000,3.580000,4.500000,0.000000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.770000,9.95,0,0,9.97,36.23,0,0,0,0,0,0,36.23,9.81,0,6.66,29.9

81,20:00-20:15,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,161.630000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,10.18,0,0,10.17,34.76,0,0,0,0,0,0,34.76,9.77,0,6.6,30.52

82,20:15-20:30,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,231.880000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,10.29,0,0,10.3,31.57,0,0,0,0,0,0,31.57,9.34,0,6.72,30.9

83,20:30-20:45,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,231.880000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,10.17,0,0,10.19,26.84,0,0,0,0,0,0,26.84,8.98,0,6.69,30.56

84,20:45-21:00,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,231.880000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,10.09,0,0,10.08,26.55,0,0,0,0,0,0,26.55,8.65,0,6.62,30.25

85,21:00-21:15,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,231.880000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,10.18,0,0,10.18,25.28,0,0,0,0,0,0,25.28,8.53,0,6.62,30.53

86,21:15-21:30,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,231.880000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,9.88,0,0,9.88,25.08,0,0,0,0,0,0,25.08,8.34,0,6.63,29.65

87,21:30-21:45,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,171.740000,50.580000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,9.4,0,0,9.39,20.04,0,0,0,0,0,0,20.04,8.11,0,6.71,28.17

88,21:45-22:00,0.000000,0.000000,3.580000,4.420000,0.000000,51.380000,70.540000,171.740000,50.580000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,9.16,0,0,9.14,20.45,0,0,0,0,0,0,20.45,7.97,0,6.6,27.43

89,22:00-22:15,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,130.480000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,9.03,0,0,9.02,20.64,0,0,0,0,0,0,20.64,7.36,0,6.7,27.07

90,22:15-22:30,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,162.070000,31.570000,0.000000,5.810000,2.320000,271.830000,2.320000,3.690000,10.97,0,0,10.97,21.93,0,0,0,0,0,0,21.93,6.98,0,6.62,32.92

91,22:30-22:45,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,162.070000,31.570000,0.000000,5.810000,19.330000,271.830000,19.330000,3.690000,11.09,0,0,11.1,23.32,0,0,0,0,0,0,23.32,6.77,0,6.79,33.29

92,22:45-23:00,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,135.310000,31.570000,0.000000,5.810000,19.330000,271.830000,19.330000,3.690000,11.16,0,0,11.17,11.67,0,0,0,0,0,0,11.67,6.64,0,6.73,33.5

93,23:00-23:15,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,19.330000,271.830000,19.330000,3.690000,11.28,0,0,11.27,11.67,0,0,0,0,0,0,11.67,6.56,0,6.64,33.81

94,23:15-23:30,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,19.330000,271.830000,19.330000,3.690000,11.37,0,0,11.38,11.67,0,0,0,0,0,0,11.67,6.41,0,6.7,34.12

95,23:30-23:45,0.000000,0.000000,3.650000,4.320000,0.000000,51.380000,70.540000,101.480000,31.570000,0.000000,5.810000,19.330000,271.830000,19.330000,3.690000,11.28,0,0,11.27,11.67,0,0,0,0,0,0,11.67,6.17,0,6.72,33.81

