Column1,Block,GNA/NR/2025/02/01/9969,GNA/SR/2025/02/01/6460,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/4863,NR/01082024/19092033/Chanju/TPDDL/01082024,NER/2025/2918/A/52975,NR/2024/24418/A/52717,ER/2025/15683/A/52965,NR/2025/24992/A/52713,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/8625,NR/30092023/31122025/SH-07,WR/2025/26047/A/52992,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/2025/25070/A/53006,NR/2025/24882/A/52714,NR/30092023/26122029/SH-06,NR/2025/25230/C,NR/2025/25231/C,Total
29,07:00-07:15,36.48,75,0,36.48,36.48,4.15,1.38,9.16,0.48,7.33,9.6,8.64,0,32,0,0,0,28.8,4.8,32,0,0,322.78

30,07:15-07:30,36.48,75,0,36.48,36.48,4.15,1.38,9.16,0.48,7.33,9.6,8.64,0,32,0,0,0,28.8,4.8,32,0,0,322.78

31,07:30-07:45,43.2,75,0,36.48,36.48,4.15,1.38,9.16,0.48,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,0,0,334.3

32,07:45-08:00,43.2,75,0,36.48,36.48,4.15,1.38,9.16,0.48,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,0,0,334.3

33,08:00-08:15,43.2,75,0,36.48,36.48,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,0,0,334.77000000000004

34,08:15-08:30,43.2,75,0,36.48,36.48,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,0,0,334.77000000000004

35,08:30-08:45,43.2,75,0,36.48,36.48,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,0,0,334.77000000000004

36,08:45-09:00,43.2,75,0,36.48,36.48,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,0,0,334.77000000000004

37,09:00-09:15,43.2,75,0,36.48,36.48,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,24.67,28.13,387.57000000000005

38,09:15-09:30,43.2,75,0,36.48,36.48,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,32,0,0,0,28.8,4.8,32,18.34,34.47,387.58000000000004

39,09:30-09:45,33.6,75,0,33.6,33.6,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,5.08,0,0,0,28.8,4.8,32,14.4,38.4,345.28999999999996

40,09:45-10:00,33.6,75,0,33.6,33.6,4.15,1.47,9.16,0.86,7.33,9.6,13.44,0,19.89,0,0,0,28.8,4.8,32,14.4,38.4,360.09999999999997

41,10:00-10:15,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.12,0,0,0,28.8,3.84,32,10.66,38.4,329.86000000000007

42,10:15-10:30,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.12,0,0,0,28.8,3.84,32,10.95,38.4,330.15000000000003

43,10:30-10:45,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.12,0,0,0,28.8,3.84,32,7.87,38.4,327.07000000000005

44,10:45-11:00,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.12,0,0,0,28.8,3.84,32,8.93,38.4,328.13000000000005

45,11:00-11:15,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,9.6,38.4,324.66

46,11:15-11:30,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,10.08,38.4,325.14

47,11:30-11:45,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,10.27,38.4,325.33

48,11:45-12:00,25.92,75,0,25.92,25.92,4.15,1.38,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,10.66,38.4,325.72

49,12:00-12:15,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,11.04,38.4,326.19

50,12:15-12:30,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,11.62,38.4,326.77

51,12:30-12:45,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.29,38.4,327.44

52,12:45-13:00,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.77,38.4,327.91999999999996

53,13:00-13:15,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,13.15,38.4,328.29999999999995

54,13:15-13:30,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,13.35,38.4,328.5

55,13:30-13:45,25.92,75,0,25.92,25.92,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,11.62,38.4,326.77

56,13:45-14:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,11.81,38.4,318.32

57,14:00-14:15,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12,38.4,318.51

58,14:15-14:30,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.19,38.4,318.7

59,14:30-14:45,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.19,38.4,318.7

60,14:45-15:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.86,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.19,38.4,318.7

61,15:00-15:15,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.67,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.19,38.4,318.41999999999996

62,15:15-15:30,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.67,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.19,38.4,318.41999999999996

63,15:30-15:45,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.67,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.29,38.4,318.52

64,15:45-16:00,23.04,75,0,23.04,23.04,4.15,1.38,9.16,0.67,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.39,38.4,318.61999999999995

65,16:00-16:15,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.58,38.4,318.75999999999993

66,16:15-16:30,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,12.77,38.4,318.94999999999993

67,16:30-16:45,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,17.86,32.64,318.28

68,16:45-17:00,23.04,75,0,23.04,23.04,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,0,0,0,28.8,3.84,26.99,18.43,23.62,309.83

69,17:00-17:15,34.56,75,0,34.56,34.56,4.15,1.47,9.16,0.53,7.33,9.6,8.64,0,26.99,0,0,0,28.8,4.8,26.99,0,0,307.14000000000004

70,17:15-17:30,34.56,75,0,34.56,34.56,4.15,1.47,9.16,0.53,7.33,9.6,8.64,0,26.99,0,0,0,28.8,4.8,26.99,0,0,307.14000000000004

71,17:30-17:45,36.48,75,0,36.48,36.48,4.15,1.47,9.16,0.53,7.33,9.6,8.64,0,26.42,0,0,0,28.8,4.8,32,0,0,317.34000000000003

72,17:45-18:00,36.48,75,0,36.48,36.48,4.15,1.47,9.16,0.53,7.33,9.6,8.64,0,24.45,0,0,0,28.8,4.8,32,0,0,315.37

73,18:00-18:15,36.48,75,0,36.48,36.48,4.15,1.38,9.16,0.53,7.33,9.6,8.64,0,0,38.4,50,200,28.8,4.8,31.88,0,0,579.1099999999998

74,18:15-18:30,36.48,75,0,36.48,36.48,4.15,1.38,9.16,0.53,7.33,9.6,8.64,0,31,38.4,50,200,28.8,4.8,31,0,0,609.2299999999998

75,18:30-18:45,36.48,75,50,36.48,36.48,4.15,1.38,9.16,0.53,7.33,9.6,8.64,0,31,38.4,50,200,28.8,4.8,31,0,0,659.2299999999998

76,18:45-19:00,36.48,75,50,36.48,36.48,4.15,1.38,9.16,0.53,7.33,9.6,8.64,0,31,38.4,50,200,28.8,4.8,31,0,0,659.2299999999998

77,19:00-19:15,36.48,75,50,36.48,36.48,4.15,1.38,9.16,0.62,7.33,9.6,8.64,0,31,38.4,50,200,28.8,4.8,31,0,0,659.3199999999999

78,19:15-19:30,36.48,75,50,36.48,36.48,4.15,1.38,9.16,0.62,7.33,9.6,8.64,0,31,38.4,50,200,28.8,4.8,31,0,0,659.3199999999999

79,19:30-19:45,36.48,75,50,36.48,36.48,4.15,1.38,9.16,0.62,7.33,9.6,8.64,0,32,38.4,50,200,28.8,4.8,32,0,0,661.3199999999999

80,19:45-20:00,36.48,75,50,36.48,36.48,4.15,1.38,9.16,0.62,7.33,9.6,8.64,0,32,38.4,50,200,28.8,4.8,32,0,0,661.3199999999999

81,20:00-20:15,31.68,75,50,31.68,31.68,4.15,1.47,9.16,0.62,7.33,5.76,8.64,0,25.57,38.4,50,150,28.8,3.84,25.57,0,0,579.35

82,20:15-20:30,31.68,75,50,31.68,31.68,4.15,1.47,9.16,0.62,7.33,5.76,8.64,0,25.57,38.4,50,150,28.8,3.84,25.57,0,0,579.35

83,20:30-20:45,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.62,7.33,5.76,8.64,0,25.57,38.4,50,150,28.8,3.84,25.57,0,0,570.71

84,20:45-21:00,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.62,7.33,5.76,8.64,0,25.57,38.4,50,150,28.8,3.84,25.57,0,0,570.71

85,21:00-21:15,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.58,7.33,5.76,8.64,0,26.99,38.4,50,150,28.8,3.84,26.99,0,0,573.5100000000001

86,21:15-21:30,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.58,7.33,5.76,8.64,0,26.99,38.4,50,150,28.8,3.84,26.99,0,0,573.5100000000001

87,21:30-21:45,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.58,7.33,5.76,8.64,0,26.99,38.4,50,150,28.8,3.84,26.99,0,0,573.5100000000001

88,21:45-22:00,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.58,7.33,5.76,8.64,0,26.99,38.4,50,150,28.8,3.84,26.99,0,0,573.5100000000001

89,22:00-22:15,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,561.94

90,22:15-22:30,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,561.94

91,22:30-22:45,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,561.94

92,22:45-23:00,28.8,75,50,28.8,28.8,4.15,1.47,9.16,0.53,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,561.94

93,23:00-23:15,25.92,75,50,25.92,25.92,4.15,1.47,9.16,0.48,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,553.2500000000001

94,23:15-23:30,25.92,75,50,25.92,25.92,4.15,1.47,9.16,0.48,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,553.2500000000001

95,23:30-23:45,25.92,75,50,25.92,25.92,4.15,1.47,9.16,0.48,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,553.2500000000001

96,23:45-24:00,25.92,75,50,25.92,25.92,4.15,1.47,9.16,0.48,7.33,5.76,8.64,0,26.99,38.4,50,150,17.28,3.84,26.99,0,0,553.2500000000001

