Time,Block,ER/2023/8064/C,ER/2023/8065/C,ER/2023/8050/C,NR/2023/13177/D,ER/2023/8072/C,NR/2023/13172/D,NR/2023/13179/D,NR/2023/11953/A,NR/2023/11507/A,NR/2023/12920/F,NR/2023/11266/A,NR/2023/12917/F,NR/2023/12813/F,NR/2023/12923/F,NR/2023/10460/A,NR/2023/10651/A,NR/2023/11447/A,NR/2023/13189/C,NR/2023/13192/C,NR/2023/11712/A,NR/2023/13190/C,NR/2023/10956/A,NR/2023/12661/A,NR/2023/10786/A,NR/2023/12169/A,NR/2023/13203/C,NR/2023/10436/A,NR/2023/10947/A,NR/2023/12915/F,NR/2023/12872/F,NR/2023/10720/A,NR/2023/10959/A,NR/2023/13201/C,NR/2023/12922/F,NR/2023/13173/D,NR/2023/12919/F,NR/2023/12916/F,NR/2023/12706/A,NR/2023/12956/F,NR/2023/12924/F,NR/2023/11709/A,NR/2023/13197/C,NR/2023/12921/F,NR/2023/12814/F,NR/2023/13183/C,Total

3,00:30-00:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,17.200000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,33.660000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.28

4,00:45-01:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,17.200000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,33.660000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.28

5,01:00-01:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,27.530000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.530000,23.700000,21.280000,23.340000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.34

6,01:15-01:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,27.530000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.530000,23.700000,21.280000,23.340000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.34

7,01:30-01:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,27.530000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.530000,23.700000,21.280000,23.340000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.34

8,01:45-02:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,27.530000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.090000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.530000,23.700000,21.280000,23.340000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.34

9,02:00-02:15,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.000000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.19

10,02:15-02:30,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.000000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.19

11,02:30-02:45,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.000000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.19

12,02:45-03:00,0.000000,0.000000,12.680000,0,0.000000,0,0,36.500000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,29.560000,0.000000,64.340000,17.000000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,23.160000,90.000000,0.640000,78.370000,0.000000,1240.19

13,03:00-03:15,0.000000,0.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.900000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,90.000000,0.640000,78.370000,0.000000,1179.36

14,03:15-03:30,0.000000,0.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.900000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,90.000000,0.640000,78.370000,0.000000,1179.36

15,03:30-03:45,0.000000,0.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.900000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,90.000000,0.640000,78.370000,0.000000,1179.36

16,03:45-04:00,0.000000,0.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.900000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,90.000000,0.640000,78.370000,0.000000,1179.36

17,04:00-04:15,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.810000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1142.27

18,04:15-04:30,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.810000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1142.27

19,04:30-04:45,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.810000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1142.27

20,04:45-05:00,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.810000,85.110000,33.860000,98.680000,65.020000,0.000000,24.190000,27.860000,0.360000,0.440000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1142.27

21,05:00-05:15,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.720000,85.110000,33.860000,0.000000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1043.54

22,05:15-05:30,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.720000,85.110000,33.860000,0.000000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1043.54

23,05:30-05:45,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.720000,85.110000,33.860000,0.000000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1043.54

24,05:45-06:00,0.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.720000,85.110000,33.860000,0.000000,65.020000,0.000000,24.190000,27.860000,0.360000,0.480000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1043.54

25,06:00-06:15,50.000000,53.000000,12.680000,0,0.000000,0,0,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.530000,85.110000,33.860000,0.000000,0.000000,0.000000,24.190000,0.000000,0.360000,0.530000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1000.52

26,06:15-06:30,50.000000,53.000000,12.680000,0.38,0.000000,0,0.88,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.530000,85.110000,33.860000,0.000000,0.000000,0.000000,24.190000,0.000000,0.360000,0.530000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1001.78

27,06:30-06:45,50.000000,53.000000,12.680000,1.51,0.000000,0,3.53,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.530000,85.110000,33.860000,0.000000,0.000000,0.000000,24.190000,0.000000,0.360000,0.530000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1005.56

28,06:45-07:00,50.000000,53.000000,12.680000,3.02,0.000000,0.12,7.05,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,28.530000,0.000000,64.340000,16.530000,85.110000,33.860000,0.000000,0.000000,0.000000,24.190000,0.000000,0.360000,0.530000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,0.000000,1010.71

29,07:00-07:15,50.000000,0.000000,12.680000,6.9,0.000000,0.48,16.1,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.440000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,30.000000,1010.05

30,07:15-07:30,50.000000,0.000000,12.680000,9,0.000000,0.71,21,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.440000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,30.000000,1017.28

31,07:30-07:45,50.000000,0.000000,12.680000,9.9,0.000000,1.23,23.1,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.440000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,30.000000,1020.8

32,07:45:08:00,50.000000,0.000000,12.680000,15,0.000000,2.42,35,0.000000,255.340000,0.640000,37.850000,0.720000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.440000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.680000,23.700000,21.280000,13.010000,0.700000,23.810000,0.560000,0.370000,6.770000,4.840000,0.420000,0.000000,0.000000,0.640000,78.370000,30.000000,1038.99

33,08:00-08:15,50.000000,50.000000,12.680000,21,60.000000,2.9,49,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.250000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1169.57

34,08:15-08:30,50.000000,50.000000,12.680000,20.32,60.000000,3.39,47.39,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.250000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1167.77

35,08:30-08:45,50.000000,50.000000,12.680000,24.41,60.000000,3.77,56.97,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.250000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1181.82

36,08:45:09:00,50.000000,50.000000,12.680000,27.9,60.000000,4.06,65.1,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,27.520000,0.000000,64.340000,16.250000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1193.73

37,09:00:09:15,50.000000,50.000000,12.680000,33,60.000000,4.16,77,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.170000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1233.92

38,09:15-09:30,50.000000,50.000000,12.680000,34.5,60.000000,4.2,80.5,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.170000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1238.96

39,09:30-09:45,50.000000,50.000000,12.680000,36.9,60.000000,4.55,86.1,0.000000,255.340000,0.660000,37.850000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.170000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,13.010000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1247.31

40,09:45-10:00,50.000000,50.000000,12.680000,39.9,60.000000,4.64,93.1,0.000000,255.340000,0.660000,25.810000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.170000,85.110000,33.860000,0.000000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,25.050000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1257.4

41,10:00-10:15,50.000000,50.000000,12.680000,42,60.000000,4.74,98,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1355.34

42,10:15-10:30,50.000000,50.000000,12.680000,45,60.000000,4.76,105,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1365.36

43,10:30-10:45,50.000000,50.000000,12.680000,46.09,60.000000,4.84,107.54,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1369.07

44,10:45-11:00,50.000000,50.000000,12.680000,46.09,60.000000,5.32,107.54,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1369.55

45,11:00-11:15,50.000000,50.000000,12.680000,46.5,60.000000,5.71,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1371.31

46,11:15-11:30,50.000000,50.000000,12.680000,46.5,60.000000,6.38,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1371.98

47,11:30-11:45,50.000000,50.000000,12.680000,46.5,60.000000,6.58,108.5,0.000000,255.340000,0.660000,0.000000,0.710000,62.890000,0.420000,23.220000,63.130000,12.710000,26.500000,24.190000,64.340000,16.070000,85.110000,33.860000,90.940000,0.000000,10.000000,24.190000,0.000000,0.360000,0.970000,23.700000,21.280000,50.860000,0.690000,23.810000,0.560000,0.350000,6.770000,4.840000,0.420000,0.000000,0.000000,0.660000,78.370000,30.000000,1372.18

