Time,Block,NR/2023/14986/C,NR/2023/11739/A,NR/2023/13859/A,NR/2023/15003/C,NR/2023/14969/D,NR/2023/13983/F,NR/2023/11697/A,NR/2023/14992/C,NR/2023/13573/A,NR/2023/11458/A,NR/2023/11954/A,NR/2023/14966/D,NR/2023/13858/A,NR/2023/14982/C,NR/2023/14985/C,NR/2023/11654/A,NR/2023/14972/C,NR/2023/11315/A,NR/2023/14971/C,NR/2023/13283/A,NR/2023/14967/D,NR/2023/12646/A,NR/2023/13284/A,NR/2023/14991/C,NR/2023/11470/A,NR/2023/11469/A,NR/2023/14996/C,NR/2023/14989/C,NR/2023/11203/A,NR/2023/14187/F,NR/2023/14980/C,NR/2023/11325/A,NR/2023/14688/F,NR/2023/14984/C,NR/2023/13983/F/II,NR/2023/14974/C,ER/2023/9181/C,NR/2023/14968/D,NR/2023/14688/F/II,NR/2023/11328/A,Total

3,00:30-00:45,0.000000,42.470000,181.010000,0,0,0.630000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,72.400000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,67.580000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,8.690000,0.240000,0.000000,0.000000,0,0.000000,48.270000,1500

4,00:45-01:00,0.000000,42.470000,181.010000,0,0,0.630000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,72.400000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,38.620000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,8.690000,0.240000,0.000000,0.000000,0,0.000000,48.270000,1471.04

5,01:00-01:15,0.000000,42.470000,181.010000,0,0,0.490000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,48.270000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,8.690000,0.180000,0.000000,0.000000,0,0.000000,48.270000,1408.09

6,01:15-01:30,0.000000,42.470000,181.010000,0,0,0.490000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,19.310000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,8.690000,0.180000,0.000000,0.000000,0,0.000000,48.270000,1379.13

7,01:30-01:45,0.000000,42.470000,181.010000,0,0,0.490000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,11.580000,0.180000,0.000000,0.000000,0,0.000000,48.270000,1362.71

8,01:45-02:00,0.000000,42.470000,181.010000,0,0,0.490000,36.780000,91.710000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,11.580000,0.180000,0.000000,0.000000,0,0.000000,48.270000,1362.71

9,02:00-02:15,0.000000,42.470000,181.010000,0,0,0.420000,36.780000,19.310000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,0.000000,0.160000,0.000000,0.000000,0,0.000000,48.270000,1278.64

10,02:15-02:30,0.000000,42.470000,181.010000,0,0,0.420000,36.780000,0.000000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,0.000000,0.160000,0.000000,0.000000,0,0.000000,48.270000,1259.33

11,02:30-02:45,0.000000,42.470000,181.010000,0,0,0.420000,36.780000,0.000000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,0.000000,0.160000,0.000000,0.000000,0,0.000000,48.270000,1259.33

12,02:45-03:00,0.000000,42.470000,181.010000,0,0,0.420000,36.780000,0.000000,0.000000,98.470000,36.420000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,23.100000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,24.140000,0.000000,0.160000,0.000000,0.000000,0,0.000000,48.270000,1259.33

13,03:00-03:15,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,0,20.270000,48.270000,1199.75

14,03:15-03:30,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,0,20.270000,48.270000,1199.75

15,03:30-03:45,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,0,20.270000,48.270000,1199.75

16,03:45-04:00,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,3.860000,0.000000,0.000000,0.000000,0.000000,0,20.270000,48.270000,1199.75

17,04:00-04:15,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1199.76

18,04:15-04:30,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1199.76

19,04:30-04:45,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1199.76

20,04:45-05:00,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,98.470000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1199.76

21,05:00-05:15,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1101.29

22,05:15-05:30,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,1.930000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1101.29

23,05:30-05:45,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1100.33

24,05:45-06:00,0.000000,42.470000,181.010000,0,0,0.530000,36.780000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,0.000000,85.820000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,0,24.140000,48.270000,1100.33

25,06:00-06:15,0.000000,42.470000,181.010000,0,0.6,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,1.4,24.140000,48.270000,979.88

26,06:15-06:30,0.000000,42.470000,181.010000,0,2.7,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,6.3,24.140000,48.270000,986.88

27,06:30-06:45,0.000000,42.470000,181.010000,0,4.5,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,10.5,24.140000,48.270000,992.88

28,06:45-07:00,0.000000,42.470000,181.010000,0,7.5,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,0.970000,22.200000,0.000000,24.140000,0.17,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,3.860000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,17.5,24.140000,48.270000,1003.05

29,07:00-07:15,0.000000,42.470000,181.010000,0,13.5,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,3.860000,22.200000,0.000000,24.140000,0.57,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,31.5,24.140000,48.270000,1023.45

30,07:15-07:30,0.000000,42.470000,181.010000,0,16.5,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,3.860000,22.200000,0.000000,24.140000,0.87,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,0.000000,38.5,24.140000,48.270000,1033.75

31,07:30-07:45,0.000000,42.470000,181.010000,0,21,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,3.860000,22.200000,0.000000,24.140000,1.1,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,50.000000,49,24.140000,48.270000,1098.98

32,07:45:08:00,0.000000,42.470000,181.010000,0,24.3,0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,3.860000,22.200000,0.000000,24.140000,1.52,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,50.000000,56.7,24.140000,48.270000,1110.4

33,08:00-08:15,0.000000,42.470000,181.010000,0,28.5,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,3.860000,22.200000,0.000000,24.140000,2.06,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,50.000000,66.5,24.140000,48.270000,1125.23

34,08:15-08:30,0.000000,42.470000,181.010000,0,33,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,3.860000,22.200000,0.000000,24.140000,2.27,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,50.000000,77,24.140000,48.270000,1140.44

35,08:30-08:45,0.000000,42.470000,181.010000,0,36.6,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,6.760000,22.200000,0.000000,24.140000,2.72,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,50.000000,85.4,24.140000,48.270000,1155.79

36,08:45:09:00,0.000000,42.470000,181.010000,0,40.2,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,6.760000,22.200000,0.000000,24.140000,2.8,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,0.000000,50.000000,93.8,24.140000,48.270000,1167.87

37,09:00:09:15,0.000000,42.470000,181.010000,0,42.6,0.970000,0.000000,0.000000,62.750000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,6.760000,22.200000,5.790000,24.140000,3.44,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,99.4,24.140000,48.270000,1253.26

38,09:15-09:30,0.000000,42.470000,181.010000,0,45.9,0.970000,0.000000,0.000000,62.750000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,5.790000,24.140000,4.44,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,107.1,24.140000,48.270000,1266.22

39,09:30-09:45,0.000000,42.470000,181.010000,0,48.9,0.970000,0.000000,0.000000,62.750000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,5.790000,24.140000,4.63,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,114.1,24.140000,48.270000,1276.41

40,09:45-10:00,0.000000,42.470000,181.010000,0,51.6,0.970000,0.000000,0.000000,62.750000,0.000000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,5.790000,24.140000,4.83,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,120.4,24.140000,48.270000,1285.61

41,10:00-10:15,0.000000,42.470000,181.010000,0,54,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,5.790000,24.140000,5.02,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,126,24.140000,48.270000,1384.55

42,10:15-10:30,0.000000,42.470000,181.010000,0,57,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.21,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,133,24.140000,48.270000,1404.88

43,10:30-10:45,0.000000,42.470000,181.010000,0,60,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.41,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,140,24.140000,48.270000,1415.08

44,10:45-11:00,0.000000,42.470000,181.010000,0,63,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.6,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,147,24.140000,48.270000,1425.27

45,11:00-11:15,0.000000,42.470000,181.010000,0,64.8,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.79,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,151.2,24.140000,48.270000,1431.46

46,11:15-11:30,0.000000,42.470000,181.010000,0,66.3,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.99,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,154.7,24.140000,48.270000,1436.66

47,11:30-11:45,0.000000,42.470000,181.010000,0,68.1,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,6.18,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,158.9,24.140000,48.270000,1442.85

48,11:45-12:00,0.000000,42.470000,181.010000,0,69,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,6.37,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,161,24.140000,48.270000,1446.04

49,12:00-12:15,0.000000,42.470000,181.010000,0,72,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,6.56,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,168,24.140000,48.270000,1456.23

50,12:15-12:30,0.000000,42.470000,181.010000,0,73.5,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,6.76,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,171.5,24.140000,48.270000,1461.43

51,12:30-12:45,0.000000,42.470000,181.010000,0,73.5,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,6.95,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,171.5,24.140000,48.270000,1461.62

52,12:45-13:00,0.000000,42.470000,181.010000,0,73.5,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,6.28,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,50.000000,171.5,24.140000,48.270000,1460.95

53,13:00-13:15,0.000000,42.470000,181.010000,0,73.5,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.79,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,0.000000,171.5,24.140000,48.270000,1410.46

54,13:15-13:30,0.000000,42.470000,181.010000,0,73.5,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,5.31,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,0.000000,171.5,24.140000,48.270000,1409.98

55,13:30-13:45,0.000000,42.470000,181.010000,0,73.5,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,4.83,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,0.000000,171.5,24.140000,48.270000,1409.5

56,13:45-14:00,0.000000,42.470000,181.010000,0,72,0.970000,0.000000,0.000000,62.750000,90.750000,0.000000,193.080000,84.470000,0.000000,0.000000,152.530000,7.720000,22.200000,15.930000,24.140000,4.34,0.000000,0.000000,0.000000,21.230000,84.940000,0.000000,6.760000,62.990000,0.970000,0.000000,24.140000,0.000000,0.000000,0.000000,8.210000,0.000000,168,24.140000,48.270000,1404.01

