Column1,Block,NR/2025/32532/A/100004,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/100045,NR/2025/32535/A/100009,NR/2025/33637/A/100025,NR/2025/32534/A/100006,NR/2025/33632/A/100029,NR/2025/32534/A/100005,NR/2025/32532/A/100003,NR/2025/33633/A/100027,NR/2025/32535/A/100008,NR/2025/34392/C,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/4452,NR/2025/34336/C,NR/30092023/26122029/SH-06,NR/2025/34374/C,NR/2025/34335/C,GNA/NR/2025/08/01/6209,NR/2025/34371/C,NR/2025/31043/A/100069,GNA/NR/2025/08/01/1196,NR/2025/34372/C,NR/2025/34361/C,NR/2025/34078/A/99684,NR/2025/34362/C,NR/2025/34363/C,NR/2025/34334/C,NR/2025/31045/A/100070,NR/2025/31049/A/100072,NR/2025/32559/A/99977,NR/2025/31048/A/100071,NR/2025/32610/A/99976,NR/2025/29992/A/99691,NR/2025/32262/A/99611,NR/2025/32375/A/100111,NR/2025/32397/A/99588,NR/2025/29440/A/99573,NR/2025/32455/A/100140,NR/2025/34247/A/100064,NR/2025/32556/A/99978,NR/2025/32004/A/99981,NR/2025/31421/A/100114,NR/2025/34263/A/100073,NR/2025/34359/C,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,Total
16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,96.21,19.24,0,0,12.51,0,0,0,0,0,26.24,96.21,26.24,44.26,54.12,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1308.3799999999999

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,12.51,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1061.84

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,12.51,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1061.84

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,12.51,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1061.84

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,12.51,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1061.84

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,12.51,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1061.84

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,12.51,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1061.84

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1060.8799999999999

24,05:45-06:00,0,0,0,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,163.8,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,8.66,0.53,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1060.8799999999999

25,06:00-06:15,0,0.42,1,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.82,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1082.55

26,06:15-06:30,0,0.83,3,0,0,0,0,0,0,0,0,0,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.82,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1084.96

27,06:30-06:45,0,3.1,6,0,0,0,0,0,0,0,0,0.84,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.82,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1091.07

28,06:45-07:00,0,4.64,11,0,0,0,0,0,0,0,0,1.38,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.82,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1098.15

29,07:00-07:15,0,6.71,18,0,0,0,0,0.01,0.03,0,0.01,1.97,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.87,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1107.91

30,07:15-07:30,0,9.12,25,0,0,0,0,0.05,0.09,0,0.05,2.97,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.87,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1118.46

31,07:30-07:45,0,11.8,21,0,0,0,0,0.07,0.14,0,0.07,3.86,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.87,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1118.12

32,07:45-08:00,0,14.76,28,0,0,0,0,0.13,0.48,0,0.1,5.25,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.87,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1129.9

33,08:00-08:15,0,18.3,32,0,1.64,0,1.15,0.19,0.48,0,0.13,6.19,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.96,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1141.35

34,08:15-08:30,0,23.81,35,0,1.64,0,1.15,0.24,0.48,0,0.15,8.53,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,11.55,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.96,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1152.27

35,08:30-08:45,0,29.24,39,0,1.64,0,1.15,0.29,0.48,0,0.19,5.88,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.96,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1161.0600000000002

36,08:45-09:00,0,34.56,42,0,1.64,0,1.15,0.29,0.48,0,0.19,5.88,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,0,0,19.24,0,0,13.47,0,0,0,0,0,26.24,0,26.24,44.26,0,48.1,0,0.96,0,163.56,26.24,76.6,48.1,81.78,0,8.66,17.32,1169.38

37,09:00-09:15,0,39.4,49,0,1.64,0,1.15,0.29,0.48,0,0.19,5.88,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1250.59

38,09:15-09:30,0,44.19,56,0,1.64,0,1.15,0.29,0.48,0,0.19,6.86,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1263.36

39,09:30-09:45,0.09,45.07,46,0.06,1.64,0.07,1.15,0.29,0.48,0,0.19,6.86,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1254.46

40,09:45-10:00,0.04,49.07,46,0.03,1.64,0.03,1.15,0.18,0.48,0,0.13,7.83,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1259.1399999999999

41,10:00-10:15,0.01,64.73,70,0.01,1.64,0.01,1.15,0.16,0.48,1.44,0.11,7.83,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1300.1299999999999

42,10:15-10:30,0.13,68.1,77,0.08,1.64,0.09,1.15,0.15,0.48,1.44,0.11,7.83,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1310.76

43,10:30-10:45,0,70.83,70,0.38,1.64,0,1.15,0.12,0.48,1.44,0.08,11.54,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1310.2199999999998

44,10:45-11:00,0,72.96,70,0.38,1.64,0,1.15,0.1,0.16,1.44,0.07,12.82,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1313.2799999999997

45,11:00-11:15,0,88.26,46,0.38,1.64,0,1.15,0.12,0.19,1.44,0.08,14.09,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1305.9099999999999

46,11:15-11:30,0,89.95,49,0.38,1.64,0,1.15,0.05,0.09,1.44,0.04,15.53,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1311.83

47,11:30-11:45,0,84.41,49,0.38,1.64,0,1.15,0,0,1.44,0.19,16.9,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1307.6699999999998

48,11:45-12:00,0,85.77,49,0.38,1.64,0,1.15,0,0,1.44,0.19,18.18,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1310.31

49,12:00-12:15,0,87.4,77,0.38,1.64,0,1.15,0.24,0.4,1.44,0.19,19.37,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1341.77

50,12:15-12:30,0,88.84,77,0.38,1.64,0,1.15,0.29,0.48,1.44,0.19,19.67,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1343.6399999999999

51,12:30-12:45,0,90.07,84,0.38,1.64,0,1.15,0.29,0.48,1.44,0.19,19.93,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1352.1299999999999

52,12:45-13:00,0,91.6,88,0.38,1.64,0,1.15,0.29,0.48,1.44,0.19,20.2,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1357.9299999999998

53,13:00-13:15,0,90.73,98,0.38,1.64,0,1.15,0.29,0.48,1.44,0.19,8.81,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1355.6699999999998

54,13:15-13:30,0,89.33,98,0.38,1.64,0,1.15,0.29,0.48,1.44,0.19,8.81,14.58,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,14.58,28.93,1354.2699999999998

55,13:30-13:45,0.5,87.49,112,0.34,1.64,0.34,1.15,0.29,0.48,1.44,0.19,8.81,8.66,0,20.44,20.44,0,81.78,40.89,20.76,15.25,0,0,192.42,0,81.78,48.1,0,19.24,48.1,43.73,13.47,43.73,37.18,163.56,0,0,0,0,0,44.26,0,0,0,0.96,0,0,0,0,0,81.78,76.6,8.66,17.32,1343.78

