Time,Block,NR/2024/20492/C,NR/2024/20142/A/20482,NR/2024/20497/C,NR/2024/19637/A/20462,NR/2024/20496/C,NR/2024/19683/A/20390,NR/2024/20212/A/20485,NR/2024/20037/A/20434,NR/2024/20141/A/20481,NR/2024/20350/A/20245,NR/2024/19588/A/20682,NR/2024/19355/A/20848,NR/2024/20090/A/20359,NR/2024/20041/A/20835,NR/2024/19791/A/20756,NR/2024/20144/A/20483,NR/2024/20052/A/20246,NR/2024/20476/C,NR/2024/20050/A/20837,NR/2024/19757/A/20711,NR/2024/19779/A/20621,NR/2024/19760/A/20435,NR/2024/19432/A/20714,NR/2024/20048/A/20840,NR/2024/19918/A/20755,NR/2024/20130/A/20453,NR/2024/19919/A/20757,NR/2024/20475/C,NR/2024/20031/A/20710,NR/2024/19475/A/20685,NR/2024/20034/A/20709,NR/2024/20033/A/20712,NR/2024/19966/A/20471,NR/2024/20109/A/20847,NR/2024/20211/A/20484,NR/2024/20493/C,NR/2024/20478/C,Total

3,00:30-00:45,192.980000,0.520000,0.000000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1951.93

4,00:45-01:00,192.980000,0.520000,0.000000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1951.93

5,01:00-01:15,48.240000,0.520000,0.000000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1807.19

6,01:15-01:30,48.240000,0.520000,0.000000,0.000000,144.740000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1807.19

7,01:30-01:45,48.240000,0.520000,0.000000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,166.930000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1662.45

8,01:45-02:00,48.240000,0.520000,0.000000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,149.850000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,43.850000,192.980000,43.850000,14.620000,0.000000,241.220000,1.590000,77.190000,0,1645.37

9,02:00-02:15,0.000000,0.520000,22.210000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,241.220000,1.590000,0.000000,0,1488.3

10,02:15-02:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,241.220000,1.590000,0.000000,0,1514.33

11,02:30-02:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,241.220000,1.590000,0.000000,0,1514.33

12,02:45-03:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.630000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,241.220000,1.590000,0.000000,0,1514.33

13,03:00-03:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

14,03:15-03:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

15,03:30-03:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

16,03:45-04:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

17,04:00-04:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

18,04:15-04:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

19,04:30-04:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

20,04:45-05:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,308.770000,0.000000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1456.34

21,05:00-05:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1240.2

22,05:15-05:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1240.2

23,05:30-05:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1240.2

24,05:45-06:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,90.460000,48.610000,0.530000,0.000000,24.120000,30.150000,13.510000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1240.2

25,06:00-06:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.530000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1106.08

26,06:15-06:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.530000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0,1106.08

27,06:30-06:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.530000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,0.57,1106.65

28,06:45-07:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.530000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,1.03,1107.11

29,07:00-07:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.680000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,1.23,1107.46

30,07:15-07:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.680000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,1.3,1107.53

31,07:30-07:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.680000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,1.35,1107.58

32,07:45:08:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,8.680000,111.350000,0.000000,48.610000,0.680000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,1.69,1107.92

33,08:00-08:15,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,2.09,1303.88

34,08:15-08:30,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,0.000000,24.120000,0.000000,0.000000,0.480000,73.330000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,2.12,1303.91

35,08:30-08:45,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,0.000000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,2.32,1352.35

36,08:45:09:00,0.000000,0.520000,48.240000,0.000000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,0.000000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,0.000000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,37.270000,192.980000,37.270000,12.430000,0.000000,183.330000,1.590000,0.000000,2.36,1352.39

37,09:00:09:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,2.56,1527.14

38,09:15-09:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,3.09,1527.67

39,09:30-09:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,3.33,1527.91

40,09:45-10:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,9.650000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,3.67,1528.25

41,10:00-10:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,4.44,1532.88

42,10:15-10:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,5.02,1533.46

43,10:30-10:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,5.22,1533.66

44,10:45-11:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,5.41,1533.85

45,11:00-11:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,5.55,1533.99

46,11:15-11:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,5.84,1534.28

47,11:30-11:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,6.04,1534.48

48,11:45-12:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,0.000000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,6.28,1534.72

49,12:00-12:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,7,1548.95

50,12:15-12:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,7.53,1549.48

51,12:30-12:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,8.06,1550.01

52,12:45-13:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,8.5,1550.45

53,13:00-13:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,7.92,1549.87

54,13:15-13:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,7.34,1549.29

55,13:30-13:45,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,6.95,1548.9

56,13:45-14:00,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,242.920000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,6.37,1548.32

57,14:00-14:15,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,6.04,1353.68

58,14:15-14:30,0.000000,0.520000,48.240000,24.120000,0.000000,1.930000,0.610000,72.370000,0.350000,0.000000,66.760000,96.490000,1.930000,48.240000,64.730000,0.880000,13.510000,111.350000,0.000000,48.610000,0.960000,48.240000,24.120000,0.000000,13.510000,0.480000,121.570000,19.300000,43.850000,192.980000,43.850000,14.620000,38.600000,183.330000,1.590000,0.000000,5.02,1352.66

