Column1,Block,NR/2024/22730/C,NR/2024/22611/A/33423,NR/2024/22610/A/33424,NR/2024/22623/A/33416,NR/2024/22014/A/33340,NR/2024/21961/A/33654,NR/2024/21938/A/33655,SR/2024/13979/C,NR/2024/21970/A/33674,NR/2024/22042/A/33342,NR/2024/21911/A/33638,NR/2024/21943/A/33703,NR/2024/22010/A/33695,NR/2024/21918/A/33687,NR/2024/22279/A/33347,NR/2024/21956/A/33706,NR/2024/21814/A/33677,NR/2024/21860/A/33646,NR/2024/22498/A/33692,NR/2024/21966/A/33422,NR/2024/21968/A/33673,NR/2024/21983/A/33400,NR/2024/21974/A/33676,NR/2024/21971/A/33675,NR/2024/22731/C,NR/2024/22732/C,NR/2024/22728/C,NR/2024/21658/A/33362,NR/2024/21933/A/33402,NR/30092023/31122025/SH-07,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),GNA/NR/2024/08/23/3049,GNA/NR/2024/08/23/7719,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/23/8350,NR/01082024/31082024/SKS-Raigarh,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21954/A/33704,NR/2024/21940/A/33705,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,Total
3,00:30-00:45,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,21.7123,48.28,125.54,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1680.2623

4,00:45-01:00,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,21.7123,48.28,125.54,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1680.2623

5,01:00-01:15,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,21.7123,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1554.6723000000002

6,01:15-01:30,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,21.7123,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1554.6723000000002

7,01:30-01:45,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,25.9717,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1558.9317

8,01:45-02:00,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,25.9717,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1558.9317

9,02:00-02:15,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,25.9717,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1558.9317

10,02:15-02:30,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,25.9614,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,32,24.68,1558.9214000000002

11,02:30-02:45,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,26.8708,24.68,1554.7016

12,02:45-03:00,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,38.63,0,12.44,16.41,24.07,84.19,26.8708,24.68,1554.7016

13,03:00-03:15,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1515.6116

14,03:15-03:30,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1515.6116

15,03:30-03:45,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1515.6116

16,03:45-04:00,0,0,0,8.69,1.93,97.78,32.59,0,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.58,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1515.6116

17,04:00-04:15,0,0,0,8.69,1.93,97.78,32.59,28.97,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1544.5315999999996

18,04:15-04:30,0,0,0,8.69,1.93,97.78,32.59,124.58,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1640.1415999999997

19,04:30-04:45,0,0,0,8.69,1.93,97.78,32.59,134.23,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1649.7915999999998

20,04:45-05:00,0,0,0,8.69,1.93,97.78,32.59,143.89,12.44,3.86,0,38.63,11.72,90.78,4.83,67.6,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1659.4515999999996

21,05:00-05:15,0,0,0,8.69,1.93,97.78,32.59,105.26,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1577.3615999999997

22,05:15-05:30,0,0,0,8.69,1.93,97.78,32.59,110.09,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1582.1915999999999

23,05:30-05:45,0,0,0,8.69,1.93,97.78,32.59,114.92,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1587.0215999999998

24,05:45-06:00,0.01,0,0,7.73,1.93,97.78,32.59,121.68,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.53,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1592.8315999999998

25,06:00-06:15,0.03,0,0,7.73,1.93,0,0,136.16,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1476.6016

26,06:15-06:30,0.04,0,0,7.73,1.93,0,0,131.34,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1471.7916

27,06:30-06:45,0.06,0,0,7.73,1.93,0,0,136.16,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1476.6316

28,06:45-07:00,0.1,0,0,7.73,1.93,0,0,145.82,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.63,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1486.3316

29,07:00-07:15,0.56,0,0,7.73,1.93,0,0,116.85,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1457.9116

30,07:15-07:30,0.86,0,0,7.73,1.93,0,0,119.75,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1461.1116

31,07:30-07:45,1.14,0,0,7.73,1.93,0,0,139.06,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1480.7015999999999

32,07:45-08:00,1.55,0,0,7.73,1.93,0,0,158.37,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.72,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1500.4216

33,08:00-08:15,1.86,0,0,8.69,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.97,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1343.5716

34,08:15-08:30,1.98,0,0,8.69,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.97,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1343.6915999999999

35,08:30-08:45,1.99,0,0,8.69,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.97,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1343.7015999999999

36,08:45-09:00,2.88,0,0,9.66,1.93,0,0,0,12.44,3.86,0,38.63,11.72,90.78,4.83,24.14,48.28,48.28,0,0,37.3,0,37.3,37.3,28.01,164.41,241.42,0.97,0,26.8708,48.28,0,0,24.14,96.57,21.25,0,96.57,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1345.5616

37,09:00-09:15,3.85,10.62,42.49,9.66,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1399.6415999999997

38,09:15-09:30,5.29,10.62,42.49,11.59,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1403.0115999999998

39,09:30-09:45,3.71,10.62,42.49,11.59,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1401.4315999999997

40,09:45-10:00,4.12,10.62,42.49,11.59,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.49,24.07,84.19,26.8708,24.68,1401.8415999999997

41,10:00-10:15,5.72,10.62,42.49,11.59,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1403.2615999999998

42,10:15-10:30,4.13,10.62,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1402.6315999999997

43,10:30-10:45,5.36,10.62,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1403.8615999999997

44,10:45-11:00,4.11,10.62,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1402.6115999999997

45,11:00-11:15,5.77,8.59,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1402.2415999999996

46,11:15-11:30,6.39,8.4,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1402.6715999999997

47,11:30-11:45,5.27,8.11,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1401.2615999999998

48,11:45-12:00,7.11,7.82,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1402.8115999999998

49,12:00-12:15,7.12,7.63,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1402.6315999999997

50,12:15-12:30,8.83,7.63,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1404.3415999999997

51,12:30-12:45,9.66,7.82,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1405.3615999999997

52,12:45-13:00,7.3,8.02,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1403.2015999999996

53,13:00-13:15,7.31,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1405.7215999999996

54,13:15-13:30,8.97,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1407.3815999999997

55,13:30-13:45,7,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1405.4115999999997

56,13:45-14:00,6.83,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.31,24.07,84.19,26.8708,24.68,1405.2415999999996

57,14:00-14:15,4.3,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1403.3515999999997

58,14:15-14:30,5.21,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1404.2615999999998

59,14:30-14:45,7.64,10.53,42.49,12.55,1.93,0,0,0,12.44,3.86,96.57,38.63,11.72,90.78,4.83,24.14,48.28,48.28,21.25,96.57,37.3,48.28,37.3,37.3,28.01,164.41,241.42,0.97,24.14,26.8708,0,0,0,0,0,0,0,0,0,0,12.44,15.95,24.07,84.19,26.8708,24.68,1406.6915999999999

