Time,Block,NR/2024/19918/A/20338,NR/2024/20037/A/20037,NR/2024/20034/A/20398,NR/2024/20438/C,NR/2024/20144/A/20081,NR/2024/20041/A/20296,NR/2024/19355/A/20455,NR/2024/20052/A/19847,NR/2024/20439/C,NR/2024/19683/A/19976,NR/2024/19966/A/20056,NR/2024/20431/C,NR/2024/20419/C,NR/2024/20109/A/20454,NR/2024/19757/A/20402,NR/2024/20048/A/20295,NR/2024/20142/A/20080,NR/2024/20090/A/19940,NR/2024/20212/A/20077,NR/2024/19432/A/20416,NR/2024/20436/C,NR/2024/20211/A/20078,NR/2024/20130/A/20067,NR/2024/20350/A/20060,NR/2024/19475/A/20302,NR/2024/20420/C,NR/2024/19637/A/20052,NR/2024/19760/A/20039,NR/2024/20031/A/20400,NR/2024/19699/A/20412,NR/2024/20141/A/20079,NR/2024/20441/C,NR/2024/20050/A/20294,NR/2024/19779/A/20219,NR/2024/19791/A/20339,NR/2024/19588/A/20066,NR/2024/20033/A/20404,NR/2024/20442/C,NR/2024/20418/C,Total
56,13:45-14:00,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,242.920000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,57.890000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,1.83,1414.98

57,14:00-14:15,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.69,1223.46

58,14:15-14:30,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,3.22,1223.99

59,14:30-14:45,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,3.5,1224.27

60,14:45-15:00,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,4.42,1225.19

61,15:00-15:15,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,3.99,1224.76

62,15:15-15:30,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.75,1223.52

63,15:30-15:45,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,1.72,1222.49

64,15:45-16:00,13.510000,36.180000,43.850000,0.000000,0.880000,48.240000,96.490000,13.510000,0.000000,1.930000,38.600000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,24.120000,48.240000,43.850000,48.240000,0.350000,0.000000,0.000000,0.960000,64.730000,66.760000,14.620000,0,2.33,1223.1

65,16:00-16:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,3.85,1065.28

66,16:15-16:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,3.97,1065.4

67,16:30-16:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,3.54,1064.97

68,16:45-17:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,59.820000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,1.99,1063.42

69,17:00-17:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,35.700000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,1.55,1038.86

70,17:15-17:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,35.700000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,1.25,1038.56

71,17:30-17:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,35.700000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0.79,1038.1

72,17:45-18:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,111.250000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,35.700000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0.42,1037.73

73,18:00-18:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,26.050000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0.22,1083.56

74,18:15-18:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,26.050000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1083.34

75,18:30-18:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,26.050000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1083.34

76,18:45-19:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,183.330000,48.610000,0.000000,0.520000,1.930000,0.610000,14.590000,0.000000,1.590000,0.480000,0.000000,192.980000,26.050000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1083.34

77,19:00-19:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1112.71

78,19:15-19:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1112.71

79,19:30-19:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1112.71

80,19:45-20:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,13.510000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,0.000000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1112.71

81,20:00-20:15,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1254.55

82,20:15-20:30,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1254.55

83,20:30-20:45,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1254.55

84,20:45-21:00,13.510000,36.180000,43.850000,0.000000,0.880000,0.000000,96.490000,8.680000,0.000000,1.930000,0.000000,0.000000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,0.000000,0.000000,0.820000,64.730000,66.760000,14.620000,0,0,1254.55

85,21:00-21:15,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,0.000000,0.770000,64.730000,66.760000,14.620000,0,0,1513.1

86,21:15-21:30,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,0.000000,0.770000,64.730000,66.760000,14.620000,0,0,1513.1

87,21:30-21:45,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,0.000000,0.770000,64.730000,66.760000,14.620000,0,0,1513.1

88,21:45-22:00,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,166.930000,241.220000,48.610000,0.000000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,1.930000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,0.000000,0.770000,64.730000,66.760000,14.620000,0,0,1513.1

89,22:00-22:15,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.720000,64.730000,66.760000,14.620000,27.04,0,1603.09

90,22:15-22:30,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.720000,64.730000,66.760000,14.620000,28.01,0,1604.06

91,22:30-22:45,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,55.960000,90.460000,0.720000,64.730000,66.760000,14.620000,28.97,0,1605.02

92,22:45-23:00,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,28.950000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,60.790000,90.460000,0.720000,64.730000,66.760000,14.620000,30.91,0,1611.79

93,23:00-23:15,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,57.890000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,60.790000,90.460000,0.630000,64.730000,66.760000,14.620000,30.91,0,1640.64

94,23:15-23:30,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,57.890000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,60.790000,90.460000,0.630000,64.730000,66.760000,14.620000,31.87,0,1641.6

95,23:30-23:45,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,57.890000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,60.790000,90.460000,0.630000,64.730000,66.760000,14.620000,31.87,0,1641.6

96,23:45-24:00,13.510000,36.180000,43.850000,28.950000,0.880000,0.000000,96.490000,8.680000,144.740000,1.930000,0.000000,57.890000,111.250000,241.220000,48.610000,30.150000,0.520000,1.930000,0.610000,12.120000,144.740000,1.590000,0.480000,0.000000,192.980000,0.000000,0.000000,0.000000,43.850000,48.240000,0.350000,60.790000,90.460000,0.630000,64.730000,66.760000,14.620000,32.84,0,1642.57

