Time,Block,NR/2023/11959/F,NR/2023/12764/C,NR/2023/10613/A,NR/2023/10229/A,NR/2023/11284/A,NR/2023/12763/C,NR/2023/11955/F,NR/2023/10487/A,NR/2023/10434/A,NR/2023/11947/F,NR/2023/12761/C,NR/2023/11963/F,NR/2023/11956/F,NR/2023/11957/F,NR/2023/12760/C,NR/2023/11643/A,NR/2023/10236/A,NR/2023/11960/F,NR/2023/11862/F,NR/2023/10944/A,NR/2023/11952/F,NR/2023/12738/D,NR/2023/11961/F,NR/2023/11958/F,NR/2023/12743/D,NR/2023/11476/A,NR/2023/11330/A,NR/2023/12656/F,NR/2023/11962/F,NR/2023/10611/A,NR/2023/11941/F,NR/2023/10173/A,NR/2023/11642/A,NR/2023/11342/A,NR/2023/12750/C,NR/2023/11640/A,NR/2023/12759/C,NR/2023/10344/A,NR/2023/10223/A,ER/2023/7765/C,NR/2023/12744/D,NR/2023/12745/D,NR/2023/12758/C,Total
18,04:15-04:30,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,13.940000,12.250000,21.510000,0.000000,0,0,0,1006.59

19,04:30-04:45,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,13.940000,12.250000,21.510000,0.000000,0,0,0,1006.59

20,04:45-05:00,0.930000,0.000000,12.670000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,75.530000,14.500000,116.020000,31.600000,0.000000,13.940000,12.250000,21.510000,0.000000,0,0,0,1006.59

21,05:00-05:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.750000,12.250000,21.510000,0.000000,0,0,0,918.2

22,05:15-05:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.750000,12.250000,21.510000,0.000000,0,0,0,918.2

23,05:30-05:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.750000,12.250000,21.510000,0.000000,0,0,0,918.2

24,05:45-06:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,27.840000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,64.970000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.750000,12.250000,21.510000,0.000000,0,0,0,918.2

25,06:00-06:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.660000,12.250000,21.510000,0.000000,0,0,0,825.3

26,06:15-06:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.660000,12.250000,21.510000,0.000000,3.5,1.5,0,830.3

27,06:30-06:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.660000,12.250000,21.510000,0.000000,7,3,0,835.3

28,06:45-07:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,31.600000,0.000000,13.660000,12.250000,21.510000,0.000000,14,6,0.29,845.59

29,07:00-07:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.560000,12.250000,21.510000,0.000000,21,9,0.58,853.74

30,07:15-07:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.560000,12.250000,21.510000,0.000000,31.5,13.5,0.87,869.03

31,07:30-07:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.560000,12.250000,21.510000,0.000000,47.6,20.4,1.39,892.55

32,07:45:08:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.560000,12.250000,21.510000,0.000000,53.9,23.1,1.83,901.99

33,08:00-08:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.480000,12.250000,21.510000,30.000000,66.5,28.5,2.23,950.31

34,08:15-08:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.480000,12.250000,21.510000,30.000000,77,33,2.71,965.79

35,08:30-08:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.480000,12.250000,21.510000,30.000000,92.4,39.6,3.58,988.66

36,08:45:09:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,0.000000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,29.560000,0.000000,13.480000,12.250000,21.510000,30.000000,108.5,46.5,3.59,1011.67

37,09:00:09:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.290000,12.250000,21.510000,30.000000,122.5,52.5,4.29,1060.42

38,09:15-09:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.290000,12.250000,21.510000,30.000000,134.4,57.6,4.59,1077.72

39,09:30-09:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.290000,12.250000,21.510000,30.000000,143.5,61.5,4.59,1090.72

40,09:45-10:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.290000,12.250000,21.510000,30.000000,154,66,4.63,1105.76

41,10:00-10:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.110000,12.250000,21.510000,30.000000,164.5,70.5,4.69,1120.64

42,10:15-10:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.110000,12.250000,21.510000,30.000000,171.5,73.5,4.72,1130.67

43,10:30-10:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.110000,12.250000,21.510000,30.000000,175.7,75.3,4.72,1136.67

44,10:45-11:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,13.110000,12.250000,21.510000,30.000000,178.5,76.5,4.98,1140.93

45,11:00-11:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.930000,12.250000,21.510000,30.000000,182,78,5.51,1146.28

46,11:15-11:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.930000,12.250000,21.510000,30.000000,183.4,78.6,6.53,1149.3

47,11:30-11:45,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.930000,12.250000,21.510000,30.000000,183.4,78.6,6.47,1149.24

48,11:45-12:00,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.930000,12.250000,21.510000,30.000000,183.4,78.6,6.53,1149.3

49,12:00-12:15,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.730000,12.250000,21.510000,30.000000,183.4,78.6,6.52,1149.09

50,12:15-12:30,0.930000,0.000000,0.000000,43.030000,33.840000,0.000000,0.360000,41.570000,24.170000,6.770000,0.000000,0.610000,0.510000,0.900000,0.000000,13.050000,236.680000,0.930000,2.900000,0.000000,0.000000,83.050000,1.020000,0.820000,24.170000,48.340000,0.000000,2.900000,0.580000,9.960000,62.840000,0.000000,14.500000,116.020000,33.630000,0.000000,12.730000,12.250000,21.510000,30.000000,183.4,78.6,6.72,1149.29

