Time,Block,NR/2023/12110/C,NR/2023/10487/A,NR/2023/11342/A,NR/2023/10229/A,ER/2023/7293/C,NR/2023/12092/D,NR/2023/12095/C,NR/2023/12111/C,NR/2023/10434/A,NR/2023/11476/A,NR/2023/11959/F,NR/2023/12089/D,NR/2023/11961/F,NR/2023/12091/D,NR/2023/11960/F,NR/2023/11862/F,NR/2023/11962/F,NR/2023/10344/A,NR/2023/12088/D,NR/2023/11947/F,NR/2023/10613/A,NR/2023/12107/C,NR/2023/11952/F,NER/2023/784/C,NR/2023/11955/F,NR/2023/10236/A,NR/2023/11941/F,NR/2023/12108/C,NR/2023/11956/F,NR/2023/11957/F,NR/2023/11963/F,WR/2023/14844/C,NR/2023/12112/C,NR/2023/11958/F,Total

3,00:30-00:45,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.570000,0.560000,878.67

4,00:45-01:00,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.570000,0.560000,878.67

5,01:00-01:15,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.490000,0.560000,878.59

6,01:15-01:30,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.490000,0.560000,878.59

7,01:30-01:45,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.490000,0.560000,878.59

8,01:45-02:00,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.490000,0.560000,878.59

9,02:00-02:15,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.390000,0.560000,878.49

10,02:15-02:30,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.390000,0.560000,878.49

11,02:30-02:45,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.390000,0.560000,878.49

12,02:45-03:00,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,36.470000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.390000,0.560000,878.49

13,03:00-03:15,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.300000,0.560000,841.93

14,03:15-03:30,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.300000,0.560000,841.93

15,03:30-03:45,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.300000,0.560000,841.93

16,03:45-04:00,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.300000,0.560000,841.93

17,04:00-04:15,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.210000,0.560000,841.84

18,04:15-04:30,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.210000,0.560000,841.84

19,04:30-04:45,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.210000,0.560000,841.84

20,04:45-05:00,30.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,10.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,12.660000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.210000,0.560000,841.84

21,05:00-05:15,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.120000,0.560000,789.09

22,05:15-05:30,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.120000,0.560000,789.09

23,05:30-05:45,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.120000,0.560000,789.09

24,05:45-06:00,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.120000,0.560000,789.09

25,06:00-06:15,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.020000,0.560000,788.99

26,06:15-06:30,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.020000,0.560000,788.99

27,06:30-06:45,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,0,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,0,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.020000,0.560000,788.99

28,06:45-07:00,0.000000,41.560000,115.980000,42.970000,0.000000,0,26.490000,0.000000,24.160000,48.320000,0.640000,3.5,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,1.5,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,14.020000,0.560000,793.99

29,07:00-07:15,0.000000,41.560000,115.980000,42.970000,50.000000,0,25.480000,0.000000,24.160000,48.320000,0.640000,17.5,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,7.5,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,13.940000,0.560000,862.9

30,07:15-07:30,0.000000,41.560000,115.980000,42.970000,50.000000,0.1,25.480000,0.000000,24.160000,48.320000,0.640000,28,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,12,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,13.940000,0.560000,878

31,07:30-07:45,0.000000,41.560000,115.980000,42.970000,50.000000,0.42,25.480000,0.000000,24.160000,48.320000,0.640000,38.5,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,16.5,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,13.940000,0.560000,893.32

32,07:45:08:00,0.000000,41.560000,115.980000,42.970000,50.000000,0.86,25.480000,0.000000,24.160000,48.320000,0.640000,51.8,0.700000,81.090000,0.640000,2.900000,0.420000,12.250000,22.2,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.370000,0.720000,0.420000,50.000000,13.940000,0.560000,912.76

33,08:00-08:15,30.000000,41.560000,115.980000,42.970000,50.000000,1.17,25.480000,10.000000,24.160000,48.320000,0.660000,66.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,28.5,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.840000,0.560000,973.97

34,08:15-08:30,30.000000,41.560000,115.980000,42.970000,50.000000,1.64,25.480000,10.000000,24.160000,48.320000,0.660000,82.6,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,35.4,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.840000,0.560000,997.44

35,08:30-08:45,30.000000,41.560000,115.980000,42.970000,50.000000,2.51,25.480000,10.000000,24.160000,48.320000,0.660000,96.6,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,41.4,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.840000,0.560000,1018.31

36,08:45:09:00,30.000000,41.560000,115.980000,42.970000,50.000000,2.99,25.480000,10.000000,24.160000,48.320000,0.660000,112,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,48,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.840000,0.560000,1040.79

37,09:00:09:15,30.000000,41.560000,115.980000,42.970000,50.000000,3.76,27.520000,10.000000,24.160000,48.320000,0.660000,123.2,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,52.8,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.740000,0.560000,1079.5

38,09:15-09:30,30.000000,41.560000,115.980000,42.970000,50.000000,4.53,27.520000,10.000000,24.160000,48.320000,0.660000,137.9,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,59.1,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.740000,0.560000,1101.27

39,09:30-09:45,30.000000,41.560000,115.980000,42.970000,50.000000,4.73,27.520000,10.000000,24.160000,48.320000,0.660000,152.6,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,65.4,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.740000,0.560000,1122.47

40,09:45-10:00,30.000000,41.560000,115.980000,42.970000,50.000000,5.21,27.520000,10.000000,24.160000,48.320000,0.660000,161,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,69,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.740000,0.560000,1134.95

41,10:00-10:15,30.000000,41.560000,115.980000,42.970000,50.000000,5.59,27.520000,10.000000,24.160000,48.320000,0.660000,168,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,72,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.660000,0.560000,1145.25

42,10:15-10:30,30.000000,41.560000,115.980000,42.970000,50.000000,5.69,27.520000,10.000000,24.160000,48.320000,0.660000,175,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,75,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.660000,0.560000,1155.35

43,10:30-10:45,30.000000,41.560000,115.980000,42.970000,50.000000,5.69,27.520000,10.000000,24.160000,48.320000,0.660000,178.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,76.5,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.660000,0.560000,1160.35

44,10:45-11:00,30.000000,41.560000,115.980000,42.970000,50.000000,6.17,27.520000,10.000000,24.160000,48.320000,0.660000,176.4,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,75.6,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.660000,0.560000,1157.83

45,11:00-11:15,30.000000,41.560000,115.980000,42.970000,50.000000,6.94,27.520000,10.000000,24.160000,48.320000,0.660000,178.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,76.5,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.560000,0.560000,1161.5

46,11:15-11:30,30.000000,41.560000,115.980000,42.970000,50.000000,7.14,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.560000,0.560000,1166.7

47,11:30-11:45,30.000000,41.560000,115.980000,42.970000,50.000000,7.81,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.560000,0.560000,1167.37

48,11:45-12:00,30.000000,41.560000,115.980000,42.970000,50.000000,8.01,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.560000,0.560000,1167.57

49,12:00-12:15,30.000000,41.560000,115.980000,42.970000,50.000000,8.1,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1167.57

50,12:15-12:30,30.000000,41.560000,115.980000,42.970000,50.000000,8.2,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1167.67

51,12:30-12:45,30.000000,41.560000,115.980000,42.970000,50.000000,8.29,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1167.76

52,12:45-13:00,30.000000,41.560000,115.980000,42.970000,50.000000,8.58,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1168.05

53,13:00-13:15,30.000000,41.560000,115.980000,42.970000,50.000000,9.02,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1168.4

54,13:15-13:30,30.000000,41.560000,115.980000,42.970000,50.000000,8.68,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1168.06

55,13:30-13:45,30.000000,41.560000,115.980000,42.970000,50.000000,8.49,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1167.87

56,13:45-14:00,30.000000,41.560000,115.980000,42.970000,50.000000,8.2,27.520000,10.000000,24.160000,48.320000,0.660000,182,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,78,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1167.58

57,14:00-14:15,30.000000,41.560000,115.980000,42.970000,50.000000,8.1,27.520000,10.000000,24.160000,48.320000,0.660000,178.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,76.5,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1162.48

58,14:15-14:30,30.000000,41.560000,115.980000,42.970000,50.000000,8.05,27.520000,10.000000,24.160000,48.320000,0.660000,176.4,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,75.6,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1159.43

59,14:30-14:45,30.000000,41.560000,115.980000,42.970000,50.000000,7.91,27.520000,10.000000,24.160000,48.320000,0.660000,175,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,75,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1157.29

60,14:45-15:00,30.000000,41.560000,115.980000,42.970000,50.000000,7.81,27.520000,10.000000,24.160000,48.320000,0.660000,171.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,73.5,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.380000,0.560000,1152.19

61,15:00-15:15,30.000000,41.560000,115.980000,42.970000,50.000000,7.76,27.520000,10.000000,24.160000,48.320000,0.660000,159.6,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,68.4,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1135.23

62,15:15-15:30,30.000000,41.560000,115.980000,42.970000,50.000000,7.72,27.520000,10.000000,24.160000,48.320000,0.660000,150.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,64.5,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1122.19

63,15:30-15:45,30.000000,41.560000,115.980000,42.970000,50.000000,6.85,27.520000,10.000000,24.160000,48.320000,0.660000,143.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,61.5,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1111.32

64,15:45-16:00,30.000000,41.560000,115.980000,42.970000,50.000000,6.08,27.520000,10.000000,24.160000,48.320000,0.660000,133,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,57,6.770000,0.000000,10.000000,0.000000,20.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1095.55

65,16:00-16:15,30.000000,41.560000,115.980000,42.970000,50.000000,5.69,27.520000,10.000000,24.160000,48.320000,0.660000,116.9,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,50.1,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1052.16

66,16:15-16:30,30.000000,41.560000,115.980000,42.970000,50.000000,4.92,27.520000,10.000000,24.160000,48.320000,0.660000,108.5,0.690000,81.090000,0.660000,2.900000,0.420000,12.250000,46.5,6.770000,0.000000,10.000000,0.000000,0.000000,0.360000,214.830000,62.820000,30.000000,0.350000,0.710000,0.420000,50.000000,13.470000,0.560000,1039.39

