Time,Block,NR/2023/16589/C,NR/2023/13148/A,NR/2023/13387/A,NR/2023/16437/F,NR/2023/16185/A,NR/2023/16073/A,NR/2023/13383/A,NR/2023/13150/A,NR/2023/16603/C,NR/2023/16291/F,NR/2023/16588/C,NR/2023/16191/A,NR/2023/13376/A,NR/2023/16077/A,NR/2023/13908/A,NR/2023/15770/A,NR/2023/13254/A,ER/2023/10377/C,NR/2023/16598/C,NR/2023/13519/A,NR/2023/13242/A,NR/2023/13385/A,NR/2023/13253/A,NR/2023/13636/A,NR/2023/16291/F/II,NR/2023/16581/D,NR/2023/13165/A,NR/2023/16582/D,NR/2023/16594/C,WR/2023/18586/C,NR/2023/16575/D,SR/2023/9245/C,Total

3,00:30-00:45,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.810000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.060000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1609.05

4,00:45-01:00,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.810000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.060000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1609.05

5,01:00-01:15,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.460000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,0.000000,58.460000,29.600000,50.060000,48.360000,22.580000,0.160000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1463.7

6,01:15-01:30,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.460000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,0.000000,58.460000,29.600000,50.060000,48.360000,22.580000,0.160000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1463.7

7,01:30-01:45,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.460000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,0.000000,58.460000,29.600000,50.060000,48.360000,22.580000,0.160000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1463.7

8,01:45-02:00,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.460000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,0.000000,58.460000,29.600000,50.060000,48.360000,22.580000,0.160000,4.840000,22.250000,67.710000,13.200000,0.000000,0,0.00,1463.7

9,02:00-02:15,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,0.000000,58.460000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,13.120000,0.000000,0,80.00,1543.63

10,02:15-02:30,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,13.120000,0.000000,0,80.00,1688.73

11,02:30-02:45,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,13.120000,0.000000,0,80.00,1688.73

12,02:45-03:00,7.060000,36.500000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,13.120000,0.000000,0,80.00,1688.73

13,03:00-03:15,7.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.930000,0.000000,0,80.00,1593.58

14,03:15-03:30,7.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.930000,0.000000,0,80.00,1593.58

15,03:30-03:45,7.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.930000,0.000000,0,80.00,1569.4

16,03:45-04:00,7.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.630000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,0.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.930000,0.000000,0,80.00,1569.4

17,04:00-04:15,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.740000,50.000000,0,100.00,1653.16

18,04:15-04:30,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.740000,50.000000,0,100.00,1653.16

19,04:30-04:45,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.740000,50.000000,0,100.00,1653.16

20,04:45-05:00,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,29.600000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.740000,50.000000,0,100.00,1653.16

21,05:00-05:15,5.040000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,59.010000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.650000,50.000000,0,100.00,1622.45

22,05:15-05:30,5.040000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.650000,50.000000,0,100.00,1646.63

23,05:30-05:45,5.040000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.650000,50.000000,0,100.00,1646.63

24,05:45-06:00,5.040000,0.000000,100.120000,163.630000,62.870000,24.180000,33.370000,63.070000,83.190000,0.580000,0.000000,216.190000,20.310000,77.870000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.650000,50.000000,0,100.00,1646.63

25,06:00-06:15,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,0,130.00,1566.42

26,06:15-06:30,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,0,130.00,1566.42

27,06:30-06:45,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,0.77,130.00,1567.19

28,06:45-07:00,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,1.06,130.00,1567.48

29,07:00-07:15,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,1.74,130.00,1568.16

30,07:15-07:30,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,2.03,130.00,1568.45

31,07:30-07:45,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,2.9,130.00,1569.32

32,07:45:08:00,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.680000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,15.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,50.000000,3.48,100.00,1539.9

33,08:00-08:15,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.470000,20.000000,3.58,0.00,1412.31

34,08:15-08:30,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.470000,20.000000,3.68,0.00,1412.41

35,08:30-08:45,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.470000,20.000000,3.77,0.00,1412.5

36,08:45:09:00,6.060000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.470000,20.000000,4.06,0.00,1412.79

37,09:00:09:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,20.000000,4.26,0.00,1366.62

38,09:15-09:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,20.000000,4.64,0.00,1367

39,09:30-09:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,20.000000,4.93,0.00,1367.29

40,09:45-10:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,20.000000,5.22,0.00,1367.58

41,10:00-10:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,5.42,0.00,1347.69

42,10:15-10:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,5.71,0.00,1347.98

43,10:30-10:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,5.9,0.00,1348.17

44,10:45-11:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,6.29,0.00,1348.56

45,11:00-11:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,6.38,0.00,1348.65

46,11:15-11:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,6.58,0.00,1348.85

47,11:30-11:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,6.77,0.00,1349.04

48,11:45-12:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,6.96,0.00,1349.23

49,12:00-12:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,7.35,0.00,1349.62

50,12:15-12:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,7.54,0.00,1349.81

51,12:30-12:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,8.32,0.00,1350.59

52,12:45-13:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,8.51,0.00,1350.78

53,13:00-13:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,36.760000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,8.71,0.00,1387.74

54,13:15-13:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,9,0.00,1401.57

55,13:30-13:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,9.29,0.00,1401.86

56,13:45-14:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,50.300000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,50.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,9.09,0.00,1401.66

57,14:00-14:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,59.010000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,8.9,0.00,1418.64

58,14:15-14:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,59.010000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,8.51,0.00,1418.25

59,14:30-14:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,8.13,0.00,1442.05

60,14:45-15:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.970000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.280000,0.000000,7.54,0.00,1441.46

61,15:00-15:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.870000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,0.000000,7.35,0.00,1441.26

62,15:15-15:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.870000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,0.000000,6.77,0.00,1440.68

63,15:30-15:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.870000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,0.000000,6.58,0.00,1440.49

64,15:45-16:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,83.190000,0.870000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.370000,0.000000,5.8,0.00,1439.71

65,16:00-16:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.820000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,0.000000,5.51,0.00,1356.37

66,16:15-16:30,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.820000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,0.000000,4.84,0.00,1355.7

67,16:30-16:45,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.820000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,0.000000,4.64,0.00,1355.5

68,16:45-17:00,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.820000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,58.460000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.560000,0.000000,4.06,0.00,1354.92

69,17:00-17:15,10.090000,0.000000,100.120000,163.630000,62.870000,24.180000,0.000000,63.070000,0.000000,0.820000,0.000000,216.190000,20.310000,0.000000,175.160000,62.870000,19.630000,0.000000,145.100000,0.000000,0.000000,50.060000,48.360000,22.580000,0.000000,4.840000,22.250000,67.710000,12.740000,0.000000,3.39,0.00,1295.97

