Time,Block,NR/2024/19516/C,NR/2024/19115/A/15544,NR/2024/19531/C,NR/2024/18976/A/15602,NR/2024/19245/A/15692,NR/2024/19024/A/15693,NR/2024/19523/C,NR/2024/19485/A/16114,NR/2024/19537/C,NR/2024/19075/A/15549,NR/2024/19483/A/16112,NR/2024/18919/A/16162,NR/2024/18978/A/15604,NR/2024/19469/A/15874,NR/2024/18935/A/15593,NR/2024/18934/A/15592,NR/2024/18986/A/15631,NR/2024/19549/C,NR/2024/19539/C,NR/2024/18936/A/15594,NR/2024/19030/A/15574,NR/2024/19143/A/15541,NR/2024/19121/A/15704,NR/2024/19172/A/16268,NR/2024/18996/A/16120,NR/2024/19538/C,NR/2024/19540/C,NR/2024/19043/A/15560,NR/2024/18977/A/15603,NR/2024/19484/A/16113,NR/2024/19536/C,NR/2024/19290/A/16266,NR/2024/19529/C,NR/2024/18855/A/15705,NR/2024/19517/C,NR/2024/19526/C,NR/2024/19337/A/15691,Total
3,00:30-00:45,0,0.000000,33.790000,0.000000,0.000000,4.830000,39.580000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,37.650000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1102.62

4,00:45-01:00,0,0.000000,33.790000,0.000000,0.000000,4.830000,39.580000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,39.580000,51.160000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,1104.55

5,01:00-01:15,0,0.000000,57.920000,0.000000,0.000000,4.830000,0.000000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,998.31

6,01:15-01:30,0,0.000000,57.920000,0.000000,0.000000,4.830000,0.000000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,998.31

7,01:30-01:45,0,0.000000,57.920000,0.000000,0.000000,4.830000,0.000000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,998.31

8,01:45-02:00,0,0.000000,57.920000,0.000000,0.000000,4.830000,0.000000,43.870000,135.140000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,48.260000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,193.060000,67.570000,96.530000,66.790000,52.510000,43.440000,1.930000,998.31

9,02:00-02:15,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

10,02:15-02:30,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

11,02:30-02:45,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

12,02:45-03:00,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

13,03:00-03:15,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

14,03:15-03:30,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

15,03:30-03:45,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

16,03:45-04:00,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

17,04:00-04:15,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

18,04:15-04:30,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

19,04:30-04:45,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

20,04:45-05:00,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,2.000000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,423.96

21,05:00-05:15,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,421.96

22,05:15-05:30,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,421.96

23,05:30-05:45,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,421.96

24,05:45-06:00,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,9.650000,0.000000,0.000000,0.000000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,421.96

25,06:00-06:15,0,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,412.36

26,06:15-06:30,0.1,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,412.46

27,06:30-06:45,0.68,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,413.04

28,06:45-07:00,0.87,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,413.23

29,07:00-07:15,1.24,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,413.7

30,07:15-07:30,1.7,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,414.16

31,07:30-07:45,2.26,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,414.72

32,07:45:08:00,2.75,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,415.21

33,08:00-08:15,3.42,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,416.22

34,08:15-08:30,3.87,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,416.67

35,08:30-08:45,4.57,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,417.37

36,08:45:09:00,5.15,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,417.95

37,09:00:09:15,5.39,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,418.19

38,09:15-09:30,5.45,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,418.25

39,09:30-09:45,5.55,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,418.35

40,09:45-10:00,5.74,0.000000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,66.790000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,418.54

41,10:00-10:15,5.79,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,66.790000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,640.6

42,10:15-10:30,5.98,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,66.790000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,640.79

43,10:30-10:45,6.23,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,66.790000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,641.04

44,10:45-11:00,6.37,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,66.790000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,0.000000,52.510000,0.000000,1.930000,641.18

45,11:00-11:15,6.52,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,641.33

46,11:15-11:30,6.56,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,641.37

47,11:30-11:45,6.95,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,641.76

48,11:45-12:00,7.24,48.260000,0.000000,0.000000,0.000000,4.830000,0.000000,43.870000,0.000000,0.000000,14.620000,0.000000,0.000000,3.860000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,0.000000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,642.05

49,12:00-12:15,7.53,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,735.02

50,12:15-12:30,7.72,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,735.21

51,12:30-12:45,7.99,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,735.48

52,12:45-13:00,8.06,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,735.55

53,13:00-13:15,8.3,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,735.79

54,13:15-13:30,9.03,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,736.52

55,13:30-13:45,8.3,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,735.79

56,13:45-14:00,7.24,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,734.73

57,14:00-14:15,6.27,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,733.76

58,14:15-14:30,5.79,48.260000,0.000000,39.580000,1.930000,4.830000,0.000000,43.870000,0.000000,19.310000,14.620000,0.000000,14.480000,1.930000,5.790000,4.830000,0.970000,0.000000,0.000000,6.760000,19.310000,0.000000,0.000000,115.840000,48.260000,0.000000,0.000000,46.330000,57.920000,43.870000,0.000000,67.570000,0.000000,66.790000,52.510000,0.000000,1.930000,733.28

