Column1,Block,NR/2025/31136/A/89327,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/89331,NR/2025/31138/A/89336,NR/2025/31136/A/89328,NR/2025/31419/A/89030,NR/2025/31347/A/88862,NR/2025/31138/A/89335,NR/2025/31137/A/89330,NR/2025/31420/A/89029,NR/2025/29985/A/88971,NR/2025/31653/C,NR/2025/29353/A/89361,NR/2025/27975/A/89498,NR/2025/29992/A/88824,NR/2025/31339/A/88969,NR/2025/27973/A/89496,NR/2025/31645/C,NR/2025/30217/A/89281,NR/2025/30086/A/89284,NR/2025/27978/A/89381,NR/2025/27965/A/89494,NR/2025/30084/A/89285,NR/2025/27966/A/89495,NR/2025/30082/A/89343,NR/2025/30191/A/88867,NR/2025/30083/A/89286,NR/2025/31604/C,NR/2025/30067/A/89435,NR/2025/29352/A/89362,NR/2025/30105/A/89282,NR/2025/29915/A/88916,NR/2025/30121/A/88871,NR/2025/31600/C,NR/2025/31637/C,NR/2025/29167/A/88917,NR/2025/31601/C,NR/2025/29439/A/89226,NR/2025/29628/A/89291,SR/2025/18686/C,NR/2025/29910/A/89289,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/1192,NR/30092023/26122029/SH-06,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/8139,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,NR/2025/31677/C,NR/2025/31676/C,NR/2025/31696/C,NR/2025/31690/C,GNA/NR/2025/07/01/8154,NR/2025/31681/C,NR/2025/31681/C/Alternate/1,NR/2025/31682/C,NR/2025/31689/C,NR/2025/31662/C,NR/2025/31697/C,NR/2025/31663/C,NR/2025/31695/C,NR/2025/31698/C,NR/2025/31699/C,NR/2025/30101/A/89377,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/31126/A/88952,NR/2025/29440/A/88832,NR/2025/28728/A/89491,NR/2025/31688/C,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,86.53,19.23,81.72,43.7,49.03,28.51,163.44,134.84,28.51,19.23,15.24,0,0,0,0,20.74,103.8,88.48,0,0,0,0,0,0,0,0,48.07,15,12.5,0.91,81.72,0,2025.3300000000002

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,105.75,19.23,81.72,43.7,49.03,28.51,163.44,134.84,28.51,19.23,15.24,0,0,0,0,20.74,105.22,87.06,0,0,0,0,0,0,0,0,48.07,15,12.5,0.91,81.72,0,2044.5500000000002

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,115.37,19.23,81.72,43.7,49.03,22.94,163.44,134.84,22.94,19.23,15.24,0,0,0,0,20.74,107.27,85.01,0,0,0,0,0,0,0,0,48.07,15,12.5,0.77,81.72,0,2042.89

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,139.4,19.23,81.72,43.7,49.03,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,107.49,84.79,0,0,0,0,0,0,0,0,48.07,15,12.5,0.77,81.72,0,2073.5

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,153.82,19.23,81.72,43.7,49.03,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,107.91,84.37,0,0,0,0,0,0,0,0,48.07,15,12.5,0.77,81.72,0,2089.34

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,25.07,105.75,173.05,19.23,81.72,43.7,49.03,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,105.43,86.85,0,0,0,0,0,0,0,0,48.07,15,12.5,0.77,81.72,0,2108.57

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,0,105.75,163.44,19.23,81.72,43.7,49.03,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,167.97,24.31,0,0,0,0,0,0,0,0,48.07,17.3,12.5,0.67,81.72,0,2076.09

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,0,105.75,177.86,19.23,81.72,43.7,49.03,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,164.98,27.3,0,0,0,0,0,0,0,0,48.07,17.3,12.5,0.67,81.72,0,2090.51

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,0,105.75,197.09,19.23,81.72,43.7,49.03,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,163.93,28.35,0,0,0,0,0,0,0,0,48.07,17.3,12.5,0.67,81.72,0,2109.7400000000002

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,134.6,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,204.3,28.6,17.48,20.43,6.73,0,0,54.08,0,0,105.75,211.51,19.23,81.72,43.7,49.03,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,164.95,27.33,0,0,0,0,0,0,0,0,48.07,17.3,12.5,0.67,81.72,0,2124.1600000000003

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,54.08,0,0,76.55,249.96,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.21,12.5,0.62,81.72,0,1724.91

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,54.08,0,0,76.55,264.38,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.21,12.5,0.62,81.72,0,1739.3300000000002

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,54.08,0,0,76.55,274,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.21,12.5,0.62,81.72,0,1748.95

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,54.08,0,0,76.55,283.61,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.21,12.5,0.62,81.72,0,1758.5600000000002

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,240.35,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.03,12.5,0.62,81.72,0,1661.04

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,249.96,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.03,12.5,0.62,81.72,0,1670.65

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,259.58,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.03,12.5,0.62,81.72,0,1680.27

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,269.19,19.23,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,17.03,12.5,0.62,81.72,0,1689.88

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,225.93,16.57,81.72,43.7,0,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,16.83,12.5,0.62,81.72,0,1642.34

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,225.93,16.57,81.72,43.7,0,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,16.83,12.5,0.62,81.72,0,1642.34

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,225.93,16.57,81.72,43.7,0,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.62,81.72,0,1637.71

24,05:45-06:00,0,0.21,0,0,0,0,0,0,0,0,1,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,221.12,16.57,81.72,43.7,0,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.62,81.72,0,1634.11

25,06:00-06:15,0,1.17,0,0,0.08,0,0,0.03,0.03,0,3,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,221.12,16.57,81.72,43.7,0,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.82,81.72,0,1637.41

26,06:15-06:30,0,2.74,0,0,0.16,0,0,0.04,0.04,0,7,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,211.51,16.57,81.72,43.7,0,26.23,163.44,134.84,26.23,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.82,81.72,0,1633.47

27,06:30-06:45,0.06,4.97,0.04,0.04,0.38,0,0,0.1,0.19,0,11,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,211.51,16.57,81.72,43.7,0,22.94,163.44,134.84,22.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.82,81.72,0.84,1634.53

28,06:45-07:00,0.15,7.91,0.1,0.1,0.38,0,0,0.1,0.19,0,14,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,211.51,16.57,81.72,43.7,0,22.94,163.44,134.84,22.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.82,81.72,1.37,1641.21

29,07:00-07:15,0.28,11.76,0.17,0.17,0.38,0,0,0.1,0.19,0,18,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,211.51,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.87,81.72,1.97,1657.98

30,07:15-07:30,0.39,15.9,0.25,0.25,0.38,0,0,0.19,0.19,0,21,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,269.19,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.87,81.72,2.97,1724.16

31,07:30-07:45,0.55,15.87,0.43,0.37,0.38,0,0,0.19,0.19,0,46,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,288.42,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.87,81.72,3.86,1769.7099999999998

32,07:45-08:00,0.74,20.51,0.52,0.44,0.38,0,0,0.19,0.29,0,56,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,307.65,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.87,81.72,5.25,1805.42

33,08:00-08:15,0.88,25.88,0.62,0.53,0.38,0,9.61,0.19,0.29,1.63,53,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,0,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.96,81.72,6.18,1512.7300000000002

34,08:15-08:30,0.96,31.92,0.77,0.58,0.38,0,9.61,0.19,0.29,1.63,63,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,0,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,11.54,0.96,81.72,8.53,1531.4

35,08:30-08:45,0.96,38.15,0.77,0.58,0.38,0,9.61,0.19,0.29,1.63,74,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,0,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,13.46,0.96,81.72,5.87,1547.89

36,08:45-09:00,0.96,44.52,0.77,0.67,0.48,0,9.61,0.19,0.29,1.63,81,0,81.72,0,44.22,0,0,0,7.69,26.22,96.14,0,26.22,0,48.07,48.07,8.74,0,0,28.6,17.48,0,6.73,0,0,0,0,0,76.55,0,16.57,81.72,43.7,0,26.94,163.44,134.84,26.94,19.23,15.24,0,0,0,0,20.74,192.28,0,0,0,0,0,0,0,0,0,48.07,13.16,13.46,0.96,81.72,5.87,1561.4500000000003

37,09:00-09:15,0.96,51.01,0.77,0.67,0.48,0,9.61,0.19,0.29,1.63,112,0.96,81.72,0,0,0,0,81.72,0,0,0,0,0,0,0,0,0,44.22,0,28.6,0,0,0,6.73,48.07,0,48.07,0,0,0,0,81.72,43.7,0,26.96,163.44,134.84,26.96,19.23,15.24,96.14,0,43.7,16.57,20.74,192.28,0,0,76.55,0,28.91,0,14.57,7.69,37.15,0,13.16,13.46,0,0,5.87,1596.5800000000004

38,09:15-09:30,0.96,57.12,0.77,0.67,0.48,0,9.61,0.19,0.29,1.63,126,0.96,81.72,0,0,0,0,81.72,0,0,0,0,0,0,0,0,0,44.22,0,28.6,0,0,0,6.73,48.07,0,48.07,0,0,0,0,81.72,43.7,0,26.96,163.44,134.84,26.96,19.23,15.24,96.14,0,43.7,16.57,20.74,192.28,0,0,76.55,0,28.91,0,14.57,7.69,37.15,0,13.16,13.46,0,0,6.85,1617.6700000000003

39,09:30-09:45,0.96,63.01,0.77,0.67,0.48,0,9.61,0.19,0.29,1.63,137,0.96,81.72,0,0,0,0,81.72,0,0,0,0,0,0,0,0,0,44.22,0,28.6,0,0,0,6.73,48.07,0,48.07,0,0,0,0,81.72,43.7,0,26.96,163.44,134.84,26.96,19.23,15.24,96.14,0,43.7,16.57,20.74,192.28,0,0,76.55,0,28.91,0,14.57,7.69,37.15,0,13.16,13.46,0,0,6.85,1634.5600000000004

