Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,NR/2025/29816/A/83924,NR/2025/30192/C,NR/2025/27167/A/84036,NR/2025/28719/A/83930,NR/2025/30177/C,NR/2025/27725/A/84215,NR/2025/26952/A/83896,NR/2025/26975/A/84219,NR/2025/30156/C,NR/2025/30178/C,NR/2025/30102/C,NR/2025/26777/A/83910,NR/2025/26785/A/83818,NR/2025/26445/A/84391,NR/2025/30178/C/Alternate/1,NR/2025/30107/C,NR/2025/26860/A/84265,NR/2025/26562/A/84274,NR/2025/26566/A/84280,NR/2025/30115/C,NR/2025/30140/C,NR/2025/27281/A/84392,NR/2025/30116/C,NR/2025/27176/A/84209,NR/2025/27157/A/83925,NR/2025/26572/A/84284,NR/2025/30149/C,NR/2025/30117/C,NR/2025/27100/A/83919,NR/2025/26571/A/84282,NR/2025/27088/A/84387,NR/2025/26889/A/84335,NR/2025/30190/C,NR/2025/27728/A/84213,NR/2025/30186/C,NR/2025/27726/A/84214,NR/2025/27499/A/84334,NR/2025/26085/A/83814,NR/2025/29451/A/84204,NR/2025/30165/C,NR/2025/27168/A/84038,NR/2025/27506/A/83816,NR/2025/27727/A/84212,NR/2025/30153/C,NR/2025/27782/A/84211,NR/2025/30187/C,NR/2025/27242/A/83981,NR/2025/26565/A/84279,NR/2025/30188/C,NR/2025/27500/A/83817,NR/2025/28774/A/83811,NR/2025/27187/A/84217,NR/2025/30023/C,NR/2025/27185/A/84218,NR/2025/30014/C,GNARE/NR/2024/12/20/3668,NR/2025/30213/C,NR/2025/27356/A/84206,NR/2025/26861/A/84298,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,Total
3,00:30-00:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

4,00:45-01:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

5,01:00-01:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

6,01:15-01:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

7,01:30-01:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

8,01:45-02:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,0,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,25.2,144.96,164.29,5.8,0,26.35,0,26.35,8.7,0.68,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,164.29,14.89,23.64,30,2473.7499999999995

9,02:00-02:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.63,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,23.64,26.5,2430.499999999999

10,02:15-02:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.63,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,25.88,26.93,2433.169999999999

11,02:30-02:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.63,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,25.88,26.93,2433.169999999999

12,02:45-03:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,27.06,0,0,0,164.29,0,96.64,164.53,0,90.36,144.96,0,0,0,24.88,0,106.3,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.63,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,25.88,26.93,2433.169999999999

13,03:00-03:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,26.93,26.93,2383.499999999999

14,03:15-03:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,26.93,26.93,2383.499999999999

15,03:30-03:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,26.93,26.93,2383.499999999999

16,03:45-04:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,217.34,0,0,0,0,144.96,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,144.96,0,7.73,0,19.33,0,19.33,0,0,0,0,0,14.89,26.93,26.93,2383.499999999999

17,04:00-04:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,0,16.65,26.93,26.93,1877.9999999999998

18,04:15-04:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,0,16.65,26.93,26.93,1877.9999999999998

19,04:30-04:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,0,16.65,26.93,26.93,1877.9999999999998

20,04:45-05:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.53,96.64,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,19.33,0,19.33,0,0,0,0,0,16.65,26.93,26.93,1877.9999999999998

21,05:00-05:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.63,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,0,0,0,0,16.47,26.93,26.93,1761.9499999999998

22,05:15-05:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.63,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,0,0,0,0,16.47,26.93,26.93,1761.9499999999998

23,05:30-05:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.63,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,0,0,0,0,16.47,26.93,26.93,1760.9899999999998

24,05:45-06:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.63,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,0.21,0,1,0,16.47,26.93,26.93,1762.1899999999998

25,06:00-06:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.68,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,0.88,0,3,0,16.27,26.93,26.93,1764.7099999999998

26,06:15-06:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.68,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,1.76,0,7,0,16.27,26.93,26.93,1769.5899999999997

27,06:30-06:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.68,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,5.74,0,11,0,16.27,26.93,26.93,1777.5699999999997

28,06:45-07:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.68,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,8.73,0,14,0,16.27,26.93,26.93,1782.5999999999997

29,07:00-07:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.87,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,12.28,0,21,0,16.19,26.93,26.93,1793.2599999999995

30,07:15-07:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.87,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,15.8,0,28,0,16.19,26.93,26.93,1803.7799999999995

31,07:30-07:45,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.87,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,19.6,0,46,0,16.19,26.93,26.93,1825.5799999999995

32,07:45-08:00,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.87,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,0,0,0,19.33,0,23.98,0,56,0,16.19,26.93,26.93,1839.9599999999996

33,08:00-08:15,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,1.93,0,20.54,9.66,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.97,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,4.18,0,0,19.33,0,29.14,0,67,0,16.09,26.93,26.93,1861.2599999999998

34,08:15-08:30,20.54,41.07,20.54,11.91,11.92,15.32,20.85,53.39,41.07,19.33,29.17,164.29,41.07,20.54,0.97,0,20.54,10.63,28.03,8.78,0,5.8,0,164.53,0,164.29,0,96.64,0,0,90.36,144.96,0,0,0,24.88,0,76.94,0,0,0,0,0,0,164.29,0,0,26.35,0,26.35,0,0.97,0,0,20.54,1.93,26.35,0,7.73,0,41.07,0,0,7.73,4.94,0,0,19.33,0,34.83,0,77,0,16.09,26.93,26.93,1877.7199999999996

