Block,Time,NR/30092023/26122029/SH-06,NR/20122023/29022024/IEX_LDC_231218_00502,NR/17012024/17012024/IEX_240116_06108,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/17012024/17012024/HPX-TAMCTG-160124-05794,NR/17012024/17012024/DD20240117NR22229,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31012024/HP-27,NR/01102023/19072037/LT-05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/05012024/31012024/SJVN050124NR1342,NR/05012024/31012024/SJVN050124NR1341,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/01102023/30042040/GNA_LT_35,NR/17012024/17012024/DD20240117NR22230,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_07,NR/01012024/31032024/ ChanjuII,NR/17012024/17012024/DD20240117NR22231,NR/01012024/31012024/HP-26,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31012024/HP-28,NR/01102023/22052037/LT-59,NR/01012024/31012024/52,NR/01102023/31052040/LT-31,NR/06012024/31012024/NVVN/OA/16855,NR/01102023/23072042/L_NR_2012_04
8,01:45-02:00,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,1.030000,109.430000,57.160000,69.980000,0,0,21.77,0,9.1,7.01,0,27.31,9.11,21.77,8.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.380000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

9,02:00-02:15,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,21.08,0,8.77,7.01,0,26.31,8.77,21.08,8.55,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

10,02:15-02:30,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,20.44,0,8.39,7.01,0,25.16,8.38,20.44,8.32,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

11,02:30-02:45,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,16.87,0,8.1,7.01,0,24.31,8.11,16.87,8.19,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

12,02:45-03:00,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,16.21,0,7.77,7.01,0,23.31,7.77,16.21,7.96,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

13,03:00-03:15,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,15.54,0,7.39,7.01,0,22.16,7.38,15.54,7.44,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

14,03:15-03:30,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,14.89,0,7.05,7.01,0,21.16,7.06,14.89,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

15,03:30-03:45,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,14.77,0,6.87,7.01,0,20.61,6.88,14.77,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

16,03:45-04:00,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,14.67,0,6.79,7.01,0,20.36,6.78,14.67,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.470000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

17,04:00-04:15,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,14.31,0,7.33,7.01,0,22,7.34,14.31,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

18,04:15-04:30,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,69.980000,0,0,14.11,0,7.33,7.01,0,22,7.34,14.11,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,148.480000

19,04:30-04:45,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,109.430000,57.160000,65.840000,0,0,13.88,0,7.33,7.01,0,22,7.34,13.88,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,191.980000

20,04:45-05:00,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,138.230000,57.160000,65.840000,0,0,13.33,0,7.33,7.01,0,22,7.34,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,32.640000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,230.380000

21,05:00-05:15,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,186.220000,57.160000,74.310000,0,0,13.33,0,7.33,7.01,0,22,7.34,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,51.520000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,269.970000

22,05:15-05:30,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,234.220000,57.160000,82.770000,0,0,13.33,0,7.33,7.01,0,22,7.34,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,75.150000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,269.970000

23,05:30-05:45,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,235.100000,57.160000,65.840000,0,0,13.33,0,7.33,7.01,0,22,7.34,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,48.000000,56.270000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,269.970000

24,05:45-06:00,25.710000,11.520000,0.000000,48.000000,25.710000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,204.370000,57.160000,65.840000,0,0,13.33,0,7.33,7.01,0,22,7.34,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,76.790000,67.700000,1.370000,0.000000,152.120000,0.000000,1.430000,24.470000,0.730000,0.000000,0.000000,48.000000,269.970000

25,06:00-06:15,24.800000,11.520000,0.000000,48.000000,30.720000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,204.370000,0.000000,84.650000,0,0,13.33,0,6.67,7.01,0,20,6.66,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,100.540000,67.700000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.000000,48.000000,269.970000

26,06:15-06:30,30.720000,11.520000,0.000000,48.000000,30.720000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,252.370000,0.000000,114.760000,0,0,13.33,0,6.67,7.01,0,20,6.66,13.33,6.66,0,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,100.540000,86.580000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.000000,48.000000,269.970000

27,06:30-06:45,30.720000,11.520000,0.000000,48.000000,30.720000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,259.750000,0.000000,114.760000,0,0,13.33,0,6.67,7.01,0,20,6.66,13.33,6.66,0.5,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,100.540000,86.580000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.000000,48.000000,269.970000

28,06:45-07:00,30.720000,11.520000,0.000000,48.000000,30.720000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,259.750000,0.000000,114.760000,0,0,13.33,0.89,6.67,7.01,0,20,6.66,13.33,6.66,2,0,0,0,0,0,0,0,0,0,0,0,5.760000,0.000000,0.000000,100.540000,86.580000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.000000,48.000000,269.970000

29,07:00-07:15,30.720000,11.520000,100.790000,48.000000,30.720000,24.000000,0.000000,18.240000,6.720000,0.000000,0.000000,8.160000,0.950000,259.750000,0.000000,114.760000,0,0,11.67,3.45,6.67,7.01,0.262386,20,6.66,11.67,6,7,0.12,0,0,2.55,0,0.02,0,0,0,0,0,5.760000,0.000000,143.980000,100.540000,86.580000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.000000,48.000000,269.970000

30,07:15-07:30,30.720000,11.520000,100.790000,48.000000,30.720000,24.000000,0.000000,18.240000,6.720000,0.000000,11.520000,8.160000,0.950000,259.750000,0.000000,114.760000,0,1,11.67,10.42,6.67,7.01,3.051452,20,6.66,11.67,6,13,1.08,0,0,7.45,0,0.22,0,0,0,0,0,5.760000,0.000000,143.980000,100.540000,86.580000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.000000,48.000000,269.970000

31,07:30-07:45,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,0.110000,18.240000,6.720000,134.390000,71.990000,8.160000,0.950000,259.750000,0.000000,114.760000,0,3,11.67,20.31,6.67,7.01,7.949324,20,6.66,11.67,6,20,2.71,0,1,15.48,0,0.54,0,0,1,0.88,2,5.760000,0.110000,143.980000,100.540000,0.000000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.110000,48.000000,269.970000

32,07:45:08:00,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,0.440000,18.240000,6.720000,134.390000,73.910000,8.160000,0.950000,259.750000,0.000000,114.760000,0,5,11.67,32.43,6.67,7.01,13.090146,20,6.66,11.67,6,28,8.94,5,3,25.49,0,1.79,0,0,3,2.88,7,5.760000,0.430000,143.980000,100.540000,0.000000,1.470000,0.000000,77.420000,0.000000,1.430000,0.000000,0.730000,95.990000,0.430000,48.000000,269.970000

33,08:00-08:15,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,0.980000,18.240000,6.720000,134.390000,75.830000,8.160000,0.950000,259.750000,0.000000,114.760000,0,8,11.67,30.33,6.67,7.01,18.988972,20,6.66,11.67,6,30.34,25.29,5,4,30.33,0,5.06,0,0,4,5.12,11,5.760000,0.960000,198.510000,100.540000,0.000000,1.470000,48.000000,77.420000,0.000000,1.430000,0.000000,0.690000,48.000000,0.960000,48.000000,269.970000

34,08:15-08:30,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,1.760000,18.240000,6.720000,134.390000,75.830000,8.160000,0.950000,259.750000,0.000000,114.760000,0,12,11.67,30.33,6.67,7.01,26.569012,20,6.66,11.67,6,30.34,46.83,5,6,30.33,0,9.36,0,0,7,9.81,18,5.760000,1.710000,198.510000,100.540000,0.000000,1.470000,48.000000,77.420000,0.000000,1.430000,0.000000,0.690000,48.000000,1.710000,48.000000,269.970000

35,08:30-08:45,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,2.990000,18.240000,6.720000,134.390000,77.750000,8.160000,0.950000,259.750000,0.000000,114.760000,0,15,11.67,32,6.67,7.01,35.878856,20,6.66,11.67,6,32,69.59,7,7,32,0,13.92,0,0,10,20.92,25,5.760000,2.910000,198.510000,100.540000,0.000000,1.470000,48.000000,77.420000,0.000000,1.430000,0.000000,0.690000,48.000000,2.910000,48.000000,269.970000

36,08:45:09:00,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,4.880000,18.240000,6.720000,134.390000,75.830000,8.160000,0.950000,259.750000,0.000000,114.760000,0,17,11.67,32,6.67,7.01,46.471476,20,6.66,11.67,6,32,86.78,10,8,32,0,17.35,0,0,13,30.25,32,5.760000,4.770000,198.510000,100.540000,0.000000,1.470000,48.000000,77.420000,0.000000,1.430000,0.000000,0.690000,48.000000,4.770000,48.000000,269.970000

37,09:00:09:15,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,6.930000,18.240000,6.720000,134.390000,4.800000,8.160000,0.950000,259.750000,0.000000,114.760000,0,17,11.67,32,6.67,7.01,57.831818,20,6.66,11.67,6,32,106.68,14,9,32,0,21.33,0,0,16,38.68,39,5.760000,6.760000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,6.760000,48.000000,269.970000

38,09:15-09:30,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,8.460000,18.240000,6.720000,134.390000,25.920000,8.160000,0.950000,259.750000,0.000000,114.760000,0,20,11.67,32,6.67,7.01,70.533244,20,6.66,11.67,6,32,126.57,19,10,32,0,25.31,0,0,19,46.56,46,5.760000,8.250000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,8.250000,48.000000,269.970000

39,09:30-09:45,30.720000,11.520000,100.790000,48.000000,30.720000,24.000000,9.740000,18.240000,6.720000,134.390000,24.000000,8.160000,0.950000,259.750000,0.000000,114.760000,0,20,11.67,32,6.67,7.01,82.94313,20,6.66,11.67,6,32,146.47,10,10,32,0,29.29,0,0,18,54.04,42,5.760000,9.500000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,9.500000,48.000000,269.970000

40,09:45-10:00,30.720000,11.520000,100.790000,48.000000,30.720000,24.000000,10.900000,18.240000,6.720000,134.390000,22.080000,8.160000,0.950000,259.750000,0.000000,114.760000,0,23,11.67,32.5,5,7.01,94.935142,15,5,11.67,6,32.5,166.36,12,12,32.5,0,33.27,0,0,21,60.34,49,5.760000,10.630000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,10.630000,48.000000,269.970000

41,10:00-10:15,30.720000,11.520000,100.790000,48.000000,30.720000,24.000000,7.940000,18.240000,6.720000,134.390000,13.440000,8.160000,0.950000,259.750000,0.000000,114.760000,0,23,11.67,32.5,5,7.01,105.556916,15,5,11.67,6,32.5,174.14,10,12,32.5,0,34.83,0,0,21,66.18,49,5.760000,7.750000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,7.750000,48.000000,269.970000

42,10:15-10:30,30.720000,11.520000,100.790000,48.000000,30.720000,23.040000,8.900000,18.240000,6.720000,134.390000,16.320000,8.160000,0.950000,259.750000,0.000000,114.760000,0,27,11.67,32.5,5,7.01,114.254526,15,5,11.67,6,32.5,189.77,12,13,32.5,0,37.95,0,0,24,71.72,56,5.760000,8.680000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,8.680000,48.000000,269.970000

43,10:30-10:45,30.720000,11.520000,100.790000,48.000000,30.720000,0.000000,9.870000,18.240000,6.720000,134.390000,0.000000,8.160000,0.950000,259.750000,0.000000,114.760000,0,30,11.67,32.5,5,7.01,106.480126,15,5,11.67,6,32.5,205.38,18,15,32.5,0,41.08,0,0,27,68.04,63,5.760000,9.640000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,9.640000,48.000000,269.970000

44,10:45-11:00,30.720000,11.520000,100.790000,48.000000,30.720000,0.000000,7.190000,18.240000,6.720000,134.390000,0.000000,8.160000,0.950000,259.750000,0.000000,114.760000,0,33,11.67,32.5,5,7.01,113.253572,15,5,11.67,6,32.5,221.13,22,17,32.5,0,44.23,0,0,30,73.33,70,5.760000,7.010000,198.510000,100.540000,0.000000,1.370000,48.000000,229.540000,0.000000,1.430000,0.000000,0.690000,48.000000,7.010000,48.000000,269.970000

45,11:00-11:15,30.720000,11.520000,0.000000,48.000000,30.720000,0.000000,8.780000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,259.750000,0.000000,114.760000,0,33,11.67,32.5,5,7.01,119.19127,15,5,11.67,6,32.5,229.17,25,17,32.5,0,45.83,0,0,33,30,77,5.760000,8.560000,0.000000,100.540000,0.000000,1.470000,0.000000,229.540000,0.000000,1.480000,0.000000,0.690000,95.990000,8.560000,48.000000,269.970000

46,11:15-11:30,30.720000,11.520000,0.000000,48.000000,30.720000,0.000000,10.550000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,259.750000,0.000000,114.760000,0,37,11.67,32.5,5,7.01,124.021116,15,5,11.67,6,32.5,229.17,30,18,32.5,0,45.83,19.2,14.4,36,33.33,84,5.760000,10.290000,0.000000,100.540000,0.000000,1.470000,0.000000,229.540000,0.000000,1.480000,0.000000,0.690000,95.990000,10.290000,48.000000,269.970000

47,11:30-11:45,30.720000,11.520000,0.000000,48.000000,30.720000,0.000000,12.530000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,259.750000,0.000000,114.760000,0,31,11.67,32.5,5,7.01,128.442806,15,5,11.67,6,32.5,229.17,35,16,32.5,0,45.83,19.2,14.4,30,38.33,70,5.760000,12.220000,0.000000,100.540000,0.000000,1.470000,0.000000,229.540000,0.000000,1.480000,0.000000,0.690000,95.990000,12.220000,48.000000,269.970000

48,11:45-12:00,30.720000,11.520000,0.000000,48.000000,30.720000,0.000000,14.650000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,259.750000,0.000000,114.760000,0,35,11.67,32.5,5,7.01,131.795516,15,5,11.67,6,32.5,229.17,23,18,32.5,0,45.83,19.2,14.4,34,43.33,81,5.760000,14.300000,0.000000,100.540000,0.000000,1.470000,0.000000,229.540000,0.000000,1.480000,0.000000,0.690000,95.990000,14.300000,48.000000,269.970000

49,12:00-12:15,30.720000,11.520000,0.000000,48.000000,30.720000,0.000000,14.890000,18.240000,6.720000,0.000000,0.000000,8.160000,0.990000,259.750000,0.000000,114.760000,0,33,11.67,32.5,5,7.01,148.432732,15,5,11.67,6,32.5,229.17,26,17,32.5,0,45.83,19.2,14.4,30,50,70,5.760000,14.530000,0.000000,100.540000,0.000000,1.470000,0.000000,229.540000,0.000000,1.480000,0.000000,0.690000,95.990000,14.530000,48.000000,269.970000

