Column1,Block,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/4802,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7196,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/7908,NR/2024/22833/A/36967,NR/2024/23017/A/36696,GNA/NR/2024/09/01/8090,NR/2024/21658/A/36672,GNA/NR/2024/09/01/7119,NR/2024/22734/A/36891,NR/2024/22835/A/36912,NR/2024/22837/A/36966,NR/2024/22848/A/36938,NR/2024/22802/A/36961,NR/2024/22839/A/36965,NR/2024/22754/A/36902,NR/2024/22860/A/36936,NR/2024/23038/A/36625,SR/2024/14136/C,NR/2024/22753/A/36901,NR/2024/23070/C,NR/2024/22816/A/36655,NR/2024/22820/A/36629,NR/2024/23075/C,NR/2024/22874/A/36969,NR/2024/23076/C,NR/2024/22888/A/36920,NR/2024/22832/A/36968,NR/2024/23082/C,NR/2024/23083/C,NR/2024/23074/C,Total
3,00:30-00:45,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.87,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,130.75,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1626.9599999999998

4,00:45-01:00,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.87,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1496.2099999999998

5,01:00-01:15,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1496.0199999999998

6,01:15-01:30,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1496.0199999999998

7,01:30-01:45,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1496.0199999999998

8,01:45-02:00,32.93,82.32,26.91,82.32,20.58,12.95,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1496.0199999999998

9,02:00-02:15,32.93,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1495.74

10,02:15-02:30,32.93,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1495.74

11,02:30-02:45,32.93,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1495.74

12,02:45-03:00,32.93,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,13.56,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1495.74

13,03:00-03:15,0,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.63,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1449.1999999999996

14,03:15-03:30,0,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.63,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1449.1999999999996

15,03:30-03:45,0,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.63,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1449.1999999999996

16,03:45-04:00,0,82.32,26.91,82.32,20.58,12.67,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.63,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1449.1999999999996

17,04:00-04:15,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1448.9599999999998

18,04:15-04:30,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1448.9599999999998

19,04:30-04:45,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1448.9599999999998

20,04:45-05:00,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,67.8,37.41,0,0,0,1448.9599999999998

21,05:00-05:15,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0,1406.34

22,05:15-05:30,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0,1406.34

23,05:30-05:45,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0,1406.34

24,05:45-06:00,0,82.32,26.91,82.32,20.58,12.48,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.58,24.8,96.85,91.04,37.41,84.43,0,6.78,60.53,0,3.87,0,181.59,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0,1405.3700000000001

25,06:00-06:15,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0,1163.1700000000003

26,06:15-06:30,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0,1163.1700000000003

27,06:30-06:45,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0.03,1163.2000000000003

28,06:45-07:00,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0.48,1163.6500000000003

29,07:00-07:15,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,0.92,1164.0900000000004

30,07:15-07:30,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,1.39,1164.5600000000004

31,07:30-07:45,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,1.99,1165.1600000000003

32,07:45-08:00,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,7.75,12.47,0.68,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,2.66,1165.8300000000004

33,08:00-08:15,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,2.87,1167.3000000000002

34,08:15-08:30,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.18,37.41,0,0,3.58,1168.0100000000002

35,08:30-08:45,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,8.72,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,4.18,1168.5900000000004

36,08:45-09:00,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,9.68,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,3.5,1168.8700000000003

37,09:00-09:15,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,9.68,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,3.17,1221.8000000000004

38,09:15-09:30,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,11.62,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,3.41,1223.9800000000002

39,09:30-09:45,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,11.62,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,3.36,1223.93

40,09:45-10:00,0,82.32,26.91,82.32,20.58,12.3,41.16,1.94,41.16,26.91,18.4,37.41,11.62,12.47,0.97,24.8,96.85,91.04,37.41,84.43,0,6.78,0,0,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,3.88,1224.4500000000003

41,10:00-10:15,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,11.62,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,3.41,1223.9800000000002

42,10:15-10:30,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,6.77,1228.31

43,10:30-10:45,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,7.28,1228.82

44,10:45-11:00,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,7.62,1229.1599999999999

45,11:00-11:15,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,8.6,1230.1399999999999

46,11:15-11:30,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,4.85,1226.3899999999999

47,11:30-11:45,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,5.23,1226.77

48,11:45-12:00,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,7.99,1229.53

49,12:00-12:15,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,6.91,1228.45

50,12:15-12:30,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,7.28,1228.82

51,12:30-12:45,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,4.25,1225.79

52,12:45-13:00,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,9.39,1230.93

53,13:00-13:15,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,4.99,1226.53

54,13:15-13:30,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,7.8,1229.34

55,13:30-13:45,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,8.25,1229.79

56,13:45-14:00,0,0,26.91,82.32,20.58,12.3,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,0,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,5.91,1227.45

57,14:00-14:15,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,7.49,1242.7700000000002

58,14:15-14:30,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,6.76,1242.0400000000002

59,14:30-14:45,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,5.55,1240.8300000000002

60,14:45-15:00,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,42.61,10.65,6.19,1241.4700000000003

61,15:00-15:15,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,26.25,27.02,7.62,1242.91

62,15:15-15:30,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,29.25,24.02,5.96,1241.2500000000002

63,15:30-15:45,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,32.74,20.53,5.77,1241.0600000000002

64,15:45-16:00,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.97,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,36.8,16.46,6.45,1241.7300000000002

65,16:00-16:15,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.87,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,19.76,33.51,5.11,1240.3000000000002

66,16:15-16:30,0,0,26.91,82.32,20.58,12.48,0,1.94,41.16,26.91,18.4,37.41,12.59,12.47,0.87,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,24.02,29.25,2.83,1238.0200000000002

67,16:30-16:45,0,0,26.87,82.32,20.58,12.48,0,1.94,41.16,26.87,18.4,37.41,12.59,12.47,0.87,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,28.09,25.18,2.2,1237.31

68,16:45-17:00,0,0,26.87,82.32,20.58,12.48,0,1.94,41.16,26.87,18.4,37.41,12.59,12.47,0.87,24.8,96.85,91.04,37.41,84.43,82.32,6.78,0,13.56,3.87,0,0,96.85,41.16,4.84,164.89,48.42,28.09,25.16,37.41,31.86,21.4,1.75,1236.85

69,17:00-17:15,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,12.59,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,0.88,1182.95

70,17:15-17:30,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,12.59,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,0.81,1182.8799999999999

71,17:30-17:45,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,12.59,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,0.74,1182.81

72,17:45-18:00,0,82.32,26.87,82.32,20.58,12.76,41.16,1.94,41.16,26.87,18.4,37.41,12.59,12.47,0.82,24.8,96.85,91.04,37.41,84.43,0,6.78,0,13.56,3.87,0,0,96.85,0,4.84,164.89,48.42,28.09,25.16,37.41,0,0,0.43,1182.5

