Column1,Block,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6957,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/4138,NR/2025/26418/C,NR/2025/26286/A/68349,NR/2025/26085/A/68207,NR/2025/26401/C,NR/2025/26403/C,NR/2025/26002/A/68643,NR/2025/26404/C,NR/2025/26405/C,NR/2025/26198/A/68680,NR/2025/26202/A/68777,NR/2025/26427/C,NR/2025/26312/A/68389,NR/2025/26201/A/68658,NR/2025/26437/C,NR/2025/26197/A/68681,NR/2025/26191/A/68210,NR/2025/26232/A/68698,NR/2025/26438/C,NR/2025/26233/A/68697,NR/2025/26153/A/68243,NR/2025/26200/A/68678,NR/2025/26398/C,NR/2025/25858/A/68650,NR/2025/26400/C,NR/2025/26199/A/68679,NR/2025/26436/C,NR/2025/25855/A/68651,NR/2025/26336/A/68660,NR/2025/26424/C,NR/2025/26291/A/68692,ER/2025/17306/C,NR/2025/26101/A/68577,NR/2025/26265/A/68696,NR/2025/26289/A/68695,NR/2025/26425/C,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/68236,NR/2025/26335/A/68662,Total
25,06:00-06:15,26.5,26.5,28.95,163.76,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,3.85,0.58,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0,0,0,1476.0699999999997

26,06:15-06:30,26.5,26.5,28.95,163.76,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,136.79,3.85,0.58,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,0.27,0,0,1476.3399999999997

27,06:30-06:45,26.5,26.5,28.95,163.76,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,0,3.85,0.58,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,3.46,0,1,1343.7400000000002

28,06:45-07:00,26.5,26.5,28.95,163.76,9.96,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,0,3.85,0.58,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,6.29,0,4,1349.5700000000002

29,07:00-07:15,26.93,26.93,28.95,163.76,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,0,3.85,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,9.77,0,14,1363.9

30,07:15-07:30,26.93,26.93,28.95,163.76,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,0,3.85,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,14.18,0,28,1382.3100000000002

31,07:30-07:45,26.93,26.93,28.95,163.76,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,0,3.85,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,20.22,0,42,1402.3500000000001

32,07:45-08:00,26.93,26.93,28.95,163.76,9.86,0,0,10.6,13.49,0,122.82,163.76,0,96.33,28.9,14.45,0,0,0,0,3.85,0.67,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,0,48.16,51.03,26.21,0,56,1422.3400000000001

33,08:00-08:15,26.93,26.93,28.95,163.76,9.77,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,12.91,3.85,0.96,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,96.33,48.16,51.03,31.22,7.71,49,1441.1700000000003

34,08:15-08:30,26.93,26.93,28.95,163.76,9.77,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,12.91,3.85,0.96,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,96.33,48.16,51.03,37.91,7.71,60,1458.8600000000004

35,08:30-08:45,26.93,26.93,28.95,163.76,9.77,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,38.72,3.85,0.96,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,96.33,48.16,51.03,44.6,7.71,77,1508.3600000000001

36,08:45-09:00,26.93,26.93,28.95,163.76,9.77,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,38.72,3.85,0.96,0,0,0,0,0,43.78,96.33,0,0,37.22,0,14.59,48.16,4.82,0,4.82,62.61,14.59,0,0,0,43.78,0,0,134.86,0,24.08,0,0,96.33,48.16,51.03,50.66,7.71,88,1525.4200000000003

37,09:00-09:15,26.94,26.94,28.95,163.76,9.68,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,51.63,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,0,0,0,0,0,0,51.03,56.47,5.49,109,1616.8000000000004

38,09:15-09:30,26.94,26.94,28.95,163.76,9.68,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,0,0,0,0,0,0,51.03,62.1,5.78,123,1662.54

39,09:30-09:45,26.94,26.94,28.95,163.76,9.68,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,0,0,0,0,0,0,51.03,67.24,5.88,137,1681.7800000000002

40,09:45-10:00,26.94,26.94,28.95,163.76,9.68,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,77.45,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,0,0,0,0,0,0,51.03,71.93,6.07,147,1696.66

41,10:00-10:15,26.94,26.94,28.95,163.76,9.58,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,70,7.61,161,1723.4899999999998

42,10:15-10:30,26.94,26.94,28.95,163.76,9.58,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,75,7.61,168,1735.4899999999998

43,10:30-10:45,26.94,26.94,28.95,163.76,9.58,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,86.67,11.94,175,1758.49

44,10:45-11:00,26.94,26.94,28.95,163.76,9.58,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,12.52,182,1772.7299999999998

45,11:00-11:15,26.94,26.94,17.51,163.76,9.4,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,98.33,13.49,189,1774.08

46,11:15-11:30,26.94,26.94,17.51,163.76,9.4,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,100,13.49,196,1782.75

47,11:30-11:45,26.94,26.94,17.51,163.76,9.4,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,13.49,203,1783.08

48,11:45-12:00,26.94,26.94,17.51,163.76,9.4,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.86,63.47,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,13.49,203,1783.08

49,12:00-12:15,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,93.33,13.49,203,1782.92

50,12:15-12:30,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,95,13.49,203,1784.5900000000001

51,12:30-12:45,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,96.67,13.49,203,1786.2600000000002

52,12:45-13:00,26.95,26.95,17.51,163.76,9.22,0,0,10.6,13.49,0,122.82,163.76,0,0,28.9,14.45,0,0,0,103.27,4.82,0.96,52.98,24.08,0,4.82,4.82,43.78,32.87,63.46,0,37.22,0,14.59,48.16,0,0,0,62.61,14.59,48.16,0,96.33,43.78,0,0,134.86,38.53,0,0,0,0,0,0,100,13.49,203,1789.5900000000001

