Column1,Time,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2022_09,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_16,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_36,NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/1766,GNA/NR/2024/12/01/1475,GNA/WR/2024/10/15/7089,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/2197,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/3428,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59
54,13:15-13:30,48,193,22.01,29.4,14,25.21,0,82,14,29.4,29.4,45,6.67,241.67,48.33,7.33,95,0,15.35,1.22,15.73,15.35,70.13,0,25.97,25.97,0,0,25.97,96.17,1.84,75,8.66,0,8.66,111.35,0,1.76,0,132.3,7.33,100.19,0,0.85

55,13:30-13:45,48,193,22.01,29.4,14,24.81,0,82,14,29.4,29.4,44,6.67,241.67,48.33,7.33,95,0,14.71,1.22,15.07,14.71,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,111.35,0,1.76,0,128.05,7.33,100.19,0,0.85

56,13:45-14:00,47,189,22.01,29.4,14,24.81,0,81,14,29.4,29.4,43,6.67,241.67,48.33,7.33,93,0,14.55,1.22,14.92,14.55,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,111.35,0,1.76,0,122.89,7.33,100.19,0,0.85

57,14:00-14:15,45,188,22.01,29.4,14,24.41,0,80,14,29.4,29.4,42,6.67,241.67,48.33,7.33,90,0,14.06,1.3,14.4,14.06,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,101.29,0,1.76,0,116.97,7.33,100.19,16.15,0.85

58,14:15-14:30,43,181,22.01,29.4,14,24.61,0,78,14,29.4,29.4,40,6.67,237.44,47.49,7.33,87,0,13.27,1.3,13.61,13.27,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,95.52,0,1.76,0,110.17,7.33,100.19,17.16,0.85

59,14:30-14:45,41,173,22.01,29.4,14,24.81,0,74,14,29.4,29.4,38,6.67,227.48,45.5,7.33,81,0,12.55,1.3,12.85,12.55,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,95.52,0,1.76,0,102.56,7.33,100.19,17.67,0.85

60,14:45-15:00,38,164,22.01,29.4,14,25.01,0,70,14,29.4,29.4,35,6.67,214.19,42.84,7.33,77,0,11.45,1.3,11.74,11.45,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,80.78,0,1.76,0,94.23,7.33,100.19,18.68,0.85

61,15:00-15:15,35,153,22.01,29.74,14,21.01,0,66,14,29.73,29.73,32,6.67,200.07,40.01,7.33,70,0,10.61,1.3,10.87,10.61,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,80.78,0,1.81,0,84.96,7.33,100.19,19.68,0.93

62,15:15-15:30,33,141,22.01,29.74,14.67,20.41,0,61,14.66,29.73,29.73,30,6.67,185.7,37.14,7.33,66,0,9.46,1.3,9.69,9.46,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,80.78,0,1.81,0,74.75,7.33,100.19,20.19,0.93

63,15:30-15:45,29,129,25.01,29.74,16.67,19.61,0,55,16.66,29.73,29.73,27,6.67,169.83,33.97,8.33,57,0,8.38,1.3,8.6,8.38,70.13,0,25.97,25.97,0,0,25.97,74.78,1.84,75,8.66,0,8.66,95.52,0,1.81,0,63.71,8.33,100.19,21.2,0.93

64,15:45-16:00,25,115,25.99,31.6,18.33,19.01,0,49,18.34,31.6,26,23,6.67,152.72,30.55,8.67,50,0,7.31,1.3,7.49,7.31,70.13,0,25.97,25.97,0,0,25.97,96.17,1.84,75,8.66,0,8.66,114.72,0,1.81,0,51.76,8.67,100.19,22.21,0.93

65,16:00-16:15,21,99,27,32.7,16.33,18.81,0,43,16.34,32.71,20,18,6.67,134.32,26.87,9,41,0,6.21,1.38,6.36,6.21,70.13,0,25.97,25.97,0,0,25.97,115.4,1.84,75,8.66,0,8.66,114.72,0,1.81,0,39.4,9,100.19,22.21,0.93

66,16:15-16:30,17,83,27,33,16.67,18.61,0,35,16.66,26.03,13,12,7.33,114.86,22.97,9,33,0,5.04,1.38,5.17,5.04,70.13,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,114.72,0,1.81,0,27.65,9,100.19,22.21,0.93

67,16:30-16:45,11,65,28.01,24.28,17,18.21,0,28,17,14.9,7,8,8,93.23,18.65,9.33,22,0,3.87,1.38,3.97,3.87,70.13,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,130.55,0,1.81,0,17.96,9.33,100.19,23.22,0.93

68,16:45-17:00,7,46,28.01,9.85,17.33,18.01,0,19,17.34,6.23,1,5,8.33,66.67,13.34,9.33,13,0,2.71,1.38,2.78,2.71,70.13,0,25.97,25.97,0,0,25.97,135.25,1.84,75,8.66,0,8.66,130.55,0,1.81,0,11.61,9.33,100.19,23.22,0.93

69,17:00-17:15,4,25,28.99,3.6,18,19.81,0,11,18,1.49,0,2,11.33,41.32,8.26,9.67,8,0,1.93,1.45,1.98,1.93,70.13,0,31.74,31.74,0,0,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,7.29,9.67,100.19,23.22,0.93

70,17:15-17:30,1,7,28.99,1.02,18.67,19.61,0,3,18.66,2.31,0,1,11,21.36,4.27,9.67,2,0,1.31,1.45,1.34,1.31,70.13,0,31.74,31.74,0,0,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,2.62,9.67,100.19,24.23,0.93

71,17:30-17:45,0,4,34.99,0.05,20,19.21,0,1,20,1.32,0,0,13,7.58,1.52,11.67,1,0,0.82,1.45,0.84,0.82,70.13,0,31.74,31.74,0,0,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,0,11.67,100.19,25.24,0.93

72,17:45-18:00,0,0,35.51,0.03,21,18.01,0,0,21,0.73,0,0,13,1.11,0.22,11.83,0,0,0.46,1.45,0.47,0.46,70.13,0,31.74,31.74,0,0,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,0,11.83,100.19,25.24,0.93

73,18:00-18:15,0,0,34.99,0,21.67,19.81,0,0,21.66,0,0,0,12.33,0,0,11.67,0,0,0.26,1.38,0.27,0.26,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,0,11.67,100.19,25.24,0.93

74,18:15-18:30,0,0,34.5,0,22,19.61,0,0,22,0,0,0,11.67,0,0,11.5,0,0,0,1.38,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,0,11.5,100.19,25.24,0.93

75,18:30-18:45,0,0,34.01,0,22.33,19.01,0,0,22.34,0,0,0,11.33,0,0,11.33,0,0,0,1.38,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,0,11.33,100.19,25.24,0.93

76,18:45-19:00,0,0,32.51,0,22.67,18.61,0,0,22.66,0,0,0,11,0,0,10.83,0,0,0,1.38,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,130.55,0,1.76,0,0,10.83,100.19,25.24,0.93

77,19:00-19:15,0,0,31.5,0,23.33,15.81,0,0,23.34,0,0,0,10.33,0,0,10.5,0,0,0,1.3,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,111.35,0,1.71,0,0,10.5,100.19,25.24,0.85

78,19:15-19:30,0,0,29.51,0,24.33,16.01,0,0,24.34,0,0,0,10,0,0,9.83,0,0,0,1.3,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,111.35,0,1.71,0,0,9.83,100.19,25.24,0.85

79,19:30-19:45,0,0,27.49,0,24.67,14.61,0,0,24.66,0,0,0,9.67,0,0,9.17,0,0,0,1.3,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,111.35,0,1.71,0,0,9.17,100.19,25.24,0.85

80,19:45-20:00,0,0,26.51,0,25.33,15.01,0,0,25.34,0,0,0,9,0,0,8.83,0,0,0,1.3,0,0,70.13,0,31.74,31.74,150,50,31.74,135.25,1.92,75,8.66,0,8.66,111.35,0,1.71,0,0,8.83,100.19,25.24,0.85

81,20:00-20:15,0,0,25.5,0,28,15.41,0,0,28,0,0,0,8.33,0,0,8.5,0,0,0,1.3,0,0,70.13,0,31.74,31.74,250,50,31.74,135.25,1.92,75,8.66,0,8.66,111.35,0,1.71,0,0,8.5,100.19,24.23,0.85

82,20:15-20:30,0,0,25.01,0,30.67,15.21,0,0,30.66,0,0,0,7.67,0,0,8.33,0,0,0,1.3,0,0,70.13,0,31.74,31.74,250,50,31.74,135.25,1.92,75,8.66,0,8.66,111.35,0,1.71,0,0,8.33,100.19,24.23,0.85

