Column1,Block,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/6528,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,NER/2024/2820/A/50924,NR/2024/24435/A/50650,NR/2025/25002/C,NR/2025/25003/C,WR/2024/25501/A/50927,NR/2025/25004/C,NR/2024/24566/A/50642,NR/2024/24507/A/50948,NR/2024/24418/A/50632,NR/2024/24508/A/50947,NR/2024/24434/A/50651,NR/2025/25009/C,NR/2025/24838/A/50878,NR/2025/25008/C,NR/2025/24837/A/50876,NR/2025/24839/A/50880,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3945,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/9333,Total
3,00:30-00:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

4,00:45-01:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

5,01:00-01:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

6,01:15-01:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

7,01:30-01:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

8,01:45-02:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

9,02:00-02:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

10,02:15-02:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

11,02:30-02:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

12,02:45-03:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

13,03:00-03:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0,0,360.19000000000005

14,03:15-03:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0,0,360.19000000000005

15,03:30-03:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0,0,360.19000000000005

16,03:45-04:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.37,23.06,20.17,0,23.06,0,0,0,0,0,0,360.19000000000005

17,04:00-04:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

18,04:15-04:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

19,04:30-04:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

20,04:45-05:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,23.06,28.82,26.9,0,9.61,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,23.06,20.17,0,23.06,0,0,0,0,0,0,360.11000000000007

21,05:00-05:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.43,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.95000000000005

22,05:15-05:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.43,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.95000000000005

23,05:30-05:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.43,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.95000000000005

24,05:45-06:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.43,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.95000000000005

25,06:00-06:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.90000000000003

26,06:15-06:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.90000000000003

27,06:30-06:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,0,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,413.90000000000003

28,06:45-07:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,25.94,28.82,26.9,38.43,16.33,19.21,0,0,0,5.76,17.29,0.38,8.73,0,0,0,0,0,0,1.29,25.94,20.17,0,25.94,0,0,0,0,0,0,433.11

29,07:00-07:15,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,57.64,0,0,0,5.76,17.29,0.86,8.73,0,0,0,0,0,0,1.37,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,793.99

30,07:15-07:30,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,57.64,0,0,0,5.76,17.29,0.86,8.73,0,0,0,0,0,0,1.37,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,793.99

31,07:30-07:45,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,57.64,0,0,0,5.76,17.29,0.86,8.73,0,0,0,0,0,0,1.37,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,793.99

32,07:45-08:00,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,57.64,0,0,0,5.76,17.29,0.86,8.73,0,0,0.01,0,0.03,0.01,1.37,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,794.04

33,08:00-08:15,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,96.07,0,0,0,5.76,17.29,0.86,8.73,0,0,0.04,0,0.08,0.04,1.29,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,832.5

34,08:15-08:30,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,96.07,0,0,0,5.76,17.29,0.86,8.73,0,0,0.09,0,0.16,0.09,1.29,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,832.6800000000001

35,08:30-08:45,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,96.07,0,0,0,5.76,17.29,0.86,8.73,0,0,0.13,0,0.28,0.13,1.29,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,832.8799999999999

36,08:45-09:00,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,96.07,0,0,0,5.76,17.29,0.86,8.73,0,0,0.19,0,0.38,0.19,1.29,36.51,20.17,0,36.51,0,50,9.61,7.69,96.07,30.74,833.1000000000001

37,09:00-09:15,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,19.21,28.82,26.9,0,16.33,124.89,8.73,0,17.29,5.76,0,0.86,0,3.84,38.43,0.29,14.41,0.48,0.19,1.29,19.21,20.17,0,19.21,0,0,9.61,7.69,96.07,30.74,778.47

38,09:15-09:30,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,19.21,28.82,26.9,0,16.33,124.89,8.73,0,17.29,5.76,0,0.86,0,3.84,38.43,0.29,14.41,0.48,0.19,1.29,19.21,20.17,0,19.21,0,0,9.61,7.69,96.07,30.74,778.47

39,09:30-09:45,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,19.21,28.82,26.9,0,16.33,124.89,8.73,0,17.29,5.76,0,0.86,0,3.84,38.43,0.29,14.41,0.48,0.19,1.29,19.21,20.17,0,19.21,0,0,9.61,7.69,96.07,30.74,778.47

40,09:45-10:00,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,19.21,28.82,26.9,0,16.33,124.89,8.73,0,17.29,5.76,0,0.86,0,3.84,38.43,0.29,14.41,0.48,0.19,1.29,19.21,20.17,0,19.21,0,0,9.61,7.69,96.07,30.74,778.47

41,10:00-10:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,19.21,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,4.8,38.43,0.29,14.41,0.48,0.19,1.29,19.21,20.17,0,19.21,0,0,0,0,0,0,411.47000000000014

42,10:15-10:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,19.21,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,4.8,38.43,0.29,14.41,0.48,0.19,1.29,19.21,20.17,0,19.21,0,0,0,0,0,0,411.47000000000014

43,10:30-10:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,4.8,38.43,0.29,14.41,0.48,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,419.17000000000013

44,10:45-11:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,4.8,38.43,0.29,14.41,0.48,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,419.17000000000013

45,11:00-11:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.29,14.41,0.48,0.19,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,421.17000000000013

46,11:15-11:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.29,14.41,0.58,0.19,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,421.2700000000001

47,11:30-11:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.29,14.41,0.58,0.19,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,421.2700000000001

48,11:45-12:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.29,14.41,0.58,0.19,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,421.2700000000001

49,12:00-12:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.38,14.41,0.67,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,421.3700000000001

50,12:15-12:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.38,14.41,0.67,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,421.3700000000001

51,12:30-12:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.38,14.41,0.67,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,421.3700000000001

52,12:45-13:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.86,8.73,6.72,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,421.2800000000001

53,13:00-13:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,5.76,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,420.23

54,13:15-13:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,5.76,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,420.23

55,13:30-13:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,5.76,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,420.23

56,13:45-14:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,5.76,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,420.23

57,14:00-14:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,4.8,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,419.27000000000004

58,14:15-14:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,4.8,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,419.27000000000004

59,14:30-14:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,4.8,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,419.27000000000004

60,14:45-15:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.77,8.73,4.8,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,419.27000000000004

61,15:00-15:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.67,8.73,4.8,38.43,0.38,14.41,0.58,0.19,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,419.25000000000006

62,15:15-15:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.67,8.73,4.8,38.43,0.38,14.41,0.58,0.19,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,419.25000000000006

63,15:30-15:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.67,8.73,4.8,38.43,0.38,14.41,0.58,0.29,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,419.3500000000001

64,15:45-16:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.67,8.73,4.8,38.43,0.38,14.41,0.58,0.29,1.37,23.06,20.17,0,19.21,0,0,0,0,0,0,419.3500000000001

65,16:00-16:15,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.48,8.73,2.88,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,417.06000000000006

66,16:15-16:30,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.48,8.73,2.88,38.43,0.38,14.41,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,417.06000000000006

67,16:30-16:45,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.48,8.73,2.88,38.24,0.38,14.6,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,417.06000000000006

68,16:45-17:00,0,48.04,0,0,48.04,19.21,5.76,0,48.04,23.06,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.48,8.73,2.88,30.07,0.38,13.93,0.58,0.19,1.29,23.06,20.17,0,19.21,0,0,0,0,0,0,408.22

69,17:00-17:15,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,0,0,0,0,5.76,17.29,0.48,8.73,0.96,0,0.34,0,0.5,0.16,1.29,31.7,20.17,0,31.7,0,0,0,0,0,0,394.81

70,17:15-17:30,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,28.82,0,0,0,5.76,17.29,0.48,8.73,0.96,0,0.21,0,0.33,0.11,1.29,31.7,20.17,0,31.7,0,0,0,0,0,0,423.28

71,17:30-17:45,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,28.82,0,0,0,5.76,17.29,0.48,8.73,0.96,0,0.14,0,0.21,0.07,1.29,31.7,20.17,0,31.7,0,0,0,0,0,0,423.04999999999995

72,17:45-18:00,0,48.04,0,0,48.04,19.21,8.65,0,48.04,31.7,28.82,26.9,0,16.33,28.82,0,0,0,5.76,17.29,0.48,8.73,0.96,0,0.03,0,0.04,0.01,1.29,31.7,20.17,0,31.7,0,0,0,0,0,0,422.71

73,18:00-18:15,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,28.82,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0.02,0,0.03,0.01,1.29,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,883.1999999999998

74,18:15-18:30,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,28.82,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,883.1399999999999

75,18:30-18:45,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,28.82,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,883.1399999999999

76,18:45-19:00,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.48,8.73,0,0,0,0,0,0,1.29,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,854.3200000000002

77,19:00-19:15,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.37,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,854.5

78,19:15-19:30,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.37,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,854.5

79,19:30-19:45,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.37,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,854.5

80,19:45-20:00,5.76,48.04,90.31,0,48.04,19.21,8.65,0,48.04,36.51,28.82,26.9,38.43,16.33,0,0,38.43,0,5.76,17.29,0.58,8.73,0,0,0,0,0,0,1.37,36.51,20.17,30,36.51,50,50,9.61,7.69,96.07,30.74,854.5

