Time,Block,NR/2023/17520/C,NR/2023/13148/A,NR/2023/16191/A,NR/2023/13383/A,NR/2023/17516/C,NR/2023/16185/A,NR/2023/17514/C,NR/2023/17518/C,NR/2023/17511/C,NR/2023/13387/A,NR/2023/17506/D,NR/2023/13385/A,NR/2023/13168/A,NR/2023/17515/C,NR/2023/16073/A,NR/2023/16077/A,ER/2023/11204/C,NR/2023/17503/D,NR/2023/16291/F,NR/2023/13254/A,NR/2023/13165/A,ER/2023/11201/C,NR/2023/13150/A,NR/2023/13253/A,NR/2023/17519/C,NR/2023/17508/C,NR/2023/15770/A,Total

3,00:30-00:45,125.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,19.330000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,0.000000,0,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,260.020000,0.000000,62.830000,1196.62

4,00:45-01:00,125.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,0.000000,0,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,242.620000,0.000000,62.830000,1159.89

5,01:00-01:15,96.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,252.280000,0.000000,62.830000,1175.31

6,01:15-01:30,96.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,188.490000,0.000000,62.830000,1111.52

7,01:30-01:45,96.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,155.620000,0.000000,62.830000,1078.65

8,01:45-02:00,96.660000,36.470000,42.050000,36.830000,7.100000,38.660000,6.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,110.190000,0.000000,62.830000,1033.22

9,02:00-02:15,0.000000,36.470000,42.050000,36.830000,7.020000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,206.850000,0.000000,62.830000,1032.14

10,02:15-02:30,0.000000,36.470000,42.050000,36.830000,7.020000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,164.320000,0.000000,62.830000,989.61

11,02:30-02:45,0.000000,36.470000,42.050000,36.830000,7.020000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,115.990000,0.000000,62.830000,941.28

12,02:45-03:00,0.000000,36.470000,42.050000,36.830000,7.020000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,0.000000,63.020000,48.330000,95.690000,0.000000,62.830000,920.98

13,03:00-03:15,0.000000,0.000000,42.050000,36.830000,6.920000,38.660000,5.050000,21.270000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,20.000000,63.020000,48.330000,0.000000,0.000000,62.830000,829.99

14,03:15-03:30,0.000000,0.000000,42.050000,36.830000,6.920000,38.660000,5.050000,21.270000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,20.000000,63.020000,48.330000,0.000000,0.000000,62.830000,829.99

15,03:30-03:45,0.000000,0.000000,42.050000,36.830000,6.920000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,20.000000,63.020000,48.330000,0.000000,0.000000,62.830000,808.72

16,03:45-04:00,0.000000,0.000000,42.050000,36.830000,6.920000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.630000,19.610000,22.230000,20.000000,63.020000,48.330000,0.000000,0.000000,62.830000,808.72

17,04:00-04:15,0.000000,0.000000,42.050000,36.830000,6.820000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.57

18,04:15-04:30,0.000000,0.000000,42.050000,36.830000,6.820000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.57

19,04:30-04:45,0.000000,0.000000,42.050000,36.830000,6.820000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.57

20,04:45-05:00,0.000000,0.000000,42.050000,36.830000,6.820000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.57

21,05:00-05:15,0.000000,0.000000,42.050000,36.830000,6.740000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.49

22,05:15-05:30,0.000000,0.000000,42.050000,36.830000,6.740000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.49

23,05:30-05:45,0.000000,0.000000,42.050000,36.830000,6.740000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.49

24,05:45-06:00,0.000000,0.000000,42.050000,36.830000,6.740000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,85.930000,35.000000,0,0.580000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,853.49

25,06:00-06:15,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,35.000000,0,0.680000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,730.73

26,06:15-06:30,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,35.000000,0,0.680000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,730.73

27,06:30-06:45,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,35.000000,0.14,0.680000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,729.85

28,06:45-07:00,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,35.000000,0.66,0.680000,19.610000,22.230000,65.000000,63.020000,48.330000,0.000000,0.000000,62.830000,730.37

29,07:00-07:15,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,25.000000,1.12,0.680000,19.610000,22.230000,22.000000,63.020000,48.330000,0.000000,0.000000,62.830000,677.83

30,07:15-07:30,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,25.000000,1.35,0.680000,19.610000,22.230000,22.000000,63.020000,48.330000,0.000000,0.000000,62.830000,678.06

31,07:30-07:45,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,25.000000,1.48,0.680000,19.610000,22.230000,22.000000,63.020000,48.330000,0.000000,0.000000,62.830000,678.19

32,07:45:08:00,0.000000,0.000000,42.050000,0.000000,6.640000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,25.000000,1.84,0.680000,19.610000,22.230000,22.000000,63.020000,48.330000,0.000000,0.000000,62.830000,678.55

33,08:00-08:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,1.6,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,0.000000,62.830000,631.51

34,08:15-08:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,4.030000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,1.22,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,0.000000,62.830000,631.13

35,08:30-08:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,1.23,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,0.000000,62.830000,632.16

36,08:45:09:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,5.050000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,2.24,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,0.000000,62.830000,633.17

37,09:00:09:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,6.050000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.87,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,687.97

38,09:15-09:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,6.050000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,3.67,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,688.77

39,09:30-09:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,6.050000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,6.83,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,691.93

40,09:45-10:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,7.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,5.14,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,691.26

41,10:00-10:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,7.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,6.59,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,692.71

42,10:15-10:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,7.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,8.8,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,694.92

43,10:30-10:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,7.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,7.67,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,693.79

44,10:45-11:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,7.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,5.79,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,691.91

45,11:00-11:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,9.080000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,4.7,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,692.83

46,11:15-11:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,9.080000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.77,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,690.9

47,11:30-11:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,9.080000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,6.83,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,694.96

48,11:45-12:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,9.080000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,7.95,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,696.08

49,12:00-12:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,3.84,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,690.96

50,12:15-12:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,3.4,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,690.52

51,12:30-12:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,4.6,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,691.72

52,12:45-13:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,4.66,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,691.78

53,13:00-13:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,5,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,692.12

54,13:15-13:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,5.71,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,692.83

55,13:30-13:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.34,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,689.46

56,13:45-14:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.82,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,688.94

57,14:00-14:15,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,26.100000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.56,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,714.78

58,14:15-14:30,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,50.260000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.24,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,738.62

59,14:30-14:45,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,50.260000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.52,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,738.9

60,14:45-15:00,0.000000,0.000000,42.050000,0.000000,6.550000,38.660000,8.070000,50.260000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.87,0.970000,19.610000,22.230000,0.000000,63.020000,48.330000,0.000000,29.000000,62.830000,740.25

61,15:00-15:15,0.000000,0.000000,42.050000,0.000000,6.740000,38.660000,8.070000,50.260000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,4.31,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,46.400000,29.000000,62.830000,788.18

62,15:15-15:30,0.000000,0.000000,42.050000,0.000000,6.740000,38.660000,8.070000,53.160000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.2,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,86.990000,29.000000,62.830000,829.56

63,15:30-15:45,0.000000,0.000000,42.050000,0.000000,6.740000,38.660000,8.070000,33.830000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.76,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,129.520000,29.000000,62.830000,852.32

64,15:45-16:00,0.000000,0.000000,42.050000,0.000000,6.740000,38.660000,8.070000,33.830000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.48,0.870000,19.610000,22.230000,0.000000,63.020000,48.330000,177.850000,29.000000,62.830000,900.37

65,16:00-16:15,0.000000,0.000000,42.050000,0.000000,6.920000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.11,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,238.750000,29.000000,62.830000,928.2

66,16:15-16:30,0.000000,0.000000,42.050000,0.000000,6.920000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.87,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,265.820000,29.000000,62.830000,955.03

67,16:30-16:45,0.000000,0.000000,42.050000,0.000000,6.920000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,2.46,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,273.550000,29.000000,62.830000,963.35

68,16:45-17:00,0.000000,0.000000,42.050000,0.000000,6.920000,38.660000,8.070000,0.000000,8.220000,100.040000,112.610000,50.020000,34.800000,15.95,24.160000,0.000000,0.000000,1.92,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,270.650000,29.000000,62.830000,959.91

69,17:00-17:15,48.330000,0.000000,42.050000,0.000000,7.100000,38.660000,8.070000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,1.42,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,235.850000,0.000000,62.830000,919.95

70,17:15-17:30,48.330000,0.000000,42.050000,0.000000,7.100000,38.660000,8.070000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,1.13,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,225.220000,0.000000,62.830000,909.03

71,17:30-17:45,48.330000,0.000000,42.050000,0.000000,7.100000,38.660000,8.070000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,0.7,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,243.580000,0.000000,62.830000,926.96

72,17:45-18:00,48.330000,0.000000,42.050000,0.000000,7.100000,38.660000,8.070000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,24.160000,0.000000,0.000000,0.34,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,242.620000,0.000000,62.830000,925.64

73,18:00-18:15,96.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,0.000000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0.1,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,335.410000,0.000000,62.830000,1079.02

74,18:15-18:30,96.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,3.870000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,342.180000,0.000000,62.830000,1089.56

75,18:30-18:45,96.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,14.500000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,346.040000,0.000000,62.830000,1104.05

76,18:45-19:00,96.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,18.370000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,409.840000,0.000000,62.830000,1171.72

77,19:00-19:15,125.660000,36.470000,42.050000,0.000000,7.380000,38.660000,8.070000,97.630000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,273.550000,0.000000,62.830000,1143.78

78,19:15-19:30,125.660000,36.470000,42.050000,0.000000,7.380000,38.660000,8.070000,96.660000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,271.610000,0.000000,62.830000,1140.87

79,19:30-19:45,125.660000,36.470000,42.050000,0.000000,7.380000,38.660000,8.070000,91.830000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,274.510000,0.000000,62.830000,1138.94

80,19:45-20:00,125.660000,36.470000,42.050000,0.000000,7.380000,38.660000,8.070000,92.790000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.820000,19.610000,22.230000,0.000000,63.020000,48.330000,263.880000,0.000000,62.830000,1129.27

81,20:00-20:15,125.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,97.630000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.770000,19.610000,22.230000,0.000000,63.020000,48.330000,232.950000,0.000000,62.830000,1103.04

82,20:15-20:30,125.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,83.130000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.770000,19.610000,22.230000,0.000000,63.020000,48.330000,194.290000,0.000000,62.830000,1049.88

83,20:30-20:45,125.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,63.800000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.770000,19.610000,22.230000,0.000000,63.020000,48.330000,195.250000,0.000000,62.830000,1031.51

84,20:45-21:00,125.660000,36.470000,42.050000,0.000000,7.290000,38.660000,8.070000,58.960000,0.000000,100.040000,112.610000,50.020000,34.800000,0,0.000000,0.000000,0.000000,0,0.770000,19.610000,22.230000,0.000000,63.020000,48.330000,261.950000,0.000000,62.830000,1093.37

