Time,Block,NR/2024/18806/A/11321,NR/2024/18759/A/11291,NR/2024/18874/A/11364,NR/2024/18807/A/11361,SR/2024/12665/C,NR/2024/18932/C,Total

55,13:30-13:45,9.650000,0.820000,1.930000,0.000000,0.00,9.12,21.52

56,13:45-14:00,9.650000,0.820000,1.930000,0.000000,0.00,8.78,21.18

57,14:00-14:15,9.650000,0.920000,1.930000,1.930000,0.00,8.49,22.92

58,14:15-14:30,9.650000,0.920000,1.930000,1.930000,0.00,8.2,22.63

59,14:30-14:45,9.650000,0.920000,1.930000,1.930000,0.00,7.91,22.34

60,14:45-15:00,9.650000,0.920000,1.930000,1.930000,0.00,7.33,21.76

61,15:00-15:15,9.650000,0.920000,1.930000,1.930000,0.00,6.95,21.38

62,15:15-15:30,9.650000,0.920000,1.930000,1.930000,0.00,6.66,21.09

63,15:30-15:45,9.650000,0.920000,1.930000,1.930000,0.00,6.37,20.8

64,15:45-16:00,9.650000,0.920000,1.930000,1.930000,0.00,5.69,20.12

65,16:00-16:15,9.650000,0.630000,1.930000,1.930000,0.00,5.31,19.45

66,16:15-16:30,9.650000,0.630000,1.930000,1.930000,0.00,4.82,18.96

67,16:30-16:45,9.650000,0.630000,1.930000,1.930000,0.00,4.34,18.48

68,16:45-17:00,9.650000,0.630000,1.930000,1.930000,0.00,3.42,17.56

69,17:00-17:15,9.650000,0.630000,1.930000,1.930000,0.00,1.98,16.12

70,17:15-17:30,9.650000,0.630000,1.930000,1.930000,0.00,1.37,15.51

71,17:30-17:45,9.650000,0.630000,1.930000,1.930000,0.00,0.73,14.87

72,17:45-18:00,9.650000,0.630000,1.930000,1.930000,0.00,0.13,14.27

73,18:00-18:15,9.650000,0.630000,1.930000,1.930000,0.00,0.17,14.31

74,18:15-18:30,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

75,18:30-18:45,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

76,18:45-19:00,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

77,19:00-19:15,9.650000,0.720000,1.930000,1.930000,0.00,0,14.23

78,19:15-19:30,9.650000,0.720000,1.930000,1.930000,0.00,0,14.23

79,19:30-19:45,9.650000,0.720000,1.930000,1.930000,0.00,0,14.23

80,19:45-20:00,9.650000,0.720000,1.930000,1.930000,0.00,0,14.23

81,20:00-20:15,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

82,20:15-20:30,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

83,20:30-20:45,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

84,20:45-21:00,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

85,21:00-21:15,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

86,21:15-21:30,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

87,21:30-21:45,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

88,21:45-22:00,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

89,22:00-22:15,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

90,22:15-22:30,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

91,22:30-22:45,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

92,22:45-23:00,9.650000,0.680000,1.930000,1.930000,0.00,0,14.19

93,23:00-23:15,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

94,23:15-23:30,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

95,23:30-23:45,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

96,23:45-24:00,9.650000,0.630000,1.930000,1.930000,0.00,0,14.14

