Column1,Time,GNA/NR/2025/08/01/3698,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6209,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/2414,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/6187,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/5784,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/1044,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/07/01/2952,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/5126,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8128,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/07/5932,NR/01102023/06022042/L_NR_2012_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/08/21/8605,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19
6,01:15-01:30,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,26.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,14,16.01,5.33,6.67,5.33,0,14,0,18.81,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,26.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,87.07,271.49,0,0,0,0,14,16.01,5.33,6.67,5.33,0,14,0,17.21,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,14.62,130.61,14.13,48.26,0,100.56,48.26,0,29.03,26.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,0,12.69,8.43,-0,83.3,271.49,0,0,0,0,14,16.5,5.5,6.67,5.5,0,14,0,17.21,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,17.01,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,16.81,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,1.48,0,14.62,15.3,20.83,24.13,2.13,0,19.31,24.13,0,9.91,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,17.01,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,1.48,0,14.62,15.3,20.83,24.13,2.13,0,19.31,24.13,0,9.91,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,17.01,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,17.21,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,17.01,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,17.01,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,14.62,130.61,14.13,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,16.81,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.67,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,16.61,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.67,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,16.21,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.67,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,12.01,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.25,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.67,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,12.21,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,12.01,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,2.78,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,12.21,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.74,96.53,70.4,3.25,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,12.21,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.74,96.53,70.4,3.25,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,0,10,15.49,5.17,5,5.17,0,10,0,12.41,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.74,96.53,104.48,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,0,8.57,10,15.49,5.17,5,5.17,3.99,10,0,12.61,0.02,0.01,0,0,0,1,1,1,1,0.11

26,06:15-06:30,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.74,96.53,115.83,3.23,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0,12.69,7.95,-0,87.07,271.49,0,0,1,15.7,10,15.49,5.17,5,5.17,7.51,10,0,12.41,1.85,0.42,0.08,1,0,2,2,2,2,1.27

27,06:30-06:45,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.24,96.53,115.83,3.23,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0.34,12.69,7.95,-0,87.07,271.49,0.45,0.45,4,24.99,10,15.49,5.17,5,5.17,22.66,10,0,10,4.97,3.71,0.74,2,0,4,4,5,3,2.78

28,06:45-07:00,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,26.24,96.53,115.83,3.23,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,0.66,12.69,7.95,-0,87.07,271.49,0.86,0.86,8,33,10,15.49,5.17,6.67,5.17,33,10,0,9.8,7.81,14.96,2.99,4,0,7,7,7,4,4.72

29,07:00-07:15,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,1.07,12.69,7.67,-0,87.07,271.49,1.38,1.38,12,33,11.67,15.49,5.17,6.67,5.17,33,11.66,0,10,11.86,23.29,4.66,6,0,11,9,11,5,6.9

30,07:15-07:30,14.62,130.61,18.76,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,1.61,12.69,7.67,-0,87.07,271.49,2.09,2.09,16,33,11.67,15.49,5.17,6.67,5.17,33,11.66,0,9.8,16.49,35.14,7.03,8,0,13,12,16,7,12.66

31,07:30-07:45,14.62,102.77,18.76,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,2.21,12.69,7.67,-0,67.12,232.88,2.86,2.86,24,33,13,15.49,5.17,6.67,5.17,33,13,0,10,21.58,46.39,9.28,9,0,18,16,19,8,16.56

32,07:45-08:00,14.62,102.77,18.76,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,2.86,12.69,7.67,-0,67.12,194.27,3.7,3.7,32,32.9,13,15.49,5.17,6.67,5.17,32.9,13,0,10.2,27.08,58.9,11.78,12,0,23,21,25,12,16.56

33,08:00-08:15,14.62,102.77,18.76,96.53,0,100.56,48.26,0,29.03,26.24,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,3.51,12.69,7.67,-0,67.12,155.65,4.54,4.54,33,33,13,15.49,5.17,6.67,5.17,33,13,0,10,32.97,71.44,14.29,16,0,28,25,32,16,16.56

34,08:15-08:30,14.62,102.77,18.76,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,4.24,12.69,7.67,-0,67.12,150.11,5.49,5.49,33,33,13,15.49,5.17,6.67,5.17,33,13,0,10.2,39.1,84.3,16.86,19,0,33,30,39,19,16.56

35,08:30-08:45,14.62,102.77,18.76,96.53,0,100.56,48.26,0,29.03,26.24,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,4.96,12.69,7.67,-0,67.12,185.33,6.43,6.43,33,33,15,15.49,5.17,6.67,5.17,33,15,0,10,45.2,97.67,19.54,23,0,37,34,45,21,16.56

36,08:45-09:00,14.62,102.77,18.76,96.53,0,100.56,48.26,0,29.03,26.24,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,5.74,12.69,7.67,-0,67.12,162.68,7.42,7.42,33,33,15,15.49,5.17,6.67,5.17,33,15,0,10,51.26,111.68,22.34,26,0,43,40,52,23,16.56

37,09:00-09:15,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,26.75,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,6.4,12.69,7.67,-112.03,56.59,200.03,8.28,8.28,33,33,15,15.49,5.17,6.67,5.17,33,15,0,10.2,46.67,117.25,23.45,28,0,48,45,57,25,16.56

38,09:15-09:30,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,7.24,12.69,7.67,-224.05,56.59,203.28,9.37,9.37,33,33,15,15.49,5.17,6.67,5.17,33,15,0,10,50,129.24,25.85,31,0,52,51,61,27,16.56

39,09:30-09:45,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,7.97,12.69,7.67,-224.05,56.59,206.83,10.32,10.32,33,33,10.35,15.49,5.17,6.67,5.17,33,10.36,0,4,65,141.02,28.21,33,0,58,58,65,30,16.56

40,09:45-10:00,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,3.24,0,14.62,15.3,20.83,24.13,4.02,0,19.31,24.13,8.68,12.69,7.67,-224.05,56.59,168.22,11.24,11.24,33,33,10.37,15.49,5.17,6.67,5.17,33,10.37,0,4,68.33,152.75,30.55,35,0,62,64,71,32,16.56

41,10:00-10:15,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,9.21,12.69,8.71,-224.05,56.59,150.11,11.92,11.92,33,33,10.23,15.49,5.17,6.67,5.17,33,10.24,0,4,82.78,171.85,34.37,37,0,70,69,75,34,16.56

42,10:15-10:30,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,26.75,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,9.6,12.69,8.71,-224.05,56.59,150.11,12.43,12.43,33,33,10.25,15.49,5.17,6.67,5.17,33,10.25,0,4,86.63,181.52,36.31,39,0,73,73,79,36,21.43

43,10:30-10:45,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,26.75,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,9.98,12.69,8.71,-224.05,56.59,150.11,12.91,12.91,33,33,10.3,15.49,5.17,6.67,5.17,33,10.29,0,4.4,90.48,170.35,34.07,42,0,77,78,83,39,21.43

44,10:45-11:00,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,26.75,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,10.55,12.69,8.71,-112.03,56.59,150.11,13.65,13.65,33,33,10.33,15.49,5.17,6.67,5.17,33,10.33,0,4.8,92.12,175.48,35.1,43,0,77,81,87,39,21.43

45,11:00-11:15,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,7.95,-112.03,56.59,150.11,15.85,15.85,33,33,10.21,15.49,5.17,6.67,5.17,33,10.2,0,5,92,179.26,35.85,45,0,77,81,90,39,21.43

46,11:15-11:30,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,7.95,-112.03,56.59,150.11,15.85,15.85,33,33,10.05,15.49,5.17,6.67,5.17,33,10.06,0,5,92,184.28,36.86,45,0,77,81,90,39,21.43

47,11:30-11:45,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,7.95,-112.03,56.59,193.06,15.85,15.85,33,33,9.92,15.49,5.17,6.67,5.17,33,9.92,0,5.4,92,207.84,41.57,45,0,86,81,90,39,21.43

48,11:45-12:00,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.73,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,7.95,-112.03,56.59,231.67,15.85,15.85,33,33,9.85,15.49,5.17,6.67,5.17,33,9.84,0,5.6,92,210.48,42.1,45,0,86,81,90,39,21.43

49,12:00-12:15,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,8.71,-112.03,56.59,231.67,15.85,15.85,33,33,9.75,15.49,5.17,1.67,5.17,33,9.75,0,5.8,92,211.36,42.27,43,0,82,75,87,39,21.43

50,12:15-12:30,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,8.71,-0,56.59,231.67,15.85,15.85,33,33,9.73,15.49,5.17,1.67,5.17,33,9.73,0,6,92,209.12,41.82,43,0,82,75,87,39,21.43

51,12:30-12:45,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,25.23,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,8.71,-0,56.59,231.67,15.85,15.85,33,33,9.65,15.49,5.17,1.67,5.17,33,9.64,0,6.4,92,204.17,40.83,43,0,80,69,85,34,21.43

52,12:45-13:00,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,26.24,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,12.25,12.69,8.71,-0,56.59,231.67,15.85,15.85,33,33,9.3,15.49,5.17,1.67,5.17,33,9.3,0,7,92,199.47,39.89,42,0,80,69,83,34,21.43

53,13:00-13:15,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,11.84,12.69,8.89,-0,56.59,231.67,15.32,15.32,33,33,9.9,15.49,5.17,1.67,5.17,33,9.89,0,7.4,92,172.41,34.48,40,0,80,60,80,34,21.43

54,13:15-13:30,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,11.19,12.69,8.89,-0,56.59,231.67,14.48,14.48,33,33,10.21,15.49,5.17,1.67,5.17,33,10.22,0,7.8,92,171.56,34.31,38,0,80,60,77,34,53.58

55,13:30-13:45,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,27.75,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,10.44,12.69,8.89,-0,67.12,231.67,13.52,13.52,33,33,10.76,15.49,5.17,1.67,5.17,33,10.77,0,8.4,92,172.34,34.47,42,0,73,67,83,34,53.58

56,13:45-14:00,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,9.69,12.69,8.89,-0,67.12,231.67,12.54,12.54,33,33,11.52,15.49,5.17,2.33,5.17,33,11.52,0,9,92,173.54,34.71,40,0,73,67,80,34,52.61

57,14:00-14:15,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,9.67,12.69,9.17,-0,67.12,231.67,12.51,12.51,33,33,12.45,15.49,5.17,3.33,5.17,33,12.46,0,9.8,58.33,174.5,34.9,40,0,52,72,80,27,53.58

58,14:15-14:30,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,8.59,12.69,9.17,-0,67.12,231.67,11.12,11.12,33,33,14.25,15.49,5.17,4.67,5.17,33,14.25,0,10.4,56.67,175.36,35.07,39,0,52,70,79,25,53.58

59,14:30-14:45,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,8.88,12.69,9.17,-0,67.12,231.67,11.49,11.49,33,33,20,15.49,5.17,7.33,5.17,33,20,0,12.41,55,125,25,40,0,30,72,80,16,46.76

60,14:45-15:00,14.62,102.77,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,7.95,12.69,9.17,-0,67.12,271.49,10.29,10.29,33,33,21,16.01,5.33,8,5.33,33,21,0,15.01,53.33,120.83,24.17,38,0,27,69,77,16,44.81

61,15:00-15:15,14.62,130.61,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,7.67,12.69,9.55,-0,87.07,271.49,9.92,9.92,33,33,21.72,34.99,11.67,13.33,11.67,33,21.71,0,16.21,25,62.5,12.5,40,0,45,66,80,16,46.76

62,15:15-15:30,14.62,130.61,19.22,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,7.38,12.69,9.55,-0,87.07,271.49,9.54,9.54,33,33,22.21,35.51,11.83,13.33,11.83,33,22.22,0,18.21,23.33,58.33,11.67,39,0,40,63,79,16,37.02

63,15:30-15:45,14.62,130.61,13.67,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,7.08,12.69,9.55,-0,87.07,271.49,9.17,9.17,33,33,31.67,47.51,15.83,23.33,15.83,33,31.66,0,26.41,15,45.83,9.17,37,0,21,58,73,12,35.07

64,15:45-16:00,14.62,130.61,13.67,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,6.98,12.69,9.55,-0,87.07,271.49,9.03,9.03,33,33,31,47.51,15.83,22.67,15.83,33,31,0,29.42,15,45.83,9.17,35,0,18,54,70,9,34.1

65,16:00-16:15,14.62,130.61,13.67,96.53,0,100.56,48.26,0,29.03,28.25,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,2.44,12.69,9.83,-0,87.07,271.49,3.16,3.16,24,33,29.7,47.51,15.83,21.67,15.83,33,29.7,0,32.22,10,33.33,6.67,32,0,13,49,63,8,32.15

66,16:15-16:30,14.62,130.61,13.67,96.53,0,100.56,48.26,0,29.03,28.77,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,2.44,12.69,9.83,-0,87.07,271.49,3.16,3.16,16,33,29.63,47.51,15.83,21,15.83,33,29.63,0,35.02,10,33.33,6.67,30,0,12,45,60,7,23.65

67,16:30-16:45,14.62,130.61,13.67,96.53,0,100.56,48.26,0,29.03,29.27,96.53,70.4,5.92,0,14.62,15.3,20.83,24.13,8.54,0,19.31,24.13,2.44,12.69,9.83,-0,87.07,271.49,3.16,3.16,8,33,29.42,36.11,12.03,16.67,12.03,33,29.42,0,34.02,10,25,5,25,0,10,39,50,7,20.38

