Time,Block,NR/2024/19791/A/22753,NR/2024/20838/C,NR/2024/20524/A/22696,NR/2024/20516/A/22463,NR/2024/19757/A/22764,NR/2024/19640/A/22801,NR/2024/19760/A/22412,NR/2024/19988/A/22413,NR/2024/19919/A/22747,NR/2024/20557/A/22760,NR/2024/19642/A/22798,NR/2024/19683/A/22343,NR/2024/20212/A/22459,NR/2024/20553/A/22306,NR/2024/20597/A/22690,NR/2024/20515/A/22464,NR/2024/20142/A/22461,NR/2024/20837/C,NR/2024/20211/A/22458,NR/2024/20109/A/22859,NR/2024/20090/A/22310,NR/2024/20537/A/22858,NR/2024/19637/A/22437,NR/2024/20144/A/22460,NR/2024/20560/A/22758,NR/2024/20540/A/22192,NR/2024/20041/A/22687,NR/2024/20786/C,NR/2024/19779/A/22397,NR/2024/19918/A/22749,NR/2024/20598/A/22417,NR/2024/20599/A/22416,NR/2024/19355/A/22860,NR/2024/19432/A/22766,NR/2024/20513/A/22465,NR/2024/20050/A/22691,NR/2024/20141/A/22462,NR/2024/20572/A/22757,NR/2024/20554/A/22334,NR/2024/20048/A/22692,NR/2024/20037/A/22414,NR/2024/19978/A/22751,NR/2024/20836/C,NR/2024/19588/A/22475,NR/2024/20552/A/22307,NR/2024/20851/C,NR/2024/19475/A/22665,NR/2024/19966/A/22433,NR/2024/19699/A/22767,NR/2024/20558/A/22759,NR/2024/20130/A/22646,NR/2024/20854/C,Total

3,00:30-00:45,59.780000,24.150000,19.320000,0.980000,44.890000,83.760000,0.000000,96.600000,285.140000,10.120000,10.830000,1.930000,0.610000,44.550000,0.000000,0.880000,0.520000,68.110000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,30.380000,7.730000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,89.100000,22.280000,0.680000,144.900000,0.350000,30.380000,0.000000,48.300000,66.830000,84.220000,0,66.840000,26.730000,0.000000,178.210000,0.000000,44.550000,30.380000,0.480000,130.410000,2014.97

4,00:45-01:00,59.690000,24.150000,19.320000,0.980000,44.830000,83.650000,0.000000,96.600000,284.750000,10.100000,10.810000,1.930000,0.610000,44.490000,0.000000,0.880000,0.520000,69.470000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,30.330000,7.730000,0.000000,0.000000,0.630000,13.520000,0.000000,0.000000,88.990000,22.250000,0.680000,144.900000,0.350000,30.330000,0.000000,48.300000,66.740000,84.220000,0,66.840000,26.690000,0.000000,177.970000,0.000000,44.490000,30.330000,0.480000,130.410000,2014.86

5,01:00-01:15,59.020000,24.150000,19.320000,0.980000,44.330000,82.710000,0.000000,96.600000,281.560000,10.000000,10.690000,1.930000,0.610000,43.990000,0.000000,0.880000,0.520000,68.740000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,29.990000,7.730000,0.000000,0.000000,0.580000,13.520000,0.000000,0.000000,87.980000,22.000000,0.680000,144.900000,0.350000,0.000000,0.000000,48.300000,65.990000,84.220000,0,66.840000,26.400000,0.000000,175.980000,0.000000,43.990000,29.990000,0.480000,130.410000,1972.26

6,01:15-01:30,58.950000,24.150000,19.320000,0.980000,44.270000,82.600000,0.000000,96.600000,281.200000,9.980000,10.670000,1.930000,0.610000,43.930000,0.000000,0.880000,0.520000,70.800000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,29.960000,7.730000,0.000000,0.000000,0.580000,13.520000,0.000000,0.000000,87.880000,21.970000,0.680000,144.900000,0.350000,0.000000,0.000000,48.300000,65.910000,84.220000,0,66.840000,26.360000,0.000000,175.750000,0.000000,43.930000,29.960000,0.480000,130.410000,1973.02

7,01:30-01:45,58.750000,24.150000,19.320000,0.980000,44.130000,82.330000,0.000000,96.600000,280.280000,9.950000,10.650000,1.930000,0.610000,43.800000,0.000000,0.880000,0.520000,71.750000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,29.860000,7.730000,0.000000,0.000000,0.580000,13.520000,0.000000,0.000000,87.590000,21.900000,0.680000,144.900000,0.350000,0.000000,0.000000,48.300000,65.690000,84.220000,0,66.840000,26.280000,0.000000,175.170000,0.000000,43.800000,29.860000,0.480000,130.410000,1970.69

8,01:45-02:00,58.670000,24.150000,19.320000,0.980000,44.060000,82.210000,0.000000,96.600000,279.850000,9.930000,10.630000,1.930000,0.610000,43.730000,0.000000,0.880000,0.520000,71.400000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,29.810000,7.730000,0.000000,0.000000,0.580000,13.520000,0.000000,0.000000,87.450000,21.860000,0.680000,144.900000,0.350000,0.000000,0.000000,48.300000,65.590000,84.220000,0,66.840000,26.240000,0.000000,174.900000,0.000000,43.730000,29.810000,0.480000,130.410000,1968.77

9,02:00-02:15,61.390000,24.150000,0.000000,0.980000,46.110000,86.020000,0.000000,96.600000,292.830000,10.390000,11.120000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,71.630000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,31.190000,7.730000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,91.510000,22.870000,0.680000,144.900000,0.350000,31.190000,0.000000,48.300000,68.630000,84.220000,0,66.840000,0.000000,0.000000,183.020000,0.000000,45.760000,31.190000,0.480000,130.410000,1954.38

10,02:15-02:30,62.100000,24.150000,0.000000,0.980000,46.650000,87.030000,0.000000,96.600000,296.270000,10.520000,11.250000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,71.550000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,31.560000,7.730000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,92.580000,23.150000,0.680000,144.900000,0.350000,31.560000,0.000000,48.300000,69.440000,84.220000,0,66.840000,0.000000,0.000000,185.170000,0.000000,46.290000,31.560000,0.480000,130.410000,1966.21

11,02:30-02:45,62.290000,24.150000,0.000000,0.980000,46.780000,87.290000,0.000000,96.600000,297.140000,10.550000,11.280000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,72.390000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,31.660000,7.730000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,92.850000,23.210000,0.680000,144.900000,0.350000,31.660000,0.000000,48.300000,69.640000,84.220000,0,66.840000,0.000000,0.000000,185.710000,0.000000,46.430000,31.660000,0.480000,130.410000,1970.07

12,02:45-03:00,62.330000,24.150000,0.000000,0.980000,46.810000,87.340000,0.000000,96.600000,297.320000,10.560000,11.290000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,72.210000,1.590000,241.500000,1.930000,0.000000,0.000000,0.880000,31.680000,7.730000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,92.910000,23.230000,0.680000,144.900000,0.350000,31.680000,0.000000,48.300000,69.690000,84.220000,0,66.840000,0.000000,0.000000,185.820000,0.000000,46.450000,31.680000,0.480000,130.410000,1970.53

13,03:00-03:15,61.920000,24.150000,0.000000,0.980000,46.500000,86.770000,0.000000,96.600000,295.380000,10.490000,11.220000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,72.520000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,31.470000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,92.310000,23.080000,0.680000,144.900000,0.350000,31.470000,0.000000,48.300000,69.230000,84.220000,0,66.840000,0.000000,0.000000,184.620000,0.000000,46.160000,31.470000,0.480000,130.410000,1963.12

14,03:15-03:30,61.920000,24.150000,0.000000,0.980000,46.500000,86.770000,0.000000,96.600000,295.380000,10.490000,11.220000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,71.160000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,31.460000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,92.310000,23.080000,0.680000,144.900000,0.350000,31.460000,0.000000,48.300000,69.230000,84.220000,0,66.840000,0.000000,0.000000,184.610000,0.000000,46.160000,31.460000,0.480000,130.410000,1961.72

15,03:30-03:45,62.000000,24.150000,0.000000,0.980000,46.560000,86.880000,0.000000,96.600000,295.760000,10.500000,11.220000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,68.150000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,31.510000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,92.430000,23.110000,0.680000,144.900000,0.350000,31.510000,0.000000,48.300000,69.320000,84.220000,0,66.840000,0.000000,0.000000,184.850000,0.000000,46.210000,31.510000,0.480000,130.410000,1960.03

16,03:45-04:00,62.120000,24.150000,0.000000,0.980000,46.660000,87.050000,0.000000,96.600000,296.340000,10.520000,11.250000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,68.220000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,31.570000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,92.600000,23.160000,0.680000,144.900000,0.350000,31.570000,0.000000,48.300000,69.460000,84.220000,0,66.840000,0.000000,0.000000,185.210000,0.000000,46.300000,31.570000,0.480000,130.410000,1962.11

17,04:00-04:15,63.070000,24.150000,0.000000,0.980000,47.370000,88.380000,0.000000,96.600000,300.870000,10.680000,11.430000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,67.430000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.050000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,94.020000,23.500000,0.680000,144.900000,0.350000,32.050000,0.000000,48.300000,70.520000,84.220000,0,66.840000,0.000000,0.000000,188.040000,0.000000,47.020000,32.050000,0.480000,130.410000,1976.99

18,04:15-04:30,64.140000,24.150000,0.000000,0.980000,48.170000,89.890000,0.000000,96.600000,305.980000,10.860000,11.620000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,66.300000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.590000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,95.610000,23.910000,0.680000,144.900000,0.350000,32.590000,0.000000,48.300000,71.720000,84.220000,0,66.840000,0.000000,0.000000,191.240000,0.000000,47.810000,32.590000,0.480000,130.410000,1993.53

19,04:30-04:45,64.410000,24.150000,0.000000,0.980000,48.380000,90.260000,0.000000,96.600000,307.270000,10.910000,11.670000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,66.340000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.740000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,96.020000,24.010000,0.680000,144.900000,0.350000,32.740000,0.000000,48.300000,72.020000,84.220000,0,66.840000,0.000000,0.000000,192.040000,0.000000,48.010000,32.740000,0.480000,130.410000,1998.07

20,04:45-05:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,309.120000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,57.480000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.480000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1995.58

21,05:00-05:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1919.51

22,05:15-05:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1919.51

23,05:30-05:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1919.51

24,05:45-06:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.530000,13.520000,0.000000,0.000000,96.600000,24.150000,0.680000,144.900000,0.350000,32.930000,0.000000,48.300000,72.450000,84.220000,0,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1919.51

25,06:00-06:15,54.860000,24.150000,0.000000,0.980000,41.200000,76.870000,0.000000,96.600000,62.150000,9.290000,9.940000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,166.320000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,27.880000,6.760000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,81.780000,20.450000,0.680000,0.000000,0.350000,27.880000,0.000000,0.000000,61.340000,84.220000,0,66.840000,0.000000,0.000000,163.560000,0.000000,40.890000,27.880000,0.480000,130.410000,1534.13

26,06:15-06:30,58.310000,24.150000,0.000000,0.980000,43.790000,81.700000,0.000000,96.600000,66.060000,9.870000,10.560000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,166.330000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,29.630000,6.760000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,86.920000,21.730000,0.680000,0.000000,0.350000,29.630000,0.000000,0.000000,65.190000,84.220000,0.14,66.840000,0.000000,0.000000,173.830000,0.000000,43.460000,29.630000,0.480000,130.410000,1578.62

27,06:30-06:45,63.690000,24.150000,0.000000,0.980000,47.840000,89.250000,0.000000,96.600000,72.160000,10.790000,11.530000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,166.290000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.370000,6.760000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,94.950000,23.730000,0.680000,0.000000,0.350000,32.370000,0.000000,0.000000,71.200000,84.220000,0.34,66.840000,0.000000,0.000000,189.890000,0.000000,47.470000,32.370000,0.480000,130.410000,1648.08

28,06:45-07:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,69.720000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,0.39,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1565.84

29,07:00-07:15,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,1.13,66.840000,0.000000,0.000000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1665.77

30,07:15-07:30,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,1.51,66.840000,0.000000,6.340000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1672.49

31,07:30-07:45,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,2.42,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1715.36

32,07:45:08:00,64.800000,24.150000,0.000000,0.980000,48.670000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,3.12,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1716.06

33,08:00-08:15,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,3.36,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1911.12

34,08:15-08:30,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,0.000000,96.600000,73.420000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,3.53,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1911.29

35,08:30-08:45,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,3.72,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1959.77

36,08:45:09:00,64.800000,24.150000,0.000000,0.980000,243.200000,90.800000,0.000000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,168.760000,1.590000,183.540000,1.930000,57.960000,0.000000,0.880000,32.930000,6.760000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.06,66.840000,0.000000,48.300000,193.200000,0.000000,48.300000,32.930000,0.480000,130.410000,1960.11

37,09:00:09:15,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,9.660000,48.300000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.44,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2114.86

38,09:15-09:30,64.800000,72.450000,0.000000,0.980000,243.200000,90.800000,48.300000,96.600000,121.710000,10.970000,11.740000,1.930000,0.610000,0.000000,0.000000,0.880000,0.520000,112.540000,1.590000,183.540000,1.930000,57.960000,24.150000,0.880000,32.930000,9.660000,48.300000,0.000000,0.970000,0.000000,0.000000,0.000000,96.600000,24.150000,0.680000,0.000000,0.350000,32.930000,0.000000,0.000000,72.450000,84.220000,4.54,66.840000,0.000000,48.300000,193.200000,38.640000,48.300000,32.930000,0.480000,130.410000,2114.96

