Time,Block,NR/2023/10959/A,NR/2023/12872/F,NR/2023/11266/A,NR/2023/12923/F,NR/2023/12814/F,NR/2023/11712/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11496/A,NR/2023/10956/A,NR/2023/13292/C,NR/2023/10460/A,NR/2023/12916/F,NR/2023/10947/A,NR/2023/10786/A,NR/2023/10436/A,NR/2023/10561/A,NR/2023/13145/F,NR/2023/12920/F,NR/2023/11447/A,NR/2023/13300/C,NR/2023/12706/A,NR/2023/11953/A,NR/2023/10720/A,NR/2023/13294/C,NR/2023/12956/F,NR/2023/12921/F,NR/2023/10432/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/13299/C,NR/2023/13278/D,NR/2023/12915/F,NR/2023/13151/F,NR/2023/12924/F,NR/2023/10651/A,NR/2023/12922/F,NR/2023/12917/F,NR/2023/12661/A,NR/2023/13310/C,NR/2023/12919/F,NR/2023/10488/A,NR/2023/11507/A,SR/2023/6019/C,NR/2023/13277/D,NR/2023/13282/D,NR/2023/13280/D,ER/2023/8174/C,NR/2023/13312/C,NR/2023/13311/C,Total
11,02:30-02:45,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,80.000000,0,0,1386.03

12,02:45-03:00,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,31.590000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,36.490000,23.700000,14.590000,4.840000,0.930000,26.110000,23.150000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,0.00,0,0,0,80.000000,0,0,1386.03

13,03:00-03:15,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.500000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1525.24

14,03:15-03:30,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.500000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1525.24

15,03:30-03:45,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.500000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,43.00,0,0,0,180.000000,0,0,1468.24

16,03:45-04:00,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.500000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,82.00,0,0,0,180.000000,0,0,1507.24

17,04:00-04:15,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.400000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1525.14

18,04:15-04:30,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.400000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1525.14

19,04:30-04:45,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.400000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1525.14

20,04:45-05:00,21.270000,0.440000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,98.650000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.400000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1525.14

21,05:00-05:15,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1426.44

22,05:15-05:30,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1426.44

23,05:30-05:45,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1426.44

24,05:45-06:00,21.270000,0.480000,37.840000,0.610000,78.340000,64.320000,62.870000,65.000000,20.310000,85.080000,30.570000,23.210000,0.520000,27.860000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0,0,180.000000,0,0,1426.44

25,06:00-06:15,21.270000,0.530000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,0.3,0.7,180.000000,0.3,0.7,1335.63

26,06:15-06:30,21.270000,0.530000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,1.2,2.8,180.000000,0.6,1.4,1339.63

27,06:30-06:45,21.270000,0.530000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0,1.8,4.2,100.000000,0.9,2.1,1262.63

28,06:45-07:00,21.270000,0.530000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,30.570000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.310000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0.12,2.7,6.3,100.000000,1.35,3.15,1267.25

29,07:00-07:15,21.270000,0.680000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.220000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0.48,3.6,8.4,100.000000,1.8,4.2,1269.12

30,07:15-07:30,21.270000,0.680000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.220000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,0.71,5.1,11.9,100.000000,2.55,5.95,1276.85

31,07:30-07:45,21.270000,0.680000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.220000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,1.23,6,14,100.000000,3,7,1281.87

32,07:45:08:00,21.270000,0.680000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.930000,12.710000,0.000000,6.770000,0.000000,23.700000,14.220000,4.840000,0.930000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.820000,29.020000,255.260000,100.00,2.42,8.4,19.6,100.000000,3,7,1291.06

33,08:00-08:15,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.130000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,2.9,10.8,25.2,100.000000,5.7,13.3,1208.99

34,08:15-08:30,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.130000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,3.68,12.6,29.4,100.000000,6.9,16.1,1219.77

35,08:30-08:45,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.130000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,3.87,14.4,33.6,100.000000,8.7,20.3,1231.96

36,08:45:09:00,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,0.000000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.130000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,4.35,15.9,37.1,100.000000,8.7,20.3,1237.44

37,09:00:09:15,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.030000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,4.35,17.4,40.6,100.000000,11.7,27.3,1276.52

38,09:15-09:30,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,27.520000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.030000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,19.2,44.8,100.000000,12,28,1284.39

39,09:30-09:45,21.270000,0.970000,37.840000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.030000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,13.010000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.13,21.3,49.7,100.000000,11.7,27.3,1292.34

40,09:45-10:00,21.270000,0.970000,25.800000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,0.000000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,14.030000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,25.040000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,23.1,53.9,100.000000,11.7,27.3,1298.42

41,10:00-10:15,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.950000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,25.8,60.2,100.000000,11.4,26.6,1397.27

42,10:15-10:30,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.950000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,26.4,61.6,100.000000,13.5,31.5,1406.27

43,10:30-10:45,21.270000,0.970000,0.000000,0.610000,78.340000,64.320000,62.870000,0.000000,20.310000,85.080000,29.560000,23.210000,0.520000,0.000000,90.920000,24.180000,48.360000,24.180000,0.980000,12.710000,0.000000,6.770000,0.000000,23.700000,13.950000,4.840000,0.980000,26.110000,0.000000,14.510000,0.000000,23.800000,0.370000,50.850000,0.610000,63.110000,1.020000,0.920000,62.870000,0.000000,0.970000,29.020000,255.260000,0.00,5.22,26.4,61.6,100.000000,14.1,32.9,1408.27

