Column1,Time,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,L_NR_2019_19,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/02/01/4863,NR/01102023/06022042/L_NR_2012_02,GNA/SR/2025/02/01/7432,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/2594,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/5886,NR/01102023/05012040/L_NR_2020_02,NR/30092023/31122025/SH-07,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/9969,GNA/WR/2024/11/01/4200,NR/01102023/19072037/LT-05,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04
7,01:30-01:45,38.51,0,0,0,0,11,12.83,18,0,0,12.83,0,0,0,0,0,0,18,13.41,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0,0,100.2,26.99,0,0

8,01:45-02:00,39,0,0,0,0,11,13,17.34,0,0,13,0,0,0,0,0,0,17.33,12.81,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,23.08,0,70.16,0,0,100.2,26.99,0,0

9,02:00-02:15,37.5,0,0,0,0,10.33,12.5,16.66,0,0,12.5,0,0,0,0,0,0,16.67,12.21,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.7,0,100.2,26.99,0,0

10,02:15-02:30,35.51,0,0,0,0,10,11.83,16.34,0,0,11.83,0,0,0,0,0,0,16.33,11.81,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.7,0,100.2,26.99,0,0

11,02:30-02:45,33.49,0,0,0,0,9.33,11.17,15.34,0,0,11.17,0,0,0,0,0,0,15.33,11.21,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.7,0,100.2,26.99,0,0

12,02:45-03:00,31.5,0,0,0,0,9,10.5,14.34,0,0,10.5,0,0,0,0,0,0,14.33,10.8,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.7,0,100.2,26.99,0,0

13,03:00-03:15,27,0,0,0,0,7.33,9,13.66,0,0,9,0,0,0,0,0,0,13.67,10.4,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.7,0,100.2,26.99,0,0

14,03:15-03:30,22.5,0,0,0,0,6.67,7.5,13.34,0,0,7.5,0,0,0,0,0,0,13.33,10,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.7,0,100.2,26.99,0,0

15,03:30-03:45,19.99,0,0,0,0,6.67,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,9,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0,0,100.2,26.99,0,0

16,03:45-04:00,19.99,0,0,0,0,6.67,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,8.6,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0,0,100.2,26.99,0,0

17,04:00-04:15,19.99,0,0,0,0,6.67,6.67,21,0,0,6.67,0,0,0,0,0,0,21,7.6,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.63,0,100.2,26.99,0,0

18,04:15-04:30,19.99,0,0,0,0,6.67,6.67,22,0,0,6.67,0,0,0,0,0,0,22,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.63,0,100.2,26.99,0,0

19,04:30-04:45,19.99,0,0,0,0,10,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.63,0,100.2,26.99,0,0

20,04:45-05:00,19.99,0,0,0,0,10,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.63,0,100.2,26.99,0,0

21,05:00-05:15,19.99,0,0,0,0,9.67,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.63,0,100.2,26.99,0,0

22,05:15-05:30,19.99,0,0,0,0,9,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,70.16,0.63,0,100.2,26.99,0,0

23,05:30-05:45,19.99,0,0,0,0,8.33,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,59.47,0,8.66,168.24,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,66.02,0,0,100.2,26.99,0,0

24,05:45-06:00,19.99,0,0,0,0,7.67,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,59.47,0,8.66,229.74,0,0,0,0.92,23.08,23.08,1.65,0,8.66,1.25,26.99,75,22.12,0,66.02,0,0,100.2,26.99,0,0

25,06:00-06:15,19.99,0,0,0.13,0,7,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,86.75,0,8.66,261.13,0,0,0,0.92,23.08,23.08,1.57,0,8.66,1.25,26.99,75,22.12,0,74.5,0.63,0,100.2,26.99,0,0

26,06:15-06:30,19.99,0,0,1.34,0,6.67,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,86.75,0,8.66,261.13,0,0,0,0.92,23.08,23.08,1.57,0,8.66,1.25,26.99,75,22.12,0,82.98,0.63,0,100.2,26.99,0,0

27,06:30-06:45,19.99,0,0,2.95,0,6.67,6.67,13.34,0,0,6.67,0,0,0,0,0,0,13.33,7,0,86.75,0,8.66,261.13,0,0,0,0.92,28.85,28.85,1.57,0,8.66,1.25,19.89,75,22.12,0,91.48,0.63,0,100.2,32,0,0

28,06:45-07:00,19.99,0,0,6,1,6.67,6.67,13.34,1.47,0,6.67,0,0,0,0,0,0,13.33,7,0,86.75,0,8.66,261.13,0,0,0,0.92,28.85,28.85,1.57,0,8.66,1.25,14.1,75,22.12,0,115.05,0.63,0,100.2,32,0,0

29,07:00-07:15,19.99,0,0,13.64,3,6.67,6.67,13.34,5.83,1,6.67,2,1.51,1,0,0,0,13.33,7,0,86.75,0,8.66,261.13,0,0,0,0.92,28.85,28.85,1.57,0,8.66,1.25,32,75,22.12,0,115.05,0.63,0,100.2,32,0,0

30,07:15-07:30,19.99,1,0,23.91,7,6.67,6.67,13.34,13.14,2,6.67,3,6.19,4,1,1,0,13.33,7,0,86.75,0,8.66,261.13,0,0,0,0.92,28.85,28.85,1.57,0,8.66,1.25,32,75,22.12,0,115.05,0.63,0,100.2,32,0,0

31,07:30-07:45,19.99,2,0,25.85,11,6.67,6.67,13.34,25.85,3,6.67,5,12.47,7,3,2,0.44,13.33,7,2.2,86.75,0.14,8.66,261.13,0,0.14,0.14,0.92,31.74,31.74,1.57,0,8.66,1.25,32,75,22.12,0,115.05,0,0,100.2,32,0,15.39

32,07:45-08:00,19.99,5,1.14,24.85,18,6.67,6.67,13.34,24.85,10,6.67,7,19.37,18,7,3,1.76,13.33,7,8.81,86.75,0.57,8.66,261.13,0,0.59,0.57,0.92,31.74,31.74,1.57,0,8.66,1.25,32,75,22.12,0,115.05,0,0,100.2,32,0,23.08

33,08:00-08:15,19.99,7,4.56,23.57,23.56,5,6.67,13.34,23.57,15,6.67,13,27.75,25,10,5,3.97,13.33,7,19.82,86.75,2.25,8.66,261.13,0,2.3,2.25,0.92,34.62,34.62,1.57,0,8.66,1.3,32,75,22.12,0,115.05,0.63,24.21,100.2,32,0,23.08

34,08:15-08:30,19.99,10,10.27,23.57,23.56,5,6.67,13.34,23.57,20,6.67,19,37.68,28,12,10,9.65,13.33,7,48.23,86.75,3.14,8.66,261.13,0,3.22,3.14,0.92,34.62,34.62,1.57,0,8.66,1.3,32,75,22.12,0,115.05,0.63,24.21,100.2,32,0,30.78

35,08:30-08:45,19.99,15,18.88,24,24,5,6.67,13.34,24,30,6.67,27,48.28,56,24,16,14.73,13.33,7,73.62,86.75,4.04,8.66,261.13,0,4.14,4.04,0.92,34.62,34.62,1.57,0,8.66,1.3,32,75,22.12,0,115.05,0.63,24.21,100.2,32,0,38.47

36,08:45-09:00,19.99,18,28.45,24.33,24.34,5,6.67,13.34,24.33,37,6.67,37,48.02,74,31,21,19.51,13.33,7,97.56,86.75,5.22,8.66,261.13,0,5.36,5.22,0.92,34.62,34.62,1.57,0,8.66,1.3,32,75,22.12,0,115.05,0.63,23.2,100.2,32,0,46.17

37,09:00-09:15,19.99,23,40.59,24.33,24.34,5,6.67,13.34,24.33,47,6.67,48,56.68,95,40,27,24.07,13.33,7,120.34,86.75,7.06,8.66,261.13,0,7.23,7.06,0.92,34.62,34.62,1.84,0,8.66,1.3,32,75,22.12,0,115.05,0.63,22.69,100.2,32,0,53.86

38,09:15-09:30,19.99,28,48.86,24.33,24.34,5,6.67,13.34,24.33,57,6.67,55,66.14,109,46,30,28.32,13.33,7,141.57,86.75,8.41,8.66,261.13,0,8.62,8.41,0.92,34.62,34.62,1.84,0,8.66,1.3,32,75,22.12,0,115.05,0.63,22.19,100.2,32,0,61.56

39,09:30-09:45,19.99,33,57.04,24.67,24.66,6.67,6.67,13.34,24.67,65,6.67,62,74.18,133,57,33,32.28,13.33,7,161.42,86.75,9.59,8.66,261.13,0,9.84,9.59,0.96,23.08,23.08,1.84,0,8.66,1.3,14.1,75,22.12,0,115.05,0,22.19,100.2,32,0,69.25

40,09:45-10:00,19.99,37,65.03,24.67,24.66,6.67,6.67,13.34,24.67,73,6.67,67,102.34,151,64,36,35.9,13.33,7,179.52,86.75,10.72,8.66,261.13,0,10.99,10.72,0.96,23.08,23.08,1.84,0,8.66,1.3,19.89,75,22.12,0,115.05,0,22.19,100.2,32,0,76.94

41,10:00-10:15,19.99,40,71.74,24.67,24.66,6.67,6.67,13.34,24.67,80,6.67,74,110.9,168,72,38,39.13,13.33,7,195.62,86.75,11.7,8.66,261.13,0,11.99,11.7,0.96,23.08,23.08,1.84,0,8.66,1.35,10.99,75,22.12,0,66.02,0.63,22.19,100.2,32,0,76.94

42,10:15-10:30,19.99,43,78.22,24.67,24.66,6.67,6.67,13.34,24.67,87,6.67,79,117.23,182,78,40,42.03,13.33,7,210.15,86.75,12.58,8.66,261.13,0,12.89,12.58,0.96,23.08,23.08,1.84,0,8.66,1.35,10.99,75,22.12,0,66.02,0.63,22.19,100.2,32,0,76.94

43,10:30-10:45,19.99,46,84.44,24.67,24.66,6.67,6.67,13.34,24.67,92,6.67,86,124.44,196,84,42,44.76,13.33,7,223.78,86.75,13.25,8.66,261.13,0,13.58,13.25,0.96,23.08,23.08,1.84,0,8.66,1.35,10.99,75,22.12,0,66.02,0.63,21.69,100.2,32,0,76.94

44,10:45-11:00,19.99,48,90.16,24.67,24.66,6.67,6.67,13.34,24.67,97,6.67,88,129.5,200,85,44,47.5,13.33,7,237.5,86.75,13.99,8.66,261.13,0,14.34,13.99,0.96,23.08,23.08,1.84,0,8.66,1.35,10.99,75,22.12,0,66.02,0.63,21.69,100.2,32,0,76.94

45,11:00-11:15,19.99,50,94.46,24.67,24.66,6.67,6.67,13.34,24.67,100,6.67,91,135.15,200,85,45,47.5,13.33,7,237.5,86.75,14.58,8.66,261.13,0,14.95,14.58,0.96,23.08,23.08,1.84,0,8.66,1.35,10.99,75,22.12,0,66.02,0.63,21.69,100.2,32,0,76.94

46,11:15-11:30,19.99,50,98.11,25.67,25.66,6.67,6.67,13.34,25.67,100,6.67,92,136.71,200,85,46,47.5,13.33,7,237.5,86.75,15.06,8.66,261.13,0,15.43,15.06,0.96,23.08,23.08,1.84,0,8.66,1.35,10.99,75,22.12,0,66.02,0.63,20.17,100.2,32,0,76.94

47,11:30-11:45,19.99,50,100,26,26,6.67,6.67,13.34,26,100,6.67,93,138.46,200,85,47,47.5,13.33,7,237.5,86.75,15.4,8.66,261.13,0,15.79,15.4,0.96,23.08,23.08,1.84,0,8.66,1.35,18.68,75,22.12,0,66.02,0.63,20.17,100.2,18.68,0,76.94

48,11:45-12:00,19.99,50,100,26.17,26.16,6.67,6.67,13.34,26.17,100,6.67,95,142.84,200,85,47,47.5,13.33,7.2,237.5,75.53,15.66,8.66,261.13,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.35,18.68,75,22.12,0,66.02,0.63,20.17,100.2,18.68,0,76.94

49,12:00-12:15,19.99,50,100,26.67,26.66,6.67,6.67,13.34,26.67,100,6.67,95,144.3,200,85,47,47.5,13.33,10,237.5,75.53,15.66,8.66,261.13,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.39,18.68,75,22.12,0,66.02,0,20.17,100.2,18.68,0,76.94

50,12:15-12:30,19.99,50,100,26.67,26.66,6.67,6.67,13.34,26.67,100,6.67,95,145.96,200,85,47,47.5,13.33,10,237.5,75.53,15.66,8.66,261.13,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.39,18.68,75,22.12,0,66.02,0,20.17,100.2,18.68,0,76.94

51,12:30-12:45,19.99,50,100,26.67,26.66,6.67,6.67,13.34,26.67,100,6.67,95,146.35,200,85,47,47.5,13.33,10.2,237.5,59.47,15.66,8.66,229.74,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.39,16.12,75,22.12,0,66.02,0.63,20.17,100.2,16.12,0,76.94

52,12:45-13:00,19.99,50,100,26.67,26.66,6.67,6.67,13.34,26.67,100,6.67,95,145.86,200,85,47,47.5,13.33,10.4,237.5,59.47,15.66,8.66,170.16,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.39,16.12,75,22.12,0,66.02,0.63,18.15,100.2,16.12,0,76.94

53,13:00-13:15,19.99,50,100,26.67,26.66,6.67,6.67,13.34,26.67,100,6.67,95,145.76,200,85,48,47.5,13.33,10.6,237.5,59.47,15.66,8.66,170.16,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.39,26.99,75,22.12,0,66.02,0.63,18.15,100.2,26.99,0,76.94

54,13:15-13:30,19.99,50,100,26.67,26.66,6.67,6.67,13.34,26.67,100,6.67,93,146.15,200,85,47,47.5,13.33,11,237.5,59.47,15.66,8.66,170.16,0,16.05,15.66,0.96,23.08,23.08,1.84,0,8.66,1.39,26.99,75,22.12,0,66.02,0.63,18.15,100.2,26.99,0,76.94

55,13:30-13:45,19.99,50,100,26.67,26.66,10,6.67,15,26.67,100,6.67,93,141.18,200,85,47,47.5,15,10.8,237.5,59.47,15.66,8.66,170.16,0,16.05,15.66,0.96,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,70.16,0.63,18.15,100.2,26.99,0,76.94

56,13:45-14:00,19.99,50,100,26.67,26.66,10,6.67,15,26.67,100,6.67,92,136.54,196,84,46,47.5,15,10.8,237.5,59.47,15.58,8.66,170.16,0,15.97,15.58,0.96,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,70.16,0.63,18.15,100.2,26.99,0,76.94

57,14:00-14:15,34.5,48,100,26.67,26.66,13.33,11.5,16,26.67,97,11.5,91,132.14,193,82,46,47.5,16,12.41,237.5,59.47,15.26,8.66,170.16,0,15.64,15.26,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,70.16,0.63,18.15,100.2,26.99,0,76.94

58,14:15-14:30,34.01,47,100,26.67,26.66,13.33,11.33,17,26.67,93,11.33,91,127.91,189,81,45,47.5,17,12.61,237.5,59.47,14.74,8.66,170.16,0,15.1,14.74,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,70.16,0.63,18.15,100.2,26.99,0,76.94

59,14:30-14:45,32.51,45,100,26.67,26.66,13.33,10.83,18.34,26.67,90,10.83,89,122.92,186,79,43,47.5,18.33,12.81,237.5,59.47,14.29,8.66,170.16,0,14.65,14.29,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,66.02,0,18.66,100.2,26.99,0,76.94

60,14:45-15:00,31.99,43,100,26.67,26.66,13.33,10.67,20,26.67,87,10.67,87,116.85,179,76,42,47.35,20,13.01,236.73,59.47,13.71,8.66,170.16,0,14.06,13.71,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,66.02,0,18.66,100.2,26.99,0,76.94

61,15:00-15:15,31.99,40,93.52,26.83,26.84,12.67,10.67,21.66,26.83,80,10.67,83,109.58,168,72,40,45.02,21.67,16,225.09,59.47,12.97,8.66,170.16,0,13.29,12.97,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,66.02,0.78,19.67,100.2,26.99,0,76.94

62,15:15-15:30,31.99,38,88.84,26.83,26.84,12.67,10.67,22.34,26.83,77,10.67,78,101.31,158,67,38,42.09,22.33,16,210.47,59.47,12.18,8.66,170.16,0,12.48,12.18,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,66.02,0.78,20.17,100.2,26.99,0,76.94

63,15:30-15:45,31.99,35,83.5,26.83,26.84,12.67,10.67,17,26.83,70,10.67,73,92.2,147,63,35,38.98,17,16.01,194.87,59.47,11.25,8.66,170.16,0,11.54,11.25,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,66.02,0.78,21.18,100.2,26.99,0,90.41

64,15:45-16:00,31.99,32,77.52,31.35,19,12,10.67,16.66,31.35,63,10.67,67,82.15,140,60,32,35.86,16.67,16.01,179.28,59.47,10.23,8.66,170.16,0,10.49,10.23,1,23.08,23.08,1.57,0,8.66,1.39,26.99,75,22.12,0,66.02,0.78,21.69,100.2,26.99,0,102.91

65,16:00-16:15,26.51,30,70.81,32.78,10.99,10,8.83,20,32.78,59,8.83,60,71.29,126,54,29,31.84,20,16.01,159.21,59.47,9.08,8.66,170.16,0,9.31,9.08,1,23.08,23.08,1.57,0,8.66,1.35,26.99,75,22.12,0,66.02,0.78,22.19,100.2,26.99,0,102.91

66,16:15-16:30,26.51,26,63.14,32.82,4.99,10,8.83,19.66,32.82,52,8.83,53,59.87,109,46,25,27.83,19.67,16.61,139.13,59.47,7.89,8.66,200.88,0,8.08,7.89,1,23.08,23.08,1.57,0,8.66,1.35,26.99,75,22.12,0,66.02,0.78,22.69,100.2,26.99,0,102.91

67,16:30-16:45,25.01,22,54.6,33,1,10,8.33,19.66,33,43,8.33,47,48.52,95,40,21,23.81,19.67,17.01,119.07,67.88,6.54,8.66,200.88,0,6.7,6.54,0.92,23.08,23.08,1.57,0,8.66,1.35,25.69,75,22.12,0,66.02,0,22.69,100.2,25.69,0,102.91

68,16:45-17:00,24,18,45.48,33,0,9.67,8,19.66,33,37,8,38,36.23,74,31,16,19.8,19.67,17.61,98.99,67.88,5.13,8.66,259.55,0,5.26,5.13,0.92,23.08,23.08,1.57,0,8.66,1.35,25.69,75,22.12,0,66.02,0,23.7,100.2,25.69,0,102.91

69,17:00-17:15,24,13,36.12,24.24,0,9,8,19,19.7,27,8,32,24.64,53,22,12,15.88,19,18.01,79.39,86.75,3.56,8.66,259.55,0,3.65,3.56,0.92,36.55,36.55,1.57,0,8.66,1.35,24.07,75,22.12,0,66.02,0.78,24.21,100.2,32,0,102.91

70,17:15-17:30,24,10,26.99,14.72,0,8.33,8,18.34,11.09,20,8,21,15.19,35,15,5,11.96,18.33,18.81,59.79,86.75,2.47,8.66,259.55,0,2.53,2.47,0.92,36.55,36.55,1.57,0,8.66,1.35,24.07,75,22.12,0,66.02,0.78,24.71,100.2,32,0,102.91

71,17:30-17:45,23.51,6,18.71,7.63,0,8.33,7.83,18,0,12,7.83,13,8.67,18,7,3,7.01,18,18.81,35.06,86.75,1.59,8.66,259.55,0,1.62,1.59,0.92,36.55,36.55,1.57,0,8.66,1.35,24.07,75,22.12,0,115.05,0.78,25.22,100.2,32,0,102.91

72,17:45-18:00,23.51,3,11.63,2.61,0,8.33,7.83,16.66,0,6,7.83,9,3.86,7,3,2,3.95,16.67,18.81,19.72,86.75,0.89,8.66,259.55,0,0.92,0.89,0.92,36.55,36.55,1.57,0,8.66,1.35,14.1,75,22.12,0,115.05,0.78,25.23,100.2,32,0,102.91

73,18:00-18:15,24,1,6.43,0,0,11.67,8,18,0,1,8,5,0.47,2,1,1,1.75,18,18.81,8.77,86.75,0.39,9.62,259.55,0,0.4,0.39,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0.78,25.23,100.2,32,200,102.91

74,18:15-18:30,25.01,0,1.47,0,0,11.67,8.33,18.34,0,1,8.33,2,0,0,0,1,0.44,18.33,18.81,2.19,86.75,0.1,9.62,259.55,0,0.11,0.1,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0.78,25.23,100.2,32,200,102.91

75,18:30-18:45,25.99,0,0.06,0,0,11.67,8.67,19,0,0,8.67,0,0,0,0,0,0,19,19.21,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0,25.74,100.2,32,200,118.3

76,18:45-19:00,27,0,0,0,0,11.67,9,20.34,0,0,9,0,0,0,0,0,0,20.33,19.61,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0,25.74,100.2,32,200,118.3

77,19:00-19:15,28.5,0,0,0,0,11.67,9.5,22,0,0,9.5,0,0,0,0,0,0,22,20.01,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0.7,25.74,100.2,32,200,118.3

78,19:15-19:30,30,0,0,0,0,12.33,10,23,0,0,10,0,0,0,0,0,0,23,20.21,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0.7,25.74,100.2,32,200,118.3

79,19:30-19:45,34.99,0,0,0,0,13,11.67,31.66,0,0,11.67,0,0,0,0,0,0,31.67,17.01,0,86.75,0,9.62,259.55,50,0,0,0.92,36.55,36.55,1.57,0,9.62,1.35,32,75,22.12,50,115.05,0.7,25.74,100.2,32,200,118.3

