Column1,Block,NR/2024/23769/A/43297,NR/2024/23809/A/43296,NR/30092023/31122025/SH-07,NR/2024/23979/C,NR/2024/23918/A/43294,GNA/NR/2024/11/01/5428,WR/2024/24788/A/43444,NR/2024/23963/A/43429,NR/2024/23980/C,NR/2024/23420/A/43295,GNA/NR/2024/11/01/9061,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/3646,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/1868,GNA/WR/2024/11/01/4200,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/WR/2024/10/15/7089,Total
12,02:45-03:00,5.76,4.8,0,0,0,25.94,0,0,0,0.48,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.79

13,03:00-03:15,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.74

14,03:15-03:30,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.74

15,03:30-03:45,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.74

16,03:45-04:00,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.66,8.65,0,190.26,25.94,0,379.74

17,04:00-04:15,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

18,04:15-04:30,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

19,04:30-04:45,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

20,04:45-05:00,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

21,05:00-05:15,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

22,05:15-05:30,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

23,05:30-05:45,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

24,05:45-06:00,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,63.42,2.57,8.65,0,190.26,25.94,0,379.65000000000003

25,06:00-06:15,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,0,2.57,8.65,0,0,25.94,0,125.97

26,06:15-06:30,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,0,2.57,8.65,0,0,25.94,0,125.97

27,06:30-06:45,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,0,2.57,8.65,0,0,25.94,0,125.97

28,06:45-07:00,5.76,4.8,0,0,0,25.94,0,0,0,0.43,25.94,0,17.29,8.65,0,2.57,8.65,0,0,25.94,0,125.97

29,07:00-07:15,5.76,4.8,0,0,0,25.94,0,0,0,0.58,25.94,0,24.98,8.65,0,2.57,8.65,0,0,25.94,0,133.81

30,07:15-07:30,5.76,4.8,0,0,0,25.94,0,0,0,0.58,25.94,0,24.98,8.65,0,2.57,8.65,0,0,25.94,0,133.81

31,07:30-07:45,5.76,4.8,0,0,0,33.62,0,0,0,0.58,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,157.82

32,07:45-08:00,5.76,4.8,0,0,0,33.62,0,0,0,0.58,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,157.82

33,08:00-08:15,5.76,4.8,0,0,0,33.62,0,0,0,0.96,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,158.2

34,08:15-08:30,5.76,4.8,0,0,0,33.62,0,0,0,0.96,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,158.2

35,08:30-08:45,5.76,4.8,0,0,0,33.62,0,0,0,0.96,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,158.2

36,08:45-09:00,5.76,4.8,0,0,0,33.62,0,0,0,0.96,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,158.2

37,09:00-09:15,5.76,4.8,0,25.27,3.84,28.82,0,0,24.02,0.86,28.82,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,195.85999999999999

38,09:15-09:30,5.76,4.8,0,29.3,3.84,28.82,0,0,23.54,0.86,28.82,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,199.41

39,09:30-09:45,5.76,4.8,0,30.74,3.84,28.82,0,0,22.1,0.86,28.82,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,199.41

40,09:45-10:00,5.76,4.8,0,30.74,3.84,28.82,0,0,22.1,0.86,28.82,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,199.41

41,10:00-10:15,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.16999999999996

42,10:15-10:30,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.16999999999996

43,10:30-10:45,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.16999999999996

44,10:45-11:00,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.16999999999996

45,11:00-11:15,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

46,11:15-11:30,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

47,11:30-11:45,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

48,11:45-12:00,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

49,12:00-12:15,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

50,12:15-12:30,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

51,12:30-12:45,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

52,12:45-13:00,5.76,4.8,0,30.74,6.72,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,207.08999999999997

53,13:00-13:15,5.76,4.8,0,30.74,5.76,28.82,0,0,22.1,0.77,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,206.03999999999996

54,13:15-13:30,5.76,4.8,0,30.74,5.76,28.82,0,0,22.1,0.77,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,206.03999999999996

55,13:30-13:45,5.76,4.8,0,30.74,5.76,28.82,0,0,22.1,0.77,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,206.03999999999996

56,13:45-14:00,5.76,4.8,0,30.74,5.76,28.82,0,0,22.1,0.77,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,206.03999999999996

57,14:00-14:15,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.96,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.26999999999995

58,14:15-14:30,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.96,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.26999999999995

59,14:30-14:45,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.96,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.26999999999995

60,14:45-15:00,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.96,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.26999999999995

61,15:00-15:15,5.76,4.8,0,30.74,4.8,28.82,0,0,22.1,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.16999999999996

62,15:15-15:30,5.76,4.8,0,28.24,4.8,28.82,0,0,24.59,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,205.15999999999997

63,15:30-15:45,5.76,4.8,0,24.02,4.8,28.82,0,0.96,26.9,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,204.20999999999995

64,15:45-16:00,5.76,4.8,0,19.6,4.8,28.82,0,0.96,25.94,0.86,33.62,0,24.98,8.65,0,2.57,8.65,0,0,28.82,0,198.82999999999998

65,16:00-16:15,5.76,4.8,0,15.28,2.88,33.62,0,0.96,25.94,0.77,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,203.07

66,16:15-16:30,5.76,4.8,0,11.24,2.88,33.62,0,0.96,17.48,0.77,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,190.57

67,16:30-16:45,5.76,4.8,0,7.88,2.88,33.62,0,0.96,10.09,0.77,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,179.82

68,16:45-17:00,5.76,4.8,0,5.38,2.88,33.62,0,0.96,3.17,0.77,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,170.40000000000003

69,17:00-17:15,5.76,4.8,0,0,0.96,33.62,0,1.92,0,0.58,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,160.70000000000002

70,17:15-17:30,5.76,4.8,0,0,0.96,33.62,0,1.92,0,0.58,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,160.70000000000002

71,17:30-17:45,5.76,4.8,0,0,0.96,33.62,0,1.92,0,0.58,34.59,0,24.98,8.65,0,2.57,8.65,0,0,33.62,0,160.70000000000002

72,17:45-18:00,5.76,4.8,0,0,0.96,33.62,0,1.92,0,0.58,34.59,0,24.98,8.65,0,7.98,8.65,0,0,33.62,0,166.11

73,18:00-18:15,5.76,4.8,0,0,0,33.62,38.43,1.92,0,0.62,34.59,0,24.98,8.65,0,8.35,8.65,50,0,33.62,150,403.99

74,18:15-18:30,5.76,4.8,0,0,0,33.62,38.43,1.92,0,0.62,34.59,0,24.98,8.65,0,8.35,8.65,50,0,33.62,150,403.99

75,18:30-18:45,5.76,4.8,0,0,0,33.62,38.43,1.92,0,0.62,34.59,0,24.98,8.65,0,8.35,8.65,50,0,33.62,150,403.99

76,18:45-19:00,5.76,4.8,0,0,0,33.62,38.43,1.92,0,0.62,34.59,0,24.98,8.65,0,8.35,8.65,50,0,33.62,150,403.99

77,19:00-19:15,5.76,4.8,0,0,0,33.62,38.43,1.92,0,0.62,34.59,0,24.98,8.65,0,8.17,8.65,50,0,33.62,150,403.81

78,19:15-19:30,5.76,4.8,0,0,0,33.62,38.43,0.96,0,0.62,34.59,0,24.98,8.65,0,8.17,8.65,50,0,33.62,150,402.85

79,19:30-19:45,5.76,4.8,0,0,0,33.62,38.43,0.96,0,0.62,33.62,0,24.98,8.65,0,8.17,8.65,50,0,33.62,150,401.88

80,19:45-20:00,5.76,4.8,0,0,0,33.62,38.43,0.96,0,0.62,33.62,0,24.98,8.65,0,8.17,8.65,50,0,33.62,150,401.88

81,20:00-20:15,5.76,4.8,0,0,0,28.82,38.43,0.96,0,0.62,33.62,0,24.98,8.65,0,7.98,8.65,50,0,28.82,200,442.09

82,20:15-20:30,5.76,4.8,0,0,0,28.82,38.43,0.96,0,0.62,33.62,0,24.98,8.65,0,7.98,8.65,50,0,28.82,200,442.09

83,20:30-20:45,5.76,4.8,0,0,0,28.82,38.43,0.96,0,0.62,33.62,0,24.98,8.65,0,7.98,8.65,50,0,28.82,200,442.09

84,20:45-21:00,5.76,4.8,0,0,0,28.82,38.43,0.96,0,0.62,33.62,0,24.98,8.65,0,7.98,8.65,50,0,28.82,200,442.09

85,21:00-21:15,5.76,4.8,0,0,0,25.94,38.43,0.96,0,0.62,25.94,0,24.98,8.65,0,7.89,8.65,50,0,25.94,200,428.56

86,21:15-21:30,5.76,4.8,0,0,0,25.94,38.43,0.96,0,0.62,25.94,0,24.98,8.65,0,7.89,8.65,50,0,25.94,200,428.56

87,21:30-21:45,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,0,7.89,8.65,50,0,25.94,200,427.6

88,21:45-22:00,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,0,7.89,8.65,50,0,25.94,200,427.6

89,22:00-22:15,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.7,8.65,50,190.26,25.94,200,681.0899999999999

90,22:15-22:30,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.7,8.65,50,190.26,25.94,200,681.0899999999999

91,22:30-22:45,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.7,8.65,50,190.26,25.94,200,681.0899999999999

92,22:45-23:00,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.7,8.65,50,190.26,25.94,200,681.0899999999999

93,23:00-23:15,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.52,8.65,50,190.26,25.94,200,680.9100000000001

94,23:15-23:30,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.52,8.65,50,190.26,25.94,200,680.9100000000001

95,23:30-23:45,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.52,8.65,50,190.26,25.94,200,680.9100000000001

96,23:45-24:00,5.76,4.8,0,0,0,25.94,38.43,0,0,0.62,25.94,0,24.98,8.65,63.42,7.52,8.65,50,190.26,25.94,200,680.9100000000001

